seed,method,n_iter,dataset,value
0,random,0,1502,0.9795918367346939
0,random,1,1502,0.9714285714285714
0,random,2,1502,0.9918367346938776
0,random,3,1502,0.9795918367346939
0,random,4,1502,0.9959183673469387
0,random,5,1502,0.9959183673469387
0,random,6,1502,0.9918367346938776
0,random,7,1502,1.0
0,random,8,1502,0.9959183673469387
0,random,9,1502,0.9836734693877551
0,margin,0,1502,0.4326530612244898
0,margin,1,1502,0.563265306122449
0,margin,2,1502,0.5755102040816327
0,margin,3,1502,0.7673469387755102
0,margin,4,1502,0.5224489795918368
0,margin,5,1502,0.5918367346938775
0,margin,6,1502,0.7020408163265306
0,margin,7,1502,0.8489795918367347
0,margin,8,1502,0.9346938775510204
0,margin,9,1502,0.9510204081632653
0,confidence,0,1502,0.4326530612244898
0,confidence,1,1502,0.563265306122449
0,confidence,2,1502,0.5755102040816327
0,confidence,3,1502,0.7673469387755102
0,confidence,4,1502,0.5224489795918368
0,confidence,5,1502,0.5918367346938775
0,confidence,6,1502,0.7020408163265306
0,confidence,7,1502,0.8489795918367347
0,confidence,8,1502,0.9346938775510204
0,confidence,9,1502,0.9510204081632653
0,entropy,0,1502,0.4326530612244898
0,entropy,1,1502,0.563265306122449
0,entropy,2,1502,0.5755102040816327
0,entropy,3,1502,0.7673469387755102
0,entropy,4,1502,0.5224489795918368
0,entropy,5,1502,0.5918367346938775
0,entropy,6,1502,0.7020408163265306
0,entropy,7,1502,0.8489795918367347
0,entropy,8,1502,0.9346938775510204
0,entropy,9,1502,0.9510204081632653
0,kmeans,0,1502,0.9714285714285714
0,kmeans,1,1502,0.9795918367346939
0,kmeans,2,1502,0.9918367346938776
0,kmeans,3,1502,0.9877551020408163
0,kmeans,4,1502,0.9959183673469387
0,kmeans,5,1502,0.9877551020408163
0,kmeans,6,1502,0.9918367346938776
0,kmeans,7,1502,0.9877551020408163
0,kmeans,8,1502,0.9959183673469387
0,kmeans,9,1502,0.9959183673469387
0,wkmeans,0,1502,0.5469387755102041
0,wkmeans,1,1502,0.6163265306122448
0,wkmeans,2,1502,0.5836734693877551
0,wkmeans,3,1502,0.8693877551020408
0,wkmeans,4,1502,0.926530612244898
0,wkmeans,5,1502,0.9755102040816327
0,wkmeans,6,1502,0.9755102040816327
0,wkmeans,7,1502,0.9795918367346939
0,wkmeans,8,1502,0.963265306122449
0,wkmeans,9,1502,0.9755102040816327
1,random,0,1502,0.9877551020408163
1,random,1,1502,1.0
1,random,2,1502,0.9959183673469387
1,random,3,1502,0.9795918367346939
1,random,4,1502,0.9959183673469387
1,random,5,1502,0.9918367346938776
1,random,6,1502,0.9959183673469387
1,random,7,1502,0.9877551020408163
1,random,8,1502,1.0
1,random,9,1502,0.9959183673469387
1,margin,0,1502,0.5469387755102041
1,margin,1,1502,0.6244897959183674
1,margin,2,1502,0.8040816326530612
1,margin,3,1502,0.6326530612244898
1,margin,4,1502,0.746938775510204
1,margin,5,1502,0.6408163265306123
1,margin,6,1502,0.5918367346938775
1,margin,7,1502,0.8530612244897959
1,margin,8,1502,0.8612244897959184
1,margin,9,1502,0.926530612244898
1,confidence,0,1502,0.5469387755102041
1,confidence,1,1502,0.6244897959183674
1,confidence,2,1502,0.8040816326530612
1,confidence,3,1502,0.6857142857142857
1,confidence,4,1502,0.6448979591836734
1,confidence,5,1502,0.8734693877551021
1,confidence,6,1502,0.7591836734693878
1,confidence,7,1502,0.8693877551020408
1,confidence,8,1502,0.9346938775510204
1,confidence,9,1502,0.9551020408163265
1,entropy,0,1502,0.5469387755102041
1,entropy,1,1502,0.6244897959183674
1,entropy,2,1502,0.8040816326530612
1,entropy,3,1502,0.6857142857142857
1,entropy,4,1502,0.6408163265306123
1,entropy,5,1502,0.7510204081632653
1,entropy,6,1502,0.8122448979591836
1,entropy,7,1502,0.8775510204081632
1,entropy,8,1502,0.8857142857142857
1,entropy,9,1502,0.9387755102040817
1,kmeans,0,1502,0.9714285714285714
1,kmeans,1,1502,0.9795918367346939
1,kmeans,2,1502,0.9877551020408163
1,kmeans,3,1502,1.0
1,kmeans,4,1502,0.9918367346938776
1,kmeans,5,1502,1.0
1,kmeans,6,1502,0.9918367346938776
1,kmeans,7,1502,0.9959183673469387
1,kmeans,8,1502,1.0
1,kmeans,9,1502,0.9918367346938776
1,wkmeans,0,1502,0.6244897959183674
1,wkmeans,1,1502,0.763265306122449
1,wkmeans,2,1502,0.763265306122449
1,wkmeans,3,1502,0.9387755102040817
1,wkmeans,4,1502,0.9673469387755103
1,wkmeans,5,1502,0.9510204081632653
1,wkmeans,6,1502,0.9795918367346939
1,wkmeans,7,1502,0.9551020408163265
1,wkmeans,8,1502,0.9755102040816327
1,wkmeans,9,1502,0.9714285714285714
2,random,0,1502,0.9877551020408163
2,random,1,1502,0.9877551020408163
2,random,2,1502,1.0
2,random,3,1502,0.9836734693877551
2,random,4,1502,1.0
2,random,5,1502,0.9877551020408163
2,random,6,1502,0.9918367346938776
2,random,7,1502,0.9959183673469387
2,random,8,1502,0.9918367346938776
2,random,9,1502,0.9918367346938776
2,margin,0,1502,0.44081632653061226
2,margin,1,1502,0.763265306122449
2,margin,2,1502,0.4857142857142857
2,margin,3,1502,0.5673469387755102
2,margin,4,1502,0.6938775510204082
2,margin,5,1502,0.8448979591836735
2,margin,6,1502,0.7959183673469388
2,margin,7,1502,0.5673469387755102
2,margin,8,1502,0.8081632653061225
2,margin,9,1502,0.8979591836734694
2,confidence,0,1502,0.44081632653061226
2,confidence,1,1502,0.763265306122449
2,confidence,2,1502,0.4857142857142857
2,confidence,3,1502,0.5673469387755102
2,confidence,4,1502,0.6938775510204082
2,confidence,5,1502,0.8448979591836735
2,confidence,6,1502,0.7959183673469388
2,confidence,7,1502,0.5673469387755102
2,confidence,8,1502,0.8081632653061225
2,confidence,9,1502,0.8979591836734694
2,entropy,0,1502,0.44081632653061226
2,entropy,1,1502,0.763265306122449
2,entropy,2,1502,0.4857142857142857
2,entropy,3,1502,0.5673469387755102
2,entropy,4,1502,0.6938775510204082
2,entropy,5,1502,0.8448979591836735
2,entropy,6,1502,0.7959183673469388
2,entropy,7,1502,0.5673469387755102
2,entropy,8,1502,0.8081632653061225
2,entropy,9,1502,0.8979591836734694
2,kmeans,0,1502,0.963265306122449
2,kmeans,1,1502,0.9836734693877551
2,kmeans,2,1502,0.9918367346938776
2,kmeans,3,1502,0.9877551020408163
2,kmeans,4,1502,1.0
2,kmeans,5,1502,1.0
2,kmeans,6,1502,0.9755102040816327
2,kmeans,7,1502,0.9959183673469387
2,kmeans,8,1502,0.9836734693877551
2,kmeans,9,1502,0.9918367346938776
2,wkmeans,0,1502,0.5795918367346938
2,wkmeans,1,1502,0.673469387755102
2,wkmeans,2,1502,0.8081632653061225
2,wkmeans,3,1502,0.9142857142857143
2,wkmeans,4,1502,0.9469387755102041
2,wkmeans,5,1502,0.9510204081632653
2,wkmeans,6,1502,0.9591836734693877
2,wkmeans,7,1502,0.9551020408163265
2,wkmeans,8,1502,0.9755102040816327
2,wkmeans,9,1502,0.9755102040816327
3,random,0,1502,0.9551020408163265
3,random,1,1502,0.9877551020408163
3,random,2,1502,1.0
3,random,3,1502,1.0
3,random,4,1502,1.0
3,random,5,1502,0.9877551020408163
3,random,6,1502,1.0
3,random,7,1502,0.9918367346938776
3,random,8,1502,0.9877551020408163
3,random,9,1502,0.9918367346938776
3,margin,0,1502,0.8612244897959184
3,margin,1,1502,0.0326530612244898
3,margin,2,1502,0.689795918367347
3,margin,3,1502,0.3673469387755102
3,margin,4,1502,0.9061224489795918
3,margin,5,1502,0.7510204081632653
3,margin,6,1502,0.6285714285714286
