seed,method,n_iter,dataset,value
0,random,0,1590,0.7708333333333334
0,random,1,1590,0.8958333333333334
0,random,2,1590,0.9166666666666666
0,random,3,1590,0.9270833333333334
0,random,4,1590,0.9166666666666666
0,random,5,1590,0.9131944444444444
0,random,6,1590,0.9434523809523809
0,random,7,1590,0.9375
0,random,8,1590,0.9027777777777778
0,random,9,1590,0.9
0,margin,0,1590,0.7708333333333334
0,margin,1,1590,0.84375
0,margin,2,1590,0.8055555555555556
0,margin,3,1590,0.78125
0,margin,4,1590,0.8083333333333333
0,margin,5,1590,0.8020833333333334
0,margin,6,1590,0.7946428571428571
0,margin,7,1590,0.7890625
0,margin,8,1590,0.7870370370370371
0,margin,9,1590,0.7729166666666667
0,confidence,0,1590,0.7708333333333334
0,confidence,1,1590,0.84375
0,confidence,2,1590,0.8055555555555556
0,confidence,3,1590,0.78125
0,confidence,4,1590,0.8083333333333333
0,confidence,5,1590,0.8020833333333334
0,confidence,6,1590,0.7946428571428571
0,confidence,7,1590,0.7890625
0,confidence,8,1590,0.7870370370370371
0,confidence,9,1590,0.7729166666666667
0,entropy,0,1590,0.7708333333333334
0,entropy,1,1590,0.84375
0,entropy,2,1590,0.8055555555555556
0,entropy,3,1590,0.78125
0,entropy,4,1590,0.8083333333333333
0,entropy,5,1590,0.8020833333333334
0,entropy,6,1590,0.7946428571428571
0,entropy,7,1590,0.7890625
0,entropy,8,1590,0.7870370370370371
0,entropy,9,1590,0.7729166666666667
0,kmeans,0,1590,0.7708333333333334
0,kmeans,1,1590,0.9166666666666666
0,kmeans,2,1590,0.9027777777777778
0,kmeans,3,1590,0.921875
0,kmeans,4,1590,0.9125
0,kmeans,5,1590,0.9305555555555556
0,kmeans,6,1590,0.9107142857142857
0,kmeans,7,1590,0.9088541666666666
0,kmeans,8,1590,0.9050925925925926
0,kmeans,9,1590,0.9229166666666667
0,wkmeans,0,1590,0.7708333333333334
0,wkmeans,1,1590,0.8229166666666666
0,wkmeans,2,1590,0.7916666666666666
0,wkmeans,3,1590,0.734375
0,wkmeans,4,1590,0.7541666666666667
0,wkmeans,5,1590,0.7569444444444444
0,wkmeans,6,1590,0.7559523809523809
0,wkmeans,7,1590,0.734375
0,wkmeans,8,1590,0.7314814814814815
0,wkmeans,9,1590,0.7020833333333333
1,random,0,1590,0.8541666666666666
1,random,1,1590,0.84375
1,random,2,1590,0.8888888888888888
1,random,3,1590,0.9010416666666666
1,random,4,1590,0.8833333333333333
1,random,5,1590,0.8784722222222222
1,random,6,1590,0.8541666666666666
1,random,7,1590,0.8723958333333334
1,random,8,1590,0.8634259259259259
1,random,9,1590,0.8416666666666667
1,margin,0,1590,0.8541666666666666
1,margin,1,1590,0.8125
1,margin,2,1590,0.8125
1,margin,3,1590,0.8489583333333334
1,margin,4,1590,0.8041666666666667
1,margin,5,1590,0.8125
1,margin,6,1590,0.8154761904761905
1,margin,7,1590,0.7239583333333334
1,margin,8,1590,0.7986111111111112
1,margin,9,1590,0.8020833333333334
1,confidence,0,1590,0.8541666666666666
1,confidence,1,1590,0.8125
1,confidence,2,1590,0.8125
1,confidence,3,1590,0.8489583333333334
1,confidence,4,1590,0.8041666666666667
1,confidence,5,1590,0.8125
1,confidence,6,1590,0.8154761904761905
1,confidence,7,1590,0.7239583333333334
1,confidence,8,1590,0.7986111111111112
1,confidence,9,1590,0.8020833333333334
1,entropy,0,1590,0.8541666666666666
1,entropy,1,1590,0.8125
1,entropy,2,1590,0.8125
1,entropy,3,1590,0.8489583333333334
1,entropy,4,1590,0.8041666666666667
1,entropy,5,1590,0.8125
1,entropy,6,1590,0.8154761904761905
1,entropy,7,1590,0.7239583333333334
1,entropy,8,1590,0.7986111111111112
1,entropy,9,1590,0.8020833333333334
1,kmeans,0,1590,0.8541666666666666
1,kmeans,1,1590,0.8229166666666666
1,kmeans,2,1590,0.9027777777777778
1,kmeans,3,1590,0.9270833333333334
1,kmeans,4,1590,0.8833333333333333
1,kmeans,5,1590,0.8958333333333334
1,kmeans,6,1590,0.8958333333333334
1,kmeans,7,1590,0.9088541666666666
1,kmeans,8,1590,0.8935185185185185
1,kmeans,9,1590,0.9
1,wkmeans,0,1590,0.8541666666666666
1,wkmeans,1,1590,0.8020833333333334
1,wkmeans,2,1590,0.8194444444444444
1,wkmeans,3,1590,0.8020833333333334
1,wkmeans,4,1590,0.8041666666666667
1,wkmeans,5,1590,0.7638888888888888
1,wkmeans,6,1590,0.7410714285714286
1,wkmeans,7,1590,0.7239583333333334
1,wkmeans,8,1590,0.7199074074074074
1,wkmeans,9,1590,0.6895833333333333
2,random,0,1590,0.875
2,random,1,1590,0.96875
