seed,method,n_iter,dataset,value
0,random,0,41138,2.158687058967852
0,random,1,41138,2.093061839611015
0,random,2,41138,2.6881247158931902
0,random,3,41138,3.029661776004229
0,random,4,41138,2.9355441046777946
0,random,5,41138,2.6533051703859276
0,random,6,41138,2.8490857993931225
0,random,7,41138,2.7501314066753424
0,random,8,41138,2.6360862064292756
0,random,9,41138,2.4989934096591853
0,margin,0,41138,2.158687058967852
0,margin,1,41138,23.46419762206068
0,margin,2,41138,22.49052626070599
0,margin,3,41138,22.40151258874424
0,margin,4,41138,23.002061975093014
0,margin,5,41138,22.858417174133788
0,margin,6,41138,22.562347240881973
0,margin,7,41138,21.97277846794148
0,margin,8,41138,22.23515866190945
0,margin,9,41138,22.425316829582872
0,confidence,0,41138,2.158687058967852
0,confidence,1,41138,23.46419762206068
0,confidence,2,41138,22.49052626070599
0,confidence,3,41138,22.40151258874424
0,confidence,4,41138,23.002061975093014
0,confidence,5,41138,22.858417174133788
0,confidence,6,41138,22.562347240881973
0,confidence,7,41138,21.97277846794148
0,confidence,8,41138,22.23515866190945
0,confidence,9,41138,22.425316829582872
0,entropy,0,41138,2.158687058967852
0,entropy,1,41138,23.46419762206068
0,entropy,2,41138,22.49052626070599
0,entropy,3,41138,22.40151258874424
0,entropy,4,41138,23.002061975093014
0,entropy,5,41138,22.858417174133788
0,entropy,6,41138,22.562347240881973
0,entropy,7,41138,21.97277846794148
0,entropy,8,41138,22.23515866190945
0,entropy,9,41138,22.425316829582872
0,kmeans,0,41138,2.158687058967852
0,kmeans,1,41138,2.826236962688342
0,kmeans,2,41138,3.0792556310698878
0,kmeans,3,41138,2.9584659005098226
0,kmeans,4,41138,3.3757434520454352
0,kmeans,5,41138,3.1258646551695524
0,kmeans,6,41138,3.128798448736717
0,kmeans,7,41138,3.1553700614468303
0,kmeans,8,41138,3.0367177017042786
0,kmeans,9,41138,2.994345921686206
0,wkmeans,0,41138,2.158687058967852
0,wkmeans,1,41138,24.836088228608013
0,wkmeans,2,41138,26.58741654701288
0,wkmeans,3,41138,29.8755402597461
0,wkmeans,4,41138,29.306487992516832
0,wkmeans,5,41138,30.10557047372006
0,wkmeans,6,41138,29.78385612636421
0,wkmeans,7,41138,29.344048417568597
0,wkmeans,8,41138,28.734520243067365
0,wkmeans,9,41138,28.130936767174106
1,random,0,41138,3.0953382665811495
1,random,1,41138,2.716025610730152
1,random,2,41138,2.3924509195359085
1,random,3,41138,2.159292599081654
1,random,4,41138,2.215493481747831
1,random,5,41138,2.220705551429568
1,random,6,41138,2.2698979810621926
1,random,7,41138,2.213745802748612
1,random,8,41138,2.160257930146479
1,random,9,41138,2.179055548914755
1,margin,0,41138,3.0953382665811495
1,margin,1,41138,16.447445461818205
1,margin,2,41138,21.576507768324813
1,margin,3,41138,24.173067801333033
1,margin,4,41138,23.395278993656355
1,margin,5,41138,22.45147392890615
1,margin,6,41138,22.888781884796572
1,margin,7,41138,23.1001253051969
1,margin,8,41138,22.940568857555164
1,margin,9,41138,22.973387250301215
1,confidence,0,41138,3.0953382665811495
1,confidence,1,41138,16.447445461818205
1,confidence,2,41138,21.576507768324813
1,confidence,3,41138,24.173067801333033
1,confidence,4,41138,23.395278993656355
1,confidence,5,41138,22.45147392890615
1,confidence,6,41138,22.888781884796572
1,confidence,7,41138,23.1001253051969
1,confidence,8,41138,22.940568857555164
1,confidence,9,41138,22.973387250301215
1,entropy,0,41138,3.0953382665811495
1,entropy,1,41138,16.447445461818205
1,entropy,2,41138,21.576507768324813
1,entropy,3,41138,24.173067801333033
1,entropy,4,41138,23.395278993656355
1,entropy,5,41138,22.45147392890615
1,entropy,6,41138,22.888781884796572
1,entropy,7,41138,23.1001253051969
1,entropy,8,41138,22.940568857555164
1,entropy,9,41138,22.973387250301215
1,kmeans,0,41138,3.0953382665811495
1,kmeans,1,41138,2.96775744690033
1,kmeans,2,41138,2.981406557420639
1,kmeans,3,41138,3.0252692552785647
1,kmeans,4,41138,2.9653058784814665
1,kmeans,5,41138,2.9741282347340112
1,kmeans,6,41138,2.995065895097622
1,kmeans,7,41138,2.9821344174443483
1,kmeans,8,41138,2.8894642304024365
1,kmeans,9,41138,2.8973624871631105
1,wkmeans,0,41138,3.0953382665811495
1,wkmeans,1,41138,19.99483330196691
1,wkmeans,2,41138,24.699688984242513
1,wkmeans,3,41138,28.50931832763624
1,wkmeans,4,41138,31.470829718218543
1,wkmeans,5,41138,30.6783437148365
1,wkmeans,6,41138,29.561528399346304
1,wkmeans,7,41138,28.78833364266801
1,wkmeans,8,41138,28.654761154415503
1,wkmeans,9,41138,28.648100069188878
2,random,0,41138,2.0630746263089144
2,random,1,41138,2.0677311640708163
2,random,2,41138,2.1217339459060587
2,random,3,41138,2.4002340170155687
2,random,4,41138,2.1974048952816823
2,random,5,41138,2.236809402313923
2,random,6,41138,2.2871351496699592
2,random,7,41138,2.297686436203808
2,random,8,41138,2.215876167185658
2,random,9,41138,2.1652748034866005
2,margin,0,41138,2.0630746263089144
2,margin,1,41138,12.210751707573115
2,margin,2,41138,18.597701072719126
2,margin,3,41138,21.4287742641026
2,margin,4,41138,23.304760047603725
2,margin,5,41138,22.685293039174244
2,margin,6,41138,22.89728978116986
2,margin,7,41138,22.852256908494912
2,margin,8,41138,23.485906145298145
2,margin,9,41138,23.301307496579845
2,confidence,0,41138,2.0630746263089144
2,confidence,1,41138,12.210751707573115
2,confidence,2,41138,18.597701072719126
2,confidence,3,41138,21.4287742641026
2,confidence,4,41138,23.304760047603725
2,confidence,5,41138,22.685293039174244
2,confidence,6,41138,22.89728978116986
2,confidence,7,41138,22.852256908494912
2,confidence,8,41138,23.485906145298145
2,confidence,9,41138,23.301307496579845
2,entropy,0,41138,2.0630746263089144
2,entropy,1,41138,12.210751707573115
2,entropy,2,41138,18.597701072719126
2,entropy,3,41138,21.4287742641026
2,entropy,4,41138,23.304760047603725
2,entropy,5,41138,22.685293039174244
2,entropy,6,41138,22.89728978116986
2,entropy,7,41138,22.852256908494912
2,entropy,8,41138,23.485906145298145
2,entropy,9,41138,23.301307496579845
2,kmeans,0,41138,2.0630746263089144
2,kmeans,1,41138,2.6528871101034355
2,kmeans,2,41138,2.8571067656313818
2,kmeans,3,41138,2.8386076583070055
2,kmeans,4,41138,3.110500557867454
2,kmeans,5,41138,2.955736692659661
2,kmeans,6,41138,2.9362310709344066
2,kmeans,7,41138,2.8541639001458843
2,kmeans,8,41138,2.881665631070648
2,kmeans,9,41138,2.8943699244343675
2,wkmeans,0,41138,2.0630746263089144
2,wkmeans,1,41138,18.548305589154204
2,wkmeans,2,41138,25.29001964936838
2,wkmeans,3,41138,27.601731876870172
2,wkmeans,4,41138,28.95222736947998
2,wkmeans,5,41138,28.60621857453346
2,wkmeans,6,41138,28.81924106355074
2,wkmeans,7,41138,28.91174581894565
2,wkmeans,8,41138,28.20121522315309
2,wkmeans,9,41138,27.85249839654946
3,random,0,41138,2.1236215812334764
3,random,1,41138,2.0042558234249697
3,random,2,41138,2.1511288238621527
3,random,3,41138,2.2849580910679963
3,random,4,41138,2.1748808375735553
3,random,5,41138,2.1955312573426835
3,random,6,41138,2.1069039652428785
3,random,7,41138,2.0698739601878815
3,random,8,41138,2.0487353489319178
3,random,9,41138,2.0174648191527615
3,margin,0,41138,2.1236215812334764
3,margin,1,41138,17.773883409011177
3,margin,2,41138,25.712124483073413
3,margin,3,41138,27.066802492815608
3,margin,4,41138,26.759340055405254
3,margin,5,41138,25.011865749375225
3,margin,6,41138,23.984258919474065
3,margin,7,41138,23.633477252421006
3,margin,8,41138,23.575739277308088
3,margin,9,41138,23.675838505374
3,confidence,0,41138,2.1236215812334764
3,confidence,1,41138,17.773883409011177
3,confidence,2,41138,25.712124483073413
3,confidence,3,41138,27.066802492815608
3,confidence,4,41138,26.759340055405254
3,confidence,5,41138,25.011865749375225
3,confidence,6,41138,23.984258919474065
3,confidence,7,41138,23.633477252421006
3,confidence,8,41138,23.575739277308088
3,confidence,9,41138,23.675838505374
3,entropy,0,41138,2.1236215812334764
3,entropy,1,41138,17.773883409011177
3,entropy,2,41138,25.712124483073413
3,entropy,3,41138,27.066802492815608
3,entropy,4,41138,26.759340055405254
3,entropy,5,41138,25.011865749375225
3,entropy,6,41138,23.984258919474065
3,entropy,7,41138,23.633477252421006
3,entropy,8,41138,23.575739277308088
3,entropy,9,41138,23.675838505374
3,kmeans,0,41138,2.1236215812334764
3,kmeans,1,41138,2.004862897496468
3,kmeans,2,41138,2.071011709768627
3,kmeans,3,41138,2.3446101897266254
3,kmeans,4,41138,2.3150507691777804
3,kmeans,5,41138,2.3144386448793584
3,kmeans,6,41138,2.5549309621447476
3,kmeans,7,41138,2.5795966074396848
3,kmeans,8,41138,2.562635892732028
3,kmeans,9,41138,2.5338311624755274
3,wkmeans,0,41138,2.1236215812334764
3,wkmeans,1,41138,28.626830690827063
3,wkmeans,2,41138,35.88909837535485
3,wkmeans,3,41138,35.053512367393616
3,wkmeans,4,41138,32.412500897902994
3,wkmeans,5,41138,32.03803125588303
3,wkmeans,6,41138,31.33115608449796
3,wkmeans,7,41138,30.45934594891981
3,wkmeans,8,41138,29.30814725523621
3,wkmeans,9,41138,28.737077901871825
4,random,0,41138,2.410776627585436
4,random,1,41138,2.073982654210446
4,random,2,41138,1.9600692188448356
4,random,3,41138,1.9542881127705451
4,random,4,41138,1.99597877751188
4,random,5,41138,2.029256590199507
4,random,6,41138,2.1638322099363854
4,random,7,41138,2.259619183467321
4,random,8,41138,2.211972061711378
4,random,9,41138,2.2206718558291647
4,margin,0,41138,2.410776627585436
4,margin,1,41138,15.13653254247597
4,margin,2,41138,19.291540792467067
4,margin,3,41138,20.73476513773154
4,margin,4,41138,22.110273193036573
4,margin,5,41138,21.989341878581392
4,margin,6,41138,21.99949098551955
4,margin,7,41138,21.75339741027263
4,margin,8,41138,20.428759921677056
4,margin,9,41138,21.03353135970891
4,confidence,0,41138,2.410776627585436
4,confidence,1,41138,15.13653254247597
4,confidence,2,41138,19.291540792467067
4,confidence,3,41138,20.73476513773154
4,confidence,4,41138,22.110273193036573
4,confidence,5,41138,21.989341878581392
4,confidence,6,41138,21.99949098551955
4,confidence,7,41138,21.75339741027263
4,confidence,8,41138,20.428759921677056
4,confidence,9,41138,21.03353135970891
4,entropy,0,41138,2.410776627585436
4,entropy,1,41138,15.13653254247597
