seed,method,n_iter,dataset,value
0,random,0,41162,2.2530089696433677
0,random,1,41162,1.7388826634418728
0,random,2,41162,1.7355881943865383
0,random,3,41162,1.7779737827438566
0,random,4,41162,1.7350140200599242
0,random,5,41162,1.8123040565047315
0,random,6,41162,1.7183763309841795
0,random,7,41162,1.6917720136863892
0,random,8,41162,1.7802402321289168
0,random,9,41162,1.7004381868597185
0,margin,0,41162,1.3752717545500088
0,margin,1,41162,1.0063715995692322
0,margin,2,41162,1.063160246445772
0,margin,3,41162,1.0996104828797437
0,margin,4,41162,1.1455621883197757
0,margin,5,41162,1.1293373731730583
0,margin,6,41162,1.104746032444861
0,margin,7,41162,1.0586608534976594
0,margin,8,41162,1.1694394401375279
0,margin,9,41162,1.2091870440254104
0,confidence,0,41162,1.3752717545500088
0,confidence,1,41162,1.0063715995692322
0,confidence,2,41162,1.063160246445772
0,confidence,3,41162,1.0996104828797437
0,confidence,4,41162,1.1455621883197757
0,confidence,5,41162,1.1293373731730583
0,confidence,6,41162,1.104746032444861
0,confidence,7,41162,1.0586608534976594
0,confidence,8,41162,1.1694394401375279
0,confidence,9,41162,1.2091870440254104
0,entropy,0,41162,1.3752717545500088
0,entropy,1,41162,1.0063715995692322
0,entropy,2,41162,1.063160246445772
0,entropy,3,41162,1.0996104828797437
0,entropy,4,41162,1.1455621883197757
0,entropy,5,41162,1.1293373731730583
0,entropy,6,41162,1.104746032444861
0,entropy,7,41162,1.0586608534976594
0,entropy,8,41162,1.1694394401375279
0,entropy,9,41162,1.2091870440254104
0,kmeans,0,41162,2.486502636060047
0,kmeans,1,41162,1.9124732502454218
0,kmeans,2,41162,1.8354522887012505
0,kmeans,3,41162,1.8260419365501548
0,kmeans,4,41162,1.809276850709305
0,kmeans,5,41162,1.806873098172235
0,kmeans,6,41162,1.8737005576298738
0,kmeans,7,41162,1.8507974377855416
0,kmeans,8,41162,1.8273597833479416
0,kmeans,9,41162,1.8228282742042845
0,wkmeans,0,41162,1.1994000361728434
0,wkmeans,1,41162,1.1596017909827399
0,wkmeans,2,41162,1.1698855856199455
0,wkmeans,3,41162,1.1946041209310418
0,wkmeans,4,41162,1.2341812859348282
0,wkmeans,5,41162,1.26306149056117
0,wkmeans,6,41162,1.327694378989507
0,wkmeans,7,41162,1.324445502899634
0,wkmeans,8,41162,1.3228776212141795
0,wkmeans,9,41162,1.3598677562836685
1,random,0,41162,2.355795173265992
1,random,1,41162,2.3169305008846974
1,random,2,41162,2.1132984717598906
1,random,3,41162,1.848553306531856
1,random,4,41162,1.9846794887101358
1,random,5,41162,1.8820160297458015
1,random,6,41162,1.7894691648065657
1,random,7,41162,1.7861328631830493
1,random,8,41162,1.6614554251795697
1,random,9,41162,1.6966878233480074
1,margin,0,41162,1.06249754540284
1,margin,1,41162,1.1598504993603092
1,margin,2,41162,1.0789561319856182
1,margin,3,41162,1.0927362658138766
1,margin,4,41162,1.1065189342043573
1,margin,5,41162,1.117052154784085
1,margin,6,41162,1.1174084833454687
1,margin,7,41162,0.9881273895241763
1,margin,8,41162,1.0340601702160124
1,margin,9,41162,1.0680995467727052
1,confidence,0,41162,1.06249754540284
1,confidence,1,41162,1.1598504993603092
1,confidence,2,41162,1.0789561319856182
1,confidence,3,41162,1.0927362658138766
1,confidence,4,41162,1.1065189342043573
1,confidence,5,41162,1.117052154784085
1,confidence,6,41162,1.1174084833454687
1,confidence,7,41162,0.9881273895241763
1,confidence,8,41162,1.0340601702160124
1,confidence,9,41162,1.0680995467727052
1,entropy,0,41162,1.06249754540284
1,entropy,1,41162,1.1598504993603092
1,entropy,2,41162,1.0789561319856182
1,entropy,3,41162,1.0927362658138766
1,entropy,4,41162,1.1065189342043573
1,entropy,5,41162,1.117052154784085
1,entropy,6,41162,1.1174084833454687
1,entropy,7,41162,0.9881273895241763
1,entropy,8,41162,1.0340601702160124
1,entropy,9,41162,1.0680995467727052
1,kmeans,0,41162,2.1101559687053166
1,kmeans,1,41162,2.1858702779093764
1,kmeans,2,41162,2.1896896377406043
1,kmeans,3,41162,2.3153758464418903
1,kmeans,4,41162,2.231547342156475
1,kmeans,5,41162,2.0979073749799166
1,kmeans,6,41162,2.119731787780493
1,kmeans,7,41162,2.030686974722415
1,kmeans,8,41162,2.1525241249497817
1,kmeans,9,41162,2.171340350044193
1,wkmeans,0,41162,1.0125302611501255
1,wkmeans,1,41162,1.1000796869722405
1,wkmeans,2,41162,1.2053513319491405
1,wkmeans,3,41162,1.217091784240158
1,wkmeans,4,41162,1.205460260958335
1,wkmeans,5,41162,1.263337450152637
1,wkmeans,6,41162,1.2066835737173456
1,wkmeans,7,41162,1.2532823940609399
1,wkmeans,8,41162,1.2527720903441044
1,wkmeans,9,41162,1.2569629333240422
2,random,0,41162,2.540926520301238
2,random,1,41162,2.0605373641126636
2,random,2,41162,1.83354702959569
2,random,3,41162,1.9178037235289207
2,random,4,41162,1.8603529774320111
2,random,5,41162,1.7378168698337693
2,random,6,41162,1.6684390272206882
