seed,method,n_iter,dataset,value
0,random,0,41162,2.3157821344682876
0,random,1,41162,1.683113618657063
0,random,2,41162,1.6657481933300682
0,random,3,41162,1.6860318154896852
0,random,4,41162,1.6986838721826985
0,random,5,41162,1.7506766761387291
0,random,6,41162,1.7546343660234784
0,random,7,41162,1.726196852677507
0,random,8,41162,1.7436069069741995
0,random,9,41162,1.6986072365745308
0,margin,0,41162,2.3157821344682876
0,margin,1,41162,1.5460228536272331
0,margin,2,41162,1.4864114127682362
0,margin,3,41162,1.389904106020262
0,margin,4,41162,1.3931523541131248
0,margin,5,41162,1.3654711984642907
0,margin,6,41162,1.3861344860488876
0,margin,7,41162,1.5219867665186504
0,margin,8,41162,1.4875319022864866
0,margin,9,41162,1.4949470706142047
0,confidence,0,41162,2.3157821344682876
0,confidence,1,41162,1.5460228536272331
0,confidence,2,41162,1.4864114127682362
0,confidence,3,41162,1.389904106020262
0,confidence,4,41162,1.3931523541131248
0,confidence,5,41162,1.3654711984642907
0,confidence,6,41162,1.3861344860488876
0,confidence,7,41162,1.5219867665186504
0,confidence,8,41162,1.4875319022864866
0,confidence,9,41162,1.4949470706142047
0,entropy,0,41162,2.3157821344682876
0,entropy,1,41162,1.5460228536272331
0,entropy,2,41162,1.4864114127682362
0,entropy,3,41162,1.389904106020262
0,entropy,4,41162,1.3931523541131248
0,entropy,5,41162,1.3654711984642907
0,entropy,6,41162,1.3861344860488876
0,entropy,7,41162,1.5219867665186504
0,entropy,8,41162,1.4875319022864866
0,entropy,9,41162,1.4949470706142047
0,kmeans,0,41162,2.3157821344682876
0,kmeans,1,41162,1.808808577246979
0,kmeans,2,41162,1.721304791754251
0,kmeans,3,41162,1.6980149121976327
0,kmeans,4,41162,1.6810323746569702
0,kmeans,5,41162,1.7389165115974998
0,kmeans,6,41162,1.7671853530451045
0,kmeans,7,41162,1.8104653560919577
0,kmeans,8,41162,1.7863183193861276
0,kmeans,9,41162,1.7849952199156365
0,wkmeans,0,41162,2.3157821344682876
0,wkmeans,1,41162,1.6306618940721795
0,wkmeans,2,41162,1.4774219565026203
0,wkmeans,3,41162,1.3789667623629134
0,wkmeans,4,41162,1.346540051377127
0,wkmeans,5,41162,1.3775091111511943
0,wkmeans,6,41162,1.4011266323519274
0,wkmeans,7,41162,1.437565078493523
0,wkmeans,8,41162,1.3940512256985502
0,wkmeans,9,41162,1.4094688783975933
1,random,0,41162,2.354817604920834
1,random,1,41162,2.3590680967269373
1,random,2,41162,2.101342331240695
1,random,3,41162,1.8757325885119114
1,random,4,41162,1.9166937274631108
1,random,5,41162,1.8822894301723327
1,random,6,41162,1.7789121662791412
1,random,7,41162,1.7449798278458077
1,random,8,41162,1.6816011619578446
1,random,9,41162,1.6927479476608036
1,margin,0,41162,2.354817604920834
1,margin,1,41162,1.683251698483331
1,margin,2,41162,1.5264537552423452
1,margin,3,41162,1.5589077831735252
1,margin,4,41162,1.5300808823198142
1,margin,5,41162,1.5536163079632748
1,margin,6,41162,1.480508430065838
1,margin,7,41162,1.4377423866381838
1,margin,8,41162,1.4186740135722262
1,margin,9,41162,1.39971357127047
1,confidence,0,41162,2.354817604920834
1,confidence,1,41162,1.683251698483331
1,confidence,2,41162,1.5264537552423452
1,confidence,3,41162,1.5589077831735252
1,confidence,4,41162,1.5300808823198142
1,confidence,5,41162,1.5536163079632748
1,confidence,6,41162,1.480508430065838
1,confidence,7,41162,1.4377423866381838
1,confidence,8,41162,1.4186740135722262
1,confidence,9,41162,1.39971357127047
1,entropy,0,41162,2.354817604920834
1,entropy,1,41162,1.683251698483331
1,entropy,2,41162,1.5264537552423452
1,entropy,3,41162,1.5589077831735252
1,entropy,4,41162,1.5300808823198142
1,entropy,5,41162,1.5536163079632748
1,entropy,6,41162,1.480508430065838
