seed,method,n_iter,dataset,value
0,random,0,43439,1.0808916540038178
0,random,1,43439,1.0820753851841685
0,random,2,43439,1.0643922986645358
0,random,3,43439,1.081353932493924
0,random,4,43439,1.0810270816354068
0,random,5,43439,1.0837795270701664
0,random,6,43439,1.0749295235824006
0,random,7,43439,1.0750066007611616
0,random,8,43439,1.0702892164419813
0,random,9,43439,1.0732326917797774
0,margin,0,43439,1.0808916540038178
0,margin,1,43439,1.0707215134124215
0,margin,2,43439,1.0800434632034246
0,margin,3,43439,1.1031037969651427
0,margin,4,43439,1.11556648836221
0,margin,5,43439,1.1263579675402748
0,margin,6,43439,1.1375021744824563
0,margin,7,43439,1.147366320544882
0,margin,8,43439,1.136479295778633
0,margin,9,43439,1.1319396911438566
0,confidence,0,43439,1.0808916540038178
0,confidence,1,43439,1.0707215134124215
0,confidence,2,43439,1.0800434632034246
0,confidence,3,43439,1.1031037969651427
0,confidence,4,43439,1.11556648836221
0,confidence,5,43439,1.1263579675402748
0,confidence,6,43439,1.1375021744824563
0,confidence,7,43439,1.147366320544882
0,confidence,8,43439,1.136479295778633
0,confidence,9,43439,1.1319396911438566
0,entropy,0,43439,1.0808916540038178
0,entropy,1,43439,1.0676037109491403
0,entropy,2,43439,1.1073891423794722
0,entropy,3,43439,1.1833321890183965
0,entropy,4,43439,1.1192308211242266
0,entropy,5,43439,1.1201191379516642
0,entropy,6,43439,1.1237853263307216
0,entropy,7,43439,1.164113532601291
0,entropy,8,43439,1.1752015430543616
0,entropy,9,43439,1.1820307209653746
0,kmeans,0,43439,1.0808916540038178
0,kmeans,1,43439,0.8906415938535125
0,kmeans,2,43439,0.8291858323178555
0,kmeans,3,43439,0.7854719261231319
0,kmeans,4,43439,0.7776482391517882
0,kmeans,5,43439,0.7630399286726203
0,kmeans,6,43439,0.7687706002944792
0,kmeans,7,43439,0.7719320877097563
0,kmeans,8,43439,0.77033369247232
0,kmeans,9,43439,0.7777822299213364
0,wkmeans,0,43439,1.0808916540038178
0,wkmeans,1,43439,1.0406561953533722
0,wkmeans,2,43439,1.084415089290912
0,wkmeans,3,43439,1.115964805294377
0,wkmeans,4,43439,1.1364833108768178
0,wkmeans,5,43439,1.157198154885346
0,wkmeans,6,43439,1.177621445679536
0,wkmeans,7,43439,1.1899561439986366
0,wkmeans,8,43439,1.2044910920900462
0,wkmeans,9,43439,1.207811709648346
1,random,0,43439,0.9878998553408667
1,random,1,43439,1.017750553464107
1,random,2,43439,1.036188942614387
