seed,method,n_iter,dataset,value
0,random,0,cifar10,0.9901028435026126
0,random,1,cifar10,0.9926814623197553
0,random,2,cifar10,0.9918478856481755
0,random,3,cifar10,1.0136996892476922
0,random,4,cifar10,1.0126957988903007
0,random,5,cifar10,1.0166607323743553
0,random,6,cifar10,1.0190511444062949
0,random,7,cifar10,1.0221845762372623
0,random,8,cifar10,1.024708718873447
0,random,9,cifar10,1.0269524130499412
0,margin,0,cifar10,0.9901028435026126
0,margin,1,cifar10,0.9641900335628973
0,margin,2,cifar10,0.9840632436818082
0,margin,3,cifar10,0.987449597418513
0,margin,4,cifar10,0.9882215259360051
0,margin,5,cifar10,0.9909138470478855
0,margin,6,cifar10,0.9904928126923551
0,margin,7,cifar10,0.9892807755774665
0,margin,8,cifar10,0.9896037489232941
0,margin,9,cifar10,0.9905876402401691
0,confidence,0,cifar10,0.9901028435026126
0,confidence,1,cifar10,0.9896532686296994
0,confidence,2,cifar10,0.9629878950547109
0,confidence,3,cifar10,0.9784991904427408
0,confidence,4,cifar10,0.9790624266685628
0,confidence,5,cifar10,0.9782342189823947
0,confidence,6,cifar10,0.97948740477229
0,confidence,7,cifar10,0.9817028056278542
0,confidence,8,cifar10,0.9831335811290032
0,confidence,9,cifar10,0.9842717256333052
0,entropy,0,cifar10,0.9901028435026126
0,entropy,1,cifar10,0.9546425580449615
0,entropy,2,cifar10,0.9562606561080269
0,entropy,3,cifar10,0.966747459419107
0,entropy,4,cifar10,0.9795467935678314
0,entropy,5,cifar10,0.9806804862673256
0,entropy,6,cifar10,0.9817543768498033
0,entropy,7,cifar10,0.9830900459961128
0,entropy,8,cifar10,0.9830850453586861
0,entropy,9,cifar10,0.9840277304908625
0,kmeans,0,cifar10,0.9901028435026126
0,kmeans,1,cifar10,1.0242672780889848
0,kmeans,2,cifar10,1.0096486971840655
0,kmeans,3,cifar10,1.021500582638036
0,kmeans,4,cifar10,1.0334804035828609
0,kmeans,5,cifar10,1.037730105083641
0,kmeans,6,cifar10,1.0457811722093402
0,kmeans,7,cifar10,1.053807960905955
0,kmeans,8,cifar10,1.0594698891971432
0,kmeans,9,cifar10,1.0647801876307292
0,wkmeans,0,cifar10,0.9901028435026126
0,wkmeans,1,cifar10,0.9682441482387608
0,wkmeans,2,cifar10,0.9772277242535703
0,wkmeans,3,cifar10,0.9876048848385482
0,wkmeans,4,cifar10,0.9920623162572442
0,wkmeans,5,cifar10,0.9883407809970005
0,wkmeans,6,cifar10,0.9894716271740495
0,wkmeans,7,cifar10,0.9899729831905061
0,wkmeans,8,cifar10,0.9882008770530573
0,wkmeans,9,cifar10,0.9888791821002849
1,random,0,cifar10,0.9828493658273347
1,random,1,cifar10,0.9871221457830709
1,random,2,cifar10,0.9920945410914254
1,random,3,cifar10,1.0062111753500476
1,random,4,cifar10,1.0094831479037616
1,random,5,cifar10,1.0078329899814866
1,random,6,cifar10,1.0092175547194335
1,random,7,cifar10,1.011068965283454
1,random,8,cifar10,1.0122141886812885
1,random,9,cifar10,1.0105184929687903
1,margin,0,cifar10,0.9828493658273347
1,margin,1,cifar10,0.9799920643902592
1,margin,2,cifar10,0.971319982941368
1,margin,3,cifar10,0.9735470446406755
1,margin,4,cifar10,0.9868450930122085
1,margin,5,cifar10,0.9870329077236337
1,margin,6,cifar10,0.98671134727956
1,margin,7,cifar10,0.9873659475679806
1,margin,8,cifar10,0.988025861556556
1,margin,9,cifar10,0.9883116263205018
1,confidence,0,cifar10,0.9828493658273347
1,confidence,1,cifar10,0.9672241055787205
1,confidence,2,cifar10,0.9648813947079229
1,confidence,3,cifar10,0.9674775248167305
1,confidence,4,cifar10,0.9739760683638707
1,confidence,5,cifar10,0.9774200443713623
1,confidence,6,cifar10,0.978619466196523
1,confidence,7,cifar10,0.9778603908236647
1,confidence,8,cifar10,0.9787285090633224
1,confidence,9,cifar10,0.9783988821698664
1,entropy,0,cifar10,0.9828493658273347
1,entropy,1,cifar10,0.9720184427740562
1,entropy,2,cifar10,0.9760963626321386
1,entropy,3,cifar10,0.9702850145537915
1,entropy,4,cifar10,0.9718562748081829
1,entropy,5,cifar10,0.9747005490826305
1,entropy,6,cifar10,0.9782994565397118
1,entropy,7,cifar10,0.9799524888394295
1,entropy,8,cifar10,0.9791428257668069
1,entropy,9,cifar10,0.9784941766772475
1,kmeans,0,cifar10,0.9828493658273347
1,kmeans,1,cifar10,0.97804603787236
1,kmeans,2,cifar10,1.0095680729551681
1,kmeans,3,cifar10,1.025565448089485
1,kmeans,4,cifar10,1.0345728254305966
1,kmeans,5,cifar10,1.0415390098878432
1,kmeans,6,cifar10,1.0477824494311183
1,kmeans,7,cifar10,1.0559321425800048
1,kmeans,8,cifar10,1.0577676061701073
1,kmeans,9,cifar10,1.0626351611805873
1,wkmeans,0,cifar10,0.9828493658273347
1,wkmeans,1,cifar10,0.9856936648287481
1,wkmeans,2,cifar10,0.9772674752361359
1,wkmeans,3,cifar10,0.9827279772423222
1,wkmeans,4,cifar10,0.9721770870779566
1,wkmeans,5,cifar10,0.9786161992637099
1,wkmeans,6,cifar10,0.9817119881576355
1,wkmeans,7,cifar10,0.9821790210758946
1,wkmeans,8,cifar10,0.9833635361423764
1,wkmeans,9,cifar10,0.9855213117608279
2,random,0,cifar10,0.9754495143322225
2,random,1,cifar10,0.9900759866737496
2,random,2,cifar10,0.985782628951631
2,random,3,cifar10,0.9917393039846912
2,random,4,cifar10,1.0014079721727267
2,random,5,cifar10,1.0096419558192187
2,random,6,cifar10,1.0148456796451335
2,random,7,cifar10,1.013026083464186
2,random,8,cifar10,1.01394729369696
2,random,9,cifar10,1.0173796147218939
2,margin,0,cifar10,0.9754495143322225
2,margin,1,cifar10,0.9788952686150185
2,margin,2,cifar10,0.9826804640528924
2,margin,3,cifar10,0.9862489561880922
2,margin,4,cifar10,0.9883993156453719
2,margin,5,cifar10,0.9876219297991383
2,margin,6,cifar10,0.9901314271017826
2,margin,7,cifar10,0.9901178378740819
2,margin,8,cifar10,0.9921920843451268
2,margin,9,cifar10,0.9917437132191391
2,confidence,0,cifar10,0.9754495143322225
2,confidence,1,cifar10,0.9708561134781808
2,confidence,2,cifar10,0.9642899517808148
2,confidence,3,cifar10,0.9716489928461605
2,confidence,4,cifar10,0.9737197074422745
2,confidence,5,cifar10,0.9770881616538943
2,confidence,6,cifar10,0.9815795823887385
2,confidence,7,cifar10,0.9807600609337738
2,confidence,8,cifar10,0.9827624293461076
2,confidence,9,cifar10,0.9830070728317243
2,entropy,0,cifar10,0.9754495143322225
2,entropy,1,cifar10,0.9721277376557644
2,entropy,2,cifar10,0.9585040889917525
2,entropy,3,cifar10,0.9694468188685875
2,entropy,4,cifar10,0.9770844513879328
2,entropy,5,cifar10,0.9810115842162083
2,entropy,6,cifar10,0.9826697008600581
2,entropy,7,cifar10,0.9829407329585049
2,entropy,8,cifar10,0.9817488936908125
2,entropy,9,cifar10,0.9825612754040518
2,kmeans,0,cifar10,0.9754495143322225
2,kmeans,1,cifar10,0.9836495045814488
2,kmeans,2,cifar10,1.0058313664655658
2,kmeans,3,cifar10,1.0225616449858945
2,kmeans,4,cifar10,1.0371279068717465
2,kmeans,5,cifar10,1.042834883395229
2,kmeans,6,cifar10,1.0521517015964181
2,kmeans,7,cifar10,1.053652948969326
2,kmeans,8,cifar10,1.059623232582425
2,kmeans,9,cifar10,1.0676827611058812
2,wkmeans,0,cifar10,0.9754495143322225
2,wkmeans,1,cifar10,0.9650293709440756
2,wkmeans,2,cifar10,0.9677167511837323
2,wkmeans,3,cifar10,0.9780655583928971
2,wkmeans,4,cifar10,0.980251298769829
2,wkmeans,5,cifar10,0.9798168306212938
2,wkmeans,6,cifar10,0.9824320592999564
2,wkmeans,7,cifar10,0.9852073216977926
2,wkmeans,8,cifar10,0.986425254387995
2,wkmeans,9,cifar10,0.9868281055330469
3,random,0,cifar10,0.9817473055569744
3,random,1,cifar10,0.9875771960980828
3,random,2,cifar10,0.9892230725785635
3,random,3,cifar10,1.003463655509813
