seed,method,n_iter,dataset,value
0,random,0,mnist,1.0242096348009646
0,random,1,mnist,1.050366338617587
0,random,2,mnist,1.0820343941502242
0,random,3,mnist,1.0989275686858133
0,random,4,mnist,1.0991962676406737
0,random,5,mnist,1.1368811671968857
0,random,6,mnist,1.1111568459302694
0,random,7,mnist,1.142117195710446
0,random,8,mnist,1.152631525971186
0,random,9,mnist,1.1550202634112814
0,margin,0,mnist,0.9277504316335426
0,margin,1,mnist,0.9621946051633584
0,margin,2,mnist,0.9633701125509717
0,margin,3,mnist,0.97893582528009
0,margin,4,mnist,0.9844797606672196
0,margin,5,mnist,0.976320211068215
0,margin,6,mnist,0.9713778060566219
0,margin,7,mnist,0.9768256068944814
0,margin,8,mnist,0.9956724139264703
0,margin,9,mnist,0.9842337108702548
0,confidence,0,mnist,0.8661614547935144
0,confidence,1,mnist,0.9458545012558227
0,confidence,2,mnist,0.9397103254719136
0,confidence,3,mnist,0.9445825068457115
0,confidence,4,mnist,0.9626111645117224
0,confidence,5,mnist,0.963783574423767
0,confidence,6,mnist,0.965312147103336
0,confidence,7,mnist,0.970682959065444
0,confidence,8,mnist,0.9793696546818023
0,confidence,9,mnist,0.973841804452656
0,entropy,0,mnist,0.8462032631768263
0,entropy,1,mnist,0.9311360262202336
0,entropy,2,mnist,0.9376111246595542
0,entropy,3,mnist,0.9520604971171878
0,entropy,4,mnist,0.96110774852118
0,entropy,5,mnist,0.9670313867351561
0,entropy,6,mnist,0.973730902831436
0,entropy,7,mnist,0.9827535490040319
0,entropy,8,mnist,0.9730116663158341
0,entropy,9,mnist,0.9806277835345014
0,kmeans,0,mnist,1.0394909684765288
0,kmeans,1,mnist,1.07192126354631
0,kmeans,2,mnist,1.1189981550338748
0,kmeans,3,mnist,1.1620467210391159
0,kmeans,4,mnist,1.2471525500899938
0,kmeans,5,mnist,1.2448116983153714
0,kmeans,6,mnist,1.2885217665137212
0,kmeans,7,mnist,1.336357612405236
0,kmeans,8,mnist,1.3708114939925227
0,kmeans,9,mnist,1.3726627520138623
0,wkmeans,0,mnist,0.938307296082066
0,wkmeans,1,mnist,0.9735803293921522
0,wkmeans,2,mnist,0.9719291199780169
0,wkmeans,3,mnist,0.9843847269434061
0,wkmeans,4,mnist,0.9739439033634361
0,wkmeans,5,mnist,0.9849285575854143
0,wkmeans,6,mnist,0.9874406401222738
0,wkmeans,7,mnist,0.9868516617418847
0,wkmeans,8,mnist,0.9796720768438383
0,wkmeans,9,mnist,0.9668646921429196
1,random,0,mnist,1.0586393044173152
1,random,1,mnist,1.059107589309345
1,random,2,mnist,1.0917308322496084
1,random,3,mnist,1.0587914929546607
1,random,4,mnist,1.115613852665772
1,random,5,mnist,1.115178638590811
1,random,6,mnist,1.1548112144197742
1,random,7,mnist,1.142420563382642
1,random,8,mnist,1.1587687486497387
1,random,9,mnist,1.190735171488258
1,margin,0,mnist,0.9489496198398943
1,margin,1,mnist,0.9718173159642335
1,margin,2,mnist,0.9671504064369052
1,margin,3,mnist,0.9694976387549289
1,margin,4,mnist,0.9727003107771813
1,margin,5,mnist,0.9813870850136094
1,margin,6,mnist,0.9801489126725359
1,margin,7,mnist,0.9820971794512227
1,margin,8,mnist,0.9802345195511344
1,margin,9,mnist,0.9829144752367938
1,confidence,0,mnist,0.8982471936080728
1,confidence,1,mnist,0.9010089427918603
1,confidence,2,mnist,0.9307631270093099
1,confidence,3,mnist,0.9473433209352964
1,confidence,4,mnist,0.960986102354132
1,confidence,5,mnist,0.9648355838497695
1,confidence,6,mnist,0.9644875718804599
1,confidence,7,mnist,0.9779557068584296
1,confidence,8,mnist,0.9677535119663743
1,confidence,9,mnist,0.9835414846100875
1,entropy,0,mnist,0.8513305402446547
1,entropy,1,mnist,0.8708588084703033
1,entropy,2,mnist,0.9114889911236949
1,entropy,3,mnist,0.9475225887453889
1,entropy,4,mnist,0.9736932240068676
1,entropy,5,mnist,0.9656776432111842
1,entropy,6,mnist,0.9714490067629916
1,entropy,7,mnist,0.9589961457965243
1,entropy,8,mnist,0.9650487927620781
1,entropy,9,mnist,0.9769584832992535
1,kmeans,0,mnist,1.0402769907051121
1,kmeans,1,mnist,1.0511530407641263
1,kmeans,2,mnist,1.0980984700625231
1,kmeans,3,mnist,1.1755186207772195
1,kmeans,4,mnist,1.2198590356417156
1,kmeans,5,mnist,1.2457494293350484
1,kmeans,6,mnist,1.272677760775841
1,kmeans,7,mnist,1.3171316394570833
1,kmeans,8,mnist,1.3654812913702277
1,kmeans,9,mnist,1.3671054420561102
1,wkmeans,0,mnist,0.9336894342659897
1,wkmeans,1,mnist,0.9761482573017767
1,wkmeans,2,mnist,0.9769518196745084
1,wkmeans,3,mnist,0.9815930447660581
1,wkmeans,4,mnist,0.985562044187267
1,wkmeans,5,mnist,0.9807724195018909
1,wkmeans,6,mnist,0.9749252275881913
