seed,method,n_iter,dataset,value
0,random,0,mnist,0.0
0,random,1,mnist,0.9936636945179834
0,random,2,mnist,0.7620069330144964
0,random,3,mnist,0.4942710087854729
0,random,4,mnist,0.4852806000769633
0,random,5,mnist,0.4064868257832366
0,random,6,mnist,0.28804385608593175
0,random,7,mnist,0.32053597421100993
0,random,8,mnist,0.31276950308139817
0,random,9,mnist,0.3385653404491943
0,margin,0,mnist,0.0
0,margin,1,mnist,1.3862088749168726
0,margin,2,mnist,0.5086558723186946
0,margin,3,mnist,0.5300835379062849
0,margin,4,mnist,0.3186216728178912
0,margin,5,mnist,0.4386009737327075
0,margin,6,mnist,0.2506167139417692
0,margin,7,mnist,0.3270670503312141
0,margin,8,mnist,0.39777425511982323
0,margin,9,mnist,0.32778172692325314
0,confidence,0,mnist,0.0
0,confidence,1,mnist,1.108890232224492
0,confidence,2,mnist,0.6099856547972885
0,confidence,3,mnist,0.8747500474099509
0,confidence,4,mnist,0.5399754932435002
0,confidence,5,mnist,0.3203101313032213
0,confidence,6,mnist,0.3312195003924554
0,confidence,7,mnist,0.5674772996966688
0,confidence,8,mnist,0.23464965417650857
0,confidence,9,mnist,0.3278680471437283
0,entropy,0,mnist,0.0
0,entropy,1,mnist,0.9915057380629339
0,entropy,2,mnist,0.8516183799722525
0,entropy,3,mnist,0.7575465232266813
0,entropy,4,mnist,0.36101111141757164
0,entropy,5,mnist,0.4967610782993291
0,entropy,6,mnist,0.5590091987183263
0,entropy,7,mnist,0.4618407617300965
0,entropy,8,mnist,0.48278341358739085
0,entropy,9,mnist,0.4190821834319294
0,kmeans,0,mnist,0.0
0,kmeans,1,mnist,0.6766595432456227
0,kmeans,2,mnist,0.3649087884174528
0,kmeans,3,mnist,0.36277433948809745
0,kmeans,4,mnist,0.31238087185109803
0,kmeans,5,mnist,0.2453775725554641
0,kmeans,6,mnist,0.2550671250269502
0,kmeans,7,mnist,0.3162077129285399
0,kmeans,8,mnist,0.2480369267229728
0,kmeans,9,mnist,0.25586635525521917
0,wkmeans,0,mnist,0.0
0,wkmeans,1,mnist,0.9892301610517813
0,wkmeans,2,mnist,0.4729866113101457
0,wkmeans,3,mnist,0.4450116760406052
0,wkmeans,4,mnist,0.4183988290356381
0,wkmeans,5,mnist,0.4505764475408982
0,wkmeans,6,mnist,0.26402438306117104
0,wkmeans,7,mnist,0.26694611752415226
0,wkmeans,8,mnist,0.2487932580718559
0,wkmeans,9,mnist,0.261500806991801
1,random,0,mnist,0.0
1,random,1,mnist,0.7684619500959472
1,random,2,mnist,0.49035770447787536
1,random,3,mnist,0.4312360526202802
1,random,4,mnist,0.37176456709449723
1,random,5,mnist,0.43007970270629914
1,random,6,mnist,0.28901892452062705
1,random,7,mnist,0.30113390687407376
1,random,8,mnist,0.2815759150237719
1,random,9,mnist,0.27406841118936853
1,margin,0,mnist,0.0
1,margin,1,mnist,0.7465719109140334
1,margin,2,mnist,0.7058022256001094
1,margin,3,mnist,0.43116710303821315
1,margin,4,mnist,0.26665324841470295
1,margin,5,mnist,0.2953804275265989
1,margin,6,mnist,0.38465923401305857
1,margin,7,mnist,0.16588941887260628
1,margin,8,mnist,0.26529027360268226
1,margin,9,mnist,0.2811715499884435
1,confidence,0,mnist,0.0
1,confidence,1,mnist,0.8171338927355757
1,confidence,2,mnist,0.6276974011428758
1,confidence,3,mnist,0.4845698516348874
1,confidence,4,mnist,0.4975792272074025
1,confidence,5,mnist,0.4715971796138656
1,confidence,6,mnist,0.32466894664729307
1,confidence,7,mnist,0.230679920787267
1,confidence,8,mnist,0.24510381977101242
1,confidence,9,mnist,0.27607506843989776
1,entropy,0,mnist,0.0
1,entropy,1,mnist,0.8529357863871576
1,entropy,2,mnist,0.9585249978397365
1,entropy,3,mnist,0.5300666247743259
1,entropy,4,mnist,0.5579298055325008
1,entropy,5,mnist,0.333792358084107
1,entropy,6,mnist,0.3903575043918699
1,entropy,7,mnist,0.31419532087479
1,entropy,8,mnist,0.5523708275649319
1,entropy,9,mnist,0.35997751075860607
1,kmeans,0,mnist,0.0
1,kmeans,1,mnist,0.6304359236999784
1,kmeans,2,mnist,0.36984402590130694
1,kmeans,3,mnist,0.280149854804517
1,kmeans,4,mnist,0.3238202878526269
1,kmeans,5,mnist,0.24497263835413283
1,kmeans,6,mnist,0.22642618605535803
1,kmeans,7,mnist,0.25149329040067575
1,kmeans,8,mnist,0.2117373764027159
1,kmeans,9,mnist,0.25048060455772375
1,wkmeans,0,mnist,0.0
1,wkmeans,1,mnist,0.9131204428646577
1,wkmeans,2,mnist,0.5852107011285881
1,wkmeans,3,mnist,0.5060666679483469
1,wkmeans,4,mnist,0.48444304336879535
1,wkmeans,5,mnist,0.35604548599566527
1,wkmeans,6,mnist,0.2914363855988199
1,wkmeans,7,mnist,0.3390548602239139
