seed,type,index
0.0,0,18
0.0,0,2
0.0,0,4
0.0,0,8
0.0,0,1
0.0,0,0
0.0,0,11
0.0,0,13
0.0,0,24
0.0,0,3
0.0,1,28230
0.0,1,37323
0.0,1,50068
0.0,1,28397
0.0,1,20732
0.0,1,47146
0.0,1,4119
0.0,1,22230
0.0,1,26068
0.0,1,41356
0.0,1,11397
0.0,1,20226
0.0,1,53454
0.0,1,30095
0.0,1,1516
0.0,1,31974
0.0,1,42158
0.0,1,13057
0.0,1,30368
0.0,1,22546
0.0,1,22466
0.0,1,49712
0.0,1,11605
0.0,1,11531
0.0,1,8135
0.0,1,1925
0.0,1,49689
0.0,1,32462
0.0,1,8182
0.0,1,49051
0.0,1,64
0.0,1,40675
0.0,1,48068
0.0,1,42153
0.0,1,22077
0.0,1,11778
0.0,1,31488
0.0,1,36216
0.0,1,48169
0.0,1,46276
0.0,1,29378
0.0,1,47905
0.0,1,11403
0.0,1,47352
0.0,1,38212
0.0,1,12164
0.0,1,30663
0.0,1,26819
0.0,1,44080
0.0,1,25732
0.0,1,20046
0.0,1,20949
0.0,1,48313
0.0,1,1776
0.0,1,33345
0.0,1,49832
0.0,1,37715
0.0,1,50017
0.0,1,3317
0.0,1,30715
0.0,2,1
0.0,2,7
0.0,2,17
0.0,2,22
0.0,2,23
0.0,2,24
0.0,2,26
0.0,2,32
0.0,2,40
0.0,2,43
0.0,2,44
0.0,2,59
0.0,2,68
0.0,2,74
0.0,2,76
0.0,2,80
0.0,2,83
0.0,2,90
0.0,2,93
0.0,2,109
0.0,2,110
0.0,2,116
0.0,2,122
0.0,2,128
0.0,2,134
0.0,2,146
0.0,2,152
0.0,2,159
0.0,2,175
0.0,2,176
0.0,2,177
0.0,2,183
0.0,2,184
0.0,2,191
0.0,2,199
0.0,2,200
0.0,2,204
0.0,2,206
0.0,2,208
0.0,2,215
0.0,2,216
0.0,2,218
0.0,2,219
0.0,2,227
0.0,2,229
0.0,2,235
0.0,2,237
0.0,2,246
0.0,2,247
0.0,2,258
0.0,2,262
0.0,2,264
0.0,2,267
0.0,2,273
0.0,2,275
0.0,2,282
0.0,2,292
0.0,2,300
0.0,2,306
0.0,2,316
0.0,2,320
0.0,2,321
0.0,2,323
0.0,2,325
0.0,2,328
0.0,2,336
0.0,2,344
0.0,2,352
0.0,2,353
0.0,2,360
0.0,2,364
0.0,2,365
0.0,2,367
0.0,2,369
0.0,2,370
0.0,2,379
0.0,2,383
0.0,2,387
0.0,2,391
0.0,2,395
0.0,2,398
0.0,2,404
0.0,2,413
0.0,2,416
0.0,2,426
0.0,2,434
0.0,2,436
0.0,2,446
0.0,2,452
0.0,2,474
0.0,2,476
0.0,2,480
0.0,2,488
0.0,2,495
0.0,2,496
0.0,2,508
0.0,2,510
0.0,2,512
0.0,2,518
0.0,2,528
0.0,2,529
0.0,2,531
0.0,2,535
0.0,2,540
0.0,2,544
0.0,2,551
0.0,2,552
0.0,2,555
0.0,2,560
0.0,2,565
0.0,2,567
0.0,2,568
0.0,2,572
0.0,2,576
0.0,2,581
0.0,2,582
0.0,2,586
0.0,2,589
0.0,2,590
0.0,2,592
0.0,2,595
0.0,2,597
0.0,2,599
0.0,2,600
0.0,2,604
0.0,2,607
0.0,2,608
0.0,2,609
0.0,2,615
0.0,2,620
0.0,2,622
0.0,2,625
0.0,2,629
0.0,2,633
0.0,2,636
0.0,2,641
0.0,2,643
0.0,2,652
0.0,2,656
0.0,2,660
0.0,2,662
0.0,2,672
0.0,2,688
0.0,2,698
0.0,2,703
0.0,2,707
0.0,2,717
0.0,2,727
0.0,2,728
0.0,2,738
0.0,2,745
0.0,2,747
0.0,2,751
0.0,2,768
0.0,2,775
0.0,2,785
0.0,2,788
0.0,2,789
0.0,2,790
0.0,2,793
0.0,2,798
0.0,2,800
0.0,2,801
0.0,2,802
0.0,2,804
0.0,2,818
0.0,2,820
0.0,2,840
0.0,2,853
0.0,2,856
0.0,2,860
0.0,2,867
0.0,2,874
0.0,2,899
0.0,2,909
0.0,2,911
0.0,2,919
0.0,2,920
0.0,2,921
0.0,2,923
0.0,2,930
0.0,2,948
0.0,2,951
0.0,2,960
0.0,2,965
0.0,2,969
0.0,2,970
0.0,2,979
0.0,2,987
0.0,2,995
0.0,2,998
0.0,2,1004
0.0,2,1013
0.0,2,1014
0.0,2,1018
0.0,2,1019
0.0,2,1028
0.0,2,1031
0.0,2,1036
0.0,2,1045
0.0,2,1046
0.0,2,1052
0.0,2,1054
0.0,2,1055
0.0,2,1063
0.0,2,1064
0.0,2,1082
0.0,2,1086
0.0,2,1087
0.0,2,1089
0.0,2,1091
0.0,2,1097
0.0,2,1101
0.0,2,1105
0.0,2,1116
0.0,2,1119
0.0,2,1124
0.0,2,1137
0.0,2,1140
0.0,2,1144
0.0,2,1150
0.0,2,1151
0.0,2,1153
0.0,2,1156
0.0,2,1158
0.0,2,1159
0.0,2,1166
0.0,2,1167
0.0,2,1170
0.0,2,1171
0.0,2,1173
0.0,2,1175
0.0,2,1178
0.0,2,1179
0.0,2,1186
0.0,2,1195
0.0,2,1196
0.0,2,1201
0.0,2,1203
0.0,2,1219
0.0,2,1230
0.0,2,1232
0.0,2,1234
0.0,2,1235
0.0,2,1237
0.0,2,1255
0.0,2,1256
0.0,2,1265
0.0,2,1267
