seed,method,n_iter,dataset,value
0,random,0,1461,1.0
0,random,1,1461,1.0
0,random,2,1461,1.0
0,random,3,1461,0.9944444444444444
0,random,4,1461,0.9911111111111112
0,random,5,1461,0.9925925925925926
0,random,6,1461,0.984126984126984
0,random,7,1461,0.9722222222222222
0,random,8,1461,0.9604938271604938
0,random,9,1461,0.96
0,margin,0,1461,1.0
0,margin,1,1461,0.9888888888888888
0,margin,2,1461,1.0
0,margin,3,1461,1.0
0,margin,4,1461,0.9955555555555556
0,margin,5,1461,0.9925925925925926
0,margin,6,1461,0.9904761904761904
0,margin,7,1461,0.975
0,margin,8,1461,0.9753086419753086
0,margin,9,1461,0.9777777777777776
0,confidence,0,1461,1.0
0,confidence,1,1461,1.0
0,confidence,2,1461,1.0
0,confidence,3,1461,1.0
0,confidence,4,1461,0.9955555555555556
0,confidence,5,1461,0.9888888888888888
0,confidence,6,1461,0.9714285714285714
0,confidence,7,1461,0.9555555555555556
0,confidence,8,1461,0.9777777777777776
0,confidence,9,1461,0.9822222222222222
0,entropy,0,1461,1.0
0,entropy,1,1461,0.9888888888888888
0,entropy,2,1461,1.0
0,entropy,3,1461,1.0
0,entropy,4,1461,0.9955555555555556
0,entropy,5,1461,0.9925925925925926
0,entropy,6,1461,0.9904761904761904
0,entropy,7,1461,0.975
0,entropy,8,1461,0.9753086419753086
0,entropy,9,1461,0.9777777777777776
0,kmeans,0,1461,1.0
0,kmeans,1,1461,0.9888888888888888
0,kmeans,2,1461,0.9925925925925926
0,kmeans,3,1461,0.9944444444444444
0,kmeans,4,1461,0.9955555555555556
0,kmeans,5,1461,0.9851851851851852
0,kmeans,6,1461,0.9873015873015872
0,kmeans,7,1461,0.9777777777777776
0,kmeans,8,1461,0.9851851851851852
0,kmeans,9,1461,0.9733333333333334
0,wkmeans,0,1461,1.0
0,wkmeans,1,1461,1.0
0,wkmeans,2,1461,1.0
0,wkmeans,3,1461,1.0
0,wkmeans,4,1461,0.9911111111111112
0,wkmeans,5,1461,0.9962962962962963
0,wkmeans,6,1461,0.984126984126984
0,wkmeans,7,1461,0.9722222222222222
0,wkmeans,8,1461,0.9753086419753086
0,wkmeans,9,1461,0.9644444444444444
1,random,0,1461,1.0
1,random,1,1461,1.0
1,random,2,1461,0.9925925925925926
1,random,3,1461,0.9944444444444444
1,random,4,1461,0.9866666666666668
