seed,method,n_iter,dataset,value
0,random,0,1471,0.7857142857142857
0,random,1,1471,0.75
0,random,2,1471,0.8571428571428571
0,random,3,1471,0.875
0,random,4,1471,0.9142857142857143
0,random,5,1471,0.8452380952380952
0,random,6,1471,0.8673469387755102
0,random,7,1471,0.8839285714285714
0,random,8,1471,0.8888888888888888
0,random,9,1471,0.8857142857142857
0,margin,0,1471,0.7857142857142857
0,margin,1,1471,0.7857142857142857
0,margin,2,1471,0.8095238095238095
0,margin,3,1471,0.75
0,margin,4,1471,0.7
0,margin,5,1471,0.7380952380952381
0,margin,6,1471,0.7857142857142857
0,margin,7,1471,0.7946428571428571
0,margin,8,1471,0.7380952380952381
0,margin,9,1471,0.7357142857142858
0,confidence,0,1471,0.7857142857142857
0,confidence,1,1471,0.7857142857142857
0,confidence,2,1471,0.8095238095238095
0,confidence,3,1471,0.75
0,confidence,4,1471,0.7
0,confidence,5,1471,0.7380952380952381
0,confidence,6,1471,0.7857142857142857
0,confidence,7,1471,0.7946428571428571
0,confidence,8,1471,0.7380952380952381
0,confidence,9,1471,0.7357142857142858
0,entropy,0,1471,0.7857142857142857
0,entropy,1,1471,0.7857142857142857
0,entropy,2,1471,0.8095238095238095
0,entropy,3,1471,0.75
0,entropy,4,1471,0.7
0,entropy,5,1471,0.7380952380952381
0,entropy,6,1471,0.7857142857142857
0,entropy,7,1471,0.7946428571428571
0,entropy,8,1471,0.7380952380952381
0,entropy,9,1471,0.7357142857142858
0,kmeans,0,1471,0.7857142857142857
0,kmeans,1,1471,0.7142857142857143
0,kmeans,2,1471,0.7380952380952381
0,kmeans,3,1471,0.8035714285714286
0,kmeans,4,1471,0.8142857142857143
0,kmeans,5,1471,0.8214285714285714
0,kmeans,6,1471,0.7857142857142857
0,kmeans,7,1471,0.7589285714285714
0,kmeans,8,1471,0.7619047619047619
0,kmeans,9,1471,0.7428571428571429
0,wkmeans,0,1471,0.7857142857142857
0,wkmeans,1,1471,0.7142857142857143
0,wkmeans,2,1471,0.7857142857142857
0,wkmeans,3,1471,0.75
0,wkmeans,4,1471,0.7571428571428571
0,wkmeans,5,1471,0.7142857142857143
0,wkmeans,6,1471,0.7653061224489796
0,wkmeans,7,1471,0.7410714285714286
0,wkmeans,8,1471,0.7380952380952381
0,wkmeans,9,1471,0.7428571428571429
1,random,0,1471,0.6428571428571429
1,random,1,1471,0.6428571428571429
1,random,2,1471,0.7142857142857143
1,random,3,1471,0.8392857142857143
1,random,4,1471,0.8714285714285714
1,random,5,1471,0.9047619047619048
1,random,6,1471,0.8979591836734694
1,random,7,1471,0.9107142857142857
1,random,8,1471,0.9126984126984127
1,random,9,1471,0.9285714285714286
1,margin,0,1471,0.6428571428571429
1,margin,1,1471,0.7142857142857143
1,margin,2,1471,0.7619047619047619
1,margin,3,1471,0.8214285714285714
1,margin,4,1471,0.7714285714285715
1,margin,5,1471,0.7142857142857143
1,margin,6,1471,0.6530612244897959
1,margin,7,1471,0.7232142857142857
1,margin,8,1471,0.7777777777777778
1,margin,9,1471,0.7928571428571428
1,confidence,0,1471,0.6428571428571429
1,confidence,1,1471,0.7142857142857143
1,confidence,2,1471,0.7619047619047619
1,confidence,3,1471,0.8214285714285714
1,confidence,4,1471,0.7714285714285715
1,confidence,5,1471,0.7142857142857143
1,confidence,6,1471,0.6530612244897959
1,confidence,7,1471,0.7232142857142857
1,confidence,8,1471,0.7777777777777778
1,confidence,9,1471,0.7928571428571428
1,entropy,0,1471,0.6428571428571429
1,entropy,1,1471,0.7142857142857143
1,entropy,2,1471,0.7619047619047619
1,entropy,3,1471,0.8214285714285714
1,entropy,4,1471,0.7714285714285715
1,entropy,5,1471,0.7142857142857143
1,entropy,6,1471,0.6530612244897959
1,entropy,7,1471,0.7232142857142857
1,entropy,8,1471,0.7777777777777778
1,entropy,9,1471,0.7928571428571428
1,kmeans,0,1471,0.6428571428571429
1,kmeans,1,1471,0.75
1,kmeans,2,1471,0.7142857142857143
1,kmeans,3,1471,0.7678571428571429
1,kmeans,4,1471,0.8142857142857143
1,kmeans,5,1471,0.7738095238095238
1,kmeans,6,1471,0.7040816326530612
1,kmeans,7,1471,0.7410714285714286
1,kmeans,8,1471,0.746031746031746
1,kmeans,9,1471,0.7642857142857142
1,wkmeans,0,1471,0.6428571428571429
1,wkmeans,1,1471,0.6785714285714286
1,wkmeans,2,1471,0.7142857142857143
1,wkmeans,3,1471,0.7142857142857143
1,wkmeans,4,1471,0.7
1,wkmeans,5,1471,0.75
1,wkmeans,6,1471,0.7448979591836735
1,wkmeans,7,1471,0.7321428571428571
1,wkmeans,8,1471,0.753968253968254
1,wkmeans,9,1471,0.7857142857142857
2,random,0,1471,0.5
2,random,1,1471,0.75
2,random,2,1471,0.7380952380952381
2,random,3,1471,0.7857142857142857
2,random,4,1471,0.8428571428571429
2,random,5,1471,0.8452380952380952
2,random,6,1471,0.8367346938775511
2,random,7,1471,0.8392857142857143
2,random,8,1471,0.8333333333333334
2,random,9,1471,0.8357142857142857
2,margin,0,1471,0.5
2,margin,1,1471,0.7142857142857143
2,margin,2,1471,0.7142857142857143
2,margin,3,1471,0.7678571428571429
2,margin,4,1471,0.7428571428571429
2,margin,5,1471,0.75
2,margin,6,1471,0.7755102040816326
2,margin,7,1471,0.7857142857142857
2,margin,8,1471,0.7380952380952381
2,margin,9,1471,0.7571428571428571
2,confidence,0,1471,0.5
2,confidence,1,1471,0.7142857142857143
2,confidence,2,1471,0.7142857142857143
2,confidence,3,1471,0.7678571428571429
2,confidence,4,1471,0.7428571428571429
2,confidence,5,1471,0.75
2,confidence,6,1471,0.7755102040816326
2,confidence,7,1471,0.7857142857142857
2,confidence,8,1471,0.7380952380952381
2,confidence,9,1471,0.7571428571428571
2,entropy,0,1471,0.5
2,entropy,1,1471,0.7142857142857143
2,entropy,2,1471,0.7142857142857143
2,entropy,3,1471,0.7678571428571429
2,entropy,4,1471,0.7428571428571429
2,entropy,5,1471,0.75
2,entropy,6,1471,0.7755102040816326
2,entropy,7,1471,0.7857142857142857
2,entropy,8,1471,0.7380952380952381
2,entropy,9,1471,0.7571428571428571
2,kmeans,0,1471,0.5
2,kmeans,1,1471,0.75
2,kmeans,2,1471,0.6904761904761905
2,kmeans,3,1471,0.7321428571428571
2,kmeans,4,1471,0.7285714285714285
2,kmeans,5,1471,0.7380952380952381
2,kmeans,6,1471,0.7040816326530612
2,kmeans,7,1471,0.7767857142857143
2,kmeans,8,1471,0.7619047619047619
2,kmeans,9,1471,0.7857142857142857
2,wkmeans,0,1471,0.5
2,wkmeans,1,1471,0.7142857142857143
2,wkmeans,2,1471,0.7142857142857143
2,wkmeans,3,1471,0.75
2,wkmeans,4,1471,0.6857142857142857
2,wkmeans,5,1471,0.6428571428571429
2,wkmeans,6,1471,0.6632653061224489
2,wkmeans,7,1471,0.6875
2,wkmeans,8,1471,0.6825396825396826
2,wkmeans,9,1471,0.7214285714285714
3,random,0,1471,0.7857142857142857
3,random,1,1471,0.8214285714285714
3,random,2,1471,0.7857142857142857
3,random,3,1471,0.875
3,random,4,1471,0.9
3,random,5,1471,0.9047619047619048
3,random,6,1471,0.9183673469387755
3,random,7,1471,0.9375
3,random,8,1471,0.9285714285714286
3,random,9,1471,0.95
3,margin,0,1471,0.7857142857142857
3,margin,1,1471,0.75
3,margin,2,1471,0.6666666666666666
3,margin,3,1471,0.7321428571428571
3,margin,4,1471,0.7571428571428571
3,margin,5,1471,0.75
3,margin,6,1471,0.7959183673469388
3,margin,7,1471,0.7767857142857143
3,margin,8,1471,0.7936507936507936
3,margin,9,1471,0.8214285714285714
3,confidence,0,1471,0.7857142857142857
3,confidence,1,1471,0.75
3,confidence,2,1471,0.6666666666666666
3,confidence,3,1471,0.7321428571428571
3,confidence,4,1471,0.7571428571428571
3,confidence,5,1471,0.75
3,confidence,6,1471,0.7959183673469388
3,confidence,7,1471,0.7767857142857143
3,confidence,8,1471,0.7936507936507936
3,confidence,9,1471,0.8214285714285714
3,entropy,0,1471,0.7857142857142857
3,entropy,1,1471,0.75
3,entropy,2,1471,0.6666666666666666
3,entropy,3,1471,0.7321428571428571
3,entropy,4,1471,0.7571428571428571
3,entropy,5,1471,0.75
3,entropy,6,1471,0.7959183673469388
3,entropy,7,1471,0.7767857142857143
3,entropy,8,1471,0.7936507936507936
3,entropy,9,1471,0.8214285714285714
3,kmeans,0,1471,0.7857142857142857
3,kmeans,1,1471,0.75
3,kmeans,2,1471,0.7142857142857143
3,kmeans,3,1471,0.75
3,kmeans,4,1471,0.7571428571428571
3,kmeans,5,1471,0.7857142857142857
3,kmeans,6,1471,0.8061224489795918
3,kmeans,7,1471,0.8214285714285714
3,kmeans,8,1471,0.8412698412698413
3,kmeans,9,1471,0.8071428571428572
3,wkmeans,0,1471,0.7857142857142857
3,wkmeans,1,1471,0.7857142857142857
3,wkmeans,2,1471,0.8095238095238095
3,wkmeans,3,1471,0.6964285714285714
3,wkmeans,4,1471,0.7428571428571429
3,wkmeans,5,1471,0.7261904761904762
3,wkmeans,6,1471,0.7244897959183674
3,wkmeans,7,1471,0.7321428571428571
3,wkmeans,8,1471,0.6984126984126984
3,wkmeans,9,1471,0.7642857142857142
4,random,0,1471,0.5714285714285714
4,random,1,1471,0.7142857142857143
4,random,2,1471,0.7619047619047619
4,random,3,1471,0.7321428571428571
4,random,4,1471,0.8
4,random,5,1471,0.7976190476190477
4,random,6,1471,0.8571428571428571
4,random,7,1471,0.8571428571428571
4,random,8,1471,0.8571428571428571
4,random,9,1471,0.8357142857142857
4,margin,0,1471,0.5714285714285714
4,margin,1,1471,0.75
4,margin,2,1471,0.8333333333333334
4,margin,3,1471,0.7678571428571429
4,margin,4,1471,0.7857142857142857
4,margin,5,1471,0.7738095238095238
4,margin,6,1471,0.7755102040816326
4,margin,7,1471,0.7142857142857143
4,margin,8,1471,0.6984126984126984
4,margin,9,1471,0.7071428571428572
4,confidence,0,1471,0.5714285714285714
4,confidence,1,1471,0.75
4,confidence,2,1471,0.8333333333333334
4,confidence,3,1471,0.7678571428571429
4,confidence,4,1471,0.7857142857142857
4,confidence,5,1471,0.7738095238095238
4,confidence,6,1471,0.7755102040816326
4,confidence,7,1471,0.7142857142857143
4,confidence,8,1471,0.6984126984126984
4,confidence,9,1471,0.7071428571428572
4,entropy,0,1471,0.5714285714285714
4,entropy,1,1471,0.75
4,entropy,2,1471,0.8333333333333334
4,entropy,3,1471,0.7678571428571429
4,entropy,4,1471,0.7857142857142857
4,entropy,5,1471,0.7738095238095238
4,entropy,6,1471,0.7755102040816326
4,entropy,7,1471,0.7142857142857143
4,entropy,8,1471,0.6984126984126984
4,entropy,9,1471,0.7071428571428572
4,kmeans,0,1471,0.5714285714285714
4,kmeans,1,1471,0.75
4,kmeans,2,1471,0.7380952380952381
4,kmeans,3,1471,0.7857142857142857
4,kmeans,4,1471,0.8
4,kmeans,5,1471,0.7619047619047619
4,kmeans,6,1471,0.7653061224489796
4,kmeans,7,1471,0.8303571428571429
4,kmeans,8,1471,0.873015873015873
4,kmeans,9,1471,0.8785714285714286
4,wkmeans,0,1471,0.5714285714285714
4,wkmeans,1,1471,0.7857142857142857
4,wkmeans,2,1471,0.7619047619047619
4,wkmeans,3,1471,0.6964285714285714
4,wkmeans,4,1471,0.7428571428571429
4,wkmeans,5,1471,0.7857142857142857
4,wkmeans,6,1471,0.7857142857142857
4,wkmeans,7,1471,0.8125
4,wkmeans,8,1471,0.7857142857142857
4,wkmeans,9,1471,0.7642857142857142
5,random,0,1471,0.6428571428571429
5,random,1,1471,0.5714285714285714
5,random,2,1471,0.7619047619047619
5,random,3,1471,0.8214285714285714
5,random,4,1471,0.8285714285714286
5,random,5,1471,0.8333333333333334
5,random,6,1471,0.8571428571428571
5,random,7,1471,0.8571428571428571
5,random,8,1471,0.8888888888888888
5,random,9,1471,0.8857142857142857
5,margin,0,1471,0.6428571428571429
5,margin,1,1471,0.8214285714285714
5,margin,2,1471,0.7380952380952381
5,margin,3,1471,0.75
5,margin,4,1471,0.7571428571428571
5,margin,5,1471,0.7857142857142857
5,margin,6,1471,0.7755102040816326
5,margin,7,1471,0.7946428571428571
5,margin,8,1471,0.7777777777777778
5,margin,9,1471,0.7857142857142857
5,confidence,0,1471,0.6428571428571429
5,confidence,1,1471,0.8214285714285714
5,confidence,2,1471,0.7380952380952381
5,confidence,3,1471,0.75
5,confidence,4,1471,0.7571428571428571
5,confidence,5,1471,0.7857142857142857
5,confidence,6,1471,0.7755102040816326
5,confidence,7,1471,0.7946428571428571
5,confidence,8,1471,0.7777777777777778
5,confidence,9,1471,0.7857142857142857
5,entropy,0,1471,0.6428571428571429
5,entropy,1,1471,0.8214285714285714
5,entropy,2,1471,0.7380952380952381
5,entropy,3,1471,0.75
5,entropy,4,1471,0.7571428571428571
5,entropy,5,1471,0.7857142857142857
5,entropy,6,1471,0.7755102040816326
5,entropy,7,1471,0.7946428571428571
5,entropy,8,1471,0.7777777777777778
5,entropy,9,1471,0.7857142857142857
5,kmeans,0,1471,0.6428571428571429
5,kmeans,1,1471,0.5714285714285714
5,kmeans,2,1471,0.7142857142857143
5,kmeans,3,1471,0.6785714285714286
5,kmeans,4,1471,0.6571428571428571
5,kmeans,5,1471,0.7619047619047619
5,kmeans,6,1471,0.7857142857142857
5,kmeans,7,1471,0.7321428571428571
5,kmeans,8,1471,0.7301587301587301
5,kmeans,9,1471,0.7785714285714286
5,wkmeans,0,1471,0.6428571428571429
5,wkmeans,1,1471,0.5714285714285714
5,wkmeans,2,1471,0.6666666666666666
5,wkmeans,3,1471,0.7321428571428571
5,wkmeans,4,1471,0.8
5,wkmeans,5,1471,0.7976190476190477
5,wkmeans,6,1471,0.7755102040816326
5,wkmeans,7,1471,0.8035714285714286
5,wkmeans,8,1471,0.8333333333333334
5,wkmeans,9,1471,0.8071428571428572
6,random,0,1471,0.7857142857142857
6,random,1,1471,0.75
6,random,2,1471,0.7380952380952381
6,random,3,1471,0.7857142857142857
6,random,4,1471,0.8714285714285714
6,random,5,1471,0.8690476190476191
6,random,6,1471,0.8775510204081632
6,random,7,1471,0.875
6,random,8,1471,0.8888888888888888
6,random,9,1471,0.9
6,margin,0,1471,0.7857142857142857
6,margin,1,1471,0.6785714285714286
6,margin,2,1471,0.8095238095238095
6,margin,3,1471,0.7678571428571429
6,margin,4,1471,0.7142857142857143
6,margin,5,1471,0.7261904761904762
6,margin,6,1471,0.7142857142857143
6,margin,7,1471,0.7410714285714286
6,margin,8,1471,0.753968253968254
6,margin,9,1471,0.8142857142857143
6,confidence,0,1471,0.7857142857142857
6,confidence,1,1471,0.6785714285714286
6,confidence,2,1471,0.8095238095238095
6,confidence,3,1471,0.7678571428571429
6,confidence,4,1471,0.7142857142857143
6,confidence,5,1471,0.7261904761904762
6,confidence,6,1471,0.7142857142857143
6,confidence,7,1471,0.7410714285714286
6,confidence,8,1471,0.753968253968254
6,confidence,9,1471,0.8142857142857143
6,entropy,0,1471,0.7857142857142857
6,entropy,1,1471,0.6785714285714286
6,entropy,2,1471,0.8095238095238095
6,entropy,3,1471,0.7678571428571429
6,entropy,4,1471,0.7142857142857143
6,entropy,5,1471,0.7261904761904762
6,entropy,6,1471,0.7142857142857143
6,entropy,7,1471,0.7410714285714286
6,entropy,8,1471,0.753968253968254
6,entropy,9,1471,0.8142857142857143
6,kmeans,0,1471,0.7857142857142857
6,kmeans,1,1471,0.7142857142857143
6,kmeans,2,1471,0.7619047619047619
6,kmeans,3,1471,0.75
6,kmeans,4,1471,0.6857142857142857
6,kmeans,5,1471,0.7142857142857143
6,kmeans,6,1471,0.7551020408163265
6,kmeans,7,1471,0.7857142857142857
6,kmeans,8,1471,0.7857142857142857
6,kmeans,9,1471,0.7928571428571428
6,wkmeans,0,1471,0.7857142857142857
6,wkmeans,1,1471,0.6071428571428571
6,wkmeans,2,1471,0.6666666666666666
6,wkmeans,3,1471,0.6964285714285714
6,wkmeans,4,1471,0.8142857142857143
6,wkmeans,5,1471,0.75
6,wkmeans,6,1471,0.7551020408163265
6,wkmeans,7,1471,0.7321428571428571
6,wkmeans,8,1471,0.746031746031746
6,wkmeans,9,1471,0.7357142857142858
7,random,0,1471,0.7142857142857143
