seed,method,n_iter,dataset,value
0,random,0,1471,0.31075820288634015
0,random,1,1471,0.3193267659143752
0,random,2,1471,0.29663141122996056
0,random,3,1471,0.28223900571864835
0,random,4,1471,0.2786759815133637
0,random,5,1471,0.2786484643041044
0,random,6,1471,0.27537262616100144
0,random,7,1471,0.27282915311019035
0,random,8,1471,0.27092456493834327
0,random,9,1471,0.26873035421381086
0,margin,0,1471,0.31075820288634015
0,margin,1,1471,0.2696860160172711
0,margin,2,1471,0.27545664755586874
0,margin,3,1471,0.2634671144022513
0,margin,4,1471,0.25419060442955504
0,margin,5,1471,0.24970392972397187
0,margin,6,1471,0.24956390412288268
0,margin,7,1471,0.25481257401038465
0,margin,8,1471,0.2534915695923258
0,margin,9,1471,0.2518944354083373
0,confidence,0,1471,0.31075820288634015
0,confidence,1,1471,0.2696860160172711
0,confidence,2,1471,0.27545664755586874
0,confidence,3,1471,0.2634671144022513
0,confidence,4,1471,0.25419060442955504
0,confidence,5,1471,0.24970392972397187
0,confidence,6,1471,0.24956390412288268
0,confidence,7,1471,0.25481257401038465
0,confidence,8,1471,0.2534915695923258
0,confidence,9,1471,0.2518944354083373
0,entropy,0,1471,0.31075820288634015
0,entropy,1,1471,0.2696860160172711
0,entropy,2,1471,0.27545664755586874
0,entropy,3,1471,0.2634671144022513
0,entropy,4,1471,0.25419060442955504
0,entropy,5,1471,0.24970392972397187
0,entropy,6,1471,0.24956390412288268
0,entropy,7,1471,0.25481257401038465
0,entropy,8,1471,0.2534915695923258
0,entropy,9,1471,0.2518944354083373
0,kmeans,0,1471,0.31075820288634015
0,kmeans,1,1471,0.2750307744585054
0,kmeans,2,1471,0.280248708387602
0,kmeans,3,1471,0.27240405156759145
0,kmeans,4,1471,0.26605623989270577
0,kmeans,5,1471,0.25963398983461644
0,kmeans,6,1471,0.26297905041041425
0,kmeans,7,1471,0.26343622183556753
0,kmeans,8,1471,0.2644627990214746
0,kmeans,9,1471,0.2711018041532036
0,wkmeans,0,1471,0.31075820288634015
0,wkmeans,1,1471,0.2605852228263836
0,wkmeans,2,1471,0.27744023194667744
0,wkmeans,3,1471,0.28541647804349285
0,wkmeans,4,1471,0.2756662061965428
0,wkmeans,5,1471,0.26861046204830064
0,wkmeans,6,1471,0.27170511128800434
0,wkmeans,7,1471,0.2745985816393337
0,wkmeans,8,1471,0.27784380118990026
0,wkmeans,9,1471,0.27536289462997926
1,random,0,1471,0.27381134952919145
1,random,1,1471,0.2797663372867781
1,random,2,1471,0.28392396306082
1,random,3,1471,0.28395161491650844
1,random,4,1471,0.2824069122535656
1,random,5,1471,0.2781300883597556
1,random,6,1471,0.28135026091917686
1,random,7,1471,0.2823283630944469
1,random,8,1471,0.2799980461135234
1,random,9,1471,0.2790900503713473
1,margin,0,1471,0.27381134952919145
1,margin,1,1471,0.2717505926523044
1,margin,2,1471,0.2607338201162953
1,margin,3,1471,0.26004716791998594
1,margin,4,1471,0.25622762435559354
1,margin,5,1471,0.2587567003595295
1,margin,6,1471,0.2538490741681338
1,margin,7,1471,0.2561464239189945
1,margin,8,1471,0.2516710619925369
1,margin,9,1471,0.24938444008746338
1,confidence,0,1471,0.27381134952919145
1,confidence,1,1471,0.2717505926523044
1,confidence,2,1471,0.2607338201162953
1,confidence,3,1471,0.26004716791998594
1,confidence,4,1471,0.25622762435559354
1,confidence,5,1471,0.2587567003595295
1,confidence,6,1471,0.2538490741681338
1,confidence,7,1471,0.2561464239189945
1,confidence,8,1471,0.2516710619925369
1,confidence,9,1471,0.24938444008746338
1,entropy,0,1471,0.27381134952919145
1,entropy,1,1471,0.2717505926523044
1,entropy,2,1471,0.2607338201162953
1,entropy,3,1471,0.26004716791998594
1,entropy,4,1471,0.25622762435559354
1,entropy,5,1471,0.2587567003595295
1,entropy,6,1471,0.2538490741681338
1,entropy,7,1471,0.2561464239189945
1,entropy,8,1471,0.2516710619925369
1,entropy,9,1471,0.24938444008746338
1,kmeans,0,1471,0.27381134952919145
1,kmeans,1,1471,0.26249550833867613
1,kmeans,2,1471,0.2692657584483006
1,kmeans,3,1471,0.2651255516424324
1,kmeans,4,1471,0.2634500748209062
1,kmeans,5,1471,0.26624441640968627
1,kmeans,6,1471,0.2698543442340325
1,kmeans,7,1471,0.26832325998568024
1,kmeans,8,1471,0.2664099120901339
1,kmeans,9,1471,0.2689704590674049
1,wkmeans,0,1471,0.27381134952919145
1,wkmeans,1,1471,0.23326391550611855
1,wkmeans,2,1471,0.2594521445034459
1,wkmeans,3,1471,0.26195627896870205
1,wkmeans,4,1471,0.27303130124872454
1,wkmeans,5,1471,0.27077694633767513
1,wkmeans,6,1471,0.26579661049059317
1,wkmeans,7,1471,0.2643983991545006
1,wkmeans,8,1471,0.2593450588101005
1,wkmeans,9,1471,0.2566832103034586
2,random,0,1471,0.3189268771480431
