seed,method,n_iter,dataset,value
0,random,0,1590,1.4341082294755532
0,random,1,1590,1.2116365016061128
0,random,2,1590,1.1737489428811145
0,random,3,1590,1.1991833977196056
0,random,4,1590,1.1705331827392425
0,random,5,1590,1.1680868244975702
0,random,6,1590,1.1961776503601784
0,random,7,1590,1.2086711732873396
0,random,8,1590,1.2428422577004572
0,random,9,1590,1.2421799173592636
0,margin,0,1590,1.4481601298061955
0,margin,1,1590,1.000141354783796
0,margin,2,1590,0.9922668795659023
0,margin,3,1590,0.9892535724293435
0,margin,4,1590,1.0725290878111615
0,margin,5,1590,0.9717137005296248
0,margin,6,1590,0.9743334698652312
0,margin,7,1590,0.9855211600970373
0,margin,8,1590,1.03681770746054
0,margin,9,1590,1.0308352476016496
0,confidence,0,1590,1.4481601298061955
0,confidence,1,1590,1.000141354783796
0,confidence,2,1590,0.9922668795659023
0,confidence,3,1590,0.9892535724293435
0,confidence,4,1590,1.0725290878111615
0,confidence,5,1590,0.9717137005296248
0,confidence,6,1590,0.9743334698652312
0,confidence,7,1590,0.9855211600970373
0,confidence,8,1590,1.03681770746054
0,confidence,9,1590,1.0308352476016496
0,entropy,0,1590,1.4481601298061955
0,entropy,1,1590,1.000141354783796
0,entropy,2,1590,0.9922668795659023
0,entropy,3,1590,0.9892535724293435
0,entropy,4,1590,1.0725290878111615
0,entropy,5,1590,0.9717137005296248
0,entropy,6,1590,0.9743334698652312
0,entropy,7,1590,0.9855211600970373
0,entropy,8,1590,1.03681770746054
0,entropy,9,1590,1.0308352476016496
0,kmeans,0,1590,1.4484879017691954
0,kmeans,1,1590,1.2070678170738358
0,kmeans,2,1590,1.2055794689804602
0,kmeans,3,1590,1.3651021947546857
0,kmeans,4,1590,1.3638542414230785
0,kmeans,5,1590,1.4146352660267565
0,kmeans,6,1590,1.404556846226894
0,kmeans,7,1590,1.4384717540785374
0,kmeans,8,1590,1.4428113087987073
0,kmeans,9,1590,1.5399104794129943
0,wkmeans,0,1590,1.2558576047977013
0,wkmeans,1,1590,0.9944730926366812
0,wkmeans,2,1590,0.9854970657681658
0,wkmeans,3,1590,1.002937082562717
0,wkmeans,4,1590,0.9741606171320693
0,wkmeans,5,1590,1.0164878038256764
0,wkmeans,6,1590,0.9978708717887875
0,wkmeans,7,1590,1.0039469297942705
0,wkmeans,8,1590,1.0321845426206935
0,wkmeans,9,1590,1.0025299430409087
1,random,0,1590,1.2070087534142668
1,random,1,1590,1.1456659118459123
1,random,2,1590,1.116551355346877
1,random,3,1590,1.158782057651517
1,random,4,1590,1.215057763944183
1,random,5,1590,1.1776071345114534
1,random,6,1590,1.1556804925918394
1,random,7,1590,1.1974681198014723
1,random,8,1590,1.1753716008397357
1,random,9,1590,1.13379850166951
1,margin,0,1590,1.254987311331977
1,margin,1,1590,1.0193894367990384
1,margin,2,1590,1.016659284237443
1,margin,3,1590,0.9389804054195272
1,margin,4,1590,1.0113926602751369
1,margin,5,1590,1.0068531188813152
1,margin,6,1590,0.9815568953391689
1,margin,7,1590,0.9553529345755645
1,margin,8,1590,0.9869070160532899
1,margin,9,1590,0.9920354696722912
1,confidence,0,1590,1.254987311331977
1,confidence,1,1590,1.0193894367990384
1,confidence,2,1590,1.016659284237443
1,confidence,3,1590,0.9389804054195272
1,confidence,4,1590,1.0113926602751369
1,confidence,5,1590,1.0068531188813152
1,confidence,6,1590,0.9815568953391689
1,confidence,7,1590,0.9553529345755645
1,confidence,8,1590,0.9869070160532899
1,confidence,9,1590,0.9920354696722912
1,entropy,0,1590,1.254987311331977
1,entropy,1,1590,1.0193894367990384
1,entropy,2,1590,1.016659284237443
1,entropy,3,1590,0.9389804054195272
1,entropy,4,1590,1.0113926602751369
1,entropy,5,1590,1.0068531188813152
1,entropy,6,1590,0.9815568953391689
1,entropy,7,1590,0.9553529345755645
1,entropy,8,1590,0.9869070160532899
1,entropy,9,1590,0.9920354696722912
1,kmeans,0,1590,1.2558130131366778
1,kmeans,1,1590,1.2000906599973307
1,kmeans,2,1590,1.2254817969028216
1,kmeans,3,1590,1.2878259299921015
1,kmeans,4,1590,1.2905335063814893
1,kmeans,5,1590,1.395595409754616
1,kmeans,6,1590,1.3684373706105883
1,kmeans,7,1590,1.3763716732957094
1,kmeans,8,1590,1.4427854224559598
1,kmeans,9,1590,1.3706279412210145
1,wkmeans,0,1590,1.2220599760484834
1,wkmeans,1,1590,0.9968392612868353
1,wkmeans,2,1590,0.9997529262399212
1,wkmeans,3,1590,1.0525762315569918
1,wkmeans,4,1590,0.9722882924754696
1,wkmeans,5,1590,0.9963607064376286
1,wkmeans,6,1590,1.0269129967542188
1,wkmeans,7,1590,0.9933729220268795
1,wkmeans,8,1590,1.0092766191892533
1,wkmeans,9,1590,0.9408917867939008
2,random,0,1590,1.2242702347959369
2,random,1,1590,1.1489000431958754
2,random,2,1590,1.1763784670625042
2,random,3,1590,1.1807967107535153
2,random,4,1590,1.1781891271298208
2,random,5,1590,1.1680831100430613
2,random,6,1590,1.1089169822310245
2,random,7,1590,1.205985708295028
2,random,8,1590,1.2364112544997494
2,random,9,1590,1.1569392778596872
2,margin,0,1590,1.1208644785426654
2,margin,1,1590,1.0334913681163547
2,margin,2,1590,0.9374094220112917
2,margin,3,1590,0.9763470945216731
2,margin,4,1590,0.9839685946697893
2,margin,5,1590,0.9546146422500222
2,margin,6,1590,1.02586714285961
2,margin,7,1590,0.9316707848492299
2,margin,8,1590,1.0188822736964118
2,margin,9,1590,0.98863512761619
2,confidence,0,1590,1.1208644785426654
2,confidence,1,1590,1.0334913681163547
2,confidence,2,1590,0.9374094220112917
2,confidence,3,1590,0.9763470945216731
2,confidence,4,1590,0.9839685946697893
2,confidence,5,1590,0.9546146422500222
2,confidence,6,1590,1.02586714285961
2,confidence,7,1590,0.9316707848492299
2,confidence,8,1590,1.0188822736964118
2,confidence,9,1590,0.98863512761619
2,entropy,0,1590,1.1208644785426654
2,entropy,1,1590,1.0334913681163547
2,entropy,2,1590,0.9374094220112917
2,entropy,3,1590,0.9763470945216731
2,entropy,4,1590,0.9839685946697893
2,entropy,5,1590,0.9546146422500222
2,entropy,6,1590,1.02586714285961
2,entropy,7,1590,0.9316707848492299
2,entropy,8,1590,1.0188822736964118
