seed,method,n_iter,dataset,value
0,random,0,1590,0.9166666666666666
0,random,1,1590,0.9375
0,random,2,1590,0.8958333333333334
0,random,3,1590,0.9583333333333334
0,random,4,1590,0.9166666666666666
0,random,5,1590,0.8958333333333334
0,random,6,1590,0.7708333333333334
0,random,7,1590,0.8333333333333334
0,random,8,1590,0.9375
0,random,9,1590,0.875
0,margin,0,1590,0.14583333333333334
0,margin,1,1590,0.6041666666666666
0,margin,2,1590,0.5833333333333334
0,margin,3,1590,0.4583333333333333
0,margin,4,1590,0.6875
0,margin,5,1590,0.4375
0,margin,6,1590,0.4375
0,margin,7,1590,0.20833333333333334
0,margin,8,1590,0.4166666666666667
0,margin,9,1590,0.5208333333333334
0,confidence,0,1590,0.14583333333333334
0,confidence,1,1590,0.6041666666666666
0,confidence,2,1590,0.5833333333333334
0,confidence,3,1590,0.4583333333333333
0,confidence,4,1590,0.6875
0,confidence,5,1590,0.4375
0,confidence,6,1590,0.4375
0,confidence,7,1590,0.20833333333333334
0,confidence,8,1590,0.4166666666666667
0,confidence,9,1590,0.5208333333333334
0,entropy,0,1590,0.14583333333333334
0,entropy,1,1590,0.6041666666666666
0,entropy,2,1590,0.5833333333333334
0,entropy,3,1590,0.4583333333333333
0,entropy,4,1590,0.6875
0,entropy,5,1590,0.4375
0,entropy,6,1590,0.4375
0,entropy,7,1590,0.20833333333333334
0,entropy,8,1590,0.4166666666666667
0,entropy,9,1590,0.5208333333333334
0,kmeans,0,1590,0.8333333333333334
0,kmeans,1,1590,0.875
0,kmeans,2,1590,0.8541666666666666
0,kmeans,3,1590,0.8958333333333334
0,kmeans,4,1590,0.8333333333333334
0,kmeans,5,1590,0.8958333333333334
0,kmeans,6,1590,0.875
0,kmeans,7,1590,0.8958333333333334
0,kmeans,8,1590,0.9375
0,kmeans,9,1590,0.9166666666666666
0,wkmeans,0,1590,0.5625
0,wkmeans,1,1590,0.3333333333333333
0,wkmeans,2,1590,0.5833333333333334
0,wkmeans,3,1590,0.4583333333333333
0,wkmeans,4,1590,0.5625
0,wkmeans,5,1590,0.5208333333333334
0,wkmeans,6,1590,0.5208333333333334
0,wkmeans,7,1590,0.4375
0,wkmeans,8,1590,0.5416666666666666
0,wkmeans,9,1590,0.5416666666666666
1,random,0,1590,0.8333333333333334
1,random,1,1590,0.8541666666666666
1,random,2,1590,0.8541666666666666
1,random,3,1590,0.9375
1,random,4,1590,0.8958333333333334
1,random,5,1590,0.875
1,random,6,1590,0.7916666666666666
1,random,7,1590,0.8541666666666666
1,random,8,1590,0.875
1,random,9,1590,0.875
1,margin,0,1590,0.75
1,margin,1,1590,0.6666666666666666
1,margin,2,1590,0.8333333333333334
1,margin,3,1590,0.020833333333333332
1,margin,4,1590,0.5208333333333334
1,margin,5,1590,0.3958333333333333
1,margin,6,1590,0.4583333333333333
1,margin,7,1590,0.3958333333333333
1,margin,8,1590,0.5625
1,margin,9,1590,0.3958333333333333
1,confidence,0,1590,0.75
1,confidence,1,1590,0.6666666666666666
1,confidence,2,1590,0.8333333333333334
1,confidence,3,1590,0.020833333333333332
1,confidence,4,1590,0.5208333333333334
1,confidence,5,1590,0.3958333333333333
1,confidence,6,1590,0.4583333333333333
1,confidence,7,1590,0.3958333333333333
1,confidence,8,1590,0.5625
1,confidence,9,1590,0.3958333333333333
1,entropy,0,1590,0.75
1,entropy,1,1590,0.6666666666666666
1,entropy,2,1590,0.8333333333333334
1,entropy,3,1590,0.020833333333333332
1,entropy,4,1590,0.5208333333333334
1,entropy,5,1590,0.3958333333333333
1,entropy,6,1590,0.4583333333333333
1,entropy,7,1590,0.3958333333333333
1,entropy,8,1590,0.5625
1,entropy,9,1590,0.3958333333333333
1,kmeans,0,1590,0.8958333333333334
1,kmeans,1,1590,0.875
1,kmeans,2,1590,0.9166666666666666
1,kmeans,3,1590,0.9583333333333334
1,kmeans,4,1590,0.8958333333333334
1,kmeans,5,1590,0.8333333333333334
1,kmeans,6,1590,0.8958333333333334
1,kmeans,7,1590,0.8541666666666666
1,kmeans,8,1590,0.9583333333333334
1,kmeans,9,1590,0.8541666666666666
1,wkmeans,0,1590,0.8125
1,wkmeans,1,1590,0.3333333333333333
1,wkmeans,2,1590,0.3958333333333333
1,wkmeans,3,1590,0.6041666666666666
1,wkmeans,4,1590,0.375
1,wkmeans,5,1590,0.5
1,wkmeans,6,1590,0.5
1,wkmeans,7,1590,0.4791666666666667
1,wkmeans,8,1590,0.5416666666666666
1,wkmeans,9,1590,0.4166666666666667
2,random,0,1590,0.8541666666666666
2,random,1,1590,0.7708333333333334
2,random,2,1590,0.8333333333333334
2,random,3,1590,0.9166666666666666
2,random,4,1590,0.875
2,random,5,1590,0.9166666666666666
2,random,6,1590,0.8125
2,random,7,1590,0.875
2,random,8,1590,0.9166666666666666
2,random,9,1590,0.75
2,margin,0,1590,0.5208333333333334
2,margin,1,1590,0.7083333333333334
2,margin,2,1590,0.22916666666666666
2,margin,3,1590,0.3333333333333333
2,margin,4,1590,0.125
2,margin,5,1590,0.3541666666666667
2,margin,6,1590,0.5208333333333334
2,margin,7,1590,0.0625
2,margin,8,1590,0.4791666666666667
2,margin,9,1590,0.625
2,confidence,0,1590,0.5208333333333334
2,confidence,1,1590,0.7083333333333334
2,confidence,2,1590,0.22916666666666666
2,confidence,3,1590,0.3333333333333333
2,confidence,4,1590,0.125
2,confidence,5,1590,0.3541666666666667
2,confidence,6,1590,0.5208333333333334
2,confidence,7,1590,0.0625
2,confidence,8,1590,0.4791666666666667
2,confidence,9,1590,0.625
2,entropy,0,1590,0.5208333333333334
2,entropy,1,1590,0.7083333333333334
2,entropy,2,1590,0.22916666666666666
2,entropy,3,1590,0.3333333333333333
2,entropy,4,1590,0.125
2,entropy,5,1590,0.3541666666666667
2,entropy,6,1590,0.5208333333333334
2,entropy,7,1590,0.0625
2,entropy,8,1590,0.4791666666666667
2,entropy,9,1590,0.625
2,kmeans,0,1590,0.9166666666666666
2,kmeans,1,1590,0.8541666666666666
2,kmeans,2,1590,0.75
2,kmeans,3,1590,0.8333333333333334
2,kmeans,4,1590,0.8958333333333334
2,kmeans,5,1590,0.9166666666666666
2,kmeans,6,1590,0.8541666666666666
2,kmeans,7,1590,0.8333333333333334
2,kmeans,8,1590,0.8958333333333334
2,kmeans,9,1590,0.875
2,wkmeans,0,1590,0.5625
2,wkmeans,1,1590,0.6041666666666666
2,wkmeans,2,1590,0.16666666666666666
2,wkmeans,3,1590,0.4375
2,wkmeans,4,1590,0.3541666666666667
2,wkmeans,5,1590,0.3958333333333333
2,wkmeans,6,1590,0.5416666666666666
2,wkmeans,7,1590,0.3541666666666667
2,wkmeans,8,1590,0.3541666666666667
2,wkmeans,9,1590,0.7291666666666666
3,random,0,1590,0.8958333333333334
3,random,1,1590,0.9166666666666666
3,random,2,1590,0.9583333333333334
3,random,3,1590,0.8541666666666666
3,random,4,1590,0.9375
3,random,5,1590,0.8958333333333334
3,random,6,1590,0.8958333333333334
3,random,7,1590,0.875
3,random,8,1590,0.9583333333333334
3,random,9,1590,0.9166666666666666
3,margin,0,1590,0.4583333333333333
3,margin,1,1590,0.6041666666666666
3,margin,2,1590,0.041666666666666664
3,margin,3,1590,0.5
3,margin,4,1590,0.20833333333333334
3,margin,5,1590,0.5
3,margin,6,1590,0.9791666666666666
3,margin,7,1590,0.14583333333333334
3,margin,8,1590,0.8541666666666666
3,margin,9,1590,0.7083333333333334
3,confidence,0,1590,0.4583333333333333
3,confidence,1,1590,0.6041666666666666
3,confidence,2,1590,0.041666666666666664
3,confidence,3,1590,0.5
3,confidence,4,1590,0.20833333333333334
3,confidence,5,1590,0.5
3,confidence,6,1590,0.9791666666666666
3,confidence,7,1590,0.14583333333333334
3,confidence,8,1590,0.8541666666666666
3,confidence,9,1590,0.7083333333333334
3,entropy,0,1590,0.4583333333333333
3,entropy,1,1590,0.6041666666666666
3,entropy,2,1590,0.041666666666666664
3,entropy,3,1590,0.5
3,entropy,4,1590,0.20833333333333334
3,entropy,5,1590,0.5
3,entropy,6,1590,0.9791666666666666
3,entropy,7,1590,0.14583333333333334
3,entropy,8,1590,0.8541666666666666
3,entropy,9,1590,0.7083333333333334
3,kmeans,0,1590,0.9166666666666666
3,kmeans,1,1590,0.9791666666666666
3,kmeans,2,1590,0.9166666666666666
3,kmeans,3,1590,0.9166666666666666
3,kmeans,4,1590,0.9791666666666666
3,kmeans,5,1590,0.8333333333333334
3,kmeans,6,1590,0.9166666666666666
3,kmeans,7,1590,0.8958333333333334
3,kmeans,8,1590,0.8541666666666666
3,kmeans,9,1590,0.875
3,wkmeans,0,1590,0.5
3,wkmeans,1,1590,0.375
3,wkmeans,2,1590,0.6666666666666666
3,wkmeans,3,1590,0.5208333333333334
3,wkmeans,4,1590,0.375
3,wkmeans,5,1590,0.4375
3,wkmeans,6,1590,0.4791666666666667
3,wkmeans,7,1590,0.4166666666666667
3,wkmeans,8,1590,0.4791666666666667
3,wkmeans,9,1590,0.4166666666666667
4,random,0,1590,0.6875
4,random,1,1590,0.8125
4,random,2,1590,0.7916666666666666
4,random,3,1590,0.7708333333333334
4,random,4,1590,0.8541666666666666
4,random,5,1590,0.75
4,random,6,1590,0.8125
4,random,7,1590,0.8541666666666666
4,random,8,1590,0.8125
4,random,9,1590,0.7708333333333334
4,margin,0,1590,0.1875
4,margin,1,1590,0.7083333333333334
4,margin,2,1590,0.7291666666666666
4,margin,3,1590,0.5208333333333334
4,margin,4,1590,0.0625
4,margin,5,1590,0.4166666666666667
4,margin,6,1590,0.75
4,margin,7,1590,0.3541666666666667
4,margin,8,1590,0.3125
4,margin,9,1590,0.125
4,confidence,0,1590,0.1875
4,confidence,1,1590,0.7083333333333334
4,confidence,2,1590,0.7291666666666666
4,confidence,3,1590,0.5208333333333334
4,confidence,4,1590,0.0625
4,confidence,5,1590,0.4166666666666667
4,confidence,6,1590,0.75
4,confidence,7,1590,0.3541666666666667
4,confidence,8,1590,0.3125
4,confidence,9,1590,0.125
4,entropy,0,1590,0.1875
4,entropy,1,1590,0.7083333333333334
4,entropy,2,1590,0.7291666666666666
4,entropy,3,1590,0.5208333333333334
4,entropy,4,1590,0.0625
4,entropy,5,1590,0.4166666666666667
4,entropy,6,1590,0.75
4,entropy,7,1590,0.3541666666666667
4,entropy,8,1590,0.3125
4,entropy,9,1590,0.125
4,kmeans,0,1590,0.8125
4,kmeans,1,1590,0.9166666666666666
4,kmeans,2,1590,0.8333333333333334
4,kmeans,3,1590,0.9375
4,kmeans,4,1590,0.8958333333333334
4,kmeans,5,1590,0.9166666666666666
4,kmeans,6,1590,0.8958333333333334
4,kmeans,7,1590,0.8958333333333334
4,kmeans,8,1590,0.8541666666666666
4,kmeans,9,1590,0.8541666666666666
4,wkmeans,0,1590,0.3125
4,wkmeans,1,1590,0.4166666666666667
4,wkmeans,2,1590,0.75
4,wkmeans,3,1590,0.3958333333333333
4,wkmeans,4,1590,0.6666666666666666
4,wkmeans,5,1590,0.4791666666666667
