seed,method,n_iter,dataset,value
0,random,0,1590,0.0
0,random,1,1590,0.16283182795724807
0,random,2,1590,0.3797346965057622
0,random,3,1590,0.48293881611305084
0,random,4,1590,0.7336133956451045
0,random,5,1590,0.9377625529398981
0,random,6,1590,1.2904967947636807
0,random,7,1590,1.3156790596309584
0,random,8,1590,1.7428860850544377
0,random,9,1590,1.8653592544813369
0,margin,0,1590,0.0
0,margin,1,1590,0.19958814458556676
0,margin,2,1590,0.39134278813126133
0,margin,3,1590,0.513537345008576
0,margin,4,1590,0.9667486806575858
0,margin,5,1590,1.202448266832106
0,margin,6,1590,1.4420457593368796
0,margin,7,1590,1.649384913070189
0,margin,8,1590,1.7110510061050799
0,margin,9,1590,1.8915446408207033
0,confidence,0,1590,0.0
0,confidence,1,1590,0.19958814458556676
0,confidence,2,1590,0.39134278813126133
0,confidence,3,1590,0.513537345008576
0,confidence,4,1590,0.9667486806575858
0,confidence,5,1590,1.202448266832106
0,confidence,6,1590,1.4420457593368796
0,confidence,7,1590,1.649384913070189
0,confidence,8,1590,1.7110510061050799
0,confidence,9,1590,1.8915446408207033
0,entropy,0,1590,0.0
0,entropy,1,1590,0.19958814458556676
0,entropy,2,1590,0.39134278813126133
0,entropy,3,1590,0.513537345008576
0,entropy,4,1590,0.9667486806575858
0,entropy,5,1590,1.202448266832106
0,entropy,6,1590,1.4420457593368796
0,entropy,7,1590,1.649384913070189
0,entropy,8,1590,1.7110510061050799
0,entropy,9,1590,1.8915446408207033
0,kmeans,0,1590,0.0
0,kmeans,1,1590,0.21831518050497958
0,kmeans,2,1590,0.3255729627786409
0,kmeans,3,1590,0.43125315161545885
0,kmeans,4,1590,0.611438358255371
0,kmeans,5,1590,0.8354069340135916
0,kmeans,6,1590,0.935162246086564
0,kmeans,7,1590,1.0982042658302409
0,kmeans,8,1590,1.2324001277601735
0,kmeans,9,1590,1.349106085161165
0,wkmeans,0,1590,0.0
0,wkmeans,1,1590,0.19028510659154113
0,wkmeans,2,1590,0.35686864655316564
0,wkmeans,3,1590,0.5100944839144341
0,wkmeans,4,1590,0.7240916148560739
0,wkmeans,5,1590,0.9094814864406155
0,wkmeans,6,1590,1.2090876115654052
0,wkmeans,7,1590,1.3436241946281093
0,wkmeans,8,1590,1.5619196603278798
0,wkmeans,9,1590,1.7692991681031398
1,random,0,1590,0.0
1,random,1,1590,0.28803861932251773
1,random,2,1590,0.49000988035676024
1,random,3,1590,0.7121620654773053
1,random,4,1590,0.8109532657146548
1,random,5,1590,1.033059829731418
1,random,6,1590,1.2759726314266828
1,random,7,1590,1.4685348588148455
1,random,8,1590,1.7062913169031513
1,random,9,1590,1.9915115323413117
1,margin,0,1590,0.0
1,margin,1,1590,0.29090874323713045
1,margin,2,1590,0.5846235320883355
1,margin,3,1590,0.7390768706302933
1,margin,4,1590,0.9242987032790855
1,margin,5,1590,1.159825721970785
1,margin,6,1590,1.2541897627707286
1,margin,7,1590,1.5054922828173691
1,margin,8,1590,1.6981636875548645
1,margin,9,1590,1.900040461706926
1,confidence,0,1590,0.0
1,confidence,1,1590,0.29090874323713045
1,confidence,2,1590,0.5846235320883355
1,confidence,3,1590,0.7390768706302933
1,confidence,4,1590,0.9242987032790855
1,confidence,5,1590,1.159825721970785
1,confidence,6,1590,1.2541897627707286
1,confidence,7,1590,1.5054922828173691
1,confidence,8,1590,1.6981636875548645
1,confidence,9,1590,1.900040461706926
1,entropy,0,1590,0.0
1,entropy,1,1590,0.29090874323713045
1,entropy,2,1590,0.5846235320883355
1,entropy,3,1590,0.7390768706302933
1,entropy,4,1590,0.9242987032790855
1,entropy,5,1590,1.159825721970785
1,entropy,6,1590,1.2541897627707286
1,entropy,7,1590,1.5054922828173691
1,entropy,8,1590,1.6981636875548645
1,entropy,9,1590,1.900040461706926
1,kmeans,0,1590,0.0
1,kmeans,1,1590,0.2816187318739719
1,kmeans,2,1590,0.4709182162240083
1,kmeans,3,1590,0.583159095983684
1,kmeans,4,1590,0.7317851345830751
1,kmeans,5,1590,0.9229505669967852
1,kmeans,6,1590,1.1761666580375052
1,kmeans,7,1590,1.3020225485287134
1,kmeans,8,1590,1.580040058079293
1,kmeans,9,1590,1.7091628697553898
1,wkmeans,0,1590,0.0
1,wkmeans,1,1590,0.24263365275748205
1,wkmeans,2,1590,0.4630503595108935
1,wkmeans,3,1590,0.6573713360340507
1,wkmeans,4,1590,0.8521475393458571
1,wkmeans,5,1590,1.2554086534324937
1,wkmeans,6,1590,1.464779452868502
1,wkmeans,7,1590,1.7648645936070966
1,wkmeans,8,1590,2.1460089003760063
1,wkmeans,9,1590,2.081660811084445
2,random,0,1590,0.0
2,random,1,1590,0.1782550622921379
2,random,2,1590,0.36080518791172306
2,random,3,1590,0.5628650892410314
2,random,4,1590,0.7198315637066567
2,random,5,1590,1.0061091616681017
2,random,6,1590,1.1181752457167953
2,random,7,1590,1.1543211541741252
2,random,8,1590,1.5977648365878354
2,random,9,1590,1.5868837957311723
2,margin,0,1590,0.0
2,margin,1,1590,0.2316457670205921
2,margin,2,1590,0.4486433097085479
2,margin,3,1590,0.6894512104123467
2,margin,4,1590,0.890446218072614
2,margin,5,1590,1.0876728399098836
2,margin,6,1590,1.3064530833415504
2,margin,7,1590,1.453183411336303
2,margin,8,1590,1.7156168474513214
2,margin,9,1590,1.8386686312967797
2,confidence,0,1590,0.0
2,confidence,1,1590,0.2316457670205921
2,confidence,2,1590,0.4486433097085479
2,confidence,3,1590,0.6894512104123467
2,confidence,4,1590,0.890446218072614
2,confidence,5,1590,1.0876728399098836
2,confidence,6,1590,1.3064530833415504
2,confidence,7,1590,1.453183411336303
2,confidence,8,1590,1.7156168474513214
2,confidence,9,1590,1.8386686312967797
2,entropy,0,1590,0.0
2,entropy,1,1590,0.2316457670205921
2,entropy,2,1590,0.4486433097085479
2,entropy,3,1590,0.6894512104123467
2,entropy,4,1590,0.890446218072614
2,entropy,5,1590,1.0876728399098836
2,entropy,6,1590,1.3064530833415504
2,entropy,7,1590,1.453183411336303
2,entropy,8,1590,1.7156168474513214
2,entropy,9,1590,1.8386686312967797
2,kmeans,0,1590,0.0
2,kmeans,1,1590,0.20268106847026568
2,kmeans,2,1590,0.34319867200322296
2,kmeans,3,1590,0.4236914506717067
2,kmeans,4,1590,0.5146944295906255
2,kmeans,5,1590,0.6487022810619272
2,kmeans,6,1590,0.7146646662353195
2,kmeans,7,1590,0.8064176753357313
2,kmeans,8,1590,1.0211359125007757
2,kmeans,9,1590,1.309408438428954
2,wkmeans,0,1590,0.0
2,wkmeans,1,1590,0.19019310265269979
2,wkmeans,2,1590,0.3586203617798256
2,wkmeans,3,1590,0.5325515345408631
2,wkmeans,4,1590,0.7540603217228372
2,wkmeans,5,1590,0.9706755345911379
2,wkmeans,6,1590,1.0727979661261304
2,wkmeans,7,1590,1.2795594508433907
2,wkmeans,8,1590,1.4226930981016197
2,wkmeans,9,1590,1.5841091258970852
3,random,0,1590,0.0
3,random,1,1590,0.23733647674389471
3,random,2,1590,0.4063044226752899
3,random,3,1590,0.5925365791007783
3,random,4,1590,0.8239278116394506
3,random,5,1590,0.9229431923203619
3,random,6,1590,1.1245519359397427
3,random,7,1590,1.2401938181917291
3,random,8,1590,1.5522383400375523
3,random,9,1590,1.794844157824094
3,margin,0,1590,0.0
3,margin,1,1590,0.2317873806361902
3,margin,2,1590,0.42956451016385694
3,margin,3,1590,0.807807771323509
3,margin,4,1590,1.1458187387516015
3,margin,5,1590,1.2635659092066525
3,margin,6,1590,1.6779021875729805
3,margin,7,1590,1.6937822448592545
3,margin,8,1590,2.0827555714192
3,margin,9,1590,2.2093340221711095
3,confidence,0,1590,0.0
3,confidence,1,1590,0.2317873806361902
3,confidence,2,1590,0.42956451016385694
3,confidence,3,1590,0.807807771323509
3,confidence,4,1590,1.1458187387516015
3,confidence,5,1590,1.2635659092066525
3,confidence,6,1590,1.6779021875729805
3,confidence,7,1590,1.6937822448592545
3,confidence,8,1590,2.0827555714192
3,confidence,9,1590,2.2093340221711095
3,entropy,0,1590,0.0
3,entropy,1,1590,0.2317873806361902
3,entropy,2,1590,0.42956451016385694
3,entropy,3,1590,0.807807771323509
3,entropy,4,1590,1.1458187387516015
3,entropy,5,1590,1.2635659092066525
3,entropy,6,1590,1.6779021875729805
3,entropy,7,1590,1.6937822448592545
3,entropy,8,1590,2.0827555714192
3,entropy,9,1590,2.2093340221711095
3,kmeans,0,1590,0.0
3,kmeans,1,1590,0.25137372473369396
3,kmeans,2,1590,0.39518390053002517
3,kmeans,3,1590,0.5370297339216457
3,kmeans,4,1590,0.7018199504875282
3,kmeans,5,1590,0.8196187164596735
3,kmeans,6,1590,0.9249251627559326
3,kmeans,7,1590,1.125125330155066
3,kmeans,8,1590,1.2896077606593974
3,kmeans,9,1590,1.3509576427418568
3,wkmeans,0,1590,0.0
3,wkmeans,1,1590,0.23525247692487042
3,wkmeans,2,1590,0.37374453276859976
3,wkmeans,3,1590,0.5705106479414604
3,wkmeans,4,1590,0.829807089096879
3,wkmeans,5,1590,1.0536666370309737
3,wkmeans,6,1590,1.2996912968743928
3,wkmeans,7,1590,1.5411325580053241
3,wkmeans,8,1590,1.5907633633011524
3,wkmeans,9,1590,1.633356079668446
4,random,0,1590,0.0
4,random,1,1590,0.2089848581409252
4,random,2,1590,0.41045168285090394
4,random,3,1590,0.5268496435699117
4,random,4,1590,0.5877676462071513
4,random,5,1590,0.920864634510019
4,random,6,1590,0.9747379779122707
4,random,7,1590,1.3273192172469168
4,random,8,1590,1.6076655132876663
4,random,9,1590,1.666244210705961
4,margin,0,1590,0.0
4,margin,1,1590,0.19467636008286376
4,margin,2,1590,0.38111411524317956
4,margin,3,1590,0.5449471428837739
4,margin,4,1590,0.6987906994342373
4,margin,5,1590,0.9417782594684988
4,margin,6,1590,1.1309614607333716
4,margin,7,1590,1.5172500999893763
4,margin,8,1590,1.5600685079489627
4,margin,9,1590,1.8161245305009146
4,confidence,0,1590,0.0
4,confidence,1,1590,0.19467636008286376
4,confidence,2,1590,0.38111411524317956
4,confidence,3,1590,0.5449471428837739
4,confidence,4,1590,0.6987906994342373
4,confidence,5,1590,0.9417782594684988
4,confidence,6,1590,1.1309614607333716
4,confidence,7,1590,1.5172500999893763
4,confidence,8,1590,1.5600685079489627
4,confidence,9,1590,1.8161245305009146
4,entropy,0,1590,0.0
4,entropy,1,1590,0.19467636008286376
4,entropy,2,1590,0.38111411524317956
4,entropy,3,1590,0.5449471428837739
4,entropy,4,1590,0.6987906994342373
4,entropy,5,1590,0.9417782594684988
4,entropy,6,1590,1.1309614607333716
4,entropy,7,1590,1.5172500999893763
4,entropy,8,1590,1.5600685079489627
4,entropy,9,1590,1.8161245305009146
4,kmeans,0,1590,0.0
4,kmeans,1,1590,0.2617989466190385
4,kmeans,2,1590,0.46707000059542264
4,kmeans,3,1590,0.6090986972882786
4,kmeans,4,1590,0.7441866147117019
4,kmeans,5,1590,0.7996641570991139
4,kmeans,6,1590,0.9161021716004148
4,kmeans,7,1590,1.0001007014768766
4,kmeans,8,1590,1.1556708668484432
4,kmeans,9,1590,1.2297089159395624
4,wkmeans,0,1590,0.0
4,wkmeans,1,1590,0.1966809967646358
4,wkmeans,2,1590,0.42841144755668625
