seed,method,n_iter,dataset,value
0,random,0,41138,11366981813267.186
0,random,1,41138,58.32665333150374
0,random,2,41138,60.19135546799257
0,random,3,41138,127.03450187489065
0,random,4,41138,137.0059564908466
0,random,5,41138,151.49289826897953
0,random,6,41138,156.88523607208418
0,random,7,41138,137.53167662103328
0,random,8,41138,144.15797941271256
0,random,9,41138,154.74375156088428
0,margin,0,41138,11366981813267.186
0,margin,1,41138,12.5604719863294
0,margin,2,41138,7.281629909326737
0,margin,3,41138,4.544813607538544
0,margin,4,41138,3.3307409220268323
0,margin,5,41138,2.8743899860407804
0,margin,6,41138,2.563946663875962
0,margin,7,41138,2.2578959653576867
0,margin,8,41138,2.101830090681926
0,margin,9,41138,1.9759477343557859
0,confidence,0,41138,11366981813267.186
0,confidence,1,41138,12.5604719863294
0,confidence,2,41138,7.281629909326737
0,confidence,3,41138,4.544813607538544
0,confidence,4,41138,3.3307409220268323
0,confidence,5,41138,2.8743899860407804
0,confidence,6,41138,2.563946663875962
0,confidence,7,41138,2.2578959653576867
0,confidence,8,41138,2.101830090681926
0,confidence,9,41138,1.9759477343557859
0,entropy,0,41138,11366981813267.186
0,entropy,1,41138,12.5604719863294
0,entropy,2,41138,7.281629909326737
0,entropy,3,41138,4.544813607538544
0,entropy,4,41138,3.3307409220268323
0,entropy,5,41138,2.8743899860407804
0,entropy,6,41138,2.563946663875962
0,entropy,7,41138,2.2578959653576867
0,entropy,8,41138,2.101830090681926
0,entropy,9,41138,1.9759477343557859
0,kmeans,0,41138,11366981813267.186
0,kmeans,1,41138,69.03051080856505
0,kmeans,2,41138,53.83113630068921
0,kmeans,3,41138,38.48736559572465
0,kmeans,4,41138,45.12808237177819
0,kmeans,5,41138,42.54759369791596
0,kmeans,6,41138,42.214416501986044
0,kmeans,7,41138,40.87140740829718
0,kmeans,8,41138,41.18595380102451
0,kmeans,9,41138,43.915030308198276
0,wkmeans,0,41138,11366981813267.186
0,wkmeans,1,41138,16.299466206412873
0,wkmeans,2,41138,9.875271336405534
0,wkmeans,3,41138,6.047913895610016
0,wkmeans,4,41138,4.132001470739177
0,wkmeans,5,41138,3.529953987263607
0,wkmeans,6,41138,2.9730417975589534
0,wkmeans,7,41138,2.644473413781762
0,wkmeans,8,41138,2.313383037557723
0,wkmeans,9,41138,2.0717927099980384
