seed,method,n_iter,dataset,value
0,random,0,42395,0.98
0,random,1,42395,0.9325
0,random,2,42395,0.9166666666666666
0,random,3,42395,0.91875
0,random,4,42395,0.907
0,random,5,42395,0.9058333333333334
0,random,6,42395,0.9028571428571428
0,random,7,42395,0.900625
0,random,8,42395,0.9038888888888889
0,random,9,42395,0.9045
0,margin,0,42395,0.985
0,margin,1,42395,0.9375
0,margin,2,42395,0.885
0,margin,3,42395,0.8825
0,margin,4,42395,0.835
0,margin,5,42395,0.825
0,margin,6,42395,0.8014285714285714
0,margin,7,42395,0.78625
0,margin,8,42395,0.7872222222222223
0,margin,9,42395,0.77
0,confidence,0,42395,0.985
0,confidence,1,42395,0.9375
0,confidence,2,42395,0.885
0,confidence,3,42395,0.8825
0,confidence,4,42395,0.835
0,confidence,5,42395,0.825
0,confidence,6,42395,0.8014285714285714
0,confidence,7,42395,0.78625
0,confidence,8,42395,0.7872222222222223
0,confidence,9,42395,0.77
0,entropy,0,42395,0.985
0,entropy,1,42395,0.9375
0,entropy,2,42395,0.885
0,entropy,3,42395,0.8825
0,entropy,4,42395,0.835
0,entropy,5,42395,0.825
0,entropy,6,42395,0.8014285714285714
0,entropy,7,42395,0.78625
0,entropy,8,42395,0.7872222222222223
0,entropy,9,42395,0.77
0,kmeans,0,42395,0.985
0,kmeans,1,42395,0.9275
0,kmeans,2,42395,0.9116666666666666
0,kmeans,3,42395,0.91125
0,kmeans,4,42395,0.91
0,kmeans,5,42395,0.9033333333333333
0,kmeans,6,42395,0.9014285714285715
0,kmeans,7,42395,0.90625
0,kmeans,8,42395,0.905
0,kmeans,9,42395,0.905
0,wkmeans,0,42395,0.985
0,wkmeans,1,42395,0.925
0,wkmeans,2,42395,0.8716666666666667
0,wkmeans,3,42395,0.8575
0,wkmeans,4,42395,0.824
0,wkmeans,5,42395,0.7975
0,wkmeans,6,42395,0.7785714285714286
0,wkmeans,7,42395,0.760625
0,wkmeans,8,42395,0.7583333333333333
0,wkmeans,9,42395,0.737
1,random,0,42395,1.0
1,random,1,42395,0.9625
1,random,2,42395,0.935
1,random,3,42395,0.9425
1,random,4,42395,0.931
1,random,5,42395,0.9241666666666667
1,random,6,42395,0.9207142857142857
1,random,7,42395,0.919375
1,random,8,42395,0.915
1,random,9,42395,0.914
1,margin,0,42395,1.0
1,margin,1,42395,0.93
1,margin,2,42395,0.91
1,margin,3,42395,0.88375
1,margin,4,42395,0.853
1,margin,5,42395,0.8216666666666667
1,margin,6,42395,0.8135714285714286
1,margin,7,42395,0.79125
1,margin,8,42395,0.7844444444444445
1,margin,9,42395,0.764
1,confidence,0,42395,1.0
1,confidence,1,42395,0.93
1,confidence,2,42395,0.91
1,confidence,3,42395,0.88375
1,confidence,4,42395,0.853
1,confidence,5,42395,0.8216666666666667
1,confidence,6,42395,0.8135714285714286
1,confidence,7,42395,0.79125
1,confidence,8,42395,0.7844444444444445
1,confidence,9,42395,0.764
1,entropy,0,42395,1.0
1,entropy,1,42395,0.93
1,entropy,2,42395,0.91
1,entropy,3,42395,0.88375
1,entropy,4,42395,0.853
1,entropy,5,42395,0.8216666666666667
1,entropy,6,42395,0.8135714285714286
1,entropy,7,42395,0.79125
1,entropy,8,42395,0.7844444444444445
1,entropy,9,42395,0.764
1,kmeans,0,42395,1.0
1,kmeans,1,42395,0.965
1,kmeans,2,42395,0.9383333333333334
1,kmeans,3,42395,0.9375
1,kmeans,4,42395,0.933
1,kmeans,5,42395,0.9316666666666666
1,kmeans,6,42395,0.9264285714285714
1,kmeans,7,42395,0.925625
1,kmeans,8,42395,0.9205555555555556
1,kmeans,9,42395,0.921
1,wkmeans,0,42395,1.0
1,wkmeans,1,42395,0.935
1,wkmeans,2,42395,0.9033333333333333
1,wkmeans,3,42395,0.8775
1,wkmeans,4,42395,0.853
1,wkmeans,5,42395,0.8333333333333334
1,wkmeans,6,42395,0.8128571428571428
1,wkmeans,7,42395,0.798125
1,wkmeans,8,42395,0.7744444444444445
1,wkmeans,9,42395,0.759
2,random,0,42395,0.97
2,random,1,42395,0.9275
2,random,2,42395,0.9183333333333333
2,random,3,42395,0.91625
2,random,4,42395,0.911
2,random,5,42395,0.9116666666666666
2,random,6,42395,0.905
2,random,7,42395,0.901875
2,random,8,42395,0.9088888888888889
2,random,9,42395,0.902
2,margin,0,42395,0.97
2,margin,1,42395,0.92
2,margin,2,42395,0.895
2,margin,3,42395,0.87125
2,margin,4,42395,0.85
2,margin,5,42395,0.825
2,margin,6,42395,0.7942857142857143
2,margin,7,42395,0.786875
2,margin,8,42395,0.7638888888888888
2,margin,9,42395,0.75
2,confidence,0,42395,0.97
2,confidence,1,42395,0.92
2,confidence,2,42395,0.895
2,confidence,3,42395,0.87125
2,confidence,4,42395,0.85
2,confidence,5,42395,0.825
2,confidence,6,42395,0.7942857142857143
2,confidence,7,42395,0.786875
2,confidence,8,42395,0.7638888888888888
2,confidence,9,42395,0.75
2,entropy,0,42395,0.97
2,entropy,1,42395,0.92
2,entropy,2,42395,0.895
2,entropy,3,42395,0.87125
2,entropy,4,42395,0.85
2,entropy,5,42395,0.825
2,entropy,6,42395,0.7942857142857143
2,entropy,7,42395,0.786875
2,entropy,8,42395,0.7638888888888888
2,entropy,9,42395,0.75
2,kmeans,0,42395,0.97
2,kmeans,1,42395,0.95
2,kmeans,2,42395,0.93
2,kmeans,3,42395,0.93125
2,kmeans,4,42395,0.927
2,kmeans,5,42395,0.9316666666666666
2,kmeans,6,42395,0.9278571428571428
2,kmeans,7,42395,0.924375
2,kmeans,8,42395,0.9194444444444444
2,kmeans,9,42395,0.9215
2,wkmeans,0,42395,0.97
2,wkmeans,1,42395,0.925
2,wkmeans,2,42395,0.9133333333333333
2,wkmeans,3,42395,0.8725
2,wkmeans,4,42395,0.84
2,wkmeans,5,42395,0.8191666666666667
2,wkmeans,6,42395,0.7964285714285714
2,wkmeans,7,42395,0.780625
2,wkmeans,8,42395,0.7677777777777778
2,wkmeans,9,42395,0.752
3,random,0,42395,0.995
3,random,1,42395,0.9375
3,random,2,42395,0.9216666666666666
3,random,3,42395,0.92875
3,random,4,42395,0.925
3,random,5,42395,0.9125
3,random,6,42395,0.9192857142857143
3,random,7,42395,0.915625
3,random,8,42395,0.92
3,random,9,42395,0.914
3,margin,0,42395,0.995
3,margin,1,42395,0.93
3,margin,2,42395,0.8833333333333333
3,margin,3,42395,0.85375
3,margin,4,42395,0.829
3,margin,5,42395,0.7983333333333333
3,margin,6,42395,0.7792857142857142
3,margin,7,42395,0.7725
3,margin,8,42395,0.765
3,margin,9,42395,0.7605
3,confidence,0,42395,0.995
3,confidence,1,42395,0.93
3,confidence,2,42395,0.8833333333333333
3,confidence,3,42395,0.85375
3,confidence,4,42395,0.829
3,confidence,5,42395,0.7983333333333333
3,confidence,6,42395,0.7792857142857142
3,confidence,7,42395,0.7725
3,confidence,8,42395,0.765
3,confidence,9,42395,0.7605
3,entropy,0,42395,0.995
3,entropy,1,42395,0.93
3,entropy,2,42395,0.8833333333333333
3,entropy,3,42395,0.85375
3,entropy,4,42395,0.829
3,entropy,5,42395,0.7983333333333333
3,entropy,6,42395,0.7792857142857142
3,entropy,7,42395,0.7725
3,entropy,8,42395,0.765
3,entropy,9,42395,0.7605
3,kmeans,0,42395,0.995
3,kmeans,1,42395,0.935
3,kmeans,2,42395,0.9283333333333333
3,kmeans,3,42395,0.9175
3,kmeans,4,42395,0.924
3,kmeans,5,42395,0.92
3,kmeans,6,42395,0.92
3,kmeans,7,42395,0.920625
3,kmeans,8,42395,0.9183333333333333
3,kmeans,9,42395,0.9215
3,wkmeans,0,42395,0.995
3,wkmeans,1,42395,0.94
3,wkmeans,2,42395,0.8983333333333333
3,wkmeans,3,42395,0.88
3,wkmeans,4,42395,0.862
3,wkmeans,5,42395,0.8425
3,wkmeans,6,42395,0.8114285714285714
3,wkmeans,7,42395,0.798125
3,wkmeans,8,42395,0.775
3,wkmeans,9,42395,0.766
4,random,0,42395,0.96
4,random,1,42395,0.945
4,random,2,42395,0.9283333333333333
4,random,3,42395,0.9175
4,random,4,42395,0.923
4,random,5,42395,0.9141666666666667
4,random,6,42395,0.9092857142857143
4,random,7,42395,0.910625
4,random,8,42395,0.92
4,random,9,42395,0.9115
4,margin,0,42395,0.965
4,margin,1,42395,0.95
4,margin,2,42395,0.92
4,margin,3,42395,0.8925
4,margin,4,42395,0.864
4,margin,5,42395,0.8408333333333333
4,margin,6,42395,0.8178571428571428
4,margin,7,42395,0.795625
4,margin,8,42395,0.7883333333333333
4,margin,9,42395,0.767
4,confidence,0,42395,0.965
4,confidence,1,42395,0.95
4,confidence,2,42395,0.92
4,confidence,3,42395,0.8925
4,confidence,4,42395,0.864
4,confidence,5,42395,0.8408333333333333
4,confidence,6,42395,0.8178571428571428
4,confidence,7,42395,0.795625
4,confidence,8,42395,0.7883333333333333
4,confidence,9,42395,0.767
4,entropy,0,42395,0.965
4,entropy,1,42395,0.95
4,entropy,2,42395,0.92
4,entropy,3,42395,0.8925
4,entropy,4,42395,0.864
4,entropy,5,42395,0.8408333333333333
4,entropy,6,42395,0.8178571428571428
4,entropy,7,42395,0.795625
4,entropy,8,42395,0.7883333333333333
4,entropy,9,42395,0.767
4,kmeans,0,42395,0.965
4,kmeans,1,42395,0.94
4,kmeans,2,42395,0.9166666666666666
4,kmeans,3,42395,0.91625
4,kmeans,4,42395,0.92
4,kmeans,5,42395,0.92
4,kmeans,6,42395,0.92
4,kmeans,7,42395,0.918125
4,kmeans,8,42395,0.9155555555555556
4,kmeans,9,42395,0.914
4,wkmeans,0,42395,0.965
4,wkmeans,1,42395,0.9275
4,wkmeans,2,42395,0.9166666666666666
4,wkmeans,3,42395,0.875
4,wkmeans,4,42395,0.839
4,wkmeans,5,42395,0.8083333333333333
4,wkmeans,6,42395,0.79
4,wkmeans,7,42395,0.775625
4,wkmeans,8,42395,0.755
4,wkmeans,9,42395,0.7515
5,random,0,42395,1.0
5,random,1,42395,0.9325
5,random,2,42395,0.9233333333333333
5,random,3,42395,0.925
5,random,4,42395,0.919
5,random,5,42395,0.915
5,random,6,42395,0.9164285714285715
5,random,7,42395,0.915625
5,random,8,42395,0.9133333333333333
5,random,9,42395,0.9115
5,margin,0,42395,1.0
5,margin,1,42395,0.9225
5,margin,2,42395,0.9083333333333333
5,margin,3,42395,0.88625
5,margin,4,42395,0.865
5,margin,5,42395,0.835
5,margin,6,42395,0.8135714285714286
5,margin,7,42395,0.814375
5,margin,8,42395,0.7811111111111111
5,margin,9,42395,0.773
5,confidence,0,42395,1.0
5,confidence,1,42395,0.9225
5,confidence,2,42395,0.9083333333333333
5,confidence,3,42395,0.88625
5,confidence,4,42395,0.865
5,confidence,5,42395,0.835
5,confidence,6,42395,0.8135714285714286
5,confidence,7,42395,0.814375
5,confidence,8,42395,0.7811111111111111
5,confidence,9,42395,0.773
5,entropy,0,42395,1.0
5,entropy,1,42395,0.9225
5,entropy,2,42395,0.9083333333333333
5,entropy,3,42395,0.88625
5,entropy,4,42395,0.865
5,entropy,5,42395,0.835
5,entropy,6,42395,0.8135714285714286
5,entropy,7,42395,0.814375
5,entropy,8,42395,0.7811111111111111
5,entropy,9,42395,0.773
5,kmeans,0,42395,1.0
5,kmeans,1,42395,0.95
5,kmeans,2,42395,0.91
5,kmeans,3,42395,0.9175
5,kmeans,4,42395,0.913
5,kmeans,5,42395,0.9183333333333333
5,kmeans,6,42395,0.9135714285714286
5,kmeans,7,42395,0.9075
5,kmeans,8,42395,0.91
5,kmeans,9,42395,0.913
5,wkmeans,0,42395,1.0
5,wkmeans,1,42395,0.925
5,wkmeans,2,42395,0.8933333333333333
5,wkmeans,3,42395,0.88375
5,wkmeans,4,42395,0.855
5,wkmeans,5,42395,0.8425
5,wkmeans,6,42395,0.8057142857142857
5,wkmeans,7,42395,0.79375
5,wkmeans,8,42395,0.7811111111111111
5,wkmeans,9,42395,0.757
6,random,0,42395,1.0
6,random,1,42395,0.9375
6,random,2,42395,0.935
6,random,3,42395,0.93
6,random,4,42395,0.926
6,random,5,42395,0.9183333333333333
6,random,6,42395,0.915
6,random,7,42395,0.91375
6,random,8,42395,0.9127777777777778
6,random,9,42395,0.9105
6,margin,0,42395,1.0
6,margin,1,42395,0.935
6,margin,2,42395,0.8916666666666667
6,margin,3,42395,0.86
6,margin,4,42395,0.824
6,margin,5,42395,0.8033333333333333
6,margin,6,42395,0.7878571428571428
6,margin,7,42395,0.765
6,margin,8,42395,0.7455555555555555
6,margin,9,42395,0.7535
6,confidence,0,42395,1.0
6,confidence,1,42395,0.935
6,confidence,2,42395,0.8916666666666667
6,confidence,3,42395,0.86
6,confidence,4,42395,0.824
6,confidence,5,42395,0.8033333333333333
6,confidence,6,42395,0.7878571428571428
6,confidence,7,42395,0.765
6,confidence,8,42395,0.7455555555555555
6,confidence,9,42395,0.7535
6,entropy,0,42395,1.0
6,entropy,1,42395,0.935
6,entropy,2,42395,0.8916666666666667
6,entropy,3,42395,0.86
6,entropy,4,42395,0.824
6,entropy,5,42395,0.8033333333333333
6,entropy,6,42395,0.7878571428571428
6,entropy,7,42395,0.765
6,entropy,8,42395,0.7455555555555555
6,entropy,9,42395,0.7535
6,kmeans,0,42395,1.0
6,kmeans,1,42395,0.9525
6,kmeans,2,42395,0.9283333333333333
6,kmeans,3,42395,0.9275
6,kmeans,4,42395,0.914
6,kmeans,5,42395,0.915
6,kmeans,6,42395,0.9042857142857142
6,kmeans,7,42395,0.90625
6,kmeans,8,42395,0.9061111111111111
6,kmeans,9,42395,0.907
6,wkmeans,0,42395,1.0
6,wkmeans,1,42395,0.925
6,wkmeans,2,42395,0.8866666666666667
6,wkmeans,3,42395,0.84375
6,wkmeans,4,42395,0.812
6,wkmeans,5,42395,0.8033333333333333
6,wkmeans,6,42395,0.775
6,wkmeans,7,42395,0.7625
6,wkmeans,8,42395,0.7538888888888889
6,wkmeans,9,42395,0.75
7,random,0,42395,0.995
7,random,1,42395,0.9325
7,random,2,42395,0.9283333333333333
7,random,3,42395,0.91375
7,random,4,42395,0.911
7,random,5,42395,0.9091666666666667
7,random,6,42395,0.9035714285714286
7,random,7,42395,0.90375
7,random,8,42395,0.9033333333333333
7,random,9,42395,0.8995
7,margin,0,42395,1.0
7,margin,1,42395,0.9125
7,margin,2,42395,0.885
7,margin,3,42395,0.8575
7,margin,4,42395,0.821
7,margin,5,42395,0.805
7,margin,6,42395,0.7807142857142857
7,margin,7,42395,0.768125
7,margin,8,42395,0.765
7,margin,9,42395,0.7495
7,confidence,0,42395,1.0
7,confidence,1,42395,0.9125
7,confidence,2,42395,0.885
7,confidence,3,42395,0.8575
7,confidence,4,42395,0.821
7,confidence,5,42395,0.805
7,confidence,6,42395,0.7807142857142857
7,confidence,7,42395,0.768125
7,confidence,8,42395,0.765
7,confidence,9,42395,0.7495
7,entropy,0,42395,1.0
7,entropy,1,42395,0.9125
7,entropy,2,42395,0.885
7,entropy,3,42395,0.8575
7,entropy,4,42395,0.821
7,entropy,5,42395,0.805
7,entropy,6,42395,0.7807142857142857
7,entropy,7,42395,0.768125
7,entropy,8,42395,0.765
7,entropy,9,42395,0.7495
7,kmeans,0,42395,1.0
7,kmeans,1,42395,0.9575
7,kmeans,2,42395,0.9266666666666666
7,kmeans,3,42395,0.92375
7,kmeans,4,42395,0.928
7,kmeans,5,42395,0.925
7,kmeans,6,42395,0.93
7,kmeans,7,42395,0.921875
7,kmeans,8,42395,0.9216666666666666
7,kmeans,9,42395,0.9225
7,wkmeans,0,42395,1.0
7,wkmeans,1,42395,0.925
7,wkmeans,2,42395,0.9083333333333333
7,wkmeans,3,42395,0.86625
7,wkmeans,4,42395,0.84
7,wkmeans,5,42395,0.8225
7,wkmeans,6,42395,0.8
7,wkmeans,7,42395,0.77875
7,wkmeans,8,42395,0.7594444444444445
7,wkmeans,9,42395,0.75
8,random,0,42395,0.995
8,random,1,42395,0.945
8,random,2,42395,0.9233333333333333
8,random,3,42395,0.92125
8,random,4,42395,0.911
8,random,5,42395,0.9158333333333334
8,random,6,42395,0.9064285714285715
8,random,7,42395,0.90375
8,random,8,42395,0.9016666666666666
8,random,9,42395,0.906
8,margin,0,42395,0.995
8,margin,1,42395,0.915
8,margin,2,42395,0.8933333333333333
8,margin,3,42395,0.85375
8,margin,4,42395,0.836
8,margin,5,42395,0.81
8,margin,6,42395,0.805
8,margin,7,42395,0.789375
8,margin,8,42395,0.7844444444444445
8,margin,9,42395,0.7605
8,confidence,0,42395,0.995
8,confidence,1,42395,0.915
8,confidence,2,42395,0.8933333333333333
8,confidence,3,42395,0.85375
8,confidence,4,42395,0.836
8,confidence,5,42395,0.81
8,confidence,6,42395,0.805
8,confidence,7,42395,0.789375
8,confidence,8,42395,0.7844444444444445
8,confidence,9,42395,0.7605
8,entropy,0,42395,0.995
8,entropy,1,42395,0.915
8,entropy,2,42395,0.8933333333333333
8,entropy,3,42395,0.85375
8,entropy,4,42395,0.836
8,entropy,5,42395,0.81
8,entropy,6,42395,0.805
8,entropy,7,42395,0.789375
8,entropy,8,42395,0.7844444444444445
8,entropy,9,42395,0.7605
8,kmeans,0,42395,0.995
8,kmeans,1,42395,0.9425
8,kmeans,2,42395,0.9283333333333333
8,kmeans,3,42395,0.92375
8,kmeans,4,42395,0.913
8,kmeans,5,42395,0.9125
8,kmeans,6,42395,0.9085714285714286
8,kmeans,7,42395,0.9075
8,kmeans,8,42395,0.9077777777777778
8,kmeans,9,42395,0.9085
8,wkmeans,0,42395,0.995
8,wkmeans,1,42395,0.945
8,wkmeans,2,42395,0.915
8,wkmeans,3,42395,0.8925
8,wkmeans,4,42395,0.858
8,wkmeans,5,42395,0.8366666666666667
8,wkmeans,6,42395,0.8078571428571428
8,wkmeans,7,42395,0.793125
8,wkmeans,8,42395,0.7766666666666666
8,wkmeans,9,42395,0.763
9,random,0,42395,0.975
9,random,1,42395,0.9525
9,random,2,42395,0.9316666666666666
9,random,3,42395,0.935
9,random,4,42395,0.928
9,random,5,42395,0.9325
9,random,6,42395,0.9285714285714286
9,random,7,42395,0.92125
