seed,method,n_iter,dataset,value
0,random,0,42395,0.92
0,random,1,42395,0.89
0,random,2,42395,0.87
0,random,3,42395,0.885
0,random,4,42395,0.895
0,random,5,42395,0.875
0,random,6,42395,0.92
0,random,7,42395,0.925
0,random,8,42395,0.87
0,random,9,42395,0.9
0,margin,0,42395,0.505
0,margin,1,42395,0.47
0,margin,2,42395,0.5
0,margin,3,42395,0.49
0,margin,4,42395,0.555
0,margin,5,42395,0.485
0,margin,6,42395,0.55
0,margin,7,42395,0.51
0,margin,8,42395,0.495
0,margin,9,42395,0.485
0,confidence,0,42395,0.505
0,confidence,1,42395,0.47
0,confidence,2,42395,0.5
0,confidence,3,42395,0.49
0,confidence,4,42395,0.555
0,confidence,5,42395,0.485
0,confidence,6,42395,0.55
0,confidence,7,42395,0.51
0,confidence,8,42395,0.495
0,confidence,9,42395,0.485
0,entropy,0,42395,0.505
0,entropy,1,42395,0.47
0,entropy,2,42395,0.5
0,entropy,3,42395,0.49
0,entropy,4,42395,0.555
0,entropy,5,42395,0.485
0,entropy,6,42395,0.55
0,entropy,7,42395,0.51
0,entropy,8,42395,0.495
0,entropy,9,42395,0.485
0,kmeans,0,42395,0.88
0,kmeans,1,42395,0.885
0,kmeans,2,42395,0.91
0,kmeans,3,42395,0.88
0,kmeans,4,42395,0.885
0,kmeans,5,42395,0.89
0,kmeans,6,42395,0.895
0,kmeans,7,42395,0.9
0,kmeans,8,42395,0.89
0,kmeans,9,42395,0.905
0,wkmeans,0,42395,0.68
0,wkmeans,1,42395,0.645
0,wkmeans,2,42395,0.65
0,wkmeans,3,42395,0.555
0,wkmeans,4,42395,0.51
0,wkmeans,5,42395,0.535
0,wkmeans,6,42395,0.48
0,wkmeans,7,42395,0.545
0,wkmeans,8,42395,0.565
0,wkmeans,9,42395,0.55
1,random,0,42395,0.92
1,random,1,42395,0.915
1,random,2,42395,0.915
1,random,3,42395,0.895
1,random,4,42395,0.88
1,random,5,42395,0.89
1,random,6,42395,0.915
1,random,7,42395,0.88
1,random,8,42395,0.895
1,random,9,42395,0.895
1,margin,0,42395,0.525
1,margin,1,42395,0.495
1,margin,2,42395,0.485
1,margin,3,42395,0.535
1,margin,4,42395,0.575
1,margin,5,42395,0.515
1,margin,6,42395,0.48
1,margin,7,42395,0.475
1,margin,8,42395,0.535
1,margin,9,42395,0.515
1,confidence,0,42395,0.525
1,confidence,1,42395,0.495
1,confidence,2,42395,0.485
1,confidence,3,42395,0.535
1,confidence,4,42395,0.575
1,confidence,5,42395,0.515
1,confidence,6,42395,0.48
1,confidence,7,42395,0.475
1,confidence,8,42395,0.535
1,confidence,9,42395,0.515
1,entropy,0,42395,0.525
1,entropy,1,42395,0.495
1,entropy,2,42395,0.485
1,entropy,3,42395,0.535
1,entropy,4,42395,0.575
1,entropy,5,42395,0.515
1,entropy,6,42395,0.48
1,entropy,7,42395,0.475
1,entropy,8,42395,0.535
1,entropy,9,42395,0.515
1,kmeans,0,42395,0.92
1,kmeans,1,42395,0.895
1,kmeans,2,42395,0.935
1,kmeans,3,42395,0.89
1,kmeans,4,42395,0.925
1,kmeans,5,42395,0.93
1,kmeans,6,42395,0.91
1,kmeans,7,42395,0.885
1,kmeans,8,42395,0.915
1,kmeans,9,42395,0.905
1,wkmeans,0,42395,0.645
1,wkmeans,1,42395,0.61
1,wkmeans,2,42395,0.71
