seed,method,n_iter,dataset,value
0,random,0,43439,1.1713872508580772
0,random,1,43439,1.1607516260282507
0,random,2,43439,1.16968649993435
0,random,3,43439,1.1484951263481769
0,random,4,43439,1.1588050251101467
0,random,5,43439,1.1298537117902918
0,random,6,43439,1.1265109293944526
0,random,7,43439,1.1245202749621026
0,random,8,43439,1.0893949784554982
0,random,9,43439,1.1057924067287515
0,margin,0,43439,1.0711872258329038
0,margin,1,43439,1.1459099242365327
0,margin,2,43439,1.0839185301967187
0,margin,3,43439,0.9780428519094834
0,margin,4,43439,1.0348040766692754
0,margin,5,43439,0.9644332475820718
0,margin,6,43439,1.006514690737817
0,margin,7,43439,1.000445615194492
0,margin,8,43439,0.9926035827123216
0,margin,9,43439,0.9993404335963674
0,confidence,0,43439,1.0711872258329038
0,confidence,1,43439,1.1459099242365327
0,confidence,2,43439,1.0839185301967187
0,confidence,3,43439,0.9780428519094834
0,confidence,4,43439,1.0348040766692754
0,confidence,5,43439,0.9644332475820718
0,confidence,6,43439,1.006514690737817
0,confidence,7,43439,1.000445615194492
0,confidence,8,43439,0.9926035827123216
0,confidence,9,43439,0.9993404335963674
0,entropy,0,43439,1.0708717333260391
0,entropy,1,43439,1.0033835399611548
0,entropy,2,43439,0.9187103554026987
0,entropy,3,43439,1.203551028380732
0,entropy,4,43439,1.0103322863853204
0,entropy,5,43439,1.08270940420289
0,entropy,6,43439,1.0139879394169324
0,entropy,7,43439,1.0169361982743506
0,entropy,8,43439,1.0158468531445468
0,entropy,9,43439,1.0180532436088474
0,kmeans,0,43439,1.1528403468518442
0,kmeans,1,43439,1.1640695744953957
0,kmeans,2,43439,1.1598298431587453
0,kmeans,3,43439,1.146548295326118
0,kmeans,4,43439,1.1751830860560128
0,kmeans,5,43439,1.1703901730357373
0,kmeans,6,43439,1.173447995895629
0,kmeans,7,43439,1.2039429214795603
0,kmeans,8,43439,1.1927455690364914
0,kmeans,9,43439,1.1932844554583233
0,wkmeans,0,43439,0.9311966882062425
0,wkmeans,1,43439,0.941703108643552
0,wkmeans,2,43439,0.9998495422720008
0,wkmeans,3,43439,1.0016453496412348
0,wkmeans,4,43439,1.0199818665652793
0,wkmeans,5,43439,1.0210287699608196
0,wkmeans,6,43439,1.006030041540705
0,wkmeans,7,43439,1.0001272796942502
0,wkmeans,8,43439,1.0125175134363216
0,wkmeans,9,43439,1.0200491493964707
1,random,0,43439,1.2187970315417929
1,random,1,43439,1.1629270359772141
1,random,2,43439,1.1296626285890703
1,random,3,43439,1.12482709291539
1,random,4,43439,1.1083806316524232
1,random,5,43439,1.106079187180951
1,random,6,43439,1.105242671872385
1,random,7,43439,1.097871188196273
1,random,8,43439,1.0983050630503421
1,random,9,43439,1.085445683785309
1,margin,0,43439,1.1144627239412856
1,margin,1,43439,1.1789605403298111
1,margin,2,43439,0.8457711536409579
1,margin,3,43439,0.9846731247903072
1,margin,4,43439,1.0088112679525332
1,margin,5,43439,1.0714264085588288
1,margin,6,43439,1.0028442167725204
1,margin,7,43439,1.0336991714579253
1,margin,8,43439,1.0084349245500983
1,margin,9,43439,0.9873976908696994
1,confidence,0,43439,1.1144627239412856
1,confidence,1,43439,1.1789605403298111
1,confidence,2,43439,0.8457711536409579
1,confidence,3,43439,0.9846731247903072
1,confidence,4,43439,1.0088112679525332
1,confidence,5,43439,1.0714264085588288
1,confidence,6,43439,1.0028442167725204
1,confidence,7,43439,1.0336991714579253
1,confidence,8,43439,1.0084349245500983
1,confidence,9,43439,0.9873976908696994
1,entropy,0,43439,1.1144627239412856
1,entropy,1,43439,1.1789605403298111
1,entropy,2,43439,0.8457711536409579
1,entropy,3,43439,0.9846731247903072
1,entropy,4,43439,1.0088112679525332
1,entropy,5,43439,1.0714264085588288
1,entropy,6,43439,1.0028442167725204
