seed,method,n_iter,dataset,value
0,random,0,43439,1.3607053891190626
0,random,1,43439,1.084137561843497
0,random,2,43439,0.9770773595097011
0,random,3,43439,1.1350278176576551
0,random,4,43439,1.023913010048398
0,random,5,43439,1.0245978613909945
0,random,6,43439,1.108031844146115
0,random,7,43439,1.0754036431076512
0,random,8,43439,1.0890693287956181
0,random,9,43439,0.9863737702789579
0,margin,0,43439,1.4020792397841222
0,margin,1,43439,2.038027900990363
0,margin,2,43439,1.6068660538836783
0,margin,3,43439,1.393210566847976
0,margin,4,43439,1.1542541962582202
0,margin,5,43439,1.1838530235074323
0,margin,6,43439,1.1878207765565425
0,margin,7,43439,1.2120805796910585
0,margin,8,43439,1.0085550319567937
0,margin,9,43439,1.0976559091478189
0,confidence,0,43439,1.4020792397841222
0,confidence,1,43439,2.038027900990363
0,confidence,2,43439,1.6068660538836783
0,confidence,3,43439,1.393210566847976
0,confidence,4,43439,1.1542541962582202
0,confidence,5,43439,1.1838530235074323
0,confidence,6,43439,1.1878207765565425
0,confidence,7,43439,1.2120805796910585
0,confidence,8,43439,1.0085550319567937
0,confidence,9,43439,1.0976559091478189
0,entropy,0,43439,1.3997088640736424
0,entropy,1,43439,1.5342662688515234
0,entropy,2,43439,1.5387183479815059
0,entropy,3,43439,1.147087997852339
0,entropy,4,43439,1.1698373297944813
0,entropy,5,43439,1.2028051406327143
0,entropy,6,43439,1.1879383441349003
0,entropy,7,43439,1.136442928470284
0,entropy,8,43439,1.1418471342704786
0,entropy,9,43439,0.9709506086531411
0,kmeans,0,43439,1.0264392713318284
0,kmeans,1,43439,0.6880956795558941
0,kmeans,2,43439,0.763122588433482
0,kmeans,3,43439,0.7259916609459527
0,kmeans,4,43439,0.7244347440663418
0,kmeans,5,43439,0.7473293928472746
0,kmeans,6,43439,0.794405154350939
0,kmeans,7,43439,0.7614052850349109
0,kmeans,8,43439,0.9373388472858712
0,kmeans,9,43439,0.7563452923975951
0,wkmeans,0,43439,1.6191900843645337
0,wkmeans,1,43439,1.0755487988773487
0,wkmeans,2,43439,1.1534202979170032
0,wkmeans,3,43439,0.9676536036007048
0,wkmeans,4,43439,0.9114637549945996
0,wkmeans,5,43439,1.219770455628232
0,wkmeans,6,43439,1.1111834890781545
0,wkmeans,7,43439,1.0434308124133724
0,wkmeans,8,43439,1.0336175281759645
0,wkmeans,9,43439,1.035530425540649
1,random,0,43439,1.6128053157137996
1,random,1,43439,1.125850751478514
1,random,2,43439,1.0558211249586695
1,random,3,43439,1.0361631994184828
1,random,4,43439,1.1053293790602299
1,random,5,43439,1.0262091380691258
1,random,6,43439,1.0532645982250397
1,random,7,43439,0.9847403979288308
1,random,8,43439,1.0140812003282798
1,random,9,43439,1.045599011525018
1,margin,0,43439,0.9765734113486472
1,margin,1,43439,1.4800955816270684
1,margin,2,43439,1.5913382902648012
1,margin,3,43439,1.3900307302543475
1,margin,4,43439,1.1709370599003293
1,margin,5,43439,1.0832360540023038
1,margin,6,43439,1.0755208374678809
1,margin,7,43439,1.1643869603826902
1,margin,8,43439,1.1074923010622477
1,margin,9,43439,0.9136220517530254
1,confidence,0,43439,0.9765734113486472
1,confidence,1,43439,1.4800955816270684
1,confidence,2,43439,1.5913382902648012
1,confidence,3,43439,1.3900307302543475
1,confidence,4,43439,1.1709370599003293
1,confidence,5,43439,1.0832360540023038
1,confidence,6,43439,1.0755208374678809
1,confidence,7,43439,1.1643869603826902
1,confidence,8,43439,1.1074923010622477
1,confidence,9,43439,0.9136220517530254
1,entropy,0,43439,0.9765734113486472
1,entropy,1,43439,1.4800955816270684
1,entropy,2,43439,1.5913382902648012
1,entropy,3,43439,1.3900307302543475
1,entropy,4,43439,1.1709370599003293
1,entropy,5,43439,1.0832360540023038
1,entropy,6,43439,1.0755208374678809
1,entropy,7,43439,1.1643869603826902
1,entropy,8,43439,1.1074923010622477
1,entropy,9,43439,0.9136220517530254
