seed,method,n_iter,dataset,value
0,random,0,43551,0.725563604030619
0,random,1,43551,0.2556432241241292
0,random,2,43551,0.11343569884610342
0,random,3,43551,0.06185549684939315
0,random,4,43551,0.033230176746617
0,random,5,43551,0.23420778416248805
0,random,6,43551,0.07583334340569485
0,random,7,43551,0.09353311771677783
0,random,8,43551,0.02735700236120374
0,random,9,43551,0.02201150699504252
0,margin,0,43551,0.16665240809956494
0,margin,1,43551,1.0061562438976086
0,margin,2,43551,0.2524031904962404
0,margin,3,43551,1.411679890235783
0,margin,4,43551,0.0011888209573898982
0,margin,5,43551,1.5976335414890925
0,margin,6,43551,0.0
0,margin,7,43551,0.3543354032664325
0,margin,8,43551,0.1336774972954195
0,margin,9,43551,0.6536343612115385
0,confidence,0,43551,2.3990702160995165
0,confidence,1,43551,1.7566099331540612
0,confidence,2,43551,0.0
0,confidence,3,43551,1.6035786031150714
0,confidence,4,43551,1.1777202884858218
0,confidence,5,43551,1.330187480128293
0,confidence,6,43551,0.06045272576045734
0,confidence,7,43551,0.04297856686718739
0,confidence,8,43551,0.3644734391700456
0,confidence,9,43551,0.10587457837391148
0,entropy,0,43551,3.1113831272012704
0,entropy,1,43551,1.8963280177669408
0,entropy,2,43551,0.23521606773739084
0,entropy,3,43551,2.6319779076310774
0,entropy,4,43551,0.28512977792087374
0,entropy,5,43551,0.09740372721096835
0,entropy,6,43551,0.26851584869680334
0,entropy,7,43551,2.0423815207983216
0,entropy,8,43551,0.0
0,entropy,9,43551,0.5327212484704884
0,kmeans,0,43551,0.7131536131009268
0,kmeans,1,43551,0.1276158404917569
0,kmeans,2,43551,0.031755477361357455
0,kmeans,3,43551,0.007383503405045306
0,kmeans,4,43551,0.028669182519732928
0,kmeans,5,43551,0.008282094859486094
0,kmeans,6,43551,0.032784351089850734
0,kmeans,7,43551,0.0003259926880368327
0,kmeans,8,43551,0.006509904355232372
0,kmeans,9,43551,0.048125873109268205
0,wkmeans,0,43551,1.4482031782520803
0,wkmeans,1,43551,0.7388984182216722
0,wkmeans,2,43551,0.9350270405488794
0,wkmeans,3,43551,0.18214535197272502
0,wkmeans,4,43551,0.12315718609899937
0,wkmeans,5,43551,0.0006441058609141618
0,wkmeans,6,43551,0.04257085280781018
0,wkmeans,7,43551,0.06493198972408229
0,wkmeans,8,43551,0.00046558567189278275
0,wkmeans,9,43551,0.003203625687049474
1,random,0,43551,1.133791805465381
1,random,1,43551,0.45084201205718305
1,random,2,43551,0.08680747529451893
1,random,3,43551,0.2093731324120346
1,random,4,43551,0.062253391735536276
1,random,5,43551,0.15454025476658417
1,random,6,43551,0.04815133061957723
1,random,7,43551,0.005739900288609529
1,random,8,43551,0.030769236470996067
1,random,9,43551,0.014504686345329868
1,margin,0,43551,1.0115527751476303
1,margin,1,43551,1.826738881475815
1,margin,2,43551,1.3582341041865948
1,margin,3,43551,1.0042916905581816
1,margin,4,43551,0.09436246685550238
1,margin,5,43551,0.0
1,margin,6,43551,0.5295486573584025
1,margin,7,43551,0.0712574635195923
1,margin,8,43551,0.0877754645750063
1,margin,9,43551,0.0
1,confidence,0,43551,1.8478101825625448
1,confidence,1,43551,1.738748368402152
1,confidence,2,43551,1.0500052988546833
1,confidence,3,43551,0.8047417851115793
1,confidence,4,43551,0.07901939027361994
1,confidence,5,43551,0.009518155920912966
1,confidence,6,43551,0.19674666966590001
1,confidence,7,43551,0.21870340425349447
1,confidence,8,43551,1.9986933177024366
1,confidence,9,43551,0.0023829847648468845
1,entropy,0,43551,3.3622509776328724
1,entropy,1,43551,0.17546750440874967
1,entropy,2,43551,0.13039587440618916
1,entropy,3,43551,0.17315083028670256
1,entropy,4,43551,0.0
1,entropy,5,43551,1.6973729182298611
1,entropy,6,43551,0.4185592146734648
1,entropy,7,43551,0.0
1,entropy,8,43551,0.05533880853671393
1,entropy,9,43551,0.03139076428908259
1,kmeans,0,43551,0.7958440795205719
1,kmeans,1,43551,0.03944845605584385
1,kmeans,2,43551,0.008875234082754447
1,kmeans,3,43551,0.0178327546199199
1,kmeans,4,43551,0.013683935468525142
1,kmeans,5,43551,0.017003632228931264
1,kmeans,6,43551,0.019842934370306015
1,kmeans,7,43551,0.01163675832798791
1,kmeans,8,43551,0.046033919968062456
1,kmeans,9,43551,0.012959035122043936
1,wkmeans,0,43551,2.255113501175427
1,wkmeans,1,43551,1.0505516154100325
1,wkmeans,2,43551,0.5377742054800572
1,wkmeans,3,43551,0.22139345814169398
1,wkmeans,4,43551,0.021114785285517204
1,wkmeans,5,43551,0.04513433502231334
1,wkmeans,6,43551,0.07208713109997544
1,wkmeans,7,43551,0.10919166127614535
1,wkmeans,8,43551,0.0016482778825613466
1,wkmeans,9,43551,0.0017719720503749912
2,random,0,43551,1.4483135724321152
2,random,1,43551,0.23441024606282043
2,random,2,43551,0.10666259191441411
2,random,3,43551,0.046304574395887116
2,random,4,43551,0.0941996267117529
2,random,5,43551,0.07483710828681583
2,random,6,43551,0.02084510038780447
2,random,7,43551,0.08377104684845119
2,random,8,43551,0.03842599243954844
2,random,9,43551,0.0
2,margin,0,43551,1.520520671631902
