seed,method,n_iter,dataset,value
0,random,0,43551,0.23928703910415308
0,random,1,43551,0.22970167737553573
0,random,2,43551,0.2252299606574014
0,random,3,43551,0.23999657450427528
0,random,4,43551,0.24270338709271186
0,random,5,43551,0.2449310400383474
0,random,6,43551,0.23924551308552144
0,random,7,43551,0.24016961358189856
0,random,8,43551,0.2378275560980824
0,random,9,43551,0.23869642921182754
0,margin,0,43551,0.23928703910415308
0,margin,1,43551,0.23323706354787954
0,margin,2,43551,0.24661527375908687
0,margin,3,43551,0.2617198719802071
0,margin,4,43551,0.268544825416
0,margin,5,43551,0.2625591836179703
0,margin,6,43551,0.3232030011328675
0,margin,7,43551,0.3249790867078812
0,margin,8,43551,0.32476958110417703
0,margin,9,43551,0.32031575591887085
0,confidence,0,43551,0.23928703910415308
0,confidence,1,43551,0.24337701527795286
0,confidence,2,43551,0.24161796628205096
0,confidence,3,43551,0.24538727172370714
0,confidence,4,43551,0.26074295882466875
0,confidence,5,43551,0.2604022096050014
0,confidence,6,43551,0.26118531686711893
0,confidence,7,43551,0.24813031370612956
0,confidence,8,43551,0.24160921146532824
0,confidence,9,43551,0.24404058039502677
0,entropy,0,43551,0.23928703910415308
0,entropy,1,43551,0.24977027942523153
0,entropy,2,43551,0.24251123674613403
0,entropy,3,43551,0.23674427961232325
0,entropy,4,43551,0.2315545031902586
0,entropy,5,43551,0.22317552055108172
0,entropy,6,43551,0.21354638855977529
0,entropy,7,43551,0.21283663661706811
0,entropy,8,43551,0.2129374080403036
0,entropy,9,43551,0.21111342307974246
0,kmeans,0,43551,0.23928703910415308
0,kmeans,1,43551,0.21948491934874245
0,kmeans,2,43551,0.21310647552927484
0,kmeans,3,43551,0.2059233758817052
0,kmeans,4,43551,0.2063419297326069
0,kmeans,5,43551,0.2050151639453382
0,kmeans,6,43551,0.20386645955031546
0,kmeans,7,43551,0.2059822770283668
0,kmeans,8,43551,0.2112211726355657
0,kmeans,9,43551,0.20876870413994955
0,wkmeans,0,43551,0.23928703910415308
0,wkmeans,1,43551,0.2356796531665258
0,wkmeans,2,43551,0.24378375501989316
0,wkmeans,3,43551,0.24431688081448602
0,wkmeans,4,43551,0.2430178176171524
0,wkmeans,5,43551,0.23945800102205558
0,wkmeans,6,43551,0.24010286372182035
0,wkmeans,7,43551,0.23949955488314537
0,wkmeans,8,43551,0.23912325496786369
0,wkmeans,9,43551,0.24099494342458477
1,random,0,43551,0.22686996701002207
1,random,1,43551,0.210100627375304
1,random,2,43551,0.21874944927320453
1,random,3,43551,0.225372402740521
1,random,4,43551,0.23108468552603156
1,random,5,43551,0.23992074576327524
1,random,6,43551,0.24281984227715186
1,random,7,43551,0.24678405439791562
1,random,8,43551,0.24780471846667668
1,random,9,43551,0.2518340378951352
1,margin,0,43551,0.22686996701002207
1,margin,1,43551,0.2000519656139299
1,margin,2,43551,0.23209739525587253
1,margin,3,43551,0.25563407234635127
1,margin,4,43551,0.26533195015904426
1,margin,5,43551,0.26525166283234236
1,margin,6,43551,0.27138416191869214
1,margin,7,43551,0.27304314394713586
1,margin,8,43551,0.2719613295197946
1,margin,9,43551,0.2782902956858932
1,confidence,0,43551,0.22686996701002207
1,confidence,1,43551,0.2652316869579546
1,confidence,2,43551,0.2911024486431334
1,confidence,3,43551,0.2685871232378122
1,confidence,4,43551,0.2542062129664474
1,confidence,5,43551,0.24550911643749251
1,confidence,6,43551,0.23224671574085712
1,confidence,7,43551,0.2369848590456082
1,confidence,8,43551,0.2617492775390629
1,confidence,9,43551,0.2672076822450106
1,entropy,0,43551,0.22686996701002207
1,entropy,1,43551,0.2231566876104583
1,entropy,2,43551,0.23211157496162335
1,entropy,3,43551,0.24905167802049769
1,entropy,4,43551,0.24025145562309458
1,entropy,5,43551,0.23805935667008107
1,entropy,6,43551,0.25018045263898997
1,entropy,7,43551,0.24499288900456678
1,entropy,8,43551,0.2544588777379838
1,entropy,9,43551,0.25696532100677066
1,kmeans,0,43551,0.22686996701002207
1,kmeans,1,43551,0.19849966466522914
1,kmeans,2,43551,0.19638888096658963
1,kmeans,3,43551,0.20127721623145636
1,kmeans,4,43551,0.20658099192835686
1,kmeans,5,43551,0.2109927044062321
1,kmeans,6,43551,0.21328983183823053
1,kmeans,7,43551,0.2141880750208116
1,kmeans,8,43551,0.2136668730932332
1,kmeans,9,43551,0.21807082361139515
1,wkmeans,0,43551,0.22686996701002207
1,wkmeans,1,43551,0.21386434459490938
1,wkmeans,2,43551,0.22751092568531
1,wkmeans,3,43551,0.24619643362659485
1,wkmeans,4,43551,0.24041011203978851
1,wkmeans,5,43551,0.24063626345978106
1,wkmeans,6,43551,0.23604352991107241
1,wkmeans,7,43551,0.24644223630522538
1,wkmeans,8,43551,0.25001224586803217
1,wkmeans,9,43551,0.2546633475075645
2,random,0,43551,0.237379231626385
2,random,1,43551,0.2656599109115485
2,random,2,43551,0.2749643091265513
2,random,3,43551,0.2721394372550263
2,random,4,43551,0.2692226891239892
2,random,5,43551,0.27416612094334375
2,random,6,43551,0.2693887411461811
2,random,7,43551,0.26599433149937113
