seed,method,n_iter,dataset,value
0,random,0,cifar10,0.0
0,random,1,cifar10,1.6036232029749167
0,random,2,cifar10,0.7437893099381285
0,random,3,cifar10,0.6448004351715577
0,random,4,cifar10,0.5727022715495556
0,random,5,cifar10,0.4272755835752908
0,random,6,cifar10,0.5899289051004177
0,random,7,cifar10,0.3962744469827017
0,random,8,cifar10,0.38902732342996216
0,random,9,cifar10,0.404336447892976
0,margin,0,cifar10,0.0
0,margin,1,cifar10,1.6584348311722792
0,margin,2,cifar10,0.6751240089206303
0,margin,3,cifar10,0.7401165412726481
0,margin,4,cifar10,0.4552776316595379
0,margin,5,cifar10,0.4047017418284938
0,margin,6,cifar10,0.3866809699257819
0,margin,7,cifar10,0.44592929486356253
0,margin,8,cifar10,0.35211717190420905
0,margin,9,cifar10,0.4085743983384013
0,confidence,0,cifar10,0.0
0,confidence,1,cifar10,1.3015579564316107
0,confidence,2,cifar10,0.8108165232524771
0,confidence,3,cifar10,0.5607262045250614
0,confidence,4,cifar10,0.5642238290813121
0,confidence,5,cifar10,0.5166879024097577
0,confidence,6,cifar10,0.524478439030621
0,confidence,7,cifar10,0.38238253712257
0,confidence,8,cifar10,0.6160613777277447
0,confidence,9,cifar10,0.38306600570319904
0,entropy,0,cifar10,0.0
0,entropy,1,cifar10,1.2381863632124652
0,entropy,2,cifar10,0.5744106684752496
0,entropy,3,cifar10,0.3829916462009238
0,entropy,4,cifar10,0.4354987412347341
0,entropy,5,cifar10,0.5194247630786433
0,entropy,6,cifar10,0.4754868217544014
0,entropy,7,cifar10,0.5322559036047638
0,entropy,8,cifar10,0.46269555137967106
0,entropy,9,cifar10,0.5044483296683885
0,kmeans,0,cifar10,0.0
0,kmeans,1,cifar10,1.0935404420881332
0,kmeans,2,cifar10,0.6176881626030358
0,kmeans,3,cifar10,0.5579836967742693
0,kmeans,4,cifar10,0.48587377086318495
0,kmeans,5,cifar10,0.4394036600687289
0,kmeans,6,cifar10,0.4514139896672706
0,kmeans,7,cifar10,0.43692107221878723
0,kmeans,8,cifar10,0.5381505657491693
0,kmeans,9,cifar10,0.366271256710385
0,wkmeans,0,cifar10,0.0
0,wkmeans,1,cifar10,1.6380080597724727
0,wkmeans,2,cifar10,0.9892832346023503
0,wkmeans,3,cifar10,0.6152672828429395
0,wkmeans,4,cifar10,0.479417422265349
0,wkmeans,5,cifar10,0.48715014687258257
0,wkmeans,6,cifar10,0.3891236570183025
0,wkmeans,7,cifar10,0.5122298289707723
0,wkmeans,8,cifar10,0.40431053876790907
0,wkmeans,9,cifar10,0.48638309147744574
1,random,0,cifar10,0.0
1,random,1,cifar10,1.6199361038536844
1,random,2,cifar10,0.9536302338631598
1,random,3,cifar10,0.650915572910506
1,random,4,cifar10,0.6836576260298952
1,random,5,cifar10,0.7778467678805958
1,random,6,cifar10,0.475300152669887
1,random,7,cifar10,0.46519982907549257
1,random,8,cifar10,0.44274866540409596
1,random,9,cifar10,0.5042102869494081
1,margin,0,cifar10,0.0
1,margin,1,cifar10,1.821630848960365
1,margin,2,cifar10,0.892552814479712
1,margin,3,cifar10,0.6369312909023993
1,margin,4,cifar10,0.6080615150643204
1,margin,5,cifar10,0.5208538240074554
1,margin,6,cifar10,0.4244574807569736
1,margin,7,cifar10,0.5190750018409249
1,margin,8,cifar10,0.41946254971231506
1,margin,9,cifar10,0.38478918920833793
1,confidence,0,cifar10,0.0
1,confidence,1,cifar10,1.4301039066652728
1,confidence,2,cifar10,0.6534256563890776
1,confidence,3,cifar10,0.8103368146636846
1,confidence,4,cifar10,0.6206341851969447
1,confidence,5,cifar10,0.4829160754913107
1,confidence,6,cifar10,0.6023543490835991
1,confidence,7,cifar10,0.5144070870545053
1,confidence,8,cifar10,0.40769893446424216
1,confidence,9,cifar10,0.404925885445474
1,entropy,0,cifar10,0.0
1,entropy,1,cifar10,0.9727606754340578
1,entropy,2,cifar10,0.5407437678015605
1,entropy,3,cifar10,0.7518992657608317
1,entropy,4,cifar10,0.5223988688123058
1,entropy,5,cifar10,0.5843359912137475
1,entropy,6,cifar10,0.5796122628493765
1,entropy,7,cifar10,0.5680118502904113
1,entropy,8,cifar10,0.4390378432415233
1,entropy,9,cifar10,0.6914099030102913
1,kmeans,0,cifar10,0.0
1,kmeans,1,cifar10,1.13992358292791
1,kmeans,2,cifar10,1.017403568157612
1,kmeans,3,cifar10,0.47834341597301716
