seed,method,n_iter,dataset,value
0,random,0,cifar10,24.94450569152832
0,random,1,cifar10,24.61061668395996
0,random,2,cifar10,24.928749084472656
0,random,3,cifar10,24.571311950683594
0,random,4,cifar10,24.579729080200195
0,random,5,cifar10,24.538156509399414
0,random,6,cifar10,24.474905014038086
0,random,7,cifar10,24.523706436157227
0,random,8,cifar10,24.454492568969727
0,random,9,cifar10,24.494062423706055
0,margin,0,cifar10,24.94450569152832
0,margin,1,cifar10,25.124977111816406
0,margin,2,cifar10,25.35964012145996
0,margin,3,cifar10,24.874488830566406
0,margin,4,cifar10,24.929006576538086
0,margin,5,cifar10,24.770706176757812
0,margin,6,cifar10,24.631732940673828
0,margin,7,cifar10,24.671993255615234
0,margin,8,cifar10,24.624805450439453
0,margin,9,cifar10,24.595462799072266
0,confidence,0,cifar10,24.94450569152832
0,confidence,1,cifar10,23.437896728515625
0,confidence,2,cifar10,23.17098045349121
0,confidence,3,cifar10,23.216346740722656
0,confidence,4,cifar10,23.044532775878906
0,confidence,5,cifar10,22.984621047973633
0,confidence,6,cifar10,22.9530086517334
0,confidence,7,cifar10,22.912321090698242
0,confidence,8,cifar10,22.88796615600586
0,confidence,9,cifar10,23.048656463623047
0,entropy,0,cifar10,24.94450569152832
0,entropy,1,cifar10,23.626964569091797
0,entropy,2,cifar10,23.275632858276367
0,entropy,3,cifar10,22.811052322387695
0,entropy,4,cifar10,22.389066696166992
0,entropy,5,cifar10,22.300487518310547
0,entropy,6,cifar10,22.39727210998535
0,entropy,7,cifar10,22.22371482849121
0,entropy,8,cifar10,22.25161361694336
0,entropy,9,cifar10,22.295625686645508
0,kmeans,0,cifar10,24.94450569152832
0,kmeans,1,cifar10,23.019920349121094
0,kmeans,2,cifar10,21.95256233215332
0,kmeans,3,cifar10,21.502946853637695
0,kmeans,4,cifar10,21.15131187438965
0,kmeans,5,cifar10,21.09709358215332
0,kmeans,6,cifar10,21.00572395324707
0,kmeans,7,cifar10,20.98158836364746
0,kmeans,8,cifar10,20.941051483154297
0,kmeans,9,cifar10,21.093528747558594
0,wkmeans,0,cifar10,24.94450569152832
0,wkmeans,1,cifar10,25.235994338989258
0,wkmeans,2,cifar10,25.366661071777344
0,wkmeans,3,cifar10,25.329282760620117
0,wkmeans,4,cifar10,25.252103805541992
0,wkmeans,5,cifar10,25.172067642211914
0,wkmeans,6,cifar10,25.176532745361328
0,wkmeans,7,cifar10,25.108715057373047
0,wkmeans,8,cifar10,25.132003784179688
0,wkmeans,9,cifar10,25.08033561706543
1,random,0,cifar10,24.716611862182617
1,random,1,cifar10,24.80147361755371
1,random,2,cifar10,24.731706619262695
1,random,3,cifar10,24.658992767333984
1,random,4,cifar10,24.443058013916016
1,random,5,cifar10,24.51836395263672
1,random,6,cifar10,24.87374496459961
1,random,7,cifar10,24.856258392333984
1,random,8,cifar10,24.870901107788086
1,random,9,cifar10,24.843204498291016
1,margin,0,cifar10,24.716611862182617
1,margin,1,cifar10,24.45209503173828
1,margin,2,cifar10,24.43717384338379
1,margin,3,cifar10,24.34572410583496
1,margin,4,cifar10,24.353178024291992
1,margin,5,cifar10,24.471845626831055
1,margin,6,cifar10,24.55254364013672
1,margin,7,cifar10,24.462047576904297
1,margin,8,cifar10,24.575254440307617
1,margin,9,cifar10,24.502967834472656
1,confidence,0,cifar10,24.716611862182617
1,confidence,1,cifar10,23.628782272338867
1,confidence,2,cifar10,23.52688980102539
1,confidence,3,cifar10,22.885099411010742
1,confidence,4,cifar10,23.120471954345703
1,confidence,5,cifar10,23.244932174682617
1,confidence,6,cifar10,23.145111083984375
1,confidence,7,cifar10,23.26902198791504
1,confidence,8,cifar10,23.2906436920166
1,confidence,9,cifar10,23.284143447875977
1,entropy,0,cifar10,24.716611862182617
1,entropy,1,cifar10,23.116588592529297
1,entropy,2,cifar10,22.37139129638672
1,entropy,3,cifar10,21.673458099365234
1,entropy,4,cifar10,21.84547233581543
1,entropy,5,cifar10,21.79513168334961
1,entropy,6,cifar10,21.970550537109375
1,entropy,7,cifar10,22.087556838989258
1,entropy,8,cifar10,22.26553726196289
1,entropy,9,cifar10,22.234098434448242
1,kmeans,0,cifar10,24.716611862182617
1,kmeans,1,cifar10,22.70639991760254
1,kmeans,2,cifar10,21.99580192565918
1,kmeans,3,cifar10,21.912647247314453
1,kmeans,4,cifar10,21.499792098999023
1,kmeans,5,cifar10,21.336257934570312
1,kmeans,6,cifar10,21.31217384338379
1,kmeans,7,cifar10,21.21526336669922
1,kmeans,8,cifar10,21.133216857910156
1,kmeans,9,cifar10,21.071531295776367
1,wkmeans,0,cifar10,24.716611862182617
1,wkmeans,1,cifar10,24.19341278076172
1,wkmeans,2,cifar10,24.7252140045166
1,wkmeans,3,cifar10,25.319202423095703
1,wkmeans,4,cifar10,25.27137565612793
1,wkmeans,5,cifar10,25.06045913696289
1,wkmeans,6,cifar10,25.06911277770996
1,wkmeans,7,cifar10,25.17702865600586
1,wkmeans,8,cifar10,25.227907180786133
1,wkmeans,9,cifar10,25.271747589111328
2,random,0,cifar10,23.86572265625
2,random,1,cifar10,24.798213958740234
2,random,2,cifar10,25.178773880004883
2,random,3,cifar10,25.095096588134766
2,random,4,cifar10,25.172176361083984
2,random,5,cifar10,25.017881393432617
2,random,6,cifar10,25.028989791870117
2,random,7,cifar10,24.928470611572266
2,random,8,cifar10,24.947988510131836
2,random,9,cifar10,24.977148056030273
2,margin,0,cifar10,23.86572265625
2,margin,1,cifar10,23.82732582092285
2,margin,2,cifar10,23.948814392089844
2,margin,3,cifar10,24.020544052124023
2,margin,4,cifar10,24.349313735961914
2,margin,5,cifar10,24.383750915527344
2,margin,6,cifar10,24.50115394592285
2,margin,7,cifar10,24.633394241333008
2,margin,8,cifar10,24.695903778076172
2,margin,9,cifar10,24.606224060058594
2,confidence,0,cifar10,23.86572265625
2,confidence,1,cifar10,23.885988235473633
2,confidence,2,cifar10,23.318418502807617
2,confidence,3,cifar10,23.072111129760742
2,confidence,4,cifar10,23.073219299316406
2,confidence,5,cifar10,23.210172653198242
2,confidence,6,cifar10,23.030710220336914
2,confidence,7,cifar10,22.99444580078125
2,confidence,8,cifar10,23.09939956665039
2,confidence,9,cifar10,23.09388542175293
2,entropy,0,cifar10,23.86572265625
2,entropy,1,cifar10,23.381805419921875
2,entropy,2,cifar10,23.19895362854004
2,entropy,3,cifar10,22.674253463745117
2,entropy,4,cifar10,22.44337272644043
2,entropy,5,cifar10,22.318880081176758
2,entropy,6,cifar10,22.191728591918945
2,entropy,7,cifar10,22.179357528686523
2,entropy,8,cifar10,22.139902114868164
2,entropy,9,cifar10,22.253509521484375
2,kmeans,0,cifar10,23.86572265625
2,kmeans,1,cifar10,22.17681884765625
2,kmeans,2,cifar10,21.381378173828125
2,kmeans,3,cifar10,20.98601531982422
2,kmeans,4,cifar10,20.888376235961914
2,kmeans,5,cifar10,20.814403533935547
2,kmeans,6,cifar10,20.763212203979492
2,kmeans,7,cifar10,20.758764266967773
2,kmeans,8,cifar10,20.719606399536133
2,kmeans,9,cifar10,20.73296546936035
2,wkmeans,0,cifar10,23.86572265625
2,wkmeans,1,cifar10,24.761457443237305
2,wkmeans,2,cifar10,25.120655059814453
2,wkmeans,3,cifar10,25.06571388244629
2,wkmeans,4,cifar10,25.028446197509766
2,wkmeans,5,cifar10,25.04649543762207
2,wkmeans,6,cifar10,25.073345184326172
2,wkmeans,7,cifar10,25.257450103759766
2,wkmeans,8,cifar10,25.26458740234375
2,wkmeans,9,cifar10,25.307327270507812
3,random,0,cifar10,25.57281494140625
3,random,1,cifar10,25.063945770263672
3,random,2,cifar10,25.448991775512695
3,random,3,cifar10,25.32785415649414
3,random,4,cifar10,25.151857376098633
3,random,5,cifar10,25.089187622070312
3,random,6,cifar10,25.114948272705078
3,random,7,cifar10,25.00687026977539
3,random,8,cifar10,24.943944931030273
3,random,9,cifar10,24.976634979248047
3,margin,0,cifar10,25.57281494140625
3,margin,1,cifar10,25.045597076416016
3,margin,2,cifar10,24.642507553100586
3,margin,3,cifar10,24.60378074645996
