seed,method,n_iter,dataset,value
0,random,0,cifar10_simclr,0.7833333333333333
0,random,1,cifar10_simclr,0.8416666666666667
0,random,2,cifar10_simclr,0.8777777777777778
0,random,3,cifar10_simclr,0.8625
0,random,4,cifar10_simclr,0.8633333333333333
0,random,5,cifar10_simclr,0.85
0,random,6,cifar10_simclr,0.8642857142857143
0,random,7,cifar10_simclr,0.8791666666666667
0,random,8,cifar10_simclr,0.8944444444444445
0,random,9,cifar10_simclr,0.8866666666666667
0,margin,0,cifar10_simclr,0.7833333333333333
0,margin,1,cifar10_simclr,0.7416666666666667
0,margin,2,cifar10_simclr,0.7
0,margin,3,cifar10_simclr,0.6458333333333334
0,margin,4,cifar10_simclr,0.6133333333333333
0,margin,5,cifar10_simclr,0.625
0,margin,6,cifar10_simclr,0.6166666666666667
0,margin,7,cifar10_simclr,0.625
0,margin,8,cifar10_simclr,0.6
0,margin,9,cifar10_simclr,0.61
0,confidence,0,cifar10_simclr,0.7833333333333333
0,confidence,1,cifar10_simclr,0.7166666666666667
0,confidence,2,cifar10_simclr,0.6555555555555556
0,confidence,3,cifar10_simclr,0.6083333333333333
0,confidence,4,cifar10_simclr,0.5666666666666667
0,confidence,5,cifar10_simclr,0.5194444444444445
0,confidence,6,cifar10_simclr,0.5571428571428572
0,confidence,7,cifar10_simclr,0.53125
0,confidence,8,cifar10_simclr,0.5314814814814814
0,confidence,9,cifar10_simclr,0.5183333333333333
0,entropy,0,cifar10_simclr,0.7833333333333333
0,entropy,1,cifar10_simclr,0.6416666666666667
0,entropy,2,cifar10_simclr,0.6388888888888888
0,entropy,3,cifar10_simclr,0.6
0,entropy,4,cifar10_simclr,0.58
0,entropy,5,cifar10_simclr,0.5722222222222222
0,entropy,6,cifar10_simclr,0.5761904761904761
0,entropy,7,cifar10_simclr,0.55
0,entropy,8,cifar10_simclr,0.5574074074074075
0,entropy,9,cifar10_simclr,0.5366666666666666
0,kmeans,0,cifar10_simclr,0.7833333333333333
0,kmeans,1,cifar10_simclr,0.8666666666666667
0,kmeans,2,cifar10_simclr,0.8666666666666667
0,kmeans,3,cifar10_simclr,0.925
0,kmeans,4,cifar10_simclr,0.92
0,kmeans,5,cifar10_simclr,0.9166666666666666
0,kmeans,6,cifar10_simclr,0.9095238095238095
0,kmeans,7,cifar10_simclr,0.91875
0,kmeans,8,cifar10_simclr,0.9092592592592592
0,kmeans,9,cifar10_simclr,0.9216666666666666
0,wkmeans,0,cifar10_simclr,0.7833333333333333
0,wkmeans,1,cifar10_simclr,0.7416666666666667
0,wkmeans,2,cifar10_simclr,0.6944444444444444
0,wkmeans,3,cifar10_simclr,0.675
0,wkmeans,4,cifar10_simclr,0.6733333333333333
0,wkmeans,5,cifar10_simclr,0.6472222222222223
0,wkmeans,6,cifar10_simclr,0.669047619047619
0,wkmeans,7,cifar10_simclr,0.6583333333333333
0,wkmeans,8,cifar10_simclr,0.6370370370370371
0,wkmeans,9,cifar10_simclr,0.6216666666666667
1,random,0,cifar10_simclr,0.75
1,random,1,cifar10_simclr,0.85
1,random,2,cifar10_simclr,0.8777777777777778
1,random,3,cifar10_simclr,0.8541666666666666
1,random,4,cifar10_simclr,0.8566666666666667
1,random,5,cifar10_simclr,0.8861111111111111
1,random,6,cifar10_simclr,0.8833333333333333
1,random,7,cifar10_simclr,0.875
1,random,8,cifar10_simclr,0.8814814814814815
1,random,9,cifar10_simclr,0.8833333333333333
1,margin,0,cifar10_simclr,0.75
1,margin,1,cifar10_simclr,0.6583333333333333
1,margin,2,cifar10_simclr,0.6888888888888889
1,margin,3,cifar10_simclr,0.6583333333333333
1,margin,4,cifar10_simclr,0.6433333333333333
1,margin,5,cifar10_simclr,0.6361111111111111
1,margin,6,cifar10_simclr,0.6142857142857143
1,margin,7,cifar10_simclr,0.6291666666666667
1,margin,8,cifar10_simclr,0.6462962962962963
1,margin,9,cifar10_simclr,0.645
1,confidence,0,cifar10_simclr,0.75
1,confidence,1,cifar10_simclr,0.6333333333333333
1,confidence,2,cifar10_simclr,0.6444444444444445
1,confidence,3,cifar10_simclr,0.5666666666666667
1,confidence,4,cifar10_simclr,0.5566666666666666
1,confidence,5,cifar10_simclr,0.5611111111111111
1,confidence,6,cifar10_simclr,0.5285714285714286
1,confidence,7,cifar10_simclr,0.53125
1,confidence,8,cifar10_simclr,0.5277777777777778
1,confidence,9,cifar10_simclr,0.535
1,entropy,0,cifar10_simclr,0.75
1,entropy,1,cifar10_simclr,0.625
1,entropy,2,cifar10_simclr,0.6777777777777778
1,entropy,3,cifar10_simclr,0.6333333333333333
1,entropy,4,cifar10_simclr,0.61
1,entropy,5,cifar10_simclr,0.6305555555555555
1,entropy,6,cifar10_simclr,0.5738095238095238
1,entropy,7,cifar10_simclr,0.5666666666666667
1,entropy,8,cifar10_simclr,0.5740740740740741
1,entropy,9,cifar10_simclr,0.5633333333333334
1,kmeans,0,cifar10_simclr,0.75
1,kmeans,1,cifar10_simclr,0.8166666666666667
1,kmeans,2,cifar10_simclr,0.9
1,kmeans,3,cifar10_simclr,0.8916666666666667
1,kmeans,4,cifar10_simclr,0.8833333333333333
1,kmeans,5,cifar10_simclr,0.9083333333333333
1,kmeans,6,cifar10_simclr,0.919047619047619
1,kmeans,7,cifar10_simclr,0.9229166666666667
1,kmeans,8,cifar10_simclr,0.9351851851851852
1,kmeans,9,cifar10_simclr,0.9383333333333334
1,wkmeans,0,cifar10_simclr,0.75
1,wkmeans,1,cifar10_simclr,0.6166666666666667
1,wkmeans,2,cifar10_simclr,0.6611111111111111
1,wkmeans,3,cifar10_simclr,0.6833333333333333
1,wkmeans,4,cifar10_simclr,0.6533333333333333
1,wkmeans,5,cifar10_simclr,0.625
1,wkmeans,6,cifar10_simclr,0.6047619047619047
1,wkmeans,7,cifar10_simclr,0.6354166666666666
1,wkmeans,8,cifar10_simclr,0.6314814814814815
1,wkmeans,9,cifar10_simclr,0.6366666666666667
2,random,0,cifar10_simclr,0.7833333333333333
2,random,1,cifar10_simclr,0.825
2,random,2,cifar10_simclr,0.8666666666666667
2,random,3,cifar10_simclr,0.8583333333333333
2,random,4,cifar10_simclr,0.8833333333333333
2,random,5,cifar10_simclr,0.8916666666666667
2,random,6,cifar10_simclr,0.9047619047619048
2,random,7,cifar10_simclr,0.8958333333333334
2,random,8,cifar10_simclr,0.9018518518518519
2,random,9,cifar10_simclr,0.9
2,margin,0,cifar10_simclr,0.7833333333333333
2,margin,1,cifar10_simclr,0.7083333333333334
2,margin,2,cifar10_simclr,0.6722222222222223
2,margin,3,cifar10_simclr,0.6666666666666666
2,margin,4,cifar10_simclr,0.6866666666666666
2,margin,5,cifar10_simclr,0.6388888888888888
2,margin,6,cifar10_simclr,0.611904761904762
2,margin,7,cifar10_simclr,0.60625
2,margin,8,cifar10_simclr,0.5962962962962963
2,margin,9,cifar10_simclr,0.6
2,confidence,0,cifar10_simclr,0.7833333333333333
2,confidence,1,cifar10_simclr,0.7083333333333334
2,confidence,2,cifar10_simclr,0.6722222222222223
2,confidence,3,cifar10_simclr,0.5875
2,confidence,4,cifar10_simclr,0.5533333333333333
2,confidence,5,cifar10_simclr,0.5305555555555556
2,confidence,6,cifar10_simclr,0.5238095238095238
2,confidence,7,cifar10_simclr,0.5229166666666667
2,confidence,8,cifar10_simclr,0.524074074074074
2,confidence,9,cifar10_simclr,0.5333333333333333
2,entropy,0,cifar10_simclr,0.7833333333333333
2,entropy,1,cifar10_simclr,0.6583333333333333
2,entropy,2,cifar10_simclr,0.6222222222222222
2,entropy,3,cifar10_simclr,0.6041666666666666
2,entropy,4,cifar10_simclr,0.56
2,entropy,5,cifar10_simclr,0.5361111111111111
2,entropy,6,cifar10_simclr,0.5380952380952381
2,entropy,7,cifar10_simclr,0.5208333333333334
2,entropy,8,cifar10_simclr,0.5148148148148148
2,entropy,9,cifar10_simclr,0.5033333333333333
2,kmeans,0,cifar10_simclr,0.7833333333333333
2,kmeans,1,cifar10_simclr,0.85
2,kmeans,2,cifar10_simclr,0.8833333333333333
2,kmeans,3,cifar10_simclr,0.925
2,kmeans,4,cifar10_simclr,0.9133333333333333
2,kmeans,5,cifar10_simclr,0.925
2,kmeans,6,cifar10_simclr,0.9238095238095239
2,kmeans,7,cifar10_simclr,0.9270833333333334
2,kmeans,8,cifar10_simclr,0.9166666666666666
2,kmeans,9,cifar10_simclr,0.92
2,wkmeans,0,cifar10_simclr,0.7833333333333333
2,wkmeans,1,cifar10_simclr,0.65
2,wkmeans,2,cifar10_simclr,0.65
2,wkmeans,3,cifar10_simclr,0.6583333333333333
2,wkmeans,4,cifar10_simclr,0.6566666666666666
2,wkmeans,5,cifar10_simclr,0.6666666666666666
2,wkmeans,6,cifar10_simclr,0.6547619047619048
2,wkmeans,7,cifar10_simclr,0.63125
2,wkmeans,8,cifar10_simclr,0.6388888888888888
2,wkmeans,9,cifar10_simclr,0.62
3,random,0,cifar10_simclr,0.7833333333333333
3,random,1,cifar10_simclr,0.8
3,random,2,cifar10_simclr,0.8
3,random,3,cifar10_simclr,0.8625
3,random,4,cifar10_simclr,0.8933333333333333
3,random,5,cifar10_simclr,0.8972222222222223
3,random,6,cifar10_simclr,0.8642857142857143
3,random,7,cifar10_simclr,0.8708333333333333
3,random,8,cifar10_simclr,0.8666666666666667
3,random,9,cifar10_simclr,0.87
3,margin,0,cifar10_simclr,0.7833333333333333
3,margin,1,cifar10_simclr,0.7416666666666667
3,margin,2,cifar10_simclr,0.7111111111111111
3,margin,3,cifar10_simclr,0.7041666666666667
3,margin,4,cifar10_simclr,0.69
3,margin,5,cifar10_simclr,0.6333333333333333
3,margin,6,cifar10_simclr,0.6761904761904762
3,margin,7,cifar10_simclr,0.6479166666666667
3,margin,8,cifar10_simclr,0.6462962962962963
3,margin,9,cifar10_simclr,0.6583333333333333
3,confidence,0,cifar10_simclr,0.7833333333333333
3,confidence,1,cifar10_simclr,0.6833333333333333
3,confidence,2,cifar10_simclr,0.6277777777777778
3,confidence,3,cifar10_simclr,0.6
3,confidence,4,cifar10_simclr,0.5933333333333334
3,confidence,5,cifar10_simclr,0.6
3,confidence,6,cifar10_simclr,0.5880952380952381
3,confidence,7,cifar10_simclr,0.5729166666666666
3,confidence,8,cifar10_simclr,0.5722222222222222
3,confidence,9,cifar10_simclr,0.5566666666666666
3,entropy,0,cifar10_simclr,0.7833333333333333
3,entropy,1,cifar10_simclr,0.6666666666666666
3,entropy,2,cifar10_simclr,0.6277777777777778
3,entropy,3,cifar10_simclr,0.6291666666666667
3,entropy,4,cifar10_simclr,0.5533333333333333
3,entropy,5,cifar10_simclr,0.5722222222222222
3,entropy,6,cifar10_simclr,0.5714285714285714
3,entropy,7,cifar10_simclr,0.5625
3,entropy,8,cifar10_simclr,0.5462962962962963
3,entropy,9,cifar10_simclr,0.5566666666666666
3,kmeans,0,cifar10_simclr,0.7833333333333333
3,kmeans,1,cifar10_simclr,0.8916666666666667
3,kmeans,2,cifar10_simclr,0.9055555555555556
3,kmeans,3,cifar10_simclr,0.9125
3,kmeans,4,cifar10_simclr,0.92
3,kmeans,5,cifar10_simclr,0.9055555555555556
3,kmeans,6,cifar10_simclr,0.9095238095238095
3,kmeans,7,cifar10_simclr,0.9145833333333333
3,kmeans,8,cifar10_simclr,0.912962962962963
3,kmeans,9,cifar10_simclr,0.9283333333333333
3,wkmeans,0,cifar10_simclr,0.7833333333333333
3,wkmeans,1,cifar10_simclr,0.7666666666666667
3,wkmeans,2,cifar10_simclr,0.7055555555555556
3,wkmeans,3,cifar10_simclr,0.6875
3,wkmeans,4,cifar10_simclr,0.6366666666666667
3,wkmeans,5,cifar10_simclr,0.6694444444444444
3,wkmeans,6,cifar10_simclr,0.6547619047619048
3,wkmeans,7,cifar10_simclr,0.6479166666666667
3,wkmeans,8,cifar10_simclr,0.6407407407407407
3,wkmeans,9,cifar10_simclr,0.6383333333333333
4,random,0,cifar10_simclr,0.7166666666666667
4,random,1,cifar10_simclr,0.7833333333333333
4,random,2,cifar10_simclr,0.8055555555555556
4,random,3,cifar10_simclr,0.825
4,random,4,cifar10_simclr,0.8266666666666667
4,random,5,cifar10_simclr,0.8194444444444444
4,random,6,cifar10_simclr,0.8428571428571429
4,random,7,cifar10_simclr,0.85625
4,random,8,cifar10_simclr,0.85
4,random,9,cifar10_simclr,0.8483333333333334
4,margin,0,cifar10_simclr,0.7166666666666667
4,margin,1,cifar10_simclr,0.7333333333333333
4,margin,2,cifar10_simclr,0.6277777777777778
4,margin,3,cifar10_simclr,0.6458333333333334
4,margin,4,cifar10_simclr,0.6366666666666667
4,margin,5,cifar10_simclr,0.6027777777777777
4,margin,6,cifar10_simclr,0.6047619047619047
4,margin,7,cifar10_simclr,0.6020833333333333
4,margin,8,cifar10_simclr,0.5925925925925926
4,margin,9,cifar10_simclr,0.5916666666666667
4,confidence,0,cifar10_simclr,0.7166666666666667
4,confidence,1,cifar10_simclr,0.5833333333333334
4,confidence,2,cifar10_simclr,0.5888888888888889
4,confidence,3,cifar10_simclr,0.5583333333333333
4,confidence,4,cifar10_simclr,0.5333333333333333
4,confidence,5,cifar10_simclr,0.5527777777777778
4,confidence,6,cifar10_simclr,0.5380952380952381
4,confidence,7,cifar10_simclr,0.5458333333333333
4,confidence,8,cifar10_simclr,0.5314814814814814
4,confidence,9,cifar10_simclr,0.5283333333333333
4,entropy,0,cifar10_simclr,0.7166666666666667
4,entropy,1,cifar10_simclr,0.5416666666666666
4,entropy,2,cifar10_simclr,0.6111111111111112
4,entropy,3,cifar10_simclr,0.6333333333333333
4,entropy,4,cifar10_simclr,0.5833333333333334
4,entropy,5,cifar10_simclr,0.5555555555555556
4,entropy,6,cifar10_simclr,0.5714285714285714
4,entropy,7,cifar10_simclr,0.54375
4,entropy,8,cifar10_simclr,0.5407407407407407
4,entropy,9,cifar10_simclr,0.535
4,kmeans,0,cifar10_simclr,0.7166666666666667
4,kmeans,1,cifar10_simclr,0.85
4,kmeans,2,cifar10_simclr,0.8666666666666667
4,kmeans,3,cifar10_simclr,0.9041666666666667
4,kmeans,4,cifar10_simclr,0.8966666666666666
4,kmeans,5,cifar10_simclr,0.8972222222222223
4,kmeans,6,cifar10_simclr,0.8952380952380953
4,kmeans,7,cifar10_simclr,0.90625
4,kmeans,8,cifar10_simclr,0.912962962962963
4,kmeans,9,cifar10_simclr,0.92
4,wkmeans,0,cifar10_simclr,0.7166666666666667
4,wkmeans,1,cifar10_simclr,0.6666666666666666
4,wkmeans,2,cifar10_simclr,0.65
4,wkmeans,3,cifar10_simclr,0.65
4,wkmeans,4,cifar10_simclr,0.6566666666666666
4,wkmeans,5,cifar10_simclr,0.6444444444444445
4,wkmeans,6,cifar10_simclr,0.6285714285714286
4,wkmeans,7,cifar10_simclr,0.61875
4,wkmeans,8,cifar10_simclr,0.6148148148148148
4,wkmeans,9,cifar10_simclr,0.5983333333333334
5,random,0,cifar10_simclr,0.6666666666666666
5,random,1,cifar10_simclr,0.7833333333333333
5,random,2,cifar10_simclr,0.8222222222222222
5,random,3,cifar10_simclr,0.8291666666666667
5,random,4,cifar10_simclr,0.8633333333333333
5,random,5,cifar10_simclr,0.875
5,random,6,cifar10_simclr,0.8714285714285714
5,random,7,cifar10_simclr,0.8791666666666667
5,random,8,cifar10_simclr,0.8851851851851852
5,random,9,cifar10_simclr,0.875
5,margin,0,cifar10_simclr,0.6666666666666666
5,margin,1,cifar10_simclr,0.675
5,margin,2,cifar10_simclr,0.7166666666666667
5,margin,3,cifar10_simclr,0.6791666666666667
5,margin,4,cifar10_simclr,0.6666666666666666
5,margin,5,cifar10_simclr,0.6666666666666666
5,margin,6,cifar10_simclr,0.6761904761904762
5,margin,7,cifar10_simclr,0.6583333333333333
5,margin,8,cifar10_simclr,0.6518518518518519
5,margin,9,cifar10_simclr,0.6516666666666666
5,confidence,0,cifar10_simclr,0.6666666666666666
5,confidence,1,cifar10_simclr,0.5333333333333333
5,confidence,2,cifar10_simclr,0.5833333333333334
5,confidence,3,cifar10_simclr,0.525
5,confidence,4,cifar10_simclr,0.48
5,confidence,5,cifar10_simclr,0.49722222222222223
5,confidence,6,cifar10_simclr,0.5214285714285715
5,confidence,7,cifar10_simclr,0.5229166666666667
5,confidence,8,cifar10_simclr,0.5481481481481482
5,confidence,9,cifar10_simclr,0.5416666666666666
5,entropy,0,cifar10_simclr,0.6666666666666666
5,entropy,1,cifar10_simclr,0.5916666666666667
5,entropy,2,cifar10_simclr,0.5555555555555556
5,entropy,3,cifar10_simclr,0.5833333333333334
5,entropy,4,cifar10_simclr,0.5466666666666666
5,entropy,5,cifar10_simclr,0.5138888888888888
5,entropy,6,cifar10_simclr,0.5047619047619047
5,entropy,7,cifar10_simclr,0.5104166666666666
5,entropy,8,cifar10_simclr,0.5277777777777778
5,entropy,9,cifar10_simclr,0.5266666666666666
5,kmeans,0,cifar10_simclr,0.6666666666666666
5,kmeans,1,cifar10_simclr,0.7666666666666667
5,kmeans,2,cifar10_simclr,0.8833333333333333
5,kmeans,3,cifar10_simclr,0.8625
5,kmeans,4,cifar10_simclr,0.8866666666666667
