seed,method,n_iter,dataset,value
0,random,0,cifar10_simclr,0.0
0,random,1,cifar10_simclr,1.4375321122194822
0,random,2,cifar10_simclr,0.9866520999940906
0,random,3,cifar10_simclr,0.486877904305972
0,random,4,cifar10_simclr,0.41785578431586495
0,random,5,cifar10_simclr,0.2435782553922453
0,random,6,cifar10_simclr,0.263236444915991
0,random,7,cifar10_simclr,0.3002519128128173
0,random,8,cifar10_simclr,0.2728445267487385
0,random,9,cifar10_simclr,0.23749006117072194
0,margin,0,cifar10_simclr,0.0
0,margin,1,cifar10_simclr,1.6406982443422553
0,margin,2,cifar10_simclr,0.7157346810965703
0,margin,3,cifar10_simclr,0.43162813457820465
0,margin,4,cifar10_simclr,0.24658474200158081
0,margin,5,cifar10_simclr,0.26961643173198313
0,margin,6,cifar10_simclr,0.1604692166108035
0,margin,7,cifar10_simclr,0.12696816148536838
0,margin,8,cifar10_simclr,0.13595142624152765
0,margin,9,cifar10_simclr,0.15378404631460818
0,confidence,0,cifar10_simclr,0.0
0,confidence,1,cifar10_simclr,1.1739656576160427
0,confidence,2,cifar10_simclr,0.3793113615927102
0,confidence,3,cifar10_simclr,0.36895541853163144
0,confidence,4,cifar10_simclr,0.21031783744461585
0,confidence,5,cifar10_simclr,0.2634020700280972
0,confidence,6,cifar10_simclr,0.27641534285323294
0,confidence,7,cifar10_simclr,0.17600033982434193
0,confidence,8,cifar10_simclr,0.2147229314651152
0,confidence,9,cifar10_simclr,0.237161407099628
0,entropy,0,cifar10_simclr,0.0
0,entropy,1,cifar10_simclr,1.2311438946956164
0,entropy,2,cifar10_simclr,0.6424323765193548
0,entropy,3,cifar10_simclr,0.46408541114033497
0,entropy,4,cifar10_simclr,0.4859931810895173
0,entropy,5,cifar10_simclr,0.32541339373701306
0,entropy,6,cifar10_simclr,0.1511344128448002
0,entropy,7,cifar10_simclr,0.24246853301893803
0,entropy,8,cifar10_simclr,0.16478691684171082
0,entropy,9,cifar10_simclr,0.19288957779568955
0,kmeans,0,cifar10_simclr,0.0
0,kmeans,1,cifar10_simclr,0.9086849267916631
0,kmeans,2,cifar10_simclr,0.4633376395916365
0,kmeans,3,cifar10_simclr,0.4166039851723952
0,kmeans,4,cifar10_simclr,0.26552208140685263
0,kmeans,5,cifar10_simclr,0.3934710738563203
0,kmeans,6,cifar10_simclr,0.19637824203053575
0,kmeans,7,cifar10_simclr,0.31761042492001235
0,kmeans,8,cifar10_simclr,0.19545105306853824
