seed,method,n_iter,dataset,value
0,random,0,cifar10_simclr,4.0587663650512695
0,random,1,cifar10_simclr,4.143429279327393
0,random,2,cifar10_simclr,4.08951997756958
0,random,3,cifar10_simclr,4.108789920806885
0,random,4,cifar10_simclr,4.107383728027344
0,random,5,cifar10_simclr,4.090609550476074
0,random,6,cifar10_simclr,4.085168838500977
0,random,7,cifar10_simclr,4.070434093475342
0,random,8,cifar10_simclr,4.049826622009277
0,random,9,cifar10_simclr,4.047991752624512
0,margin,0,cifar10_simclr,4.0587663650512695
0,margin,1,cifar10_simclr,4.062710285186768
0,margin,2,cifar10_simclr,4.132829666137695
0,margin,3,cifar10_simclr,4.175543785095215
0,margin,4,cifar10_simclr,4.142252445220947
0,margin,5,cifar10_simclr,4.142754554748535
0,margin,6,cifar10_simclr,4.160665035247803
0,margin,7,cifar10_simclr,4.1560750007629395
0,margin,8,cifar10_simclr,4.140625
0,margin,9,cifar10_simclr,4.1315388679504395
0,confidence,0,cifar10_simclr,4.0587663650512695
0,confidence,1,cifar10_simclr,4.047224044799805
0,confidence,2,cifar10_simclr,4.068985462188721
0,confidence,3,cifar10_simclr,4.061424255371094
0,confidence,4,cifar10_simclr,4.059764862060547
0,confidence,5,cifar10_simclr,4.04375696182251
0,confidence,6,cifar10_simclr,4.072159767150879
0,confidence,7,cifar10_simclr,4.087667465209961
0,confidence,8,cifar10_simclr,4.079087257385254
0,confidence,9,cifar10_simclr,4.085521697998047
0,entropy,0,cifar10_simclr,4.0587663650512695
0,entropy,1,cifar10_simclr,3.998983860015869
0,entropy,2,cifar10_simclr,3.973794937133789
0,entropy,3,cifar10_simclr,4.007997512817383
0,entropy,4,cifar10_simclr,4.042267322540283
0,entropy,5,cifar10_simclr,4.036412715911865
0,entropy,6,cifar10_simclr,4.053471088409424
0,entropy,7,cifar10_simclr,4.055728435516357
0,entropy,8,cifar10_simclr,4.072386741638184
0,entropy,9,cifar10_simclr,4.0713114738464355
0,kmeans,0,cifar10_simclr,4.0587663650512695
0,kmeans,1,cifar10_simclr,3.8403661251068115
0,kmeans,2,cifar10_simclr,3.717539072036743
0,kmeans,3,cifar10_simclr,3.677427053451538
0,kmeans,4,cifar10_simclr,3.657536506652832
0,kmeans,5,cifar10_simclr,3.6393392086029053
0,kmeans,6,cifar10_simclr,3.650979518890381
0,kmeans,7,cifar10_simclr,3.6410140991210938
0,kmeans,8,cifar10_simclr,3.6579792499542236
0,kmeans,9,cifar10_simclr,3.6483161449432373
0,wkmeans,0,cifar10_simclr,4.0587663650512695
0,wkmeans,1,cifar10_simclr,4.0629472732543945
0,wkmeans,2,cifar10_simclr,4.112662315368652
0,wkmeans,3,cifar10_simclr,4.126981258392334
0,wkmeans,4,cifar10_simclr,4.15073823928833
0,wkmeans,5,cifar10_simclr,4.150298595428467
0,wkmeans,6,cifar10_simclr,4.159267902374268
0,wkmeans,7,cifar10_simclr,4.159337043762207
0,wkmeans,8,cifar10_simclr,4.147787570953369
0,wkmeans,9,cifar10_simclr,4.148375511169434
1,random,0,cifar10_simclr,4.2124714851379395
1,random,1,cifar10_simclr,4.172247409820557
1,random,2,cifar10_simclr,4.171865463256836
1,random,3,cifar10_simclr,4.202653408050537
1,random,4,cifar10_simclr,4.192472457885742
1,random,5,cifar10_simclr,4.151425361633301
1,random,6,cifar10_simclr,4.15121603012085
1,random,7,cifar10_simclr,4.145553112030029
1,random,8,cifar10_simclr,4.137561798095703
1,random,9,cifar10_simclr,4.135389804840088
1,margin,0,cifar10_simclr,4.2124714851379395
1,margin,1,cifar10_simclr,4.161962032318115
1,margin,2,cifar10_simclr,4.136050701141357
1,margin,3,cifar10_simclr,4.120414733886719
1,margin,4,cifar10_simclr,4.117408275604248
1,margin,5,cifar10_simclr,4.110616683959961
1,margin,6,cifar10_simclr,4.112094879150391
1,margin,7,cifar10_simclr,4.106470584869385
1,margin,8,cifar10_simclr,4.105071067810059
1,margin,9,cifar10_simclr,4.106748580932617
1,confidence,0,cifar10_simclr,4.2124714851379395
1,confidence,1,cifar10_simclr,4.157607078552246
1,confidence,2,cifar10_simclr,4.021984100341797
1,confidence,3,cifar10_simclr,4.019153594970703
1,confidence,4,cifar10_simclr,4.032964706420898
1,confidence,5,cifar10_simclr,4.048575401306152
1,confidence,6,cifar10_simclr,4.043266296386719
1,confidence,7,cifar10_simclr,4.046205043792725
1,confidence,8,cifar10_simclr,4.054827690124512
1,confidence,9,cifar10_simclr,4.0629706382751465
1,entropy,0,cifar10_simclr,4.2124714851379395
1,entropy,1,cifar10_simclr,4.128909587860107
1,entropy,2,cifar10_simclr,4.041015148162842
1,entropy,3,cifar10_simclr,4.02727746963501
1,entropy,4,cifar10_simclr,4.011761665344238
1,entropy,5,cifar10_simclr,4.020430564880371
1,entropy,6,cifar10_simclr,4.040672302246094
1,entropy,7,cifar10_simclr,4.066604137420654
1,entropy,8,cifar10_simclr,4.072000503540039
1,entropy,9,cifar10_simclr,4.060918807983398
1,kmeans,0,cifar10_simclr,4.2124714851379395
1,kmeans,1,cifar10_simclr,3.8893842697143555
1,kmeans,2,cifar10_simclr,3.7879221439361572
1,kmeans,3,cifar10_simclr,3.725069761276245
1,kmeans,4,cifar10_simclr,3.7057697772979736
1,kmeans,5,cifar10_simclr,3.698650360107422
1,kmeans,6,cifar10_simclr,3.6886730194091797
1,kmeans,7,cifar10_simclr,3.673872470855713
1,kmeans,8,cifar10_simclr,3.6603055000305176
1,kmeans,9,cifar10_simclr,3.6566295623779297
1,wkmeans,0,cifar10_simclr,4.2124714851379395
1,wkmeans,1,cifar10_simclr,4.193373680114746
1,wkmeans,2,cifar10_simclr,4.217193126678467
1,wkmeans,3,cifar10_simclr,4.1906938552856445
1,wkmeans,4,cifar10_simclr,4.174893379211426
1,wkmeans,5,cifar10_simclr,4.1690850257873535
1,wkmeans,6,cifar10_simclr,4.169608116149902
1,wkmeans,7,cifar10_simclr,4.146848678588867
1,wkmeans,8,cifar10_simclr,4.143621444702148
1,wkmeans,9,cifar10_simclr,4.147038459777832
2,random,0,cifar10_simclr,4.116171836853027
2,random,1,cifar10_simclr,4.053898811340332
2,random,2,cifar10_simclr,4.052330493927002
2,random,3,cifar10_simclr,4.049498558044434
2,random,4,cifar10_simclr,4.005637168884277
2,random,5,cifar10_simclr,4.072523593902588
2,random,6,cifar10_simclr,4.075442790985107
2,random,7,cifar10_simclr,4.063149929046631
2,random,8,cifar10_simclr,4.077118396759033
2,random,9,cifar10_simclr,4.077760219573975
2,margin,0,cifar10_simclr,4.116171836853027
2,margin,1,cifar10_simclr,4.063840389251709
2,margin,2,cifar10_simclr,4.06126594543457
2,margin,3,cifar10_simclr,4.091561794281006
2,margin,4,cifar10_simclr,4.091073989868164
2,margin,5,cifar10_simclr,4.083189010620117
2,margin,6,cifar10_simclr,4.099035739898682
2,margin,7,cifar10_simclr,4.104930877685547
2,margin,8,cifar10_simclr,4.114997386932373
2,margin,9,cifar10_simclr,4.125399589538574
2,confidence,0,cifar10_simclr,4.116171836853027
2,confidence,1,cifar10_simclr,4.079642295837402
2,confidence,2,cifar10_simclr,4.043137550354004
2,confidence,3,cifar10_simclr,4.0775980949401855
2,confidence,4,cifar10_simclr,4.0979461669921875
