seed,method,n_iter,dataset,value
0,random,0,mnist,4.5229291915893555
0,random,1,mnist,4.643702030181885
0,random,2,mnist,4.613929271697998
0,random,3,mnist,4.631279468536377
0,random,4,mnist,4.671600341796875
0,random,5,mnist,4.690347194671631
0,random,6,mnist,4.675727844238281
0,random,7,mnist,4.674245834350586
0,random,8,mnist,4.668290615081787
0,random,9,mnist,4.650844097137451
0,margin,0,mnist,4.5229291915893555
0,margin,1,mnist,4.686218738555908
0,margin,2,mnist,4.842039585113525
0,margin,3,mnist,4.912238597869873
0,margin,4,mnist,5.006680488586426
0,margin,5,mnist,4.979156017303467
0,margin,6,mnist,5.056711673736572
0,margin,7,mnist,5.071470260620117
0,margin,8,mnist,5.089198112487793
0,margin,9,mnist,5.110606670379639
0,confidence,0,mnist,4.5229291915893555
0,confidence,1,mnist,4.6461358070373535
0,confidence,2,mnist,4.794121265411377
0,confidence,3,mnist,4.803438663482666
0,confidence,4,mnist,4.95383882522583
0,confidence,5,mnist,5.039529800415039
0,confidence,6,mnist,5.065855979919434
0,confidence,7,mnist,5.096560001373291
0,confidence,8,mnist,5.168910980224609
0,confidence,9,mnist,5.184520244598389
0,entropy,0,mnist,4.5229291915893555
0,entropy,1,mnist,4.550365447998047
0,entropy,2,mnist,4.7166008949279785
0,entropy,3,mnist,4.8323211669921875
0,entropy,4,mnist,4.979175567626953
0,entropy,5,mnist,5.069797039031982
0,entropy,6,mnist,5.101014137268066
0,entropy,7,mnist,5.163686752319336
0,entropy,8,mnist,5.202477931976318
0,entropy,9,mnist,5.220281600952148
0,kmeans,0,mnist,4.5229291915893555
0,kmeans,1,mnist,4.2309088706970215
0,kmeans,2,mnist,4.1217780113220215
0,kmeans,3,mnist,4.059051513671875
0,kmeans,4,mnist,4.024776935577393
0,kmeans,5,mnist,4.001403331756592
0,kmeans,6,mnist,4.005845069885254
0,kmeans,7,mnist,3.994431734085083
0,kmeans,8,mnist,3.9894778728485107
0,kmeans,9,mnist,3.9855024814605713
0,wkmeans,0,mnist,4.5229291915893555
0,wkmeans,1,mnist,4.814417362213135
0,wkmeans,2,mnist,4.899533748626709
0,wkmeans,3,mnist,4.979228496551514
0,wkmeans,4,mnist,5.010082721710205
0,wkmeans,5,mnist,5.0333380699157715
0,wkmeans,6,mnist,5.070052623748779
0,wkmeans,7,mnist,5.098518371582031
0,wkmeans,8,mnist,5.1190996170043945
0,wkmeans,9,mnist,5.129764080047607
1,random,0,mnist,4.637334823608398
1,random,1,mnist,4.518028259277344
1,random,2,mnist,4.484138011932373
1,random,3,mnist,4.503640651702881
1,random,4,mnist,4.570814609527588
1,random,5,mnist,4.565114974975586
1,random,6,mnist,4.585071563720703
1,random,7,mnist,4.586259365081787
1,random,8,mnist,4.578871250152588
1,random,9,mnist,4.5876898765563965
1,margin,0,mnist,4.637334823608398
1,margin,1,mnist,4.854194164276123
1,margin,2,mnist,4.919764995574951
1,margin,3,mnist,4.966544151306152
1,margin,4,mnist,4.970122814178467
1,margin,5,mnist,4.9992594718933105
1,margin,6,mnist,5.045605659484863
1,margin,7,mnist,5.0859270095825195
1,margin,8,mnist,5.110982418060303
1,margin,9,mnist,5.127801418304443
1,confidence,0,mnist,4.637334823608398
1,confidence,1,mnist,4.8188066482543945
1,confidence,2,mnist,4.810305595397949
1,confidence,3,mnist,4.869728088378906
1,confidence,4,mnist,4.911864757537842
1,confidence,5,mnist,4.983790397644043
1,confidence,6,mnist,5.043087482452393
1,confidence,7,mnist,5.106505870819092
1,confidence,8,mnist,5.139727592468262
1,confidence,9,mnist,5.1873979568481445
1,entropy,0,mnist,4.637334823608398
1,entropy,1,mnist,4.772340297698975
1,entropy,2,mnist,4.865870952606201
1,entropy,3,mnist,4.828159332275391
1,entropy,4,mnist,4.923948287963867
1,entropy,5,mnist,4.9920830726623535
1,entropy,6,mnist,5.046740531921387
1,entropy,7,mnist,5.100833415985107
1,entropy,8,mnist,5.125288486480713
1,entropy,9,mnist,5.159353256225586
1,kmeans,0,mnist,4.637334823608398
1,kmeans,1,mnist,4.365967750549316
1,kmeans,2,mnist,4.267814636230469
1,kmeans,3,mnist,4.205267429351807
1,kmeans,4,mnist,4.154536724090576
1,kmeans,5,mnist,4.108490467071533
1,kmeans,6,mnist,4.081854820251465
1,kmeans,7,mnist,4.072296142578125
1,kmeans,8,mnist,4.0486650466918945
1,kmeans,9,mnist,4.0466389656066895
1,wkmeans,0,mnist,4.637334823608398
1,wkmeans,1,mnist,4.761405944824219
1,wkmeans,2,mnist,4.874718189239502
1,wkmeans,3,mnist,4.920827865600586
1,wkmeans,4,mnist,5.001305103302002
1,wkmeans,5,mnist,5.0577569007873535
