seed,method,n_iter,dataset,value
0,random,0,mnist,0.0
0,random,1,mnist,0.2676102937382998
0,random,2,mnist,0.4758990525405633
0,random,3,mnist,0.6763251550917784
0,random,4,mnist,0.8744822516790702
0,random,5,mnist,1.045264960084392
0,random,6,mnist,1.2602401920317492
0,random,7,mnist,1.4118117353433546
0,random,8,mnist,1.5964364475925454
0,random,9,mnist,1.764890154005895
0,margin,0,mnist,0.0
0,margin,1,mnist,0.28119798507387944
0,margin,2,mnist,0.4444871771790415
0,margin,3,mnist,0.6377926331701228
0,margin,4,mnist,0.8339369717379482
0,margin,5,mnist,1.0187452015156488
0,margin,6,mnist,1.1345096597540898
0,margin,7,mnist,1.3363762454226276
0,margin,8,mnist,1.5321439741694298
0,margin,9,mnist,1.6802429730738977
0,confidence,0,mnist,0.0
0,confidence,1,mnist,0.2794553536580393
0,confidence,2,mnist,0.49544744738853497
0,confidence,3,mnist,0.7029637006323317
0,confidence,4,mnist,0.8640058954983941
0,confidence,5,mnist,1.0380662957153113
0,confidence,6,mnist,1.2481360892964888
0,confidence,7,mnist,1.4563487157596908
0,confidence,8,mnist,1.6504369311090725
0,confidence,9,mnist,1.8226854052324726
0,entropy,0,mnist,0.0
0,entropy,1,mnist,0.28389245648731476
0,entropy,2,mnist,0.49603000612987524
0,entropy,3,mnist,0.7052254589076833
0,entropy,4,mnist,0.8705497860222451
0,entropy,5,mnist,1.0243548318178806
0,entropy,6,mnist,1.2238888669003383
0,entropy,7,mnist,1.320928203670368
0,entropy,8,mnist,1.4884781721970008
0,entropy,9,mnist,1.7066282292487667
0,kmeans,0,mnist,0.0
0,kmeans,1,mnist,0.24854911448510617
0,kmeans,2,mnist,0.43572825850215097
0,kmeans,3,mnist,0.6244209254620369
0,kmeans,4,mnist,0.781332920468803
0,kmeans,5,mnist,0.8994211506926442
0,kmeans,6,mnist,1.0477128595216805
0,kmeans,7,mnist,1.2078783910240736
0,kmeans,8,mnist,1.3778486848987719
0,kmeans,9,mnist,1.5263261318714278
0,wkmeans,0,mnist,0.0
0,wkmeans,1,mnist,0.2575039319554404
0,wkmeans,2,mnist,0.4282523471502129
0,wkmeans,3,mnist,0.6492347512216067
0,wkmeans,4,mnist,0.8283129802841482
0,wkmeans,5,mnist,0.9986274015258609
0,wkmeans,6,mnist,1.2017983487102035
0,wkmeans,7,mnist,1.3347707069637742
0,wkmeans,8,mnist,1.4946520414385889
0,wkmeans,9,mnist,1.6281982846374583
1,random,0,mnist,0.0
1,random,1,mnist,0.2835123856631033
1,random,2,mnist,0.4568461536924909
1,random,3,mnist,0.68751807972844
1,random,4,mnist,0.824765443816315
1,random,5,mnist,1.0082782006216577
1,random,6,mnist,1.2032546815591971
1,random,7,mnist,1.3938164191700166
1,random,8,mnist,1.543078829933013
1,random,9,mnist,1.7122664990252294
1,margin,0,mnist,0.0
1,margin,1,mnist,0.25831180253004726
1,margin,2,mnist,0.45034699143487567
1,margin,3,mnist,0.6876216729649003
1,margin,4,mnist,0.9014047030284387
1,margin,5,mnist,1.056254418066083
1,margin,6,mnist,1.224986726793766
1,margin,7,mnist,1.389434199794571
1,margin,8,mnist,1.5365152890568192
1,margin,9,mnist,1.7011683450059791
1,confidence,0,mnist,0.0
1,confidence,1,mnist,0.2722031795305095
1,confidence,2,mnist,0.5309998658100862
1,confidence,3,mnist,0.712387227921511
1,confidence,4,mnist,0.8889985139760815
1,confidence,5,mnist,1.1094295885148258
