seed,method,n_iter,dataset,value
0,random,0,1461,0.9777777777777777
0,random,1,1461,0.9333333333333333
0,random,2,1461,0.8888888888888888
0,random,3,1461,0.8666666666666667
0,random,4,1461,0.9333333333333333
0,random,5,1461,0.8444444444444444
0,random,6,1461,0.9111111111111111
0,random,7,1461,0.9777777777777777
0,random,8,1461,0.9555555555555556
0,random,9,1461,0.8222222222222222
0,margin,0,1461,0.8444444444444444
0,margin,1,1461,0.4
0,margin,2,1461,0.4
0,margin,3,1461,0.4666666666666667
0,margin,4,1461,0.5555555555555556
0,margin,5,1461,0.6444444444444445
0,margin,6,1461,0.4222222222222222
0,margin,7,1461,0.4666666666666667
0,margin,8,1461,0.4666666666666667
0,margin,9,1461,0.37777777777777777
0,confidence,0,1461,0.8444444444444444
0,confidence,1,1461,0.4
0,confidence,2,1461,0.4
0,confidence,3,1461,0.4666666666666667
0,confidence,4,1461,0.5555555555555556
0,confidence,5,1461,0.6444444444444445
0,confidence,6,1461,0.4222222222222222
0,confidence,7,1461,0.4666666666666667
0,confidence,8,1461,0.4666666666666667
0,confidence,9,1461,0.37777777777777777
0,entropy,0,1461,0.8444444444444444
0,entropy,1,1461,0.4
0,entropy,2,1461,0.4
0,entropy,3,1461,0.4666666666666667
0,entropy,4,1461,0.5555555555555556
0,entropy,5,1461,0.6444444444444445
0,entropy,6,1461,0.4222222222222222
0,entropy,7,1461,0.4666666666666667
0,entropy,8,1461,0.4666666666666667
0,entropy,9,1461,0.37777777777777777
0,kmeans,0,1461,0.9333333333333333
0,kmeans,1,1461,0.9333333333333333
0,kmeans,2,1461,0.8666666666666667
0,kmeans,3,1461,0.9333333333333333
0,kmeans,4,1461,0.8666666666666667
0,kmeans,5,1461,0.9333333333333333
0,kmeans,6,1461,0.9111111111111111
0,kmeans,7,1461,0.9333333333333333
0,kmeans,8,1461,0.9555555555555556
0,kmeans,9,1461,0.9111111111111111
0,wkmeans,0,1461,0.6444444444444445
0,wkmeans,1,1461,0.35555555555555557
0,wkmeans,2,1461,0.5777777777777777
0,wkmeans,3,1461,0.5333333333333333
0,wkmeans,4,1461,0.4444444444444444
0,wkmeans,5,1461,0.35555555555555557
0,wkmeans,6,1461,0.4888888888888889
0,wkmeans,7,1461,0.4444444444444444
0,wkmeans,8,1461,0.4888888888888889
0,wkmeans,9,1461,0.5555555555555556
0,iwkmeans,0,1461,0.5333333333333333
0,iwkmeans,1,1461,0.4666666666666667
0,iwkmeans,2,1461,0.4444444444444444
0,iwkmeans,3,1461,0.5777777777777777
0,iwkmeans,4,1461,0.4888888888888889
0,iwkmeans,5,1461,0.5555555555555556
0,iwkmeans,6,1461,0.5333333333333333
0,iwkmeans,7,1461,0.5111111111111111
0,iwkmeans,8,1461,0.6222222222222222
0,iwkmeans,9,1461,0.5777777777777777
0,kcenter,0,1461,0.7777777777777778
0,kcenter,1,1461,0.7111111111111111
0,kcenter,2,1461,0.9777777777777777
0,kcenter,3,1461,0.8222222222222222
0,kcenter,4,1461,0.9111111111111111
0,kcenter,5,1461,1.0
0,kcenter,6,1461,0.9333333333333333
0,kcenter,7,1461,0.9555555555555556
0,kcenter,8,1461,0.8444444444444444
0,kcenter,9,1461,1.0
1,random,0,1461,0.8222222222222222
1,random,1,1461,0.9111111111111111
1,random,2,1461,0.9333333333333333
1,random,3,1461,0.8444444444444444
1,random,4,1461,0.9111111111111111
1,random,5,1461,0.9333333333333333
1,random,6,1461,0.8888888888888888
1,random,7,1461,0.8666666666666667
1,random,8,1461,0.8888888888888888
1,random,9,1461,0.8666666666666667
1,margin,0,1461,0.4
1,margin,1,1461,0.5555555555555556
1,margin,2,1461,0.37777777777777777
1,margin,3,1461,0.4444444444444444
1,margin,4,1461,0.5777777777777777
1,margin,5,1461,0.6
1,margin,6,1461,0.5111111111111111
1,margin,7,1461,0.37777777777777777
1,margin,8,1461,0.4666666666666667
1,margin,9,1461,0.4222222222222222
1,confidence,0,1461,0.4
1,confidence,1,1461,0.5555555555555556
1,confidence,2,1461,0.37777777777777777
1,confidence,3,1461,0.4444444444444444
1,confidence,4,1461,0.5777777777777777
1,confidence,5,1461,0.6
1,confidence,6,1461,0.5111111111111111
1,confidence,7,1461,0.37777777777777777
1,confidence,8,1461,0.4666666666666667
1,confidence,9,1461,0.4222222222222222
1,entropy,0,1461,0.4
1,entropy,1,1461,0.5555555555555556
1,entropy,2,1461,0.37777777777777777
1,entropy,3,1461,0.4444444444444444
1,entropy,4,1461,0.5777777777777777
1,entropy,5,1461,0.6
1,entropy,6,1461,0.5111111111111111
1,entropy,7,1461,0.37777777777777777
1,entropy,8,1461,0.4666666666666667
1,entropy,9,1461,0.4222222222222222
1,kmeans,0,1461,0.9111111111111111
1,kmeans,1,1461,0.8888888888888888
1,kmeans,2,1461,0.9111111111111111
1,kmeans,3,1461,0.9777777777777777
1,kmeans,4,1461,0.9111111111111111
1,kmeans,5,1461,0.9333333333333333
1,kmeans,6,1461,0.8888888888888888
1,kmeans,7,1461,0.9111111111111111
1,kmeans,8,1461,0.9333333333333333
1,kmeans,9,1461,0.9333333333333333
1,wkmeans,0,1461,0.5555555555555556
1,wkmeans,1,1461,0.6222222222222222
1,wkmeans,2,1461,0.5555555555555556
1,wkmeans,3,1461,0.5555555555555556
1,wkmeans,4,1461,0.3333333333333333
1,wkmeans,5,1461,0.5777777777777777
1,wkmeans,6,1461,0.5555555555555556
1,wkmeans,7,1461,0.5333333333333333
1,wkmeans,8,1461,0.5333333333333333
1,wkmeans,9,1461,0.5777777777777777
1,iwkmeans,0,1461,0.5333333333333333
1,iwkmeans,1,1461,0.4222222222222222
1,iwkmeans,2,1461,0.6
1,iwkmeans,3,1461,0.5333333333333333
1,iwkmeans,4,1461,0.4888888888888889
1,iwkmeans,5,1461,0.4
1,iwkmeans,6,1461,0.4666666666666667
1,iwkmeans,7,1461,0.4
1,iwkmeans,8,1461,0.4888888888888889
1,iwkmeans,9,1461,0.5333333333333333
1,kcenter,0,1461,0.8
1,kcenter,1,1461,0.8888888888888888
1,kcenter,2,1461,0.9111111111111111
1,kcenter,3,1461,0.8666666666666667
1,kcenter,4,1461,0.9555555555555556
1,kcenter,5,1461,0.8444444444444444
1,kcenter,6,1461,0.9333333333333333
1,kcenter,7,1461,0.9777777777777777
1,kcenter,8,1461,0.8888888888888888
1,kcenter,9,1461,0.9111111111111111
2,random,0,1461,0.8222222222222222
2,random,1,1461,0.7555555555555555
2,random,2,1461,0.8444444444444444
2,random,3,1461,0.9111111111111111
2,random,4,1461,0.8
2,random,5,1461,0.8888888888888888
2,random,6,1461,0.9777777777777777
2,random,7,1461,0.8666666666666667
2,random,8,1461,0.8222222222222222
2,random,9,1461,0.8
2,margin,0,1461,0.4888888888888889
2,margin,1,1461,0.3333333333333333
2,margin,2,1461,0.5555555555555556
2,margin,3,1461,0.4666666666666667
2,margin,4,1461,0.5555555555555556
2,margin,5,1461,0.37777777777777777
2,margin,6,1461,0.4444444444444444
2,margin,7,1461,0.5111111111111111
2,margin,8,1461,0.6
2,margin,9,1461,0.4666666666666667
2,confidence,0,1461,0.4888888888888889
2,confidence,1,1461,0.3333333333333333
2,confidence,2,1461,0.5555555555555556
2,confidence,3,1461,0.4666666666666667
2,confidence,4,1461,0.5555555555555556
2,confidence,5,1461,0.37777777777777777
2,confidence,6,1461,0.4444444444444444
2,confidence,7,1461,0.5111111111111111
2,confidence,8,1461,0.6
2,confidence,9,1461,0.4666666666666667
2,entropy,0,1461,0.4888888888888889
2,entropy,1,1461,0.3333333333333333
2,entropy,2,1461,0.5555555555555556
2,entropy,3,1461,0.4666666666666667
2,entropy,4,1461,0.5555555555555556
2,entropy,5,1461,0.37777777777777777
2,entropy,6,1461,0.4444444444444444
2,entropy,7,1461,0.5111111111111111
2,entropy,8,1461,0.6
2,entropy,9,1461,0.4666666666666667
2,kmeans,0,1461,0.9333333333333333
2,kmeans,1,1461,0.9111111111111111
2,kmeans,2,1461,0.9333333333333333
2,kmeans,3,1461,0.8888888888888888
2,kmeans,4,1461,0.8444444444444444
