seed,method,n_iter,dataset,value
0,random,1,1461,0.0
0,random,2,1461,0.0
0,random,3,1461,0.0222222222222222
0,random,4,1461,0.0
0,random,5,1461,0.0
0,random,6,1461,0.0
0,random,7,1461,0.0
0,random,8,1461,0.0
0,random,9,1461,0.0
0,margin,1,1461,0.3333333333333333
0,margin,2,1461,0.4
0,margin,3,1461,0.2
0,margin,4,1461,0.1777777777777777
0,margin,5,1461,0.2222222222222222
0,margin,6,1461,0.1333333333333333
0,margin,7,1461,0.0888888888888888
0,margin,8,1461,0.2
0,margin,9,1461,0.0666666666666666
1,random,1,1461,0.0
1,random,2,1461,0.0666666666666666
1,random,3,1461,0.0444444444444444
1,random,4,1461,0.0
1,random,5,1461,0.0
1,random,6,1461,0.0222222222222222
1,random,7,1461,0.0222222222222222
1,random,8,1461,0.0
1,random,9,1461,0.0
1,margin,1,1461,0.4
1,margin,2,1461,0.1555555555555555
1,margin,3,1461,0.2666666666666666
1,margin,4,1461,0.2444444444444444
1,margin,5,1461,0.1777777777777777
1,margin,6,1461,0.0666666666666666
1,margin,7,1461,0.2
1,margin,8,1461,0.1555555555555555
1,margin,9,1461,0.1333333333333333
2,random,1,1461,0.0
2,random,2,1461,0.0222222222222222
2,random,3,1461,0.0444444444444444
2,random,4,1461,0.0222222222222222
2,random,5,1461,0.0
2,random,6,1461,0.0444444444444444
2,random,7,1461,0.0
2,random,8,1461,0.0
2,random,9,1461,0.0222222222222222
2,margin,1,1461,0.1333333333333333
2,margin,2,1461,0.4444444444444444
2,margin,3,1461,0.2222222222222222
2,margin,4,1461,0.2666666666666666
2,margin,5,1461,0.2
2,margin,6,1461,0.2444444444444444
2,margin,7,1461,0.1555555555555555
2,margin,8,1461,0.0666666666666666
2,margin,9,1461,0.0888888888888888
3,random,1,1461,0.0222222222222222
3,random,2,1461,0.0222222222222222
3,random,3,1461,0.0
3,random,4,1461,0.0666666666666666
3,random,5,1461,0.0
3,random,6,1461,0.0
3,random,7,1461,0.0222222222222222
3,random,8,1461,0.0
3,random,9,1461,0.0
3,margin,1,1461,0.5555555555555556
3,margin,2,1461,0.3111111111111111
3,margin,3,1461,0.15555555555555556
3,margin,4,1461,0.2
3,margin,5,1461,0.08888888888888889
3,margin,6,1461,0.08888888888888889
3,margin,7,1461,0.15555555555555556
3,margin,8,1461,0.1111111111111111
3,margin,9,1461,0.1111111111111111
4,random,1,1461,0.0
4,random,2,1461,0.0
4,random,3,1461,0.0
4,random,4,1461,0.0
4,random,5,1461,0.0
4,random,6,1461,0.0
4,random,7,1461,0.0
4,random,8,1461,0.0
4,random,9,1461,0.0
4,margin,1,1461,0.6
4,margin,2,1461,0.2444444444444444
4,margin,3,1461,0.2
4,margin,4,1461,0.2222222222222222
4,margin,5,1461,0.1555555555555555
