seed,method,n_iter,dataset,value
0,random,0,1461,0.0
0,random,1,1461,0.11848201495484706
0,random,2,1461,0.2595752116641904
0,random,3,1461,0.34499268930697935
0,random,4,1461,0.577909634832463
0,random,5,1461,0.6825351970450682
0,random,6,1461,0.8224757142826058
0,random,7,1461,0.8938740475331818
0,random,8,1461,0.8865740928481853
0,random,9,1461,1.1252376279051723
0,margin,0,1461,0.0
0,margin,1,1461,0.15740880326557138
0,margin,2,1461,0.32007352806796224
0,margin,3,1461,0.32459186473737955
0,margin,4,1461,0.5019201696383986
0,margin,5,1461,0.7549304368809431
0,margin,6,1461,0.7527499809319688
0,margin,7,1461,0.6822451131233989
0,margin,8,1461,0.8163505927731084
0,margin,9,1461,0.8075706471250994
0,confidence,0,1461,0.0
0,confidence,1,1461,0.15740880326557138
0,confidence,2,1461,0.32007352806796224
0,confidence,3,1461,0.32459186473737955
0,confidence,4,1461,0.5019201696383986
0,confidence,5,1461,0.7549304368809431
0,confidence,6,1461,0.7527499809319688
0,confidence,7,1461,0.6822451131233989
0,confidence,8,1461,0.8163505927731084
0,confidence,9,1461,0.8075706471250994
0,entropy,0,1461,0.0
0,entropy,1,1461,0.15740880326557138
0,entropy,2,1461,0.32007352806796224
0,entropy,3,1461,0.32459186473737955
0,entropy,4,1461,0.5019201696383986
0,entropy,5,1461,0.7549304368809431
0,entropy,6,1461,0.7527499809319688
0,entropy,7,1461,0.6822451131233989
0,entropy,8,1461,0.8163505927731084
0,entropy,9,1461,0.8075706471250994
0,kmeans,0,1461,0.0
0,kmeans,1,1461,0.25025437002857387
0,kmeans,2,1461,0.428121326443147
0,kmeans,3,1461,0.6644123733281345
0,kmeans,4,1461,0.8042767799790612
0,kmeans,5,1461,1.0496177302616052
0,kmeans,6,1461,1.2771363235483082
0,kmeans,7,1461,1.2167277503704645
0,kmeans,8,1461,1.4437154157085819
0,kmeans,9,1461,1.554955072306757
0,wkmeans,0,1461,0.0
0,wkmeans,1,1461,0.08193656470332696
0,wkmeans,2,1461,0.22494638119317237
0,wkmeans,3,1461,0.3761428836468459
0,wkmeans,4,1461,0.5974541973060049
0,wkmeans,5,1461,0.6012762022254641
0,wkmeans,6,1461,0.6550409060681279
0,wkmeans,7,1461,0.7520796470955851
0,wkmeans,8,1461,0.9426398512240317
0,wkmeans,9,1461,1.038383893963333
0,iwkmeans,0,1461,0.0
0,iwkmeans,1,1461,0.21038613002709716
0,iwkmeans,2,1461,0.2675978177442255
0,iwkmeans,3,1461,0.36402027865189623
0,iwkmeans,4,1461,0.4133732303867439
0,iwkmeans,5,1461,0.5199572749167405
0,iwkmeans,6,1461,0.591782178427339
0,iwkmeans,7,1461,0.5655442608823289
0,iwkmeans,8,1461,0.733366346393008
0,iwkmeans,9,1461,0.7947820171751188
0,kcenter,0,1461,0.0
0,kcenter,1,1461,0.18379115204645802
0,kcenter,2,1461,0.3888939829030402
