seed,method,n_iter,dataset,value
0,custom,0,1461,1.0
0,custom,1,1461,1.0
0,custom,2,1461,0.9925925925925926
0,custom,3,1461,0.9888888888888888
0,custom,4,1461,0.9955555555555556
0,custom,5,1461,0.9962962962962963
0,custom,6,1461,0.9904761904761904
0,custom,7,1461,0.9861111111111112
0,custom,8,1461,0.9728395061728397
0,custom,9,1461,0.9688888888888888
1,custom,0,1461,1.0
1,custom,1,1461,1.0
1,custom,2,1461,0.9925925925925926
1,custom,3,1461,0.9833333333333332
1,custom,4,1461,0.9733333333333334
1,custom,5,1461,0.9777777777777776
1,custom,6,1461,0.9587301587301588
1,custom,7,1461,0.9638888888888888
1,custom,8,1461,0.9679012345679012
1,custom,9,1461,0.9711111111111111
2,custom,0,1461,1.0
2,custom,1,1461,1.0
2,custom,2,1461,1.0
2,custom,3,1461,0.9944444444444444
2,custom,4,1461,0.9955555555555556
2,custom,5,1461,0.9925925925925926
2,custom,6,1461,0.9746031746031746
2,custom,7,1461,0.9722222222222222
2,custom,8,1461,0.9679012345679012
2,custom,9,1461,0.9644444444444444
3,custom,0,1461,1.0
3,custom,1,1461,1.0
3,custom,2,1461,0.9925925925925926
3,custom,3,1461,0.9833333333333332
3,custom,4,1461,0.9822222222222222
3,custom,5,1461,0.9888888888888888
3,custom,6,1461,0.9650793650793652
3,custom,7,1461,0.9583333333333334
3,custom,8,1461,0.9555555555555556
3,custom,9,1461,0.9333333333333332
4,custom,0,1461,1.0
4,custom,1,1461,0.9888888888888888
4,custom,2,1461,0.9851851851851852
4,custom,3,1461,0.9722222222222222
4,custom,4,1461,0.9555555555555556
4,custom,5,1461,0.9444444444444444
4,custom,6,1461,0.946031746031746
4,custom,7,1461,0.95
4,custom,8,1461,0.9382716049382716
4,custom,9,1461,0.9377777777777778
5,custom,0,1461,1.0
5,custom,1,1461,1.0
5,custom,2,1461,0.9703703703703704
5,custom,3,1461,0.9833333333333332
5,custom,4,1461,0.9955555555555556
5,custom,5,1461,0.9814814814814816
5,custom,6,1461,0.9714285714285714
5,custom,7,1461,0.9694444444444444
5,custom,8,1461,0.9703703703703704
5,custom,9,1461,0.9622222222222222
6,custom,0,1461,1.0
6,custom,1,1461,1.0
6,custom,2,1461,1.0
6,custom,3,1461,1.0
6,custom,4,1461,0.9955555555555556
6,custom,5,1461,0.9814814814814816
6,custom,6,1461,0.9904761904761904
6,custom,7,1461,0.9777777777777776
6,custom,8,1461,0.9851851851851852
6,custom,9,1461,0.9622222222222222
7,custom,0,1461,1.0
7,custom,1,1461,1.0
7,custom,2,1461,0.9925925925925926
7,custom,3,1461,0.9833333333333332
7,custom,4,1461,0.9866666666666668
7,custom,5,1461,0.9962962962962963
7,custom,6,1461,0.9809523809523808
7,custom,7,1461,0.9861111111111112
7,custom,8,1461,0.9679012345679012
7,custom,9,1461,0.96
8,custom,0,1461,1.0
8,custom,1,1461,1.0
8,custom,2,1461,0.9777777777777776
8,custom,3,1461,0.9888888888888888
8,custom,4,1461,0.9866666666666668
8,custom,5,1461,0.9481481481481482
8,custom,6,1461,0.9682539682539684
8,custom,7,1461,0.9666666666666668
8,custom,8,1461,0.9679012345679012
8,custom,9,1461,0.9644444444444444
9,custom,0,1461,1.0
9,custom,1,1461,1.0
9,custom,2,1461,0.9925925925925926
9,custom,3,1461,0.9888888888888889
9,custom,4,1461,0.9866666666666667
9,custom,5,1461,0.9851851851851852
9,custom,6,1461,0.9809523809523809
9,custom,7,1461,0.9666666666666667
9,custom,8,1461,0.9728395061728395
9,custom,9,1461,0.9688888888888889
