seed,method,n_iter,dataset,value
0,custom,0,1461,0.8666666666666667
0,custom,1,1461,0.8111111111111111
0,custom,2,1461,0.837037037037037
0,custom,3,1461,0.7888888888888889
0,custom,4,1461,0.76
0,custom,5,1461,0.7111111111111111
0,custom,6,1461,0.7111111111111111
0,custom,7,1461,0.7083333333333334
0,custom,8,1461,0.7135802469135802
0,custom,9,1461,0.7266666666666667
1,custom,0,1461,0.9333333333333332
1,custom,1,1461,0.8222222222222222
1,custom,2,1461,0.7777777777777778
1,custom,3,1461,0.7777777777777778
1,custom,4,1461,0.7733333333333333
1,custom,5,1461,0.7407407407407407
1,custom,6,1461,0.7555555555555555
1,custom,7,1461,0.7583333333333333
1,custom,8,1461,0.725925925925926
1,custom,9,1461,0.7133333333333334
2,custom,0,1461,0.9333333333333332
2,custom,1,1461,0.8777777777777778
2,custom,2,1461,0.8666666666666667
2,custom,3,1461,0.8611111111111112
2,custom,4,1461,0.7822222222222223
2,custom,5,1461,0.7703703703703704
2,custom,6,1461,0.765079365079365
2,custom,7,1461,0.75
2,custom,8,1461,0.7679012345679013
2,custom,9,1461,0.7533333333333333
3,custom,0,1461,0.7777777777777778
3,custom,1,1461,0.8222222222222222
3,custom,2,1461,0.7777777777777778
3,custom,3,1461,0.7888888888888889
3,custom,4,1461,0.7911111111111111
3,custom,5,1461,0.7962962962962963
3,custom,6,1461,0.7746031746031746
3,custom,7,1461,0.7555555555555555
3,custom,8,1461,0.7358024691358025
3,custom,9,1461,0.7311111111111112
4,custom,0,1461,0.9555555555555556
4,custom,1,1461,0.9
4,custom,2,1461,0.837037037037037
4,custom,3,1461,0.8277777777777777
4,custom,4,1461,0.84
4,custom,5,1461,0.7814814814814814
4,custom,6,1461,0.7936507936507936
4,custom,7,1461,0.7888888888888889
4,custom,8,1461,0.782716049382716
4,custom,9,1461,0.7822222222222223
5,custom,0,1461,0.9333333333333332
5,custom,1,1461,0.7888888888888889
5,custom,2,1461,0.7111111111111111
5,custom,3,1461,0.7555555555555555
5,custom,4,1461,0.7377777777777778
5,custom,5,1461,0.7296296296296296
5,custom,6,1461,0.7619047619047619
5,custom,7,1461,0.7222222222222222
5,custom,8,1461,0.7283950617283951
5,custom,9,1461,0.7288888888888889
6,custom,0,1461,0.8888888888888888
6,custom,1,1461,0.8444444444444444
6,custom,2,1461,0.8074074074074075
6,custom,3,1461,0.7833333333333333
6,custom,4,1461,0.7955555555555556
6,custom,5,1461,0.8074074074074075
6,custom,6,1461,0.7936507936507936
6,custom,7,1461,0.7861111111111111
6,custom,8,1461,0.7901234567901234
6,custom,9,1461,0.7911111111111111
7,custom,0,1461,0.9111111111111112
7,custom,1,1461,0.8111111111111111
7,custom,2,1461,0.7481481481481481
7,custom,3,1461,0.75
7,custom,4,1461,0.7733333333333333
7,custom,5,1461,0.762962962962963
7,custom,6,1461,0.7523809523809524
7,custom,7,1461,0.75
7,custom,8,1461,0.7753086419753087
7,custom,9,1461,0.7733333333333333
8,custom,0,1461,0.9333333333333332
8,custom,1,1461,0.8555555555555555
8,custom,2,1461,0.7925925925925926
8,custom,3,1461,0.8166666666666667
8,custom,4,1461,0.7555555555555555
8,custom,5,1461,0.7296296296296296
8,custom,6,1461,0.7523809523809524
8,custom,7,1461,0.7388888888888889
8,custom,8,1461,0.7308641975308642
8,custom,9,1461,0.72
9,custom,0,1461,0.9333333333333333
9,custom,1,1461,0.8555555555555555
9,custom,2,1461,0.7925925925925926
9,custom,3,1461,0.7722222222222223
9,custom,4,1461,0.7688888888888888
9,custom,5,1461,0.7518518518518519
9,custom,6,1461,0.7396825396825397
9,custom,7,1461,0.7805555555555556
9,custom,8,1461,0.7283950617283951
9,custom,9,1461,0.7177777777777777
