seed,method,n_iter,dataset,value
0,custom,0,1461,0.0
0,custom,1,1461,0.7136968552624039
0,custom,2,1461,0.4161198384338178
0,custom,3,1461,0.287974289406274
0,custom,4,1461,0.1702725303476659
0,custom,5,1461,0.3143368081460164
0,custom,6,1461,0.1786334550142055
0,custom,7,1461,0.3271820946552007
0,custom,8,1461,0.1492860758993913
0,custom,9,1461,0.0737411962537594
1,custom,0,1461,0.0
1,custom,1,1461,0.8586551464542476
1,custom,2,1461,0.6234240891536375
1,custom,3,1461,0.4305548896381108
1,custom,4,1461,0.3327463496053554
1,custom,5,1461,0.2733833102613462
1,custom,6,1461,0.1875872120997021
1,custom,7,1461,0.1916296713754718
1,custom,8,1461,0.2629355848761414
1,custom,9,1461,0.1659431831568041
2,custom,0,1461,0.0
2,custom,1,1461,1.283564964946813
2,custom,2,1461,0.5459098461965628
2,custom,3,1461,0.1869313881551187
2,custom,4,1461,0.1490062982798607
2,custom,5,1461,0.1336891407585888
2,custom,6,1461,0.1927207979498552
2,custom,7,1461,0.1022590921477464
2,custom,8,1461,0.2212061668608224
2,custom,9,1461,0.1313504315158719
3,custom,0,1461,0.0
3,custom,1,1461,1.429944869492932
3,custom,2,1461,0.6444928145781444
3,custom,3,1461,0.3166160594183659
3,custom,4,1461,0.330571594948762
3,custom,5,1461,0.2226697158148371
3,custom,6,1461,0.2613075795412448
3,custom,7,1461,0.2507577230075963
3,custom,8,1461,0.1705948153937142
3,custom,9,1461,0.1801590568378771
4,custom,0,1461,0.0
4,custom,1,1461,1.0956056906835725
4,custom,2,1461,0.7606208024971701
4,custom,3,1461,0.7924835345253731
4,custom,4,1461,0.2549416694406622
4,custom,5,1461,0.1831851120715968
4,custom,6,1461,0.1077013889334806
4,custom,7,1461,0.2463158372366241
4,custom,8,1461,0.1995896539650296
4,custom,9,1461,0.2293030053997388
5,custom,0,1461,0.0
5,custom,1,1461,0.9699295056237556
5,custom,2,1461,0.6469138738620098
5,custom,3,1461,0.2707719682784809
5,custom,4,1461,0.2796386828617455
5,custom,5,1461,0.1057623762101603
5,custom,6,1461,0.151781901499319
5,custom,7,1461,0.1000147435807012
5,custom,8,1461,0.2002436723970903
5,custom,9,1461,0.1546260779532318
6,custom,0,1461,0.0
6,custom,1,1461,1.3556536289320935
6,custom,2,1461,0.5321337084294561
6,custom,3,1461,0.7012767636203875
6,custom,4,1461,0.315395721981669
6,custom,5,1461,0.231858352936591
6,custom,6,1461,0.1103670249035577
6,custom,7,1461,0.2705987201404458
6,custom,8,1461,0.2624633276793779
6,custom,9,1461,0.1817509374150799
7,custom,0,1461,0.0
7,custom,1,1461,0.983607371701144
7,custom,2,1461,0.6690973002683949
7,custom,3,1461,0.4807906481651424
7,custom,4,1461,0.2428770735552195
7,custom,5,1461,0.1605438851106204
7,custom,6,1461,0.2090254573901221
7,custom,7,1461,0.2653123899008643
7,custom,8,1461,0.1729218495826501
7,custom,9,1461,0.1883276495832878
8,custom,0,1461,0.0
8,custom,1,1461,1.8121614077135093
8,custom,2,1461,0.8817101491960435
8,custom,3,1461,0.5909555461773246
8,custom,4,1461,0.2077470082398639
8,custom,5,1461,0.6785729712649036
8,custom,6,1461,0.2181785260603652
8,custom,7,1461,0.3032061855163738
8,custom,8,1461,0.1686616244868595
8,custom,9,1461,0.2482753229862918
9,custom,0,1461,0.0
9,custom,1,1461,1.226186669711955
9,custom,2,1461,0.825544235606219
9,custom,3,1461,0.47005661249186115
9,custom,4,1461,0.15338414864115293
9,custom,5,1461,0.23027047554866317
9,custom,6,1461,0.18752746917318153
9,custom,7,1461,0.2310685046138662
9,custom,8,1461,0.10800611366993011
9,custom,9,1461,0.16189353136345452
