seed,method,n_iter,dataset,value
0,custom,1,1461,0.3333333333333333
0,custom,2,1461,0.4
0,custom,3,1461,0.2
0,custom,4,1461,0.1777777777777777
0,custom,5,1461,0.2222222222222222
0,custom,6,1461,0.1333333333333333
0,custom,7,1461,0.0888888888888888
0,custom,8,1461,0.2
0,custom,9,1461,0.0666666666666666
1,custom,1,1461,0.4
1,custom,2,1461,0.1555555555555555
1,custom,3,1461,0.2666666666666666
1,custom,4,1461,0.2444444444444444
1,custom,5,1461,0.1777777777777777
1,custom,6,1461,0.0666666666666666
1,custom,7,1461,0.2
1,custom,8,1461,0.1555555555555555
1,custom,9,1461,0.1333333333333333
2,custom,1,1461,0.1333333333333333
2,custom,2,1461,0.4444444444444444
2,custom,3,1461,0.2222222222222222
2,custom,4,1461,0.2666666666666666
2,custom,5,1461,0.2
2,custom,6,1461,0.2444444444444444
2,custom,7,1461,0.1555555555555555
2,custom,8,1461,0.0666666666666666
2,custom,9,1461,0.0888888888888888
3,custom,1,1461,0.5555555555555556
3,custom,2,1461,0.3111111111111111
3,custom,3,1461,0.1555555555555555
3,custom,4,1461,0.2
3,custom,5,1461,0.0888888888888888
3,custom,6,1461,0.0888888888888888
3,custom,7,1461,0.1555555555555555
3,custom,8,1461,0.1111111111111111
3,custom,9,1461,0.1111111111111111
4,custom,1,1461,0.6
4,custom,2,1461,0.2444444444444444
4,custom,3,1461,0.2
4,custom,4,1461,0.2222222222222222
4,custom,5,1461,0.1555555555555555
4,custom,6,1461,0.1777777777777777
4,custom,7,1461,0.0666666666666666
4,custom,8,1461,0.1555555555555555
4,custom,9,1461,0.1555555555555555
5,custom,1,1461,0.3777777777777777
5,custom,2,1461,0.2222222222222222
5,custom,3,1461,0.2222222222222222
5,custom,4,1461,0.2666666666666666
5,custom,5,1461,0.1111111111111111
5,custom,6,1461,0.0666666666666666
5,custom,7,1461,0.1777777777777777
5,custom,8,1461,0.0888888888888888
5,custom,9,1461,0.0888888888888888
6,custom,1,1461,0.7777777777777778
6,custom,2,1461,0.2
6,custom,3,1461,0.2888888888888888
6,custom,4,1461,0.1333333333333333
6,custom,5,1461,0.1111111111111111
6,custom,6,1461,0.1555555555555555
6,custom,7,1461,0.1777777777777777
6,custom,8,1461,0.1333333333333333
6,custom,9,1461,0.0888888888888888
7,custom,1,1461,0.4222222222222222
7,custom,2,1461,0.3555555555555555
7,custom,3,1461,0.2888888888888888
7,custom,4,1461,0.2444444444444444
7,custom,5,1461,0.2888888888888888
7,custom,6,1461,0.2444444444444444
7,custom,7,1461,0.0444444444444444
7,custom,8,1461,0.1111111111111111
7,custom,9,1461,0.1555555555555555
8,custom,1,1461,0.7777777777777778
8,custom,2,1461,0.3555555555555555
8,custom,3,1461,0.4666666666666667
8,custom,4,1461,0.1777777777777777
8,custom,5,1461,0.1777777777777777
8,custom,6,1461,0.2
8,custom,7,1461,0.2
8,custom,8,1461,0.1555555555555555
8,custom,9,1461,0.2444444444444444
9,custom,1,1461,0.8888888888888888
9,custom,2,1461,0.3111111111111111
9,custom,3,1461,0.35555555555555557
9,custom,4,1461,0.35555555555555557
9,custom,5,1461,0.13333333333333333
9,custom,6,1461,0.26666666666666666
9,custom,7,1461,0.06666666666666667
9,custom,8,1461,0.13333333333333333
9,custom,9,1461,0.1111111111111111
