seed,method,n_iter,dataset,value
0,custom,1,1461,0.1111111111111111
0,custom,2,1461,0.2666666666666666
0,custom,3,1461,0.2388888888888889
0,custom,4,1461,0.1555555555555555
0,custom,5,1461,0.1333333333333333
0,custom,6,1461,0.0857142857142857
0,custom,7,1461,0.1111111111111111
0,custom,8,1461,0.0938271604938271
0,custom,9,1461,0.0822222222222222
1,custom,1,1461,0.4111111111111111
1,custom,2,1461,0.1851851851851851
1,custom,3,1461,0.1888888888888888
1,custom,4,1461,0.1288888888888889
1,custom,5,1461,0.1259259259259259
1,custom,6,1461,0.1269841269841269
1,custom,7,1461,0.0888888888888888
1,custom,8,1461,0.1135802469135802
1,custom,9,1461,0.0666666666666666
2,custom,1,1461,0.1222222222222222
2,custom,2,1461,0.1629629629629629
2,custom,3,1461,0.1333333333333333
2,custom,4,1461,0.0888888888888888
2,custom,5,1461,0.1407407407407407
2,custom,6,1461,0.1079365079365079
2,custom,7,1461,0.0944444444444444
2,custom,8,1461,0.0962962962962963
2,custom,9,1461,0.0822222222222222
3,custom,1,1461,0.2777777777777778
3,custom,2,1461,0.237037037037037
3,custom,3,1461,0.15
3,custom,4,1461,0.1644444444444444
3,custom,5,1461,0.1222222222222222
3,custom,6,1461,0.073015873015873
3,custom,7,1461,0.0972222222222222
3,custom,8,1461,0.1135802469135802
3,custom,9,1461,0.1
4,custom,1,1461,0.1777777777777777
4,custom,2,1461,0.0888888888888888
4,custom,3,1461,0.0444444444444444
4,custom,4,1461,0.0355555555555555
4,custom,5,1461,0.0703703703703703
4,custom,6,1461,0.1206349206349206
4,custom,7,1461,0.1333333333333333
4,custom,8,1461,0.091358024691358
4,custom,9,1461,0.0822222222222222
5,custom,1,1461,0.3666666666666666
5,custom,2,1461,0.2592592592592592
5,custom,3,1461,0.1388888888888889
5,custom,4,1461,0.1644444444444444
5,custom,5,1461,0.1148148148148148
5,custom,6,1461,0.1333333333333333
5,custom,7,1461,0.1138888888888888
5,custom,8,1461,0.0864197530864197
5,custom,9,1461,0.0888888888888888
6,custom,1,1461,0.4444444444444444
6,custom,2,1461,0.1851851851851851
6,custom,3,1461,0.2055555555555555
6,custom,4,1461,0.1555555555555555
6,custom,5,1461,0.0851851851851851
6,custom,6,1461,0.1047619047619047
6,custom,7,1461,0.0916666666666666
6,custom,8,1461,0.0716049382716049
6,custom,9,1461,0.0666666666666666
7,custom,1,1461,0.4
7,custom,2,1461,0.2444444444444444
7,custom,3,1461,0.1722222222222222
7,custom,4,1461,0.1333333333333333
7,custom,5,1461,0.1074074074074074
7,custom,6,1461,0.0603174603174603
7,custom,7,1461,0.1027777777777777
7,custom,8,1461,0.1185185185185185
7,custom,9,1461,0.08
8,custom,1,1461,0.2222222222222222
8,custom,2,1461,0.1851851851851851
8,custom,3,1461,0.1666666666666666
8,custom,4,1461,0.1511111111111111
8,custom,5,1461,0.1074074074074074
8,custom,6,1461,0.1365079365079365
8,custom,7,1461,0.1083333333333333
8,custom,8,1461,0.0888888888888888
8,custom,9,1461,0.0577777777777777
9,custom,1,1461,0.3888888888888889
9,custom,2,1461,0.0962962962962963
9,custom,3,1461,0.17222222222222222
9,custom,4,1461,0.10666666666666667
9,custom,5,1461,0.1111111111111111
9,custom,6,1461,0.1111111111111111
9,custom,7,1461,0.125
9,custom,8,1461,0.07901234567901234
9,custom,9,1461,0.08888888888888889
