seed,method,n_iter,dataset,value
0,custom,1,1461,0.1444444444444444
0,custom,2,1461,0.1777777777777777
0,custom,3,1461,0.1166666666666666
0,custom,4,1461,0.1066666666666666
0,custom,5,1461,0.0851851851851851
0,custom,6,1461,0.0507936507936507
0,custom,7,1461,0.0694444444444444
0,custom,8,1461,0.0987654320987654
0,custom,9,1461,0.0711111111111111
1,custom,1,1461,0.3333333333333333
1,custom,2,1461,0.1777777777777777
1,custom,3,1461,0.1555555555555555
1,custom,4,1461,0.1244444444444444
1,custom,5,1461,0.0814814814814814
1,custom,6,1461,0.0984126984126984
1,custom,7,1461,0.0583333333333333
1,custom,8,1461,0.0666666666666666
1,custom,9,1461,0.0733333333333333
2,custom,1,1461,0.1333333333333333
2,custom,2,1461,0.1777777777777777
2,custom,3,1461,0.1388888888888889
2,custom,4,1461,0.1155555555555555
2,custom,5,1461,0.0962962962962963
2,custom,6,1461,0.092063492063492
2,custom,7,1461,0.0861111111111111
2,custom,8,1461,0.0617283950617283
2,custom,9,1461,0.0822222222222222
3,custom,1,1461,0.2444444444444444
3,custom,2,1461,0.1407407407407407
3,custom,3,1461,0.15
3,custom,4,1461,0.1377777777777777
3,custom,5,1461,0.1111111111111111
3,custom,6,1461,0.0984126984126984
3,custom,7,1461,0.0861111111111111
3,custom,8,1461,0.074074074074074
3,custom,9,1461,0.0844444444444444
4,custom,1,1461,0.1444444444444444
4,custom,2,1461,0.1185185185185185
4,custom,3,1461,0.1277777777777777
4,custom,4,1461,0.1244444444444444
4,custom,5,1461,0.074074074074074
4,custom,6,1461,0.1015873015873015
4,custom,7,1461,0.075
4,custom,8,1461,0.0814814814814814
4,custom,9,1461,0.0866666666666666
5,custom,1,1461,0.2333333333333333
5,custom,2,1461,0.2
5,custom,3,1461,0.1055555555555555
5,custom,4,1461,0.1022222222222222
5,custom,5,1461,0.1111111111111111
5,custom,6,1461,0.1015873015873015
5,custom,7,1461,0.0944444444444444
5,custom,8,1461,0.0839506172839506
5,custom,9,1461,0.0711111111111111
6,custom,1,1461,0.3
6,custom,2,1461,0.1777777777777777
6,custom,3,1461,0.1111111111111111
6,custom,4,1461,0.1288888888888889
6,custom,5,1461,0.1333333333333333
6,custom,6,1461,0.0793650793650793
6,custom,7,1461,0.0805555555555555
6,custom,8,1461,0.0493827160493827
6,custom,9,1461,0.0711111111111111
7,custom,1,1461,0.3
7,custom,2,1461,0.1555555555555555
7,custom,3,1461,0.1277777777777777
7,custom,4,1461,0.1066666666666666
7,custom,5,1461,0.1111111111111111
7,custom,6,1461,0.0825396825396825
7,custom,7,1461,0.0888888888888888
7,custom,8,1461,0.0864197530864197
7,custom,9,1461,0.0933333333333333
8,custom,1,1461,0.2888888888888888
8,custom,2,1461,0.1851851851851851
8,custom,3,1461,0.1444444444444444
8,custom,4,1461,0.0977777777777777
8,custom,5,1461,0.1111111111111111
8,custom,6,1461,0.1142857142857142
8,custom,7,1461,0.0777777777777777
8,custom,8,1461,0.0790123456790123
8,custom,9,1461,0.0911111111111111
9,custom,1,1461,0.3333333333333333
9,custom,2,1461,0.17777777777777778
9,custom,3,1461,0.12222222222222222
9,custom,4,1461,0.08888888888888889
9,custom,5,1461,0.11481481481481481
9,custom,6,1461,0.07936507936507936
9,custom,7,1461,0.09444444444444444
9,custom,8,1461,0.08395061728395062
9,custom,9,1461,0.06222222222222222
