seed,method,n_iter,dataset,value
0,custom,1,1461,0.9296693575140992
0,custom,2,1461,0.949684839102068
0,custom,3,1461,0.971248479486896
0,custom,4,1461,0.9565409709167312
0,custom,5,1461,0.9788786906999888
0,custom,6,1461,0.9817538427512994
0,custom,7,1461,0.986066570828265
0,custom,8,1461,0.9831914187769546
0,custom,9,1461,0.9813115116664824
1,custom,1,1461,0.920933318588964
1,custom,2,1461,0.8906336392790003
1,custom,3,1461,0.9107597036381732
1,custom,4,1461,0.9428287072874046
1,custom,5,1461,0.9558774742895056
1,custom,6,1461,0.9490213424748424
1,custom,7,1461,0.9642817649010283
1,custom,8,1461,0.9850713258874269
1,custom,9,1461,0.9632865199601902
2,custom,1,1461,0.9346455822182904
2,custom,2,1461,0.9531129050093996
2,custom,3,1461,0.9572044675439566
2,custom,4,1461,0.9666040030963176
2,custom,5,1461,0.9809797633528696
2,custom,6,1461,0.9869512329978988
2,custom,7,1461,0.9846289948026098
2,custom,8,1461,0.9836337498617715
2,custom,9,1461,0.988388809023554
3,custom,1,1461,0.9292270264292825
3,custom,2,1461,0.921928563529802
3,custom,3,1461,0.93984297246489
3,custom,4,1461,0.9570938847727524
3,custom,5,1461,0.9390688930664602
3,custom,6,1461,0.9332080061926352
3,custom,7,1461,0.9667145858675218
3,custom,8,1461,0.9580891297135906
3,custom,9,1461,0.9720225588853256
4,custom,1,1461,0.9426075417449962
4,custom,2,1461,0.9588632091120204
4,custom,3,1461,0.9616277783921264
4,custom,4,1461,0.9734601349109808
4,custom,5,1461,0.9680415791219728
4,custom,6,1461,0.9800951011832356
4,custom,7,1461,0.981975008293708
4,custom,8,1461,0.986508901913082
4,custom,9,1461,0.98020568395444
5,custom,1,1461,0.9231449740130488
5,custom,2,1461,0.9154041800287516
5,custom,3,1461,0.9593055401968372
5,custom,4,1461,0.9473626009067788
5,custom,5,1461,0.9586420435696118
5,custom,6,1461,0.969479155147628
5,custom,7,1461,0.957867964171182
5,custom,8,1461,0.9612960300785136
5,custom,9,1461,0.9642817649010283
6,custom,1,1461,0.938073648125622
6,custom,2,1461,0.9534446533230124
6,custom,3,1461,0.9579785469423864
6,custom,4,1461,0.969479155147628
6,custom,5,1461,0.9530023222381953
6,custom,6,1461,0.9501271701868848
6,custom,7,1461,0.9612960300785136
6,custom,8,1461,0.973902465995798
6,custom,9,1461,0.9671569169523389
7,custom,1,1461,0.9269047882339932
7,custom,2,1461,0.9270153710051974
7,custom,3,1461,0.9684839102067898
7,custom,4,1461,0.944819197169081
7,custom,5,1461,0.957867964171182
7,custom,6,1461,0.9365254893287626
7,custom,7,1461,0.9379630653544178
7,custom,8,1461,0.9127501935198497
7,custom,9,1461,0.92812119871724
8,custom,1,1461,0.876589627336061
8,custom,2,1461,0.9175052526816322
8,custom,3,1461,0.9409488001769324
8,custom,4,1461,0.9386265619816432
8,custom,5,1461,0.9400641380072984
8,custom,6,1461,0.9629547716465776
8,custom,7,1461,0.9756717903350658
8,custom,8,1461,0.9437133694570384
8,custom,9,1461,0.9403958863209112
9,custom,1,1461,0.9259095432931549
9,custom,2,1461,0.9211544841313724
9,custom,3,1461,0.9415017140329537
9,custom,4,1461,0.9515647462125401
9,custom,5,1461,0.9438239522282429
9,custom,6,1461,0.9421652106601791
9,custom,7,1461,0.9326550923366139
9,custom,8,1461,0.9439345349994471
9,custom,9,1461,0.9581997124847949
