seed,method,n_iter,dataset,value
0,custom,0,1461,0.0
0,custom,1,1461,0.1552689292425894
0,custom,2,1461,0.2310109028832414
0,custom,3,1461,0.2966209559069303
0,custom,4,1461,0.403019871213906
0,custom,5,1461,0.5219372304684434
0,custom,6,1461,0.4781317993782406
0,custom,7,1461,0.599269882699663
0,custom,8,1461,0.5352667069531235
0,custom,9,1461,0.6918903938028914
1,custom,0,1461,0.0
1,custom,1,1461,0.1776999108577639
1,custom,2,1461,0.2923340071558766
1,custom,3,1461,0.4375832406592106
1,custom,4,1461,0.4950835161370848
1,custom,5,1461,0.6233825784267447
1,custom,6,1461,0.6899972835849488
1,custom,7,1461,0.8400627975540276
1,custom,8,1461,0.8751527241240202
1,custom,9,1461,1.0223133669667814
2,custom,0,1461,0.0
2,custom,1,1461,0.1050151062998082
2,custom,2,1461,0.2122342740833344
2,custom,3,1461,0.2742396229745775
2,custom,4,1461,0.3938133166238693
2,custom,5,1461,0.4492978900955503
2,custom,6,1461,0.5166402863308777
2,custom,7,1461,0.5569991636913356
2,custom,8,1461,0.6948809745933666
2,custom,9,1461,0.7939752177950389
3,custom,0,1461,0.0
3,custom,1,1461,0.1535070420529882
3,custom,2,1461,0.1921571546381466
3,custom,3,1461,0.3032289797914239
3,custom,4,1461,0.4596038638455459
3,custom,5,1461,0.6067597932345882
3,custom,6,1461,0.7103254498803659
3,custom,7,1461,0.8059979763371888
3,custom,8,1461,0.7691481108924736
3,custom,9,1461,0.7695231764070445
4,custom,0,1461,0.0
4,custom,1,1461,0.0839844027148791
4,custom,2,1461,0.2277105096238449
4,custom,3,1461,0.3526715365447738
4,custom,4,1461,0.6016248674071731
4,custom,5,1461,0.7482128612641092
4,custom,6,1461,0.8894400092600847
4,custom,7,1461,1.0019852287844886
4,custom,8,1461,1.1356597765069782
4,custom,9,1461,1.2911507670682396
5,custom,0,1461,0.0
5,custom,1,1461,0.1262834771718896
5,custom,2,1461,0.3312093873281898
5,custom,3,1461,0.3274005162685924
5,custom,4,1461,0.5398170305092822
5,custom,5,1461,0.5714459441798411
5,custom,6,1461,0.5691254153857436
5,custom,7,1461,0.6008226304024094
5,custom,8,1461,0.6676456382205445
5,custom,9,1461,1.0397179927255742
6,custom,0,1461,0.0
6,custom,1,1461,0.0836362197188692
6,custom,2,1461,0.1896154972494861
6,custom,3,1461,0.2226301177381528
6,custom,4,1461,0.4120523847890592
6,custom,5,1461,0.4124851109099129
6,custom,6,1461,0.6094705283654231
6,custom,7,1461,0.7439217077350857
6,custom,8,1461,0.9071125714520398
6,custom,9,1461,1.0181499041877422
7,custom,0,1461,0.0
7,custom,1,1461,0.1499508819870514
7,custom,2,1461,0.2283859520496779
7,custom,3,1461,0.3876174986105334
7,custom,4,1461,0.6464673805942226
7,custom,5,1461,0.5760480323398103
7,custom,6,1461,0.778041537636337
7,custom,7,1461,0.9897662093437456
7,custom,8,1461,0.9313887845000562
7,custom,9,1461,1.027355589645044
8,custom,0,1461,0.0
8,custom,1,1461,0.188995573121233
8,custom,2,1461,0.2904655427988943
8,custom,3,1461,0.516409083225393
8,custom,4,1461,0.5429575967843816
8,custom,5,1461,0.905654017469122
8,custom,6,1461,0.8457664921788512
8,custom,7,1461,0.8728985288345907
8,custom,8,1461,0.8559604730947543
8,custom,9,1461,1.078571185565897
9,custom,0,1461,0.0
9,custom,1,1461,0.11947598279733458
9,custom,2,1461,0.3422185506647248
9,custom,3,1461,0.44816160772838065
9,custom,4,1461,0.5442056257201806
9,custom,5,1461,0.6152533023250031
9,custom,6,1461,0.7910732224984596
9,custom,7,1461,0.9298614935521256
9,custom,8,1461,0.8743037531112636
9,custom,9,1461,1.0332404922870058
