seed,method,n_iter,dataset,value
0,custom,1,1461,0.1071693094303242
0,custom,2,1461,0.0310328071772882
0,custom,3,1461,0.0241006210511226
0,custom,4,1461,0.0193177599526704
0,custom,5,1461,0.0105960779817046
0,custom,6,1461,0.0089872064907505
0,custom,7,1461,0.0059045964491062
0,custom,8,1461,0.0065210357747676
0,custom,9,1461,0.0046371995614026
1,custom,1,1461,0.0806570020336117
1,custom,2,1461,0.0940962862293406
1,custom,3,1461,0.0529630783606937
1,custom,4,1461,0.0156657356800141
1,custom,5,1461,0.0113912482292009
1,custom,6,1461,0.0248666248822135
1,custom,7,1461,0.0060074006104525
1,custom,8,1461,0.0049090453309869
1,custom,9,1461,0.0112295076823234
2,custom,1,1461,0.1723889148489713
2,custom,2,1461,0.0331145501831406
2,custom,3,1461,0.0222605741501893
2,custom,4,1461,0.0218753116058815
2,custom,5,1461,0.0113997271425944
2,custom,6,1461,0.0052097973651105
2,custom,7,1461,0.0087358047954655
2,custom,8,1461,0.0041652150222445
2,custom,9,1461,0.003442651417274
3,custom,1,1461,0.1004939308793292
3,custom,2,1461,0.0445746932675686
3,custom,3,1461,0.0404227363779752
3,custom,4,1461,0.0342260037995834
3,custom,5,1461,0.0283846660113687
3,custom,6,1461,0.030337465858694
3,custom,7,1461,0.0097635182489109
3,custom,8,1461,0.0118377833775883
3,custom,9,1461,0.0085623671064716
4,custom,1,1461,0.0897244014371327
4,custom,2,1461,0.0472765344414343
4,custom,3,1461,0.0229175534559049
4,custom,4,1461,0.0185706921520488
4,custom,5,1461,0.0293156005160503
4,custom,6,1461,0.0109757885308598
4,custom,7,1461,0.0076656448896121
4,custom,8,1461,0.0046404294238121
4,custom,9,1461,0.0058305947359244
5,custom,1,1461,0.1564299198992138
5,custom,2,1461,0.051820125528109
5,custom,3,1461,0.033387940702407
5,custom,4,1461,0.0319351641836057
5,custom,5,1461,0.0127192675527102
5,custom,6,1461,0.0164062766340252
5,custom,7,1461,0.0091285264269892
5,custom,8,1461,0.0145955163072423
5,custom,9,1461,0.0116622972680918
6,custom,1,1461,0.068876907156564
6,custom,2,1461,0.0387664344640119
6,custom,3,1461,0.0233384797559169
6,custom,4,1461,0.0185135379817175
6,custom,5,1461,0.0166952356962756
6,custom,6,1461,0.0275978588508181
6,custom,7,1461,0.0190375624266677
6,custom,8,1461,0.0333151090896342
6,custom,9,1461,0.0127865281190025
7,custom,1,1461,0.097013120735974
7,custom,2,1461,0.0682298655140305
7,custom,3,1461,0.0217549773970271
7,custom,4,1461,0.0206171309431815
7,custom,5,1461,0.0178865676744627
7,custom,6,1461,0.044437244051361
7,custom,7,1461,0.0228972993846416
7,custom,8,1461,0.0387417304633432
7,custom,9,1461,0.0302634700213525
8,custom,1,1461,0.101129735725621
8,custom,2,1461,0.0590649756234701
8,custom,3,1461,0.0356531920564583
8,custom,4,1461,0.0412149518538642
8,custom,5,1461,0.0362493560231114
8,custom,6,1461,0.0143657710795844
8,custom,7,1461,0.0083942938664298
8,custom,8,1461,0.0179870939881995
8,custom,9,1461,0.0249378974065179
9,custom,1,1461,0.06295039044416918
9,custom,2,1461,0.07210409674595407
9,custom,3,1461,0.03261809884765293
9,custom,4,1461,0.025499336973486195
9,custom,5,1461,0.03525406475408144
9,custom,6,1461,0.030653015392634462
9,custom,7,1461,0.03077061421712562
9,custom,8,1461,0.01606073561477459
9,custom,9,1461,0.011289398870995877
