seed,method,n_iter,dataset,value
0,random,0,1471,0.6599998022679789
0,random,1,1471,0.26821316454243876
0,random,2,1471,0.34308471412723573
0,random,3,1471,0.1538501075067263
0,random,4,1471,0.012499450445535912
0,random,5,1471,0.16496606718617737
0,random,6,1471,0.2259007487804366
0,random,7,1471,0.12359107809597794
0,random,8,1471,0.14745987037533287
0,random,9,1471,0.146900378826963
0,margin,0,1471,0.38500285074001117
0,margin,1,1471,0.467568122180342
0,margin,2,1471,0.17962896934518097
0,margin,3,1471,0.16656660456506767
0,margin,4,1471,0.1172274379025957
0,margin,5,1471,0.02371353815009051
0,margin,6,1471,0.18277251051606708
0,margin,7,1471,0.11192391523721458
0,margin,8,1471,0.04115877497928427
0,margin,9,1471,0.11916795924792539
0,confidence,0,1471,0.38500285074001117
0,confidence,1,1471,0.467568122180342
0,confidence,2,1471,0.17962896934518097
0,confidence,3,1471,0.16656660456506767
0,confidence,4,1471,0.1172274379025957
0,confidence,5,1471,0.02371353815009051
0,confidence,6,1471,0.18277251051606708
0,confidence,7,1471,0.11192391523721458
0,confidence,8,1471,0.04115877497928427
0,confidence,9,1471,0.11916795924792539
0,entropy,0,1471,0.38500285074001117
0,entropy,1,1471,0.467568122180342
0,entropy,2,1471,0.17962896934518097
0,entropy,3,1471,0.16656660456506767
0,entropy,4,1471,0.1172274379025957
0,entropy,5,1471,0.02371353815009051
0,entropy,6,1471,0.18277251051606708
0,entropy,7,1471,0.11192391523721458
0,entropy,8,1471,0.04115877497928427
0,entropy,9,1471,0.11916795924792539
0,kmeans,0,1471,0.9801690665538285
0,kmeans,1,1471,0.3324688925622077
0,kmeans,2,1471,0.2871666945871467
0,kmeans,3,1471,0.08537793712173956
0,kmeans,4,1471,0.07926784924318607
0,kmeans,5,1471,0.0627811083934032
0,kmeans,6,1471,0.21255976121248887
0,kmeans,7,1471,0.08901312471264791
0,kmeans,8,1471,0.1566283964804287
0,kmeans,9,1471,0.10951146003551847
0,wkmeans,0,1471,0.45712392044647143
0,wkmeans,1,1471,0.5310398599465787
0,wkmeans,2,1471,0.11083789308251449
0,wkmeans,3,1471,0.15839001069872052
0,wkmeans,4,1471,0.18225203511718038
0,wkmeans,5,1471,0.10221576912984337
0,wkmeans,6,1471,0.2938309407748666
0,wkmeans,7,1471,0.04024905647936685
0,wkmeans,8,1471,0.25530366977557284
0,wkmeans,9,1471,0.10604145255023348
0,iwkmeans,0,1471,0.8761857157508621
0,iwkmeans,1,1471,0.08819402158844392
0,iwkmeans,2,1471,0.38459705498027585
0,iwkmeans,3,1471,0.147182542775745
0,iwkmeans,4,1471,0.09895646363854696
0,iwkmeans,5,1471,0.05144826076178464
0,iwkmeans,6,1471,0.26511415559025914
0,iwkmeans,7,1471,0.009888519840691863
0,iwkmeans,8,1471,0.04629163316339183
0,iwkmeans,9,1471,0.07955204114615806
0,kcenter,0,1471,9.197622291688754
0,kcenter,1,1471,0.33194600722463885
0,kcenter,2,1471,0.03281783766086475
0,kcenter,3,1471,0.04644550705318462
0,kcenter,4,1471,0.06467105362281843
0,kcenter,5,1471,0.030227014730067128
0,kcenter,6,1471,0.09911014687030151
0,kcenter,7,1471,0.0015073952118944875
0,kcenter,8,1471,0.03521806829993513
0,kcenter,9,1471,0.021705086338587098
1,random,0,1471,1.7209395018665747
1,random,1,1471,0.5623455475147372
1,random,2,1471,0.3354503791062438
1,random,3,1471,0.1220997128954644
1,random,4,1471,0.1614507495321858
1,random,5,1471,0.1622433598930505
1,random,6,1471,0.11565984609392246
1,random,7,1471,0.0625796984655087
1,random,8,1471,0.022315202603783068
1,random,9,1471,0.0569028772575656
1,margin,0,1471,0.6718799214911486
1,margin,1,1471,0.4563206591499227
1,margin,2,1471,0.22449039556251205
1,margin,3,1471,0.17941558100595378
1,margin,4,1471,0.29414883967799005
1,margin,5,1471,0.014825455269883861
1,margin,6,1471,0.06402210632635541
1,margin,7,1471,0.05095926643189744
1,margin,8,1471,0.06344917984520457
1,margin,9,1471,0.08120778469591362
1,confidence,0,1471,0.6718799214911486
1,confidence,1,1471,0.4563206591499227
1,confidence,2,1471,0.22449039556251205
1,confidence,3,1471,0.17941558100595378
1,confidence,4,1471,0.29414883967799005
1,confidence,5,1471,0.014825455269883861
1,confidence,6,1471,0.06402210632635541
1,confidence,7,1471,0.05095926643189744
1,confidence,8,1471,0.06344917984520457
1,confidence,9,1471,0.08120778469591362
1,entropy,0,1471,0.6718799214911486
1,entropy,1,1471,0.4563206591499227
1,entropy,2,1471,0.22449039556251205
1,entropy,3,1471,0.17941558100595378
1,entropy,4,1471,0.29414883967799005
1,entropy,5,1471,0.014825455269883861
1,entropy,6,1471,0.06402210632635541
1,entropy,7,1471,0.05095926643189744
1,entropy,8,1471,0.06344917984520457
1,entropy,9,1471,0.08120778469591362
1,kmeans,0,1471,1.5694364938524246
1,kmeans,1,1471,0.6825484626456484
1,kmeans,2,1471,0.2158753664146854
1,kmeans,3,1471,0.32846644659792174
1,kmeans,4,1471,0.13867983937332354
1,kmeans,5,1471,0.13443534733516121
1,kmeans,6,1471,0.09368150357569972
1,kmeans,7,1471,0.03642111776470256
1,kmeans,8,1471,0.07732791473967554
1,kmeans,9,1471,0.14743479962005795
1,wkmeans,0,1471,1.0788852517998253
1,wkmeans,1,1471,0.10977300565411487
1,wkmeans,2,1471,0.21958946723761433
1,wkmeans,3,1471,0.043919808319949585
1,wkmeans,4,1471,0.19427512242729322
1,wkmeans,5,1471,0.054747695221150784
1,wkmeans,6,1471,0.1676471273897869
1,wkmeans,7,1471,0.11615588957552335
1,wkmeans,8,1471,0.15274464738359667
1,wkmeans,9,1471,0.05577393480812154
1,iwkmeans,0,1471,0.8215438279255058
1,iwkmeans,1,1471,0.2263472190812749
1,iwkmeans,2,1471,0.15319809529418704
1,iwkmeans,3,1471,0.22823757036579956
1,iwkmeans,4,1471,0.17104918321150991
1,iwkmeans,5,1471,0.16037195781064084
1,iwkmeans,6,1471,0.0015121669482969491
1,iwkmeans,7,1471,0.13225724761553886
1,iwkmeans,8,1471,0.0356349529483881
1,iwkmeans,9,1471,0.05562983931939807
1,kcenter,0,1471,8.555468971445114
1,kcenter,1,1471,0.6033121654304945
1,kcenter,2,1471,0.09226702193444149
1,kcenter,3,1471,0.12428593839284176
1,kcenter,4,1471,0.02509754950627766
1,kcenter,5,1471,0.018951291987403043
1,kcenter,6,1471,0.07085102733607941
1,kcenter,7,1471,0.03150827137792481
1,kcenter,8,1471,0.0
1,kcenter,9,1471,0.07757861040590935
2,random,0,1471,1.239143263936774
2,random,1,1471,0.3409534447759075
2,random,2,1471,0.08613076451180476
2,random,3,1471,0.2889111452850244
2,random,4,1471,0.20771326800399983
2,random,5,1471,0.08571694836382349
2,random,6,1471,0.10852901647198951
2,random,7,1471,0.02836139688638747
2,random,8,1471,0.05789235635380264
2,random,9,1471,0.11988097854105813
2,margin,0,1471,0.7114580627708196
2,margin,1,1471,0.5080139388062029
2,margin,2,1471,0.07177457229879321
2,margin,3,1471,0.31426614988666646
2,margin,4,1471,0.18616118356228317
2,margin,5,1471,0.031874963365838574
2,margin,6,1471,0.1298168732650088
2,margin,7,1471,0.06283371131466821
2,margin,8,1471,0.2120202978975178
2,margin,9,1471,0.15869503566222315
2,confidence,0,1471,0.7114580627708196
2,confidence,1,1471,0.5080139388062029
2,confidence,2,1471,0.07177457229879321
2,confidence,3,1471,0.31426614988666646
2,confidence,4,1471,0.18616118356228317
2,confidence,5,1471,0.031874963365838574
2,confidence,6,1471,0.1298168732650088
2,confidence,7,1471,0.06283371131466821
2,confidence,8,1471,0.2120202978975178
2,confidence,9,1471,0.15869503566222315
