seed,method,n_iter,dataset,value
0,random,0,1471,1.0
0,random,1,1471,1.0
0,random,2,1471,0.6335403726708074
0,random,3,1471,0.9881422924901185
0,random,4,1471,0.9659442724458205
0,random,5,1471,0.9503916449086162
0,random,6,1471,0.9324324324324325
0,random,7,1471,0.9632495164410059
0,random,8,1471,0.9295774647887323
0,random,9,1471,0.9567999999999999
0,margin,0,1471,1.0
0,margin,1,1471,1.0
0,margin,2,1471,0.9389671361502349
0,margin,3,1471,0.9866666666666668
0,margin,4,1471,0.9894736842105263
0,margin,5,1471,0.9480812641083521
0,margin,6,1471,0.9941520467836258
0,margin,7,1471,0.9913344887348353
0,margin,8,1471,0.9592476489028213
0,margin,9,1471,0.9835164835164836
0,confidence,0,1471,1.0
0,confidence,1,1471,1.0
0,confidence,2,1471,0.9389671361502349
0,confidence,3,1471,0.9866666666666668
0,confidence,4,1471,0.9894736842105263
0,confidence,5,1471,0.9480812641083521
0,confidence,6,1471,0.9941520467836258
0,confidence,7,1471,0.9913344887348353
0,confidence,8,1471,0.9592476489028213
0,confidence,9,1471,0.9835164835164836
0,entropy,0,1471,1.0
0,entropy,1,1471,1.0
0,entropy,2,1471,0.9389671361502349
0,entropy,3,1471,0.9866666666666668
0,entropy,4,1471,0.9894736842105263
0,entropy,5,1471,0.9480812641083521
0,entropy,6,1471,0.9941520467836258
0,entropy,7,1471,0.9913344887348353
0,entropy,8,1471,0.9592476489028213
0,entropy,9,1471,0.9835164835164836
0,kmeans,0,1471,1.0
0,kmeans,1,1471,0.9911504424778761
0,kmeans,2,1471,0.8152866242038218
0,kmeans,3,1471,0.9833333333333334
0,kmeans,4,1471,0.9735099337748344
0,kmeans,5,1471,0.9126760563380282
0,kmeans,6,1471,0.9651972157772623
0,kmeans,7,1471,0.956
0,kmeans,8,1471,0.9228007181328547
0,kmeans,9,1471,0.9538950715421304
0,wkmeans,0,1471,1.0
0,wkmeans,1,1471,1.0
0,wkmeans,2,1471,0.8695652173913043
0,wkmeans,3,1471,0.9867549668874172
0,wkmeans,4,1471,0.9896907216494846
0,wkmeans,5,1471,0.9688888888888889
0,wkmeans,6,1471,0.9870609981515712
0,wkmeans,7,1471,0.9934426229508198
0,wkmeans,8,1471,0.9867841409691629
0,wkmeans,9,1471,0.9920424403183024
0,iwkmeans,0,1471,1.0
0,iwkmeans,1,1471,1.0
0,iwkmeans,2,1471,0.7722772277227722
0,iwkmeans,3,1471,0.9965870307167235
0,iwkmeans,4,1471,0.9869451697127937
0,iwkmeans,5,1471,0.9760348583877995
0,iwkmeans,6,1471,0.9885057471264367
0,iwkmeans,7,1471,0.9869281045751634
0,iwkmeans,8,1471,0.9655172413793104
0,iwkmeans,9,1471,0.9676584734799482
0,kcenter,0,1471,1.0
0,kcenter,1,1471,0.9914529914529915
0,kcenter,2,1471,0.8058252427184466
0,kcenter,3,1471,1.0
0,kcenter,4,1471,0.996996996996997
0,kcenter,5,1471,0.9669211195928753
0,kcenter,6,1471,0.9934354485776805
0,kcenter,7,1471,0.9961832061068702
0,kcenter,8,1471,0.9628378378378379
0,kcenter,9,1471,0.9759036144578312
1,random,0,1471,1.0
1,random,1,1471,0.9923664122137404
1,random,2,1471,0.7657142857142857
1,random,3,1471,0.9763779527559056
1,random,4,1471,0.9779179810725552
1,random,5,1471,0.9153439153439153
1,random,6,1471,0.9773755656108597
1,random,7,1471,0.9740518962075849
1,random,8,1471,0.8924162257495591
1,random,9,1471,0.9734789391575662
1,margin,0,1471,1.0
1,margin,1,1471,1.0
1,margin,2,1471,0.8855721393034826
1,margin,3,1471,0.9922480620155039
1,margin,4,1471,0.9878048780487805
1,margin,5,1471,0.9528535980148884
1,margin,6,1471,0.982532751091703
1,margin,7,1471,0.9693486590038315
1,margin,8,1471,0.9429530201342282
1,margin,9,1471,0.9668674698795182
1,confidence,0,1471,1.0
1,confidence,1,1471,1.0
1,confidence,2,1471,0.8855721393034826
1,confidence,3,1471,0.9922480620155039
1,confidence,4,1471,0.9878048780487805
1,confidence,5,1471,0.9528535980148884
1,confidence,6,1471,0.982532751091703
1,confidence,7,1471,0.9693486590038315
1,confidence,8,1471,0.9429530201342282
1,confidence,9,1471,0.9668674698795182
1,entropy,0,1471,1.0
1,entropy,1,1471,1.0
1,entropy,2,1471,0.8855721393034826
1,entropy,3,1471,0.9922480620155039
1,entropy,4,1471,0.9878048780487805
1,entropy,5,1471,0.9528535980148884
1,entropy,6,1471,0.982532751091703
1,entropy,7,1471,0.9693486590038315
1,entropy,8,1471,0.9429530201342282
1,entropy,9,1471,0.9668674698795182
1,kmeans,0,1471,1.0
1,kmeans,1,1471,1.0
1,kmeans,2,1471,0.7005649717514125
1,kmeans,3,1471,0.9812734082397004
1,kmeans,4,1471,0.9667673716012085
1,kmeans,5,1471,0.8894601542416452
1,kmeans,6,1471,0.9469026548672567
