seed,method,n_iter,dataset,value
0,random,0,1502,0.9755102040816327
0,random,1,1502,0.9816326530612245
0,random,2,1502,0.9877551020408163
0,random,3,1502,0.9908163265306122
0,random,4,1502,0.9951020408163266
0,random,5,1502,0.9952380952380953
0,random,6,1502,0.9959183673469387
0,random,7,1502,0.9964285714285714
0,random,8,1502,0.9968253968253968
0,random,9,1502,0.996734693877551
0,margin,0,1502,0.9755102040816327
0,margin,1,1502,0.9775510204081632
0,margin,2,1502,0.9891156462585035
0,margin,3,1502,0.9908163265306122
0,margin,4,1502,0.9844897959183674
0,margin,5,1502,0.9850340136054422
0,margin,6,1502,0.9836734693877551
0,margin,7,1502,0.985204081632653
0,margin,8,1502,0.98140589569161
0,margin,9,1502,0.9812244897959184
0,confidence,0,1502,0.9755102040816327
0,confidence,1,1502,0.9775510204081632
0,confidence,2,1502,0.9891156462585035
0,confidence,3,1502,0.9908163265306122
0,confidence,4,1502,0.9844897959183674
0,confidence,5,1502,0.9850340136054422
0,confidence,6,1502,0.9836734693877551
0,confidence,7,1502,0.985204081632653
0,confidence,8,1502,0.98140589569161
0,confidence,9,1502,0.9812244897959184
0,entropy,0,1502,0.9755102040816327
0,entropy,1,1502,0.9775510204081632
0,entropy,2,1502,0.9891156462585035
0,entropy,3,1502,0.9908163265306122
0,entropy,4,1502,0.9844897959183674
0,entropy,5,1502,0.9850340136054422
0,entropy,6,1502,0.9836734693877551
0,entropy,7,1502,0.985204081632653
0,entropy,8,1502,0.98140589569161
0,entropy,9,1502,0.9812244897959184
0,kmeans,0,1502,0.9755102040816327
0,kmeans,1,1502,0.9857142857142858
0,kmeans,2,1502,0.9945578231292517
0,kmeans,3,1502,0.996938775510204
0,kmeans,4,1502,0.9983673469387755
0,kmeans,5,1502,0.9979591836734694
0,kmeans,6,1502,0.9988338192419826
0,kmeans,7,1502,0.9989795918367347
0,kmeans,8,1502,0.9977324263038548
0,kmeans,9,1502,0.9979591836734694
0,wkmeans,0,1502,0.9755102040816327
0,wkmeans,1,1502,0.9734693877551021
0,wkmeans,2,1502,0.9904761904761905
0,wkmeans,3,1502,0.9806122448979592
0,wkmeans,4,1502,0.9771428571428571
0,wkmeans,5,1502,0.9823129251700681
0,wkmeans,6,1502,0.9807580174927114
0,wkmeans,7,1502,0.9816326530612245
0,wkmeans,8,1502,0.981859410430839
0,wkmeans,9,1502,0.9816326530612245
0,iwkmeans,0,1502,0.9755102040816327
0,iwkmeans,1,1502,0.9816326530612245
0,iwkmeans,2,1502,0.9768707482993197
0,iwkmeans,3,1502,0.9826530612244898
0,iwkmeans,4,1502,0.9828571428571429
0,iwkmeans,5,1502,0.9795918367346939
0,iwkmeans,6,1502,0.9813411078717201
0,iwkmeans,7,1502,0.9801020408163266
0,iwkmeans,8,1502,0.98140589569161
0,iwkmeans,9,1502,0.9840816326530613
0,kcenter,0,1502,0.9755102040816327
0,kcenter,1,1502,0.9530612244897959
0,kcenter,2,1502,0.9659863945578231
0,kcenter,3,1502,0.9714285714285714
0,kcenter,4,1502,0.9706122448979592
0,kcenter,5,1502,0.9727891156462585
0,kcenter,6,1502,0.9749271137026239
0,kcenter,7,1502,0.9760204081632653
0,kcenter,8,1502,0.9786848072562359
0,kcenter,9,1502,0.9804081632653061
1,random,0,1502,0.9795918367346939
1,random,1,1502,0.9877551020408163
1,random,2,1502,0.9891156462585035
1,random,3,1502,0.9897959183673469
1,random,4,1502,0.9934693877551021
1,random,5,1502,0.9952380952380953
1,random,6,1502,0.9947521865889213
1,random,7,1502,0.9954081632653061
1,random,8,1502,0.9963718820861678
1,random,9,1502,0.9971428571428571
1,margin,0,1502,0.9795918367346939
1,margin,1,1502,0.9938775510204082
1,margin,2,1502,0.9931972789115646
1,margin,3,1502,0.9938775510204082
1,margin,4,1502,0.9820408163265306
1,margin,5,1502,0.9836734693877551
1,margin,6,1502,0.9836734693877551
1,margin,7,1502,0.9846938775510204
1,margin,8,1502,0.9832199546485261
1,margin,9,1502,0.9840816326530613
1,confidence,0,1502,0.9795918367346939
1,confidence,1,1502,0.9938775510204082
1,confidence,2,1502,0.9931972789115646
1,confidence,3,1502,0.9938775510204082
1,confidence,4,1502,0.9820408163265306
1,confidence,5,1502,0.9836734693877551
1,confidence,6,1502,0.9836734693877551
1,confidence,7,1502,0.9846938775510204
1,confidence,8,1502,0.9832199546485261
1,confidence,9,1502,0.9840816326530613
1,entropy,0,1502,0.9795918367346939
1,entropy,1,1502,0.9938775510204082
1,entropy,2,1502,0.9931972789115646
1,entropy,3,1502,0.9938775510204082
1,entropy,4,1502,0.9820408163265306
1,entropy,5,1502,0.9836734693877551
1,entropy,6,1502,0.9836734693877551
1,entropy,7,1502,0.9846938775510204
1,entropy,8,1502,0.9832199546485261
1,entropy,9,1502,0.9840816326530613
1,kmeans,0,1502,0.9795918367346939
1,kmeans,1,1502,0.9836734693877551
1,kmeans,2,1502,0.9945578231292517
1,kmeans,3,1502,0.9979591836734694
1,kmeans,4,1502,0.9959183673469387
1,kmeans,5,1502,0.9959183673469387
1,kmeans,6,1502,0.9959183673469387
1,kmeans,7,1502,0.9954081632653061
1,kmeans,8,1502,0.9959183673469387
1,kmeans,9,1502,0.9959183673469387
1,wkmeans,0,1502,0.9795918367346939
1,wkmeans,1,1502,0.9918367346938776
1,wkmeans,2,1502,0.9823129251700681
1,wkmeans,3,1502,0.9836734693877551
1,wkmeans,4,1502,0.9853061224489796
1,wkmeans,5,1502,0.9823129251700681
1,wkmeans,6,1502,0.9830903790087464
1,wkmeans,7,1502,0.9836734693877551
1,wkmeans,8,1502,0.9836734693877551
1,wkmeans,9,1502,0.9820408163265306
1,iwkmeans,0,1502,0.9795918367346939
1,iwkmeans,1,1502,0.9918367346938776
1,iwkmeans,2,1502,0.9877551020408163
1,iwkmeans,3,1502,0.9816326530612245
1,iwkmeans,4,1502,0.9771428571428571
1,iwkmeans,5,1502,0.9761904761904762
1,iwkmeans,6,1502,0.9760932944606414
1,iwkmeans,7,1502,0.9770408163265306
1,iwkmeans,8,1502,0.9795918367346939
1,iwkmeans,9,1502,0.9820408163265306
1,kcenter,0,1502,0.9795918367346939
1,kcenter,1,1502,0.9775510204081632
