seed,method,n_iter,dataset,value
0,random,1,1502,0.0163265306122449
0,random,2,1502,0.0
0,random,3,1502,0.0
0,random,4,1502,0.004081632653061225
0,random,5,1502,0.004081632653061225
0,random,6,1502,0.0
0,random,7,1502,0.0
0,random,8,1502,0.0
0,random,9,1502,0.0
0,margin,1,1502,0.24081632653061225
0,margin,2,1502,0.053061224489795916
0,margin,3,1502,0.4897959183673469
0,margin,4,1502,0.34285714285714286
0,margin,5,1502,0.2897959183673469
0,margin,6,1502,0.3673469387755102
0,margin,7,1502,0.15918367346938775
0,margin,8,1502,0.09795918367346938
0,margin,9,1502,0.053061224489795916
0,confidence,1,1502,0.24081632653061225
0,confidence,2,1502,0.053061224489795916
0,confidence,3,1502,0.4897959183673469
0,confidence,4,1502,0.34285714285714286
0,confidence,5,1502,0.2897959183673469
0,confidence,6,1502,0.3673469387755102
0,confidence,7,1502,0.15918367346938775
0,confidence,8,1502,0.09795918367346938
0,confidence,9,1502,0.053061224489795916
0,entropy,1,1502,0.24081632653061225
0,entropy,2,1502,0.053061224489795916
0,entropy,3,1502,0.4897959183673469
0,entropy,4,1502,0.34285714285714286
0,entropy,5,1502,0.2897959183673469
0,entropy,6,1502,0.3673469387755102
0,entropy,7,1502,0.15918367346938775
0,entropy,8,1502,0.09795918367346938
0,entropy,9,1502,0.053061224489795916
0,kmeans,1,1502,0.0326530612244898
0,kmeans,2,1502,0.0
0,kmeans,3,1502,0.004081632653061225
0,kmeans,4,1502,0.004081632653061225
0,kmeans,5,1502,0.0
0,kmeans,6,1502,0.0
0,kmeans,7,1502,0.004081632653061225
0,kmeans,8,1502,0.00816326530612245
0,kmeans,9,1502,0.0
0,wkmeans,1,1502,0.3836734693877551
0,wkmeans,2,1502,0.1836734693877551
0,wkmeans,3,1502,0.1673469387755102
0,wkmeans,4,1502,0.07755102040816327
0,wkmeans,5,1502,0.044897959183673466
0,wkmeans,6,1502,0.02857142857142857
0,wkmeans,7,1502,0.004081632653061225
0,wkmeans,8,1502,0.02040816326530612
0,wkmeans,9,1502,0.00816326530612245
0,iwkmeans,1,1502,0.35918367346938773
0,iwkmeans,2,1502,0.2530612244897959
0,iwkmeans,3,1502,0.09387755102040816
0,iwkmeans,4,1502,0.012244897959183673
0,iwkmeans,5,1502,0.0326530612244898
0,iwkmeans,6,1502,0.02857142857142857
0,iwkmeans,7,1502,0.0
0,iwkmeans,8,1502,0.012244897959183673
0,iwkmeans,9,1502,0.0
0,kcenter,1,1502,0.15510204081632653
0,kcenter,2,1502,0.05714285714285714
