seed,method,n_iter,dataset,value
0,random,1,1502,0.9961846078511385
0,random,2,1502,0.9960825920182812
0,random,3,1502,0.9987146005059986
0,random,4,1502,0.9987146005059986
0,random,5,1502,0.9994695176691423
0,random,6,1502,0.9987758100057129
0,random,7,1502,0.9997551620011426
0,random,8,1502,0.9998979841671427
0,random,9,1502,0.9998367746674284
0,margin,1,1502,0.9928996980331347
0,margin,2,1502,0.9921855872031339
0,margin,3,1502,0.9995715335019996
0,margin,4,1502,0.9969803313474251
0,margin,5,1502,0.9985921815065698
0,margin,6,1502,0.9961233983514242
0,margin,7,1502,0.9971027503468538
0,margin,8,1502,0.9985309720068555
0,margin,9,1502,0.9996123398351424
0,confidence,1,1502,0.9928996980331347
0,confidence,2,1502,0.9921855872031339
0,confidence,3,1502,0.9995715335019996
0,confidence,4,1502,0.9969803313474251
0,confidence,5,1502,0.9985921815065698
0,confidence,6,1502,0.9961233983514242
0,confidence,7,1502,0.9971027503468538
0,confidence,8,1502,0.9985309720068555
0,confidence,9,1502,0.9996123398351424
0,entropy,1,1502,0.9928996980331347
0,entropy,2,1502,0.9921855872031339
0,entropy,3,1502,0.9995715335019996
0,entropy,4,1502,0.9969803313474251
0,entropy,5,1502,0.9985921815065698
0,entropy,6,1502,0.9961233983514242
0,entropy,7,1502,0.9971027503468538
0,entropy,8,1502,0.9985309720068555
0,entropy,9,1502,0.9996123398351424
0,kmeans,1,1502,0.9917571207051334
0,kmeans,2,1502,0.9996735493348567
0,kmeans,3,1502,0.9991022606708562
0,kmeans,4,1502,0.9993879050028565
0,kmeans,5,1502,0.9992246796702848
0,kmeans,6,1502,0.9997347588345711
0,kmeans,7,1502,0.9999795968334285
0,kmeans,8,1502,0.9992858891699992
0,kmeans,9,1502,0.9996735493348567
0,wkmeans,1,1502,0.9915938953725618
0,wkmeans,2,1502,0.9943687260262792
0,wkmeans,3,1502,0.9965722680159961
0,wkmeans,4,1502,0.998510568840284
0,wkmeans,5,1502,0.9989390353382845
0,wkmeans,6,1502,0.9999183873337142
0,wkmeans,7,1502,0.9998571778339999
0,wkmeans,8,1502,0.999775565167714
0,wkmeans,9,1502,0.9997347588345711
0,iwkmeans,1,1502,0.9902268832122746
0,iwkmeans,2,1502,0.9950420305231372
