seed,method,n_iter,dataset,value
0,random,0,1590,1.0
0,random,1,1590,0.9375
0,random,2,1590,0.9166666666666666
0,random,3,1590,0.9114583333333334
0,random,4,1590,0.9041666666666668
0,random,5,1590,0.8680555555555556
0,random,6,1590,0.8630952380952381
0,random,7,1590,0.8697916666666666
0,random,8,1590,0.8726851851851852
0,random,9,1590,0.8583333333333333
0,margin,0,1590,1.0
0,margin,1,1590,0.96875
0,margin,2,1590,0.9513888888888888
0,margin,3,1590,0.921875
0,margin,4,1590,0.8625
0,margin,5,1590,0.8680555555555556
0,margin,6,1590,0.8303571428571429
0,margin,7,1590,0.8307291666666666
0,margin,8,1590,0.8125
0,margin,9,1590,0.8104166666666667
0,confidence,0,1590,1.0
0,confidence,1,1590,0.96875
0,confidence,2,1590,0.9513888888888888
0,confidence,3,1590,0.921875
0,confidence,4,1590,0.8625
0,confidence,5,1590,0.8680555555555556
0,confidence,6,1590,0.8303571428571429
0,confidence,7,1590,0.8307291666666666
0,confidence,8,1590,0.8125
0,confidence,9,1590,0.8104166666666667
0,entropy,0,1590,1.0
0,entropy,1,1590,0.96875
0,entropy,2,1590,0.9513888888888888
0,entropy,3,1590,0.921875
0,entropy,4,1590,0.8625
0,entropy,5,1590,0.8680555555555556
0,entropy,6,1590,0.8303571428571429
0,entropy,7,1590,0.8307291666666666
0,entropy,8,1590,0.8125
0,entropy,9,1590,0.8104166666666667
0,kmeans,0,1590,1.0
0,kmeans,1,1590,0.9479166666666666
0,kmeans,2,1590,0.9375
0,kmeans,3,1590,0.9270833333333334
0,kmeans,4,1590,0.9
0,kmeans,5,1590,0.8958333333333334
0,kmeans,6,1590,0.8988095238095238
0,kmeans,7,1590,0.8984375
0,kmeans,8,1590,0.8935185185185185
0,kmeans,9,1590,0.8958333333333334
0,wkmeans,0,1590,1.0
0,wkmeans,1,1590,0.9791666666666666
0,wkmeans,2,1590,0.9097222222222222
0,wkmeans,3,1590,0.8854166666666666
0,wkmeans,4,1590,0.875
0,wkmeans,5,1590,0.8402777777777778
0,wkmeans,6,1590,0.8333333333333334
0,wkmeans,7,1590,0.8098958333333334
0,wkmeans,8,1590,0.8171296296296297
0,wkmeans,9,1590,0.7895833333333333
0,iwkmeans,0,1590,1.0
0,iwkmeans,1,1590,0.9583333333333334
0,iwkmeans,2,1590,0.8958333333333334
0,iwkmeans,3,1590,0.8541666666666666
0,iwkmeans,4,1590,0.8458333333333333
0,iwkmeans,5,1590,0.8194444444444444
0,iwkmeans,6,1590,0.8125
0,iwkmeans,7,1590,0.796875
0,iwkmeans,8,1590,0.8032407407407407
0,iwkmeans,9,1590,0.7958333333333333
1,random,0,1590,0.9791666666666666
1,random,1,1590,0.9479166666666666
1,random,2,1590,0.9305555555555556
1,random,3,1590,0.890625
1,random,4,1590,0.8916666666666667
1,random,5,1590,0.875
1,random,6,1590,0.9136904761904762
