seed,method,n_iter,dataset,value
0,random,1,41138,0.0
0,random,2,41138,0.0131578947368421
0,random,3,41138,0.0
0,random,4,41138,0.0078947368421052
0,random,5,41138,0.0043859649122807
0,random,6,41138,0.0018796992481203
0,random,7,41138,0.0016447368421052
0,random,8,41138,0.0
0,random,9,41138,0.0
0,margin,1,41138,0.1710526315789473
0,margin,2,41138,0.175438596491228
0,margin,3,41138,0.1611842105263158
0,margin,4,41138,0.1052631578947368
0,margin,5,41138,0.125
0,margin,6,41138,0.0808270676691729
0,margin,7,41138,0.0674342105263157
0,margin,8,41138,0.0555555555555555
0,margin,9,41138,0.0552631578947368
0,confidence,1,41138,0.1710526315789473
0,confidence,2,41138,0.175438596491228
0,confidence,3,41138,0.1611842105263158
0,confidence,4,41138,0.1052631578947368
0,confidence,5,41138,0.125
0,confidence,6,41138,0.0808270676691729
0,confidence,7,41138,0.0674342105263157
0,confidence,8,41138,0.0555555555555555
0,confidence,9,41138,0.0552631578947368
0,entropy,1,41138,0.1710526315789473
0,entropy,2,41138,0.175438596491228
0,entropy,3,41138,0.1611842105263158
0,entropy,4,41138,0.1052631578947368
0,entropy,5,41138,0.125
0,entropy,6,41138,0.0808270676691729
0,entropy,7,41138,0.0674342105263157
0,entropy,8,41138,0.0555555555555555
0,entropy,9,41138,0.0552631578947368
0,kmeans,1,41138,0.006578947368421
0,kmeans,2,41138,0.0
0,kmeans,3,41138,0.0032894736842105
0,kmeans,4,41138,0.0105263157894736
0,kmeans,5,41138,0.006578947368421
0,kmeans,6,41138,0.0093984962406015
0,kmeans,7,41138,0.0
0,kmeans,8,41138,0.0029239766081871
0,kmeans,9,41138,0.0078947368421052
0,wkmeans,1,41138,0.2039473684210526
0,wkmeans,2,41138,0.1842105263157894
0,wkmeans,3,41138,0.131578947368421
0,wkmeans,4,41138,0.1184210526315789
0,wkmeans,5,41138,0.0811403508771929
0,wkmeans,6,41138,0.0714285714285714
0,wkmeans,7,41138,0.0674342105263157
0,wkmeans,8,41138,0.0935672514619883
0,wkmeans,9,41138,0.0407894736842105
0,iwkmeans,1,41138,0.1513157894736842
0,iwkmeans,2,41138,0.1666666666666666
0,iwkmeans,3,41138,0.125
0,iwkmeans,4,41138,0.1026315789473684
0,iwkmeans,5,41138,0.0767543859649122
0,iwkmeans,6,41138,0.0845864661654135
0,iwkmeans,7,41138,0.0723684210526315
0,iwkmeans,8,41138,0.0599415204678362
0,iwkmeans,9,41138,0.0578947368421052
1,random,1,41138,0.006578947368421
1,random,2,41138,0.0043859649122807
1,random,3,41138,0.0
1,random,4,41138,0.0105263157894736
1,random,5,41138,0.0021929824561403
1,random,6,41138,0.0018796992481203
1,random,7,41138,0.0
1,random,8,41138,0.0014619883040935
1,random,9,41138,0.0
1,margin,1,41138,0.1578947368421052
1,margin,2,41138,0.1578947368421052
1,margin,3,41138,0.1546052631578947
1,margin,4,41138,0.1473684210526315
1,margin,5,41138,0.1096491228070175
1,margin,6,41138,0.0827067669172932
1,margin,7,41138,0.0773026315789473
1,margin,8,41138,0.0935672514619883
1,margin,9,41138,0.081578947368421
1,confidence,1,41138,0.1578947368421052
1,confidence,2,41138,0.1578947368421052
1,confidence,3,41138,0.1546052631578947
1,confidence,4,41138,0.1473684210526315
1,confidence,5,41138,0.1096491228070175
1,confidence,6,41138,0.0827067669172932
1,confidence,7,41138,0.0773026315789473
1,confidence,8,41138,0.0935672514619883
