seed,method,n_iter,dataset,value
0,random,1,41162,0.2390732946753195
0,random,2,41162,0.156602529357004
0,random,3,41162,0.1022989622926139
0,random,4,41162,0.0652889766622231
0,random,5,41162,0.0679077465062843
0,random,6,41162,0.0515982267685577
0,random,7,41162,0.0440453573259419
0,random,8,41162,0.0340687232911884
0,random,9,41162,0.0364687579836661
0,margin,1,41162,0.0795929067241939
0,margin,2,41162,0.1451242424019987
0,margin,3,41162,0.0708114271044992
0,margin,4,41162,0.0419831298252101
0,margin,5,41162,0.0729258381419062
0,margin,6,41162,0.0239820594159136
0,margin,7,41162,0.0355087238550409
0,margin,8,41162,0.0251402122220818
0,margin,9,41162,0.0255158221138566
0,confidence,1,41162,0.0795929067241939
0,confidence,2,41162,0.1451242424019987
0,confidence,3,41162,0.0708114271044992
0,confidence,4,41162,0.0419831298252101
0,confidence,5,41162,0.0729258381419062
0,confidence,6,41162,0.0239820594159136
0,confidence,7,41162,0.0355087238550409
0,confidence,8,41162,0.0251402122220818
0,confidence,9,41162,0.0255158221138566
0,entropy,1,41162,0.0795929067241939
0,entropy,2,41162,0.1451242424019987
0,entropy,3,41162,0.0708114271044992
0,entropy,4,41162,0.0419831298252101
0,entropy,5,41162,0.0729258381419062
0,entropy,6,41162,0.0239820594159136
0,entropy,7,41162,0.0355087238550409
0,entropy,8,41162,0.0251402122220818
0,entropy,9,41162,0.0255158221138566
0,kmeans,1,41162,0.4162980927978631
0,kmeans,2,41162,0.1436255538884592
0,kmeans,3,41162,0.0840675074889824
0,kmeans,4,41162,0.0580818371575869
0,kmeans,5,41162,0.0458439257487274
0,kmeans,6,41162,0.0426650003913256
0,kmeans,7,41162,0.0325883310519395
0,kmeans,8,41162,0.023960187231815
0,kmeans,9,41162,0.0175141674634871
0,wkmeans,1,41162,0.1968989779094454
0,wkmeans,2,41162,0.1180138700662408
0,wkmeans,3,41162,0.0968738212003619
0,wkmeans,4,41162,0.0444487177504801
0,wkmeans,5,41162,0.0264720991598787
0,wkmeans,6,41162,0.0275253252876002
0,wkmeans,7,41162,0.0259915466992896
0,wkmeans,8,41162,0.0197948565070845
0,wkmeans,9,41162,0.0150121667854606
0,iwkmeans,1,41162,0.1851403283325829
0,iwkmeans,2,41162,0.1594013992409593
0,iwkmeans,3,41162,0.0960971783597035
0,iwkmeans,4,41162,0.0496772712274144
0,iwkmeans,5,41162,0.0551235372616704
0,iwkmeans,6,41162,0.0343113016865001
0,iwkmeans,7,41162,0.0136999676166715
0,iwkmeans,8,41162,0.0245636977627581
0,iwkmeans,9,41162,0.0235321299165011
1,random,1,41162,0.2636949651753805
1,random,2,41162,0.1374218911068278
1,random,3,41162,0.0776265499231426
1,random,4,41162,0.0809739992088028
1,random,5,41162,0.0520905231530446
1,random,6,41162,0.0517879169639724
1,random,7,41162,0.0448459399410718
1,random,8,41162,0.045135480801157
1,random,9,41162,0.0308987888184449
1,margin,1,41162,0.1550847522439085
1,margin,2,41162,0.1000563086778213
1,margin,3,41162,0.0722923838009647
1,margin,4,41162,0.0417211654137226
1,margin,5,41162,0.0346067351873067
1,margin,6,41162,0.0598116627662714
1,margin,7,41162,0.0259529998222129
1,margin,8,41162,0.0196030569526439
1,margin,9,41162,0.0155155890489091
1,confidence,1,41162,0.1550847522439085
1,confidence,2,41162,0.1000563086778213
