seed,method,n_iter,dataset,value
0,random,0,43439,0.2564102564102564
0,random,1,43439,0.0
0,random,2,43439,0.0625
0,random,3,43439,0.1935483870967741
0,random,4,43439,0.1481481481481481
0,random,5,43439,0.2380952380952381
0,random,6,43439,0.0714285714285714
0,random,7,43439,0.1379310344827586
0,random,8,43439,0.3571428571428571
0,random,9,43439,0.0833333333333333
0,margin,0,43439,0.0571428571428571
0,margin,1,43439,0.4566929133858268
0,margin,2,43439,0.4137931034482758
0,margin,3,43439,0.2337662337662337
0,margin,4,43439,0.15
0,margin,5,43439,0.3333333333333333
0,margin,6,43439,0.325
0,margin,7,43439,0.3168316831683168
0,margin,8,43439,0.3043478260869565
0,margin,9,43439,0.6379310344827587
0,confidence,0,43439,0.0571428571428571
0,confidence,1,43439,0.4566929133858268
0,confidence,2,43439,0.4137931034482758
0,confidence,3,43439,0.2337662337662337
0,confidence,4,43439,0.15
0,confidence,5,43439,0.3333333333333333
0,confidence,6,43439,0.325
0,confidence,7,43439,0.3168316831683168
0,confidence,8,43439,0.3043478260869565
0,confidence,9,43439,0.6379310344827587
0,entropy,0,43439,0.0571428571428571
0,entropy,1,43439,0.4566929133858268
0,entropy,2,43439,0.4137931034482758
0,entropy,3,43439,0.2337662337662337
0,entropy,4,43439,0.15
0,entropy,5,43439,0.3333333333333333
0,entropy,6,43439,0.325
0,entropy,7,43439,0.3168316831683168
0,entropy,8,43439,0.3043478260869565
0,entropy,9,43439,0.6379310344827587
0,kmeans,0,43439,0.1666666666666666
0,kmeans,1,43439,0.2142857142857142
0,kmeans,2,43439,0.0952380952380952
0,kmeans,3,43439,0.0666666666666666
0,kmeans,4,43439,0.0
0,kmeans,5,43439,0.0714285714285714
0,kmeans,6,43439,0.0714285714285714
0,kmeans,7,43439,0.0689655172413793
0,kmeans,8,43439,0.0769230769230769
0,kmeans,9,43439,0.074074074074074
0,wkmeans,0,43439,0.08
0,wkmeans,1,43439,0.325
0,wkmeans,2,43439,0.3855421686746987
0,wkmeans,3,43439,0.3711340206185567
0,wkmeans,4,43439,0.325
0,wkmeans,5,43439,0.3333333333333332
0,wkmeans,6,43439,0.3333333333333333
0,wkmeans,7,43439,0.3076923076923077
0,wkmeans,8,43439,0.3956043956043956
0,wkmeans,9,43439,0.4307692307692308
0,iwkmeans,0,43439,0.0
0,iwkmeans,1,43439,0.25
0,iwkmeans,2,43439,0.2535211267605634
0,iwkmeans,3,43439,0.375
0,iwkmeans,4,43439,0.4
0,iwkmeans,5,43439,0.3953488372093023
0,iwkmeans,6,43439,0.3466666666666667
0,iwkmeans,7,43439,0.4057971014492754
0,iwkmeans,8,43439,0.4137931034482759
0,iwkmeans,9,43439,0.3658536585365853
1,random,0,43439,0.0714285714285714
1,random,1,43439,0.1666666666666666
1,random,2,43439,0.125
1,random,3,43439,0.1333333333333333
1,random,4,43439,0.0769230769230769
1,random,5,43439,0.3
1,random,6,43439,0.3
1,random,7,43439,0.1578947368421052
1,random,8,43439,0.1666666666666666
1,random,9,43439,0.0
1,margin,0,43439,0.3720930232558139
1,margin,1,43439,0.3636363636363636
1,margin,2,43439,0.3132530120481927
1,margin,3,43439,0.5660377358490565
1,margin,4,43439,0.48
1,margin,5,43439,0.3777777777777778
1,margin,6,43439,0.2197802197802197
1,margin,7,43439,0.5050505050505051
1,margin,8,43439,0.25
1,margin,9,43439,0.367816091954023
1,confidence,0,43439,0.3720930232558139
1,confidence,1,43439,0.3636363636363636
1,confidence,2,43439,0.3132530120481927
1,confidence,3,43439,0.5660377358490565
1,confidence,4,43439,0.48
1,confidence,5,43439,0.3777777777777778
1,confidence,6,43439,0.2197802197802197
1,confidence,7,43439,0.5050505050505051
1,confidence,8,43439,0.25
1,confidence,9,43439,0.367816091954023
1,entropy,0,43439,0.3720930232558139
1,entropy,1,43439,0.3636363636363636
1,entropy,2,43439,0.3132530120481927
1,entropy,3,43439,0.5660377358490565
1,entropy,4,43439,0.48
1,entropy,5,43439,0.3777777777777778
1,entropy,6,43439,0.2197802197802197
1,entropy,7,43439,0.5050505050505051
1,entropy,8,43439,0.25
1,entropy,9,43439,0.367816091954023
1,kmeans,0,43439,0.0909090909090909
1,kmeans,1,43439,0.074074074074074
1,kmeans,2,43439,0.0689655172413793
1,kmeans,3,43439,0.1428571428571428
1,kmeans,4,43439,0.0
1,kmeans,5,43439,0.0714285714285714
1,kmeans,6,43439,0.1739130434782609
1,kmeans,7,43439,0.0
1,kmeans,8,43439,0.0
1,kmeans,9,43439,0.0
1,wkmeans,0,43439,0.345679012345679
1,wkmeans,1,43439,0.543859649122807
1,wkmeans,2,43439,0.4096385542168675
1,wkmeans,3,43439,0.3209876543209876
1,wkmeans,4,43439,0.3516483516483517
1,wkmeans,5,43439,0.4077669902912621
1,wkmeans,6,43439,0.3950617283950617
1,wkmeans,7,43439,0.2857142857142857
1,wkmeans,8,43439,0.3943661971830985
1,wkmeans,9,43439,0.3582089552238806
1,iwkmeans,0,43439,0.3013698630136986
1,iwkmeans,1,43439,0.3863636363636363
1,iwkmeans,2,43439,0.4716981132075472
1,iwkmeans,3,43439,0.3414634146341463
1,iwkmeans,4,43439,0.3666666666666667
1,iwkmeans,5,43439,0.2972972972972973
1,iwkmeans,6,43439,0.372093023255814
1,iwkmeans,7,43439,0.2988505747126437
1,iwkmeans,8,43439,0.3243243243243243
1,iwkmeans,9,43439,0.1643835616438356
2,random,0,43439,0.372093023255814
2,random,1,43439,0.4
2,random,2,43439,0.1481481481481481
2,random,3,43439,0.1290322580645161
2,random,4,43439,0.0952380952380952
2,random,5,43439,0.1739130434782608
2,random,6,43439,0.0
2,random,7,43439,0.0
2,random,8,43439,0.1714285714285714
2,random,9,43439,0.0769230769230769
2,margin,0,43439,0.3137254901960784
2,margin,1,43439,0.4235294117647059
2,margin,2,43439,0.3673469387755102
2,margin,3,43439,0.4536082474226803
2,margin,4,43439,0.3488372093023255
2,margin,5,43439,0.1917808219178082
2,margin,6,43439,0.4038461538461537
2,margin,7,43439,0.4782608695652173
2,margin,8,43439,0.2388059701492537
2,margin,9,43439,0.2285714285714286
2,confidence,0,43439,0.3137254901960784
2,confidence,1,43439,0.4235294117647059
2,confidence,2,43439,0.3673469387755102
2,confidence,3,43439,0.4536082474226803
