seed,method,n_iter,dataset,value
0,random,0,cifar10,0.0
0,random,1,cifar10,0.34698122028624573
0,random,2,cifar10,0.6660634319463576
0,random,3,cifar10,0.9871513659782059
0,random,4,cifar10,1.2882375347089812
0,random,5,cifar10,1.6160916910423555
0,random,6,cifar10,1.929191905771275
0,random,7,cifar10,2.249513713983487
0,random,8,cifar10,2.5512013074844555
0,random,9,cifar10,2.88109599916391
0,margin,0,cifar10,0.0
0,margin,1,cifar10,0.37579329852114285
0,margin,2,cifar10,0.6886656025468011
0,margin,3,cifar10,1.0237535138169211
0,margin,4,cifar10,1.334898438456815
0,margin,5,cifar10,1.6551675215218322
0,margin,6,cifar10,2.0009421411999972
0,margin,7,cifar10,2.3226731770185696
0,margin,8,cifar10,2.644949720421041
0,margin,9,cifar10,2.9862454452613516
0,confidence,0,cifar10,0.0
0,confidence,1,cifar10,0.3791528965426814
0,confidence,2,cifar10,0.736860171679295
0,confidence,3,cifar10,1.0961645377358353
0,confidence,4,cifar10,1.4738605791566024
0,confidence,5,cifar10,1.8023881925510838
0,confidence,6,cifar10,2.1329667006007376
0,confidence,7,cifar10,2.465938092252745
0,confidence,8,cifar10,2.800962423769037
0,confidence,9,cifar10,3.1249491159552925
0,entropy,0,cifar10,0.0
0,entropy,1,cifar10,0.3792912892503298
0,entropy,2,cifar10,0.7455183872391687
0,entropy,3,cifar10,1.0992515183680542
0,entropy,4,cifar10,1.4491960142485842
0,entropy,5,cifar10,1.7859916345824436
0,entropy,6,cifar10,2.1153616785008333
0,entropy,7,cifar10,2.468347154779439
0,entropy,8,cifar10,2.815334116428683
0,entropy,9,cifar10,3.1752506434196506
0,kmeans,0,cifar10,0.0
0,kmeans,1,cifar10,0.3675779183975364
0,kmeans,2,cifar10,0.6824610482401007
0,kmeans,3,cifar10,0.9875927314573564
0,kmeans,4,cifar10,1.3106060657450704
0,kmeans,5,cifar10,1.631821959784686
0,kmeans,6,cifar10,1.922901917221758
0,kmeans,7,cifar10,2.231401833133819
0,kmeans,8,cifar10,2.550065352626414
0,kmeans,9,cifar10,2.8675293588194637
0,wkmeans,0,cifar10,0.0
0,wkmeans,1,cifar10,0.37239130103347295
0,wkmeans,2,cifar10,0.6856291425455407
0,wkmeans,3,cifar10,1.0130853336279184
0,wkmeans,4,cifar10,1.3423824255599834
0,wkmeans,5,cifar10,1.6691744960195214
0,wkmeans,6,cifar10,1.9821088112833185
0,wkmeans,7,cifar10,2.3119301559000123
0,wkmeans,8,cifar10,2.643101829983979
0,wkmeans,9,cifar10,2.978906720421726
0,iwkmeans,0,cifar10,0.0
0,iwkmeans,1,cifar10,0.3814629569441017
0,iwkmeans,2,cifar10,0.6823706245939055
0,iwkmeans,3,cifar10,1.0151363658031904
0,iwkmeans,4,cifar10,1.33088238755715
0,iwkmeans,5,cifar10,1.6637291533371334
0,iwkmeans,6,cifar10,1.9505497271249286
0,iwkmeans,7,cifar10,2.257491626521345
0,iwkmeans,8,cifar10,2.5997635001134736
0,iwkmeans,9,cifar10,2.915445266794758
0,kcenter,0,cifar10,0.0
0,kcenter,1,cifar10,0.3240240650975508
0,kcenter,2,cifar10,0.5871356356541518
0,kcenter,3,cifar10,0.8443183182664389
0,kcenter,4,cifar10,1.125318606427047
0,kcenter,5,cifar10,1.403962785205484
0,kcenter,6,cifar10,1.679321661772895
0,kcenter,7,cifar10,1.9388325840363692
0,kcenter,8,cifar10,2.179781042597015
0,kcenter,9,cifar10,2.4661575845175046
1,random,0,cifar10,0.0
1,random,1,cifar10,0.35510385219469875
1,random,2,cifar10,0.6532225112808597
1,random,3,cifar10,0.9835202602768096
1,random,4,cifar10,1.2872499761256482
1,random,5,cifar10,1.612470483220211
1,random,6,cifar10,1.9060736847980146
1,random,7,cifar10,2.2257761614853058
1,random,8,cifar10,2.5875294864347156
1,random,9,cifar10,2.8928008317540312
1,margin,0,cifar10,0.0
1,margin,1,cifar10,0.384633043383876
1,margin,2,cifar10,0.6865461854787819
1,margin,3,cifar10,1.0085266581852472
1,margin,4,cifar10,1.3195932215455928
1,margin,5,cifar10,1.6651777234364462
1,margin,6,cifar10,1.9876584240605042
1,margin,7,cifar10,2.3058945455922912
1,margin,8,cifar10,2.6109152414622128
1,margin,9,cifar10,2.9211904035524565
1,confidence,0,cifar10,0.0
1,confidence,1,cifar10,0.3967788895028045
1,confidence,2,cifar10,0.7363662534586012
1,confidence,3,cifar10,1.0969269478360895
1,confidence,4,cifar10,1.4346035986073007
1,confidence,5,cifar10,1.7756046109429935
1,confidence,6,cifar10,2.0906231280642906
1,confidence,7,cifar10,2.413043632336833
1,confidence,8,cifar10,2.7399140527713577
1,confidence,9,cifar10,3.0827324714178195
1,entropy,0,cifar10,0.0
1,entropy,1,cifar10,0.39941124752908663
1,entropy,2,cifar10,0.7676228671196175
1,entropy,3,cifar10,1.1391504988752617
1,entropy,4,cifar10,1.5109602133595728
1,entropy,5,cifar10,1.8647536523340746
1,entropy,6,cifar10,2.2035756812789047
1,entropy,7,cifar10,2.5419775429362264
1,entropy,8,cifar10,2.9055841177677397
1,entropy,9,cifar10,3.257755543073602
1,kmeans,0,cifar10,0.0
1,kmeans,1,cifar10,0.3732535109303126
1,kmeans,2,cifar10,0.6809853049072347
1,kmeans,3,cifar10,0.9921086017974473
1,kmeans,4,cifar10,1.3018989700736472
1,kmeans,5,cifar10,1.6085520542562102
1,kmeans,6,cifar10,1.9209787634799667
1,kmeans,7,cifar10,2.244126733404559
1,kmeans,8,cifar10,2.5507245521471225
1,kmeans,9,cifar10,2.8506155103024717
1,wkmeans,0,cifar10,0.0
1,wkmeans,1,cifar10,0.3710693876083428
1,wkmeans,2,cifar10,0.7036530039970968
1,wkmeans,3,cifar10,1.0132927606323956
1,wkmeans,4,cifar10,1.334949853050609
1,wkmeans,5,cifar10,1.6465896985463107
1,wkmeans,6,cifar10,1.9725210883789952
1,wkmeans,7,cifar10,2.303610861891296
1,wkmeans,8,cifar10,2.6183269693736495
1,wkmeans,9,cifar10,2.9416504720874572
1,iwkmeans,0,cifar10,0.0
1,iwkmeans,1,cifar10,0.38119968588451525
1,iwkmeans,2,cifar10,0.6776894743429348
1,iwkmeans,3,cifar10,1.004488260031068
1,iwkmeans,4,cifar10,1.3432219923474984
1,iwkmeans,5,cifar10,1.6689160473627624
1,iwkmeans,6,cifar10,1.9839059731541961
1,iwkmeans,7,cifar10,2.2928069117391194
1,iwkmeans,8,cifar10,2.5914615691833993
1,iwkmeans,9,cifar10,2.8758410273545447
1,kcenter,0,cifar10,0.0
1,kcenter,1,cifar10,0.3241264020801127
1,kcenter,2,cifar10,0.60423561685502
1,kcenter,3,cifar10,0.8705111553042542
1,kcenter,4,cifar10,1.1484674661393985
1,kcenter,5,cifar10,1.413920032754053
1,kcenter,6,cifar10,1.6819083775655703
1,kcenter,7,cifar10,1.9368716390630727
1,kcenter,8,cifar10,2.1910609033183386
1,kcenter,9,cifar10,2.4682453666406357
2,random,0,cifar10,0.0
2,random,1,cifar10,0.35930207042069406
2,random,2,cifar10,0.6723195751485195
2,random,3,cifar10,0.9935504494916865
2,random,4,cifar10,1.3124334829515485
2,random,5,cifar10,1.6402069975024132
2,random,6,cifar10,1.9686494159146137
2,random,7,cifar10,2.2816246800173574
2,random,8,cifar10,2.621770272813122
2,random,9,cifar10,2.941107571290872
2,margin,0,cifar10,0.0
2,margin,1,cifar10,0.3793552707642467
2,margin,2,cifar10,0.7001254501866154
2,margin,3,cifar10,1.0271943429742616
2,margin,4,cifar10,1.3727773096724183
2,margin,5,cifar10,1.6854554779999054
2,margin,6,cifar10,1.9905978891703855
2,margin,7,cifar10,2.327045352537775
2,margin,8,cifar10,2.6313022944268116
2,margin,9,cifar10,2.946880271490242
2,confidence,0,cifar10,0.0
2,confidence,1,cifar10,0.3891363009998972
2,confidence,2,cifar10,0.7293671970983786
2,confidence,3,cifar10,1.0780696455698688
2,confidence,4,cifar10,1.4366587972438845
2,confidence,5,cifar10,1.7536829467928756
2,confidence,6,cifar10,2.1007723455908107
2,confidence,7,cifar10,2.4331296314073887
2,confidence,8,cifar10,2.7539125180485553
2,confidence,9,cifar10,3.0952564744778224
2,entropy,0,cifar10,0.0
2,entropy,1,cifar10,0.38444711120147207
2,entropy,2,cifar10,0.7396675053669859
2,entropy,3,cifar10,1.095135969820755
2,entropy,4,cifar10,1.4684283812227379
2,entropy,5,cifar10,1.7990963688680401
2,entropy,6,cifar10,2.1689148953853152
2,entropy,7,cifar10,2.4936621115929514
2,entropy,8,cifar10,2.8145050533003557
2,entropy,9,cifar10,3.1496956900927326
2,kmeans,0,cifar10,0.0
2,kmeans,1,cifar10,0.37021521079674735
2,kmeans,2,cifar10,0.6758532663624544
2,kmeans,3,cifar10,1.005064760076483
2,kmeans,4,cifar10,1.319053872436649
2,kmeans,5,cifar10,1.627230014029794
2,kmeans,6,cifar10,1.9509365256046711
2,kmeans,7,cifar10,2.253931001708265
2,kmeans,8,cifar10,2.5592922863058623
2,kmeans,9,cifar10,2.8582441634979565
2,wkmeans,0,cifar10,0.0
2,wkmeans,1,cifar10,0.3742688208085334
2,wkmeans,2,cifar10,0.6874784988556301
2,wkmeans,3,cifar10,1.0237559985844553
2,wkmeans,4,cifar10,1.3522566075664468
2,wkmeans,5,cifar10,1.646336177287283
2,wkmeans,6,cifar10,1.9956396067358644
2,wkmeans,7,cifar10,2.328375459178155
2,wkmeans,8,cifar10,2.669379218646295
2,wkmeans,9,cifar10,2.965394351160926
2,iwkmeans,0,cifar10,0.0
2,iwkmeans,1,cifar10,0.36899771557491723
2,iwkmeans,2,cifar10,0.6991525811289896
2,iwkmeans,3,cifar10,1.027639903335064
2,iwkmeans,4,cifar10,1.3386050639251896
2,iwkmeans,5,cifar10,1.67052561551646
2,iwkmeans,6,cifar10,1.9900942485234505
2,iwkmeans,7,cifar10,2.3374625205103428
2,iwkmeans,8,cifar10,2.619060040568108
2,iwkmeans,9,cifar10,2.911402894429864
2,kcenter,0,cifar10,0.0
2,kcenter,1,cifar10,0.3370020292807451
2,kcenter,2,cifar10,0.601261482694282
2,kcenter,3,cifar10,0.8559615818104863
2,kcenter,4,cifar10,1.1383365766864837
2,kcenter,5,cifar10,1.4358909794964896
2,kcenter,6,cifar10,1.7036972900659098
2,kcenter,7,cifar10,1.9731761663137435
2,kcenter,8,cifar10,2.2571341955353663
2,kcenter,9,cifar10,2.533927467891659
3,random,0,cifar10,0.0
3,random,1,cifar10,0.36615151636431664
3,random,2,cifar10,0.6603773689801795
3,random,3,cifar10,0.9755618049726359
3,random,4,cifar10,1.2915725631914166
3,random,5,cifar10,1.5877816666326696
3,random,6,cifar10,1.9176873781847807
3,random,7,cifar10,2.2169406827733296
3,random,8,cifar10,2.536650303671945
3,random,9,cifar10,2.818969013241176
3,margin,0,cifar10,0.0
3,margin,1,cifar10,0.35226673063359626
3,margin,2,cifar10,0.6745736307031345
