seed,method,n_iter,dataset,value
0,random,1,cifar10,0.7501573235988617
0,random,2,cifar10,0.5097849044005076
0,random,3,cifar10,0.34767881139119466
0,random,4,cifar10,0.2274190591176351
0,random,5,cifar10,0.2691723183790843
0,random,6,cifar10,0.17843027663230895
0,random,7,cifar10,0.10554044882456462
0,random,8,cifar10,0.14537704420089723
0,random,9,cifar10,0.10463728070259094
0,margin,1,cifar10,0.9155477375189464
0,margin,2,cifar10,0.6236161304314931
0,margin,3,cifar10,0.36126504333813986
0,margin,4,cifar10,0.16833475065231324
0,margin,5,cifar10,0.12011664175987244
0,margin,6,cifar10,0.15124833194414775
0,margin,7,cifar10,0.10589737598101298
0,margin,8,cifar10,0.10651108026504516
0,margin,9,cifar10,0.09828087496757508
0,confidence,1,cifar10,0.9949936296145121
0,confidence,2,cifar10,0.40396797688802083
0,confidence,3,cifar10,0.20878552293777466
0,confidence,4,cifar10,0.1507363216082255
0,confidence,5,cifar10,0.12554511618614198
0,confidence,6,cifar10,0.06711773904164632
0,confidence,7,cifar10,0.09046509130795796
0,confidence,8,cifar10,0.08210100626945496
0,confidence,9,cifar10,0.08028559343020121
0,entropy,1,cifar10,0.9948101056416829
0,entropy,2,cifar10,0.414179577032725
0,entropy,3,cifar10,0.18088628498713175
0,entropy,4,cifar10,0.12084072597821553
0,entropy,5,cifar10,0.06758067591985066
0,entropy,6,cifar10,0.09887471763292949
0,entropy,7,cifar10,0.06670908602078755
0,entropy,8,cifar10,0.05169247309366862
0,entropy,9,cifar10,0.054345526297887164
0,kmeans,1,cifar10,2.7767304357687634
0,kmeans,2,cifar10,0.5657321979204814
0,kmeans,3,cifar10,0.32002996397018435
0,kmeans,4,cifar10,0.22604173731803895
0,kmeans,5,cifar10,0.18205366786321003
0,kmeans,6,cifar10,0.12623978106180828
0,kmeans,7,cifar10,0.11427931348482767
0,kmeans,8,cifar10,0.10354852286974589
0,kmeans,9,cifar10,0.06981278403600057
0,wkmeans,1,cifar10,1.37050097767512
0,wkmeans,2,cifar10,0.5826718199253083
0,wkmeans,3,cifar10,0.3329194343884786
0,wkmeans,4,cifar10,0.2338626127243042
0,wkmeans,5,cifar10,0.16956887475649515
0,wkmeans,6,cifar10,0.11145878903071085
0,wkmeans,7,cifar10,0.12075098347663879
0,wkmeans,8,cifar10,0.08116929213205973
0,wkmeans,9,cifar10,0.07826318923632304
0,iwkmeans,1,cifar10,1.3549577151934307
0,iwkmeans,2,cifar10,0.4928166646162669
0,iwkmeans,3,cifar10,0.2916548902988434
0,iwkmeans,4,cifar10,0.21460225534439087
0,iwkmeans,5,cifar10,0.16283107328414917
0,iwkmeans,6,cifar10,0.11766235129038492
0,iwkmeans,7,cifar10,0.08126702348391215
0,iwkmeans,8,cifar10,0.08295149350166321
0,iwkmeans,9,cifar10,0.07556967536608378
0,kcenter,1,cifar10,0.05737788820266724
0,kcenter,2,cifar10,0.04977886136372884
0,kcenter,3,cifar10,0.045146596431732175
0,kcenter,4,cifar10,0.023226132392883302
0,kcenter,5,cifar10,0.028864906628926594
0,kcenter,6,cifar10,0.0330602396329244
0,kcenter,7,cifar10,0.028082207838694254
0,kcenter,8,cifar10,0.03408369080225627
0,kcenter,9,cifar10,0.04163332843780518
1,random,1,cifar10,0.8821339162985484
1,random,2,cifar10,0.46109674127896627
1,random,3,cifar10,0.3980669012069702
1,random,4,cifar10,0.27639345661799114
1,random,5,cifar10,0.15897946953773498
1,random,6,cifar10,0.24482553672790527
1,random,7,cifar10,0.1471655062834422
1,random,8,cifar10,0.16628889187177023
1,random,9,cifar10,0.1388363098303477
1,margin,1,cifar10,1.0758194684187572
1,margin,2,cifar10,0.46609915630022686
1,margin,3,cifar10,0.24771648025512696
1,margin,4,cifar10,0.20520590702692668
1,margin,5,cifar10,0.15855461994806924
1,margin,6,cifar10,0.165143967628479
1,margin,7,cifar10,0.13225817092259726
1,margin,8,cifar10,0.13541859944661458
1,margin,9,cifar10,0.12111112952232361
1,confidence,1,cifar10,0.8057621603806814
1,confidence,2,cifar10,0.27443048810958864
1,confidence,3,cifar10,0.1871347652276357
1,confidence,4,cifar10,0.16028571780522666
1,confidence,5,cifar10,0.1919586905638377
1,confidence,6,cifar10,0.08834553488095602
1,confidence,7,cifar10,0.12115827957789103
1,confidence,8,cifar10,0.10560107723871867
1,confidence,9,cifar10,0.11274384133021037
1,entropy,1,cifar10,0.9974651792049408
1,entropy,2,cifar10,0.27630002625783284
1,entropy,3,cifar10,0.23945432289441426
1,entropy,4,cifar10,0.1246483554840088
1,entropy,5,cifar10,0.09936668793360393
1,entropy,6,cifar10,0.10685837682088216
