seed,method,n_iter,dataset,value
0,random,0,cifar10_simclr,0.7833333333333333
0,random,1,cifar10_simclr,0.8583333333333333
0,random,2,cifar10_simclr,0.8555555555555555
0,random,3,cifar10_simclr,0.8333333333333334
0,random,4,cifar10_simclr,0.8433333333333334
0,random,5,cifar10_simclr,0.8583333333333333
0,random,6,cifar10_simclr,0.861904761904762
0,random,7,cifar10_simclr,0.8625
0,random,8,cifar10_simclr,0.8703703703703703
0,random,9,cifar10_simclr,0.8716666666666667
0,margin,0,cifar10_simclr,0.7833333333333333
0,margin,1,cifar10_simclr,0.725
0,margin,2,cifar10_simclr,0.7444444444444445
0,margin,3,cifar10_simclr,0.7208333333333333
0,margin,4,cifar10_simclr,0.6966666666666667
0,margin,5,cifar10_simclr,0.6888888888888889
0,margin,6,cifar10_simclr,0.6238095238095238
0,margin,7,cifar10_simclr,0.625
0,margin,8,cifar10_simclr,0.6166666666666667
0,margin,9,cifar10_simclr,0.6066666666666667
0,confidence,0,cifar10_simclr,0.7833333333333333
0,confidence,1,cifar10_simclr,0.6083333333333333
0,confidence,2,cifar10_simclr,0.6111111111111112
0,confidence,3,cifar10_simclr,0.5625
0,confidence,4,cifar10_simclr,0.5466666666666666
0,confidence,5,cifar10_simclr,0.55
0,confidence,6,cifar10_simclr,0.5214285714285715
0,confidence,7,cifar10_simclr,0.5354166666666667
0,confidence,8,cifar10_simclr,0.5203703703703704
0,confidence,9,cifar10_simclr,0.5233333333333333
0,entropy,0,cifar10_simclr,0.7833333333333333
0,entropy,1,cifar10_simclr,0.65
0,entropy,2,cifar10_simclr,0.5944444444444444
0,entropy,3,cifar10_simclr,0.5708333333333333
0,entropy,4,cifar10_simclr,0.5466666666666666
0,entropy,5,cifar10_simclr,0.5527777777777778
0,entropy,6,cifar10_simclr,0.5547619047619048
0,entropy,7,cifar10_simclr,0.5666666666666667
0,entropy,8,cifar10_simclr,0.5370370370370371
0,entropy,9,cifar10_simclr,0.53
0,kmeans,0,cifar10_simclr,0.7833333333333333
0,kmeans,1,cifar10_simclr,0.8833333333333333
0,kmeans,2,cifar10_simclr,0.8944444444444445
0,kmeans,3,cifar10_simclr,0.9
0,kmeans,4,cifar10_simclr,0.9233333333333333
0,kmeans,5,cifar10_simclr,0.9194444444444444
0,kmeans,6,cifar10_simclr,0.9095238095238095
0,kmeans,7,cifar10_simclr,0.9270833333333334
0,kmeans,8,cifar10_simclr,0.9222222222222223
