seed,method,n_iter,dataset,value
0,random,0,cifar10_simclr,0.0
0,random,1,cifar10_simclr,2.0732054084384073
0,random,2,cifar10_simclr,0.6727939822274812
0,random,3,cifar10_simclr,0.5490031846961867
0,random,4,cifar10_simclr,0.6551149021734022
0,random,5,cifar10_simclr,0.3022278621516947
0,random,6,cifar10_simclr,0.32744209178564515
0,random,7,cifar10_simclr,0.33695845082047404
0,random,8,cifar10_simclr,0.2482990109343176
0,random,9,cifar10_simclr,0.26323324715243945
0,margin,0,cifar10_simclr,0.0
0,margin,1,cifar10_simclr,1.3671939733195626
0,margin,2,cifar10_simclr,0.5139364649191325
0,margin,3,cifar10_simclr,0.34444104025149735
0,margin,4,cifar10_simclr,0.23429430165858245
0,margin,5,cifar10_simclr,0.24258363490218637
0,margin,6,cifar10_simclr,0.20559709477340726
0,margin,7,cifar10_simclr,0.20807387815044065
0,margin,8,cifar10_simclr,0.24963309480086499
0,margin,9,cifar10_simclr,0.20053892866607528
0,confidence,0,cifar10_simclr,0.0
0,confidence,1,cifar10_simclr,0.9486745044088221
0,confidence,2,cifar10_simclr,0.4817913005528727
0,confidence,3,cifar10_simclr,0.32320301333354456
0,confidence,4,cifar10_simclr,0.3611633497607533
0,confidence,5,cifar10_simclr,0.24368643378671528
0,confidence,6,cifar10_simclr,0.24395662923396533
0,confidence,7,cifar10_simclr,0.14636500492846183
0,confidence,8,cifar10_simclr,0.2197244736605971
0,confidence,9,cifar10_simclr,0.33492187141599955
0,entropy,0,cifar10_simclr,0.0
0,entropy,1,cifar10_simclr,0.9786575531680469
0,entropy,2,cifar10_simclr,0.4869763223424255
0,entropy,3,cifar10_simclr,0.3417000433869014
0,entropy,4,cifar10_simclr,0.3713460991474239
0,entropy,5,cifar10_simclr,0.24195445513722724
0,entropy,6,cifar10_simclr,0.22842062193926582
0,entropy,7,cifar10_simclr,0.16271726903609746
0,entropy,8,cifar10_simclr,0.23209858021849292
0,entropy,9,cifar10_simclr,0.14883683155529873
0,kmeans,0,cifar10_simclr,0.0
0,kmeans,1,cifar10_simclr,1.0831148224148766
0,kmeans,2,cifar10_simclr,0.45139967948036547
0,kmeans,3,cifar10_simclr,0.3176038659561684
0,kmeans,4,cifar10_simclr,0.34561931562497344
0,kmeans,5,cifar10_simclr,0.20099193672588106
0,kmeans,6,cifar10_simclr,0.19912936798398687
0,kmeans,7,cifar10_simclr,0.24221560138549236
0,kmeans,8,cifar10_simclr,0.1814889764075332
0,kmeans,9,cifar10_simclr,0.1939822289582849
0,wkmeans,0,cifar10_simclr,0.0
0,wkmeans,1,cifar10_simclr,1.2120635842024268
0,wkmeans,2,cifar10_simclr,0.845975878284042
0,wkmeans,3,cifar10_simclr,0.2827095705805968
0,wkmeans,4,cifar10_simclr,0.2887367640381874
0,wkmeans,5,cifar10_simclr,0.33695738634117645
0,wkmeans,6,cifar10_simclr,0.21129428668128164
0,wkmeans,7,cifar10_simclr,0.28452922125705826
0,wkmeans,8,cifar10_simclr,0.2145228615855945
0,wkmeans,9,cifar10_simclr,0.18925931381390781
0,iwkmeans,0,cifar10_simclr,0.0
0,iwkmeans,1,cifar10_simclr,1.4155185515840862
0,iwkmeans,2,cifar10_simclr,0.505120061877777
0,iwkmeans,3,cifar10_simclr,0.5171379124867891
0,iwkmeans,4,cifar10_simclr,0.35791584665323023
0,iwkmeans,5,cifar10_simclr,0.22369426229902611
0,iwkmeans,6,cifar10_simclr,0.3211993623618731
0,iwkmeans,7,cifar10_simclr,0.19617794334048205
0,iwkmeans,8,cifar10_simclr,0.20881048129034707
0,iwkmeans,9,cifar10_simclr,0.2540751069374048
0,kcenter,0,cifar10_simclr,0.0
0,kcenter,1,cifar10_simclr,1.830731300467497
0,kcenter,2,cifar10_simclr,0.8623980554942569
0,kcenter,3,cifar10_simclr,0.3978072886938676
0,kcenter,4,cifar10_simclr,0.323612924258028
0,kcenter,5,cifar10_simclr,0.25120281011204726
0,kcenter,6,cifar10_simclr,0.19846274779624623
0,kcenter,7,cifar10_simclr,0.15924263623949692
0,kcenter,8,cifar10_simclr,0.16511428926506466
0,kcenter,9,cifar10_simclr,0.12136606051277231
1,random,0,cifar10_simclr,0.0
1,random,1,cifar10_simclr,1.3652373319814652
1,random,2,cifar10_simclr,0.7239411519952175
1,random,3,cifar10_simclr,0.500039047918469
1,random,4,cifar10_simclr,0.379456355843271
1,random,5,cifar10_simclr,0.5451571567835574
1,random,6,cifar10_simclr,0.26704135996085904
1,random,7,cifar10_simclr,0.19216190564461982
1,random,8,cifar10_simclr,0.15015391676438844
1,random,9,cifar10_simclr,0.21586579294278255
1,margin,0,cifar10_simclr,0.0
1,margin,1,cifar10_simclr,1.117583093770621
1,margin,2,cifar10_simclr,0.5462762809660617
1,margin,3,cifar10_simclr,0.36105663916690856
1,margin,4,cifar10_simclr,0.3738857196733604
1,margin,5,cifar10_simclr,0.23762471958404008
1,margin,6,cifar10_simclr,0.24241708969810605
1,margin,7,cifar10_simclr,0.18722166988676925
1,margin,8,cifar10_simclr,0.21490117368028788
1,margin,9,cifar10_simclr,0.2057080699713003
1,confidence,0,cifar10_simclr,0.0
1,confidence,1,cifar10_simclr,1.5115411191797499
1,confidence,2,cifar10_simclr,0.7354921874599454
1,confidence,3,cifar10_simclr,0.2844604655335866
1,confidence,4,cifar10_simclr,0.19855663919283684
1,confidence,5,cifar10_simclr,0.1854812881780457
1,confidence,6,cifar10_simclr,0.1924257718599473
1,confidence,7,cifar10_simclr,0.21906247600844833
1,confidence,8,cifar10_simclr,0.16843960010635486
1,confidence,9,cifar10_simclr,0.1628675339872378
1,entropy,0,cifar10_simclr,0.0
1,entropy,1,cifar10_simclr,1.0716300141938997
1,entropy,2,cifar10_simclr,0.6556666416098409
1,entropy,3,cifar10_simclr,0.1499825226373695
1,entropy,4,cifar10_simclr,0.27261396745654826
1,entropy,5,cifar10_simclr,0.21917268713495108
1,entropy,6,cifar10_simclr,0.2260273661442088
1,entropy,7,cifar10_simclr,0.22446966543074118
1,entropy,8,cifar10_simclr,0.267126281284094
1,entropy,9,cifar10_simclr,0.12456342046299293
1,kmeans,0,cifar10_simclr,0.0
1,kmeans,1,cifar10_simclr,0.7643004930468861
1,kmeans,2,cifar10_simclr,0.40435970826023
1,kmeans,3,cifar10_simclr,0.348457464884242
1,kmeans,4,cifar10_simclr,0.20899596441290536
1,kmeans,5,cifar10_simclr,0.260570564767962
1,kmeans,6,cifar10_simclr,0.15054917202629087
1,kmeans,7,cifar10_simclr,0.14974668856464157
1,kmeans,8,cifar10_simclr,0.17874817715234173
1,kmeans,9,cifar10_simclr,0.13821983512976105
1,wkmeans,0,cifar10_simclr,0.0
1,wkmeans,1,cifar10_simclr,1.2782246957726322
1,wkmeans,2,cifar10_simclr,0.5077880583742221
1,wkmeans,3,cifar10_simclr,0.3618080632138313
1,wkmeans,4,cifar10_simclr,0.32281566241371257
1,wkmeans,5,cifar10_simclr,0.2425371374056828
1,wkmeans,6,cifar10_simclr,0.30996374620221956
1,wkmeans,7,cifar10_simclr,0.15585920842555737
1,wkmeans,8,cifar10_simclr,0.10967032219747505
1,wkmeans,9,cifar10_simclr,0.11427472669954267
1,iwkmeans,0,cifar10_simclr,0.0
1,iwkmeans,1,cifar10_simclr,1.2026893900624005
1,iwkmeans,2,cifar10_simclr,0.8263084817861484
1,iwkmeans,3,cifar10_simclr,0.31164732658928335
1,iwkmeans,4,cifar10_simclr,0.4989391372055467
1,iwkmeans,5,cifar10_simclr,0.26278887461190736
1,iwkmeans,6,cifar10_simclr,0.23506053886354591
1,iwkmeans,7,cifar10_simclr,0.22350256097907953
1,iwkmeans,8,cifar10_simclr,0.35767154137829693
1,iwkmeans,9,cifar10_simclr,0.2060268407813515
1,kcenter,0,cifar10_simclr,0.0
1,kcenter,1,cifar10_simclr,1.895549401501619
1,kcenter,2,cifar10_simclr,0.7146249179794698
1,kcenter,3,cifar10_simclr,0.3299614503195477
1,kcenter,4,cifar10_simclr,0.35797714143091364
1,kcenter,5,cifar10_simclr,0.2057774402335784
1,kcenter,6,cifar10_simclr,0.17484178670129727
1,kcenter,7,cifar10_simclr,0.17550196726090223
1,kcenter,8,cifar10_simclr,0.20830421011936046
1,kcenter,9,cifar10_simclr,0.11436055606835062
2,random,0,cifar10_simclr,0.0
2,random,1,cifar10_simclr,1.247105053375323
2,random,2,cifar10_simclr,0.7107128180931609
2,random,3,cifar10_simclr,0.7736173251705477
2,random,4,cifar10_simclr,0.3202596007485214
2,random,5,cifar10_simclr,0.36295810743238643
2,random,6,cifar10_simclr,0.36173185059912966
2,random,7,cifar10_simclr,0.26564983526837027
2,random,8,cifar10_simclr,0.32799402100241626
2,random,9,cifar10_simclr,0.164193251193158
2,margin,0,cifar10_simclr,0.0
2,margin,1,cifar10_simclr,1.6121394497312638
2,margin,2,cifar10_simclr,0.45996460855210036
2,margin,3,cifar10_simclr,0.2873853852524344
2,margin,4,cifar10_simclr,0.3493169737964321
2,margin,5,cifar10_simclr,0.2658557839034781
2,margin,6,cifar10_simclr,0.32882010754127894
2,margin,7,cifar10_simclr,0.14944823929822193
2,margin,8,cifar10_simclr,0.25016458838450745
2,margin,9,cifar10_simclr,0.16890367648295496
2,confidence,0,cifar10_simclr,0.0
2,confidence,1,cifar10_simclr,1.0036093696741648
2,confidence,2,cifar10_simclr,0.5194940051089566
2,confidence,3,cifar10_simclr,0.4112537537451198
2,confidence,4,cifar10_simclr,0.35498166120751584
2,confidence,5,cifar10_simclr,0.23233355524178653
2,confidence,6,cifar10_simclr,0.25419747510383534
2,confidence,7,cifar10_simclr,0.19441373947527835
2,confidence,8,cifar10_simclr,0.21282008512295175
2,confidence,9,cifar10_simclr,0.24928468607686466
2,entropy,0,cifar10_simclr,0.0
2,entropy,1,cifar10_simclr,1.077460140354769
2,entropy,2,cifar10_simclr,0.5755083886223199
2,entropy,3,cifar10_simclr,0.41426912535910987
2,entropy,4,cifar10_simclr,0.2659088779981874
2,entropy,5,cifar10_simclr,0.35200203898211346
2,entropy,6,cifar10_simclr,0.15339673185801425
2,entropy,7,cifar10_simclr,0.16376310522377033
2,entropy,8,cifar10_simclr,0.15992975980184984
2,entropy,9,cifar10_simclr,0.3550784659732776
2,kmeans,0,cifar10_simclr,0.0
2,kmeans,1,cifar10_simclr,0.7330206421543681
2,kmeans,2,cifar10_simclr,0.5240793524478466
2,kmeans,3,cifar10_simclr,0.2783157509896853
2,kmeans,4,cifar10_simclr,0.2151115653670263
2,kmeans,5,cifar10_simclr,0.24296636008970307
2,kmeans,6,cifar10_simclr,0.16758334211470394
2,kmeans,7,cifar10_simclr,0.20283331110164038
2,kmeans,8,cifar10_simclr,0.15079729481830967
2,kmeans,9,cifar10_simclr,0.1304340761894175
2,wkmeans,0,cifar10_simclr,0.0
2,wkmeans,1,cifar10_simclr,1.3261345273564444
2,wkmeans,2,cifar10_simclr,0.784638128395831
2,wkmeans,3,cifar10_simclr,0.39110530024413914
2,wkmeans,4,cifar10_simclr,0.19753903894916003
2,wkmeans,5,cifar10_simclr,0.20373184020543542
2,wkmeans,6,cifar10_simclr,0.23592253049749554
2,wkmeans,7,cifar10_simclr,0.19669190690643062
2,wkmeans,8,cifar10_simclr,0.17046766008873188
2,wkmeans,9,cifar10_simclr,0.1761386695326601
2,iwkmeans,0,cifar10_simclr,0.0
2,iwkmeans,1,cifar10_simclr,1.3807006778266173
2,iwkmeans,2,cifar10_simclr,0.7901408077468258
2,iwkmeans,3,cifar10_simclr,0.3976032318989635
2,iwkmeans,4,cifar10_simclr,0.6786445922752062
2,iwkmeans,5,cifar10_simclr,0.2897454405934997
2,iwkmeans,6,cifar10_simclr,0.24864646456231682
2,iwkmeans,7,cifar10_simclr,0.3756136005740455
2,iwkmeans,8,cifar10_simclr,0.14218050970160087
2,iwkmeans,9,cifar10_simclr,0.27130211302957186
2,kcenter,0,cifar10_simclr,0.0
2,kcenter,1,cifar10_simclr,2.1329883710031594
2,kcenter,2,cifar10_simclr,0.7175632431787183
2,kcenter,3,cifar10_simclr,0.43675101563964974
2,kcenter,4,cifar10_simclr,0.2682988818971769
2,kcenter,5,cifar10_simclr,0.20780294918444073
2,kcenter,6,cifar10_simclr,0.2047678148217338
2,kcenter,7,cifar10_simclr,0.26319419799199395
2,kcenter,8,cifar10_simclr,0.15076748634426096
2,kcenter,9,cifar10_simclr,0.16947123191037688
3,random,0,cifar10_simclr,0.0
3,random,1,cifar10_simclr,1.6594828493275375
3,random,2,cifar10_simclr,0.8607736751805452
3,random,3,cifar10_simclr,0.4893658758988963
3,random,4,cifar10_simclr,0.47553270147143006
3,random,5,cifar10_simclr,0.43184954198704806
3,random,6,cifar10_simclr,0.61586085793776
3,random,7,cifar10_simclr,0.2968701326719433
3,random,8,cifar10_simclr,0.1891053028312616
3,random,9,cifar10_simclr,0.1657253353965751
3,margin,0,cifar10_simclr,0.0
3,margin,1,cifar10_simclr,1.3464426780678382
3,margin,2,cifar10_simclr,0.5510085401900555
3,margin,3,cifar10_simclr,0.43130905893322585
3,margin,4,cifar10_simclr,0.26615969649267635
3,margin,5,cifar10_simclr,0.35932178002749326
3,margin,6,cifar10_simclr,0.18054308781466394
3,margin,7,cifar10_simclr,0.20014521599850654
3,margin,8,cifar10_simclr,0.16410291690276887
3,margin,9,cifar10_simclr,0.10355836554665025
3,confidence,0,cifar10_simclr,0.0
3,confidence,1,cifar10_simclr,1.5351431424461532
3,confidence,2,cifar10_simclr,0.6581749074387303
3,confidence,3,cifar10_simclr,0.36859580330332103
3,confidence,4,cifar10_simclr,0.2856666811537313
3,confidence,5,cifar10_simclr,0.28598445365659464
3,confidence,6,cifar10_simclr,0.18986180009813067
3,confidence,7,cifar10_simclr,0.24380124424721253
3,confidence,8,cifar10_simclr,0.20315314620247912
3,confidence,9,cifar10_simclr,0.24610009042954545
3,entropy,0,cifar10_simclr,0.0
3,entropy,1,cifar10_simclr,1.3597796279601284
3,entropy,2,cifar10_simclr,0.4940628332156637
3,entropy,3,cifar10_simclr,0.3008534606223301
3,entropy,4,cifar10_simclr,0.30362457240934787
3,entropy,5,cifar10_simclr,0.34819317427024965
3,entropy,6,cifar10_simclr,0.24666643585744064
3,entropy,7,cifar10_simclr,0.28348107404876594
3,entropy,8,cifar10_simclr,0.1900894126219042
3,entropy,9,cifar10_simclr,0.2581699534554023
3,kmeans,0,cifar10_simclr,0.0
