seed,method,n_iter,dataset,value
0,random,1,cifar10_simclr,0.15
0,random,2,cifar10_simclr,0.07222222222222222
0,random,3,cifar10_simclr,0.058333333333333334
0,random,4,cifar10_simclr,0.03
0,random,5,cifar10_simclr,0.03611111111111111
0,random,6,cifar10_simclr,0.023809523809523808
0,random,7,cifar10_simclr,0.0125
0,random,8,cifar10_simclr,0.012962962962962963
0,random,9,cifar10_simclr,0.015
0,margin,1,cifar10_simclr,0.3333333333333333
0,margin,2,cifar10_simclr,0.19444444444444445
0,margin,3,cifar10_simclr,0.16666666666666666
0,margin,4,cifar10_simclr,0.11
0,margin,5,cifar10_simclr,0.12222222222222222
0,margin,6,cifar10_simclr,0.08571428571428572
0,margin,7,cifar10_simclr,0.07708333333333334
0,margin,8,cifar10_simclr,0.07962962962962963
0,margin,9,cifar10_simclr,0.06166666666666667
0,confidence,1,cifar10_simclr,0.4083333333333333
0,confidence,2,cifar10_simclr,0.25
0,confidence,3,cifar10_simclr,0.18333333333333332
0,confidence,4,cifar10_simclr,0.13666666666666666
0,confidence,5,cifar10_simclr,0.125
0,confidence,6,cifar10_simclr,0.12142857142857143
0,confidence,7,cifar10_simclr,0.08958333333333333
0,confidence,8,cifar10_simclr,0.08888888888888889
0,confidence,9,cifar10_simclr,0.08333333333333333
0,entropy,1,cifar10_simclr,0.425
0,entropy,2,cifar10_simclr,0.21666666666666667
0,entropy,3,cifar10_simclr,0.20833333333333334
0,entropy,4,cifar10_simclr,0.14666666666666667
0,entropy,5,cifar10_simclr,0.13333333333333333
0,entropy,6,cifar10_simclr,0.10952380952380952
0,entropy,7,cifar10_simclr,0.08541666666666667
0,entropy,8,cifar10_simclr,0.07962962962962963
0,entropy,9,cifar10_simclr,0.07166666666666667
0,kmeans,1,cifar10_simclr,0.058333333333333334
0,kmeans,2,cifar10_simclr,0.06111111111111111
0,kmeans,3,cifar10_simclr,0.041666666666666664
0,kmeans,4,cifar10_simclr,0.006666666666666667
0,kmeans,5,cifar10_simclr,0.016666666666666666
0,kmeans,6,cifar10_simclr,0.014285714285714285
0,kmeans,7,cifar10_simclr,0.0020833333333333333
0,kmeans,8,cifar10_simclr,0.009259259259259259
0,kmeans,9,cifar10_simclr,0.01
0,wkmeans,1,cifar10_simclr,0.35833333333333334
0,wkmeans,2,cifar10_simclr,0.18333333333333332
0,wkmeans,3,cifar10_simclr,0.16666666666666666
0,wkmeans,4,cifar10_simclr,0.13
0,wkmeans,5,cifar10_simclr,0.08888888888888889
0,wkmeans,6,cifar10_simclr,0.09285714285714286
0,wkmeans,7,cifar10_simclr,0.052083333333333336
0,wkmeans,8,cifar10_simclr,0.06481481481481481
0,wkmeans,9,cifar10_simclr,0.07166666666666667
0,iwkmeans,1,cifar10_simclr,0.35833333333333334
0,iwkmeans,2,cifar10_simclr,0.2111111111111111
0,iwkmeans,3,cifar10_simclr,0.15833333333333333
0,iwkmeans,4,cifar10_simclr,0.12666666666666668
0,iwkmeans,5,cifar10_simclr,0.11388888888888889
0,iwkmeans,6,cifar10_simclr,0.08571428571428572
0,iwkmeans,7,cifar10_simclr,0.07083333333333333
0,iwkmeans,8,cifar10_simclr,0.06111111111111111
0,iwkmeans,9,cifar10_simclr,0.055
0,kcenter,1,cifar10_simclr,0.15
0,kcenter,2,cifar10_simclr,0.05555555555555555
0,kcenter,3,cifar10_simclr,0.0375
0,kcenter,4,cifar10_simclr,0.04
0,kcenter,5,cifar10_simclr,0.03888888888888889
0,kcenter,6,cifar10_simclr,0.02857142857142857
0,kcenter,7,cifar10_simclr,0.027083333333333334
0,kcenter,8,cifar10_simclr,0.025925925925925925
0,kcenter,9,cifar10_simclr,0.018333333333333333
1,random,1,cifar10_simclr,0.14166666666666666
1,random,2,cifar10_simclr,0.05
1,random,3,cifar10_simclr,0.03333333333333333
1,random,4,cifar10_simclr,0.016666666666666666
1,random,5,cifar10_simclr,0.013888888888888888
1,random,6,cifar10_simclr,0.01904761904761905
1,random,7,cifar10_simclr,0.014583333333333334
1,random,8,cifar10_simclr,0.016666666666666666
1,random,9,cifar10_simclr,0.018333333333333333
1,margin,1,cifar10_simclr,0.31666666666666665
1,margin,2,cifar10_simclr,0.20555555555555555
1,margin,3,cifar10_simclr,0.15833333333333333
1,margin,4,cifar10_simclr,0.14666666666666667
1,margin,5,cifar10_simclr,0.09722222222222222
1,margin,6,cifar10_simclr,0.09047619047619047
1,margin,7,cifar10_simclr,0.0875
1,margin,8,cifar10_simclr,0.07592592592592592
1,margin,9,cifar10_simclr,0.05333333333333334
1,confidence,1,cifar10_simclr,0.38333333333333336
1,confidence,2,cifar10_simclr,0.29444444444444445
1,confidence,3,cifar10_simclr,0.19166666666666668
1,confidence,4,cifar10_simclr,0.15333333333333332
1,confidence,5,cifar10_simclr,0.12777777777777777
1,confidence,6,cifar10_simclr,0.10714285714285714
1,confidence,7,cifar10_simclr,0.08958333333333333
1,confidence,8,cifar10_simclr,0.07962962962962963
1,confidence,9,cifar10_simclr,0.06666666666666667
1,entropy,1,cifar10_simclr,0.39166666666666666
1,entropy,2,cifar10_simclr,0.2833333333333333
1,entropy,3,cifar10_simclr,0.17083333333333334
1,entropy,4,cifar10_simclr,0.14
1,entropy,5,cifar10_simclr,0.12222222222222222
1,entropy,6,cifar10_simclr,0.09285714285714286
1,entropy,7,cifar10_simclr,0.09375
1,entropy,8,cifar10_simclr,0.08333333333333333
1,entropy,9,cifar10_simclr,0.07166666666666667
1,kmeans,1,cifar10_simclr,0.1
1,kmeans,2,cifar10_simclr,0.027777777777777776
1,kmeans,3,cifar10_simclr,0.016666666666666666
1,kmeans,4,cifar10_simclr,0.01
1,kmeans,5,cifar10_simclr,0.022222222222222223
1,kmeans,6,cifar10_simclr,0.009523809523809525
1,kmeans,7,cifar10_simclr,0.016666666666666666
1,kmeans,8,cifar10_simclr,0.005555555555555556
1,kmeans,9,cifar10_simclr,0.0033333333333333335
1,wkmeans,1,cifar10_simclr,0.3
1,wkmeans,2,cifar10_simclr,0.23333333333333334
1,wkmeans,3,cifar10_simclr,0.19166666666666668
1,wkmeans,4,cifar10_simclr,0.12333333333333334
1,wkmeans,5,cifar10_simclr,0.10277777777777777
1,wkmeans,6,cifar10_simclr,0.09523809523809523
1,wkmeans,7,cifar10_simclr,0.08541666666666667
1,wkmeans,8,cifar10_simclr,0.06296296296296296
1,wkmeans,9,cifar10_simclr,0.05
1,iwkmeans,1,cifar10_simclr,0.3416666666666667
1,iwkmeans,2,cifar10_simclr,0.23333333333333334
1,iwkmeans,3,cifar10_simclr,0.16666666666666666
1,iwkmeans,4,cifar10_simclr,0.13
1,iwkmeans,5,cifar10_simclr,0.07777777777777778
1,iwkmeans,6,cifar10_simclr,0.09285714285714286
1,iwkmeans,7,cifar10_simclr,0.08125
1,iwkmeans,8,cifar10_simclr,0.06481481481481481
1,iwkmeans,9,cifar10_simclr,0.056666666666666664
1,kcenter,1,cifar10_simclr,0.16666666666666666
1,kcenter,2,cifar10_simclr,0.06666666666666667
1,kcenter,3,cifar10_simclr,0.0375
1,kcenter,4,cifar10_simclr,0.04666666666666667
1,kcenter,5,cifar10_simclr,0.022222222222222223
1,kcenter,6,cifar10_simclr,0.02619047619047619
1,kcenter,7,cifar10_simclr,0.025
1,kcenter,8,cifar10_simclr,0.014814814814814815
1,kcenter,9,cifar10_simclr,0.023333333333333334
2,random,1,cifar10_simclr,0.15
2,random,2,cifar10_simclr,0.06666666666666667
2,random,3,cifar10_simclr,0.025
2,random,4,cifar10_simclr,0.03
2,random,5,cifar10_simclr,0.030555555555555555
2,random,6,cifar10_simclr,0.011904761904761904
2,random,7,cifar10_simclr,0.014583333333333334
2,random,8,cifar10_simclr,0.020370370370370372
2,random,9,cifar10_simclr,0.016666666666666666
2,margin,1,cifar10_simclr,0.35
2,margin,2,cifar10_simclr,0.25
2,margin,3,cifar10_simclr,0.14583333333333334
2,margin,4,cifar10_simclr,0.11333333333333333
2,margin,5,cifar10_simclr,0.12222222222222222
2,margin,6,cifar10_simclr,0.08333333333333333
2,margin,7,cifar10_simclr,0.075
2,margin,8,cifar10_simclr,0.06666666666666667
2,margin,9,cifar10_simclr,0.06166666666666667
2,confidence,1,cifar10_simclr,0.44166666666666665
2,confidence,2,cifar10_simclr,0.26666666666666666
2,confidence,3,cifar10_simclr,0.19583333333333333
2,confidence,4,cifar10_simclr,0.16666666666666666
2,confidence,5,cifar10_simclr,0.14166666666666666
2,confidence,6,cifar10_simclr,0.11904761904761904
2,confidence,7,cifar10_simclr,0.1
2,confidence,8,cifar10_simclr,0.07962962962962963
2,confidence,9,cifar10_simclr,0.07833333333333334
2,entropy,1,cifar10_simclr,0.45
2,entropy,2,cifar10_simclr,0.26666666666666666
2,entropy,3,cifar10_simclr,0.1875
2,entropy,4,cifar10_simclr,0.15
2,entropy,5,cifar10_simclr,0.13055555555555556
2,entropy,6,cifar10_simclr,0.12142857142857143
2,entropy,7,cifar10_simclr,0.09375
2,entropy,8,cifar10_simclr,0.08148148148148149
2,entropy,9,cifar10_simclr,0.06
2,kmeans,1,cifar10_simclr,0.08333333333333333
2,kmeans,2,cifar10_simclr,0.03888888888888889
2,kmeans,3,cifar10_simclr,0.016666666666666666
2,kmeans,4,cifar10_simclr,0.02
2,kmeans,5,cifar10_simclr,0.016666666666666666
2,kmeans,6,cifar10_simclr,0.023809523809523808
2,kmeans,7,cifar10_simclr,0.00625
2,kmeans,8,cifar10_simclr,0.011111111111111112
2,kmeans,9,cifar10_simclr,0.006666666666666667
2,wkmeans,1,cifar10_simclr,0.35
2,wkmeans,2,cifar10_simclr,0.22777777777777777
2,wkmeans,3,cifar10_simclr,0.14583333333333334
2,wkmeans,4,cifar10_simclr,0.12333333333333334
2,wkmeans,5,cifar10_simclr,0.08611111111111111
2,wkmeans,6,cifar10_simclr,0.1
2,wkmeans,7,cifar10_simclr,0.07708333333333334
2,wkmeans,8,cifar10_simclr,0.07222222222222222
2,wkmeans,9,cifar10_simclr,0.07333333333333333
2,iwkmeans,1,cifar10_simclr,0.35833333333333334
2,iwkmeans,2,cifar10_simclr,0.2222222222222222
2,iwkmeans,3,cifar10_simclr,0.14583333333333334
2,iwkmeans,4,cifar10_simclr,0.15
2,iwkmeans,5,cifar10_simclr,0.1111111111111111
2,iwkmeans,6,cifar10_simclr,0.08571428571428572
2,iwkmeans,7,cifar10_simclr,0.07083333333333333
2,iwkmeans,8,cifar10_simclr,0.05925925925925926
2,iwkmeans,9,cifar10_simclr,0.058333333333333334
2,kcenter,1,cifar10_simclr,0.09166666666666666
2,kcenter,2,cifar10_simclr,0.044444444444444446
2,kcenter,3,cifar10_simclr,0.0625
2,kcenter,4,cifar10_simclr,0.04
2,kcenter,5,cifar10_simclr,0.013888888888888888
2,kcenter,6,cifar10_simclr,0.02142857142857143
2,kcenter,7,cifar10_simclr,0.020833333333333332
2,kcenter,8,cifar10_simclr,0.012962962962962963
2,kcenter,9,cifar10_simclr,0.011666666666666667
3,random,1,cifar10_simclr,0.14166666666666666
3,random,2,cifar10_simclr,0.06111111111111111
3,random,3,cifar10_simclr,0.0375
3,random,4,cifar10_simclr,0.03
3,random,5,cifar10_simclr,0.025
3,random,6,cifar10_simclr,0.01904761904761905
3,random,7,cifar10_simclr,0.01875
3,random,8,cifar10_simclr,0.012962962962962963
3,random,9,cifar10_simclr,0.018333333333333333
3,margin,1,cifar10_simclr,0.375
3,margin,2,cifar10_simclr,0.16666666666666666
3,margin,3,cifar10_simclr,0.1875
3,margin,4,cifar10_simclr,0.14333333333333334
3,margin,5,cifar10_simclr,0.1
3,margin,6,cifar10_simclr,0.08095238095238096
3,margin,7,cifar10_simclr,0.08333333333333333
3,margin,8,cifar10_simclr,0.05555555555555555
3,margin,9,cifar10_simclr,0.06333333333333334
3,confidence,1,cifar10_simclr,0.36666666666666664
3,confidence,2,cifar10_simclr,0.2611111111111111
3,confidence,3,cifar10_simclr,0.2
3,confidence,4,cifar10_simclr,0.14666666666666667
3,confidence,5,cifar10_simclr,0.13333333333333333
3,confidence,6,cifar10_simclr,0.09047619047619047
3,confidence,7,cifar10_simclr,0.09166666666666666
3,confidence,8,cifar10_simclr,0.08333333333333333
3,confidence,9,cifar10_simclr,0.065
3,entropy,1,cifar10_simclr,0.36666666666666664
3,entropy,2,cifar10_simclr,0.28888888888888886
3,entropy,3,cifar10_simclr,0.19166666666666668
3,entropy,4,cifar10_simclr,0.15333333333333332
3,entropy,5,cifar10_simclr,0.1111111111111111
3,entropy,6,cifar10_simclr,0.11428571428571428
3,entropy,7,cifar10_simclr,0.08125
3,entropy,8,cifar10_simclr,0.08888888888888889
3,entropy,9,cifar10_simclr,0.07333333333333333
3,kmeans,1,cifar10_simclr,0.1
3,kmeans,2,cifar10_simclr,0.05
3,kmeans,3,cifar10_simclr,0.016666666666666666
3,kmeans,4,cifar10_simclr,0.02666666666666667
3,kmeans,5,cifar10_simclr,0.011111111111111112
3,kmeans,6,cifar10_simclr,0.007142857142857143
3,kmeans,7,cifar10_simclr,0.008333333333333333
3,kmeans,8,cifar10_simclr,0.011111111111111112
3,kmeans,9,cifar10_simclr,0.006666666666666667
3,wkmeans,1,cifar10_simclr,0.3
3,wkmeans,2,cifar10_simclr,0.2111111111111111
3,wkmeans,3,cifar10_simclr,0.15833333333333333
3,wkmeans,4,cifar10_simclr,0.12
3,wkmeans,5,cifar10_simclr,0.09444444444444444
3,wkmeans,6,cifar10_simclr,0.0880952380952381
3,wkmeans,7,cifar10_simclr,0.07291666666666667
3,wkmeans,8,cifar10_simclr,0.06481481481481481
3,wkmeans,9,cifar10_simclr,0.06833333333333333
3,iwkmeans,1,cifar10_simclr,0.35833333333333334
3,iwkmeans,2,cifar10_simclr,0.19444444444444445
3,iwkmeans,3,cifar10_simclr,0.14583333333333334
3,iwkmeans,4,cifar10_simclr,0.12
3,iwkmeans,5,cifar10_simclr,0.10555555555555556
3,iwkmeans,6,cifar10_simclr,0.07857142857142857
3,iwkmeans,7,cifar10_simclr,0.07916666666666666
3,iwkmeans,8,cifar10_simclr,0.07037037037037037
3,iwkmeans,9,cifar10_simclr,0.055
3,kcenter,1,cifar10_simclr,0.19166666666666668
3,kcenter,2,cifar10_simclr,0.06111111111111111
3,kcenter,3,cifar10_simclr,0.04583333333333333
3,kcenter,4,cifar10_simclr,0.03333333333333333
3,kcenter,5,cifar10_simclr,0.03888888888888889
3,kcenter,6,cifar10_simclr,0.030952380952380953
3,kcenter,7,cifar10_simclr,0.020833333333333332
3,kcenter,8,cifar10_simclr,0.022222222222222223
3,kcenter,9,cifar10_simclr,0.018333333333333333
4,random,1,cifar10_simclr,0.14166666666666666
4,random,2,cifar10_simclr,0.08333333333333333
4,random,3,cifar10_simclr,0.05
4,random,4,cifar10_simclr,0.023333333333333334
4,random,5,cifar10_simclr,0.019444444444444445
4,random,6,cifar10_simclr,0.011904761904761904
4,random,7,cifar10_simclr,0.0125
4,random,8,cifar10_simclr,0.012962962962962963
4,random,9,cifar10_simclr,0.016666666666666666
4,margin,1,cifar10_simclr,0.3
4,margin,2,cifar10_simclr,0.24444444444444444
4,margin,3,cifar10_simclr,0.15833333333333333
4,margin,4,cifar10_simclr,0.11333333333333333
4,margin,5,cifar10_simclr,0.11666666666666667
4,margin,6,cifar10_simclr,0.09047619047619047
4,margin,7,cifar10_simclr,0.08125
4,margin,8,cifar10_simclr,0.06481481481481481
4,margin,9,cifar10_simclr,0.051666666666666666
4,confidence,1,cifar10_simclr,0.4666666666666667
4,confidence,2,cifar10_simclr,0.26666666666666666
4,confidence,3,cifar10_simclr,0.19166666666666668
4,confidence,4,cifar10_simclr,0.13
4,confidence,5,cifar10_simclr,0.11388888888888889
4,confidence,6,cifar10_simclr,0.12142857142857143
4,confidence,7,cifar10_simclr,0.09375
4,confidence,8,cifar10_simclr,0.07777777777777778
4,confidence,9,cifar10_simclr,0.07
4,entropy,1,cifar10_simclr,0.4083333333333333
4,entropy,2,cifar10_simclr,0.2777777777777778
4,entropy,3,cifar10_simclr,0.19583333333333333
4,entropy,4,cifar10_simclr,0.15666666666666668
4,entropy,5,cifar10_simclr,0.10833333333333334
4,entropy,6,cifar10_simclr,0.10952380952380952
4,entropy,7,cifar10_simclr,0.09791666666666667
4,entropy,8,cifar10_simclr,0.08518518518518518
4,entropy,9,cifar10_simclr,0.07
4,kmeans,1,cifar10_simclr,0.1
4,kmeans,2,cifar10_simclr,0.05555555555555555
4,kmeans,3,cifar10_simclr,0.0375
4,kmeans,4,cifar10_simclr,0.023333333333333334
4,kmeans,5,cifar10_simclr,0.011111111111111112
4,kmeans,6,cifar10_simclr,0.011904761904761904
4,kmeans,7,cifar10_simclr,0.00625
4,kmeans,8,cifar10_simclr,0.016666666666666666
4,kmeans,9,cifar10_simclr,0.005
4,wkmeans,1,cifar10_simclr,0.36666666666666664
4,wkmeans,2,cifar10_simclr,0.20555555555555555
4,wkmeans,3,cifar10_simclr,0.15416666666666667
4,wkmeans,4,cifar10_simclr,0.10333333333333333
4,wkmeans,5,cifar10_simclr,0.11666666666666667
4,wkmeans,6,cifar10_simclr,0.10714285714285714
4,wkmeans,7,cifar10_simclr,0.06458333333333334
4,wkmeans,8,cifar10_simclr,0.06296296296296296
4,wkmeans,9,cifar10_simclr,0.06833333333333333
4,iwkmeans,1,cifar10_simclr,0.375
4,iwkmeans,2,cifar10_simclr,0.17222222222222222
4,iwkmeans,3,cifar10_simclr,0.14583333333333334
4,iwkmeans,4,cifar10_simclr,0.14666666666666667
4,iwkmeans,5,cifar10_simclr,0.09444444444444444
4,iwkmeans,6,cifar10_simclr,0.07857142857142857
4,iwkmeans,7,cifar10_simclr,0.06458333333333334
4,iwkmeans,8,cifar10_simclr,0.06851851851851852
4,iwkmeans,9,cifar10_simclr,0.05333333333333334
4,kcenter,1,cifar10_simclr,0.23333333333333334
4,kcenter,2,cifar10_simclr,0.06111111111111111
4,kcenter,3,cifar10_simclr,0.075
4,kcenter,4,cifar10_simclr,0.03
4,kcenter,5,cifar10_simclr,0.041666666666666664
4,kcenter,6,cifar10_simclr,0.023809523809523808
4,kcenter,7,cifar10_simclr,0.03333333333333333
4,kcenter,8,cifar10_simclr,0.022222222222222223
4,kcenter,9,cifar10_simclr,0.02
5,random,1,cifar10_simclr,0.08333333333333333
5,random,2,cifar10_simclr,0.1
5,random,3,cifar10_simclr,0.041666666666666664
5,random,4,cifar10_simclr,0.02666666666666667
5,random,5,cifar10_simclr,0.030555555555555555
5,random,6,cifar10_simclr,0.016666666666666666
5,random,7,cifar10_simclr,0.008333333333333333
5,random,8,cifar10_simclr,0.014814814814814815
5,random,9,cifar10_simclr,0.013333333333333334
5,margin,1,cifar10_simclr,0.39166666666666666
5,margin,2,cifar10_simclr,0.21666666666666667
5,margin,3,cifar10_simclr,0.17916666666666667
5,margin,4,cifar10_simclr,0.14
5,margin,5,cifar10_simclr,0.10277777777777777
5,margin,6,cifar10_simclr,0.08571428571428572
5,margin,7,cifar10_simclr,0.08125
5,margin,8,cifar10_simclr,0.06111111111111111
5,margin,9,cifar10_simclr,0.06
5,confidence,1,cifar10_simclr,0.4083333333333333
5,confidence,2,cifar10_simclr,0.26666666666666666
5,confidence,3,cifar10_simclr,0.19583333333333333
5,confidence,4,cifar10_simclr,0.14333333333333334
5,confidence,5,cifar10_simclr,0.14444444444444443
5,confidence,6,cifar10_simclr,0.10476190476190476
5,confidence,7,cifar10_simclr,0.0875
5,confidence,8,cifar10_simclr,0.07777777777777778
5,confidence,9,cifar10_simclr,0.08166666666666667
5,entropy,1,cifar10_simclr,0.375
5,entropy,2,cifar10_simclr,0.2611111111111111
5,entropy,3,cifar10_simclr,0.2
5,entropy,4,cifar10_simclr,0.14
5,entropy,5,cifar10_simclr,0.11944444444444445
5,entropy,6,cifar10_simclr,0.09285714285714286
5,entropy,7,cifar10_simclr,0.08541666666666667
5,entropy,8,cifar10_simclr,0.07407407407407407
5,entropy,9,cifar10_simclr,0.075
5,kmeans,1,cifar10_simclr,0.13333333333333333
5,kmeans,2,cifar10_simclr,0.03333333333333333
5,kmeans,3,cifar10_simclr,0.04583333333333333
5,kmeans,4,cifar10_simclr,0.023333333333333334
5,kmeans,5,cifar10_simclr,0.005555555555555556
5,kmeans,6,cifar10_simclr,0.014285714285714285
5,kmeans,7,cifar10_simclr,0.016666666666666666
5,kmeans,8,cifar10_simclr,0.007407407407407408
5,kmeans,9,cifar10_simclr,0.006666666666666667
5,wkmeans,1,cifar10_simclr,0.38333333333333336
5,wkmeans,2,cifar10_simclr,0.18888888888888888
5,wkmeans,3,cifar10_simclr,0.15416666666666667
5,wkmeans,4,cifar10_simclr,0.12
5,wkmeans,5,cifar10_simclr,0.10833333333333334
5,wkmeans,6,cifar10_simclr,0.10476190476190476
5,wkmeans,7,cifar10_simclr,0.075
5,wkmeans,8,cifar10_simclr,0.06296296296296296
5,wkmeans,9,cifar10_simclr,0.06333333333333334
5,iwkmeans,1,cifar10_simclr,0.325
5,iwkmeans,2,cifar10_simclr,0.20555555555555555
5,iwkmeans,3,cifar10_simclr,0.15
5,iwkmeans,4,cifar10_simclr,0.11
5,iwkmeans,5,cifar10_simclr,0.10277777777777777
5,iwkmeans,6,cifar10_simclr,0.10238095238095238
5,iwkmeans,7,cifar10_simclr,0.06666666666666667
5,iwkmeans,8,cifar10_simclr,0.05
5,iwkmeans,9,cifar10_simclr,0.06333333333333334
5,kcenter,1,cifar10_simclr,0.14166666666666666
5,kcenter,2,cifar10_simclr,0.06666666666666667
5,kcenter,3,cifar10_simclr,0.058333333333333334
5,kcenter,4,cifar10_simclr,0.03666666666666667
5,kcenter,5,cifar10_simclr,0.03888888888888889
5,kcenter,6,cifar10_simclr,0.023809523809523808
5,kcenter,7,cifar10_simclr,0.027083333333333334
5,kcenter,8,cifar10_simclr,0.02962962962962963
5,kcenter,9,cifar10_simclr,0.018333333333333333
6,random,1,cifar10_simclr,0.11666666666666667
6,random,2,cifar10_simclr,0.07222222222222222
6,random,3,cifar10_simclr,0.03333333333333333
6,random,4,cifar10_simclr,0.02666666666666667
6,random,5,cifar10_simclr,0.013888888888888888
6,random,6,cifar10_simclr,0.016666666666666666
6,random,7,cifar10_simclr,0.01875
6,random,8,cifar10_simclr,0.012962962962962963
6,random,9,cifar10_simclr,0.015
6,margin,1,cifar10_simclr,0.36666666666666664
6,margin,2,cifar10_simclr,0.19444444444444445
6,margin,3,cifar10_simclr,0.15
6,margin,4,cifar10_simclr,0.13333333333333333
6,margin,5,cifar10_simclr,0.11388888888888889
6,margin,6,cifar10_simclr,0.08333333333333333
6,margin,7,cifar10_simclr,0.07708333333333334
6,margin,8,cifar10_simclr,0.07407407407407407
6,margin,9,cifar10_simclr,0.055
6,confidence,1,cifar10_simclr,0.4083333333333333
6,confidence,2,cifar10_simclr,0.25555555555555554
6,confidence,3,cifar10_simclr,0.19583333333333333
6,confidence,4,cifar10_simclr,0.16333333333333333
6,confidence,5,cifar10_simclr,0.11666666666666667
6,confidence,6,cifar10_simclr,0.0880952380952381
6,confidence,7,cifar10_simclr,0.09791666666666667
6,confidence,8,cifar10_simclr,0.08148148148148149
6,confidence,9,cifar10_simclr,0.06833333333333333
6,entropy,1,cifar10_simclr,0.375
6,entropy,2,cifar10_simclr,0.2388888888888889
6,entropy,3,cifar10_simclr,0.175
6,entropy,4,cifar10_simclr,0.15
6,entropy,5,cifar10_simclr,0.12222222222222222
6,entropy,6,cifar10_simclr,0.09761904761904762
6,entropy,7,cifar10_simclr,0.08333333333333333
6,entropy,8,cifar10_simclr,0.08148148148148149
6,entropy,9,cifar10_simclr,0.058333333333333334
6,kmeans,1,cifar10_simclr,0.10833333333333334
6,kmeans,2,cifar10_simclr,0.06111111111111111
6,kmeans,3,cifar10_simclr,0.020833333333333332
6,kmeans,4,cifar10_simclr,0.013333333333333334
6,kmeans,5,cifar10_simclr,0.008333333333333333
6,kmeans,6,cifar10_simclr,0.011904761904761904
6,kmeans,7,cifar10_simclr,0.016666666666666666
6,kmeans,8,cifar10_simclr,0.005555555555555556
6,kmeans,9,cifar10_simclr,0.006666666666666667
