seed,method,n_iter,dataset,value
0,random,1,cifar10_simclr,0.7034166666666667
0,random,2,cifar10_simclr,0.8953333333333333
0,random,3,cifar10_simclr,0.90575
0,random,4,cifar10_simclr,0.9513333333333334
0,random,5,cifar10_simclr,0.9469166666666666
0,random,6,cifar10_simclr,0.9515
0,random,7,cifar10_simclr,0.95925
0,random,8,cifar10_simclr,0.9755
0,random,9,cifar10_simclr,0.9566666666666667
0,margin,1,cifar10_simclr,0.6720833333333334
0,margin,2,cifar10_simclr,0.8155
0,margin,3,cifar10_simclr,0.8645833333333334
0,margin,4,cifar10_simclr,0.8775833333333334
0,margin,5,cifar10_simclr,0.9125
0,margin,6,cifar10_simclr,0.8999166666666667
0,margin,7,cifar10_simclr,0.9491666666666667
0,margin,8,cifar10_simclr,0.9408333333333333
0,margin,9,cifar10_simclr,0.9475
0,confidence,1,cifar10_simclr,0.6729166666666667
0,confidence,2,cifar10_simclr,0.7519166666666667
0,confidence,3,cifar10_simclr,0.8365
0,confidence,4,cifar10_simclr,0.8695
0,confidence,5,cifar10_simclr,0.91175
0,confidence,6,cifar10_simclr,0.9344166666666667
0,confidence,7,cifar10_simclr,0.9474166666666667
0,confidence,8,cifar10_simclr,0.9449166666666666
0,confidence,9,cifar10_simclr,0.9504166666666667
0,entropy,1,cifar10_simclr,0.63625
0,entropy,2,cifar10_simclr,0.8045
0,entropy,3,cifar10_simclr,0.8216666666666667
0,entropy,4,cifar10_simclr,0.9039166666666667
0,entropy,5,cifar10_simclr,0.92025
0,entropy,6,cifar10_simclr,0.9291666666666667
0,entropy,7,cifar10_simclr,0.92925
0,entropy,8,cifar10_simclr,0.92425
0,entropy,9,cifar10_simclr,0.95025
0,kmeans,1,cifar10_simclr,0.6439166666666667
0,kmeans,2,cifar10_simclr,0.8469166666666667
0,kmeans,3,cifar10_simclr,0.90125
0,kmeans,4,cifar10_simclr,0.9415833333333333
0,kmeans,5,cifar10_simclr,0.95875
0,kmeans,6,cifar10_simclr,0.9665833333333333
0,kmeans,7,cifar10_simclr,0.9765833333333334
0,kmeans,8,cifar10_simclr,0.9746666666666667
0,kmeans,9,cifar10_simclr,0.97825
0,wkmeans,1,cifar10_simclr,0.60025
0,wkmeans,2,cifar10_simclr,0.8015833333333333
0,wkmeans,3,cifar10_simclr,0.8365833333333333
0,wkmeans,4,cifar10_simclr,0.8703333333333333
0,wkmeans,5,cifar10_simclr,0.9004166666666666
0,wkmeans,6,cifar10_simclr,0.92525
0,wkmeans,7,cifar10_simclr,0.9409166666666666
0,wkmeans,8,cifar10_simclr,0.958
0,wkmeans,9,cifar10_simclr,0.963
0,iwkmeans,1,cifar10_simclr,0.60625
0,iwkmeans,2,cifar10_simclr,0.78275
0,iwkmeans,3,cifar10_simclr,0.8615
0,iwkmeans,4,cifar10_simclr,0.9074166666666666
0,iwkmeans,5,cifar10_simclr,0.9320833333333334
0,iwkmeans,6,cifar10_simclr,0.929
0,iwkmeans,7,cifar10_simclr,0.95125
0,iwkmeans,8,cifar10_simclr,0.9549166666666666
0,iwkmeans,9,cifar10_simclr,0.9473333333333334
0,kcenter,1,cifar10_simclr,0.9890833333333333
0,kcenter,2,cifar10_simclr,0.9835833333333334
0,kcenter,3,cifar10_simclr,0.9801666666666666
0,kcenter,4,cifar10_simclr,0.9846666666666667
0,kcenter,5,cifar10_simclr,0.98625
0,kcenter,6,cifar10_simclr,0.98
0,kcenter,7,cifar10_simclr,0.9768333333333333
0,kcenter,8,cifar10_simclr,0.9874166666666667
0,kcenter,9,cifar10_simclr,0.9798333333333333
1,random,1,cifar10_simclr,0.7215833333333334
1,random,2,cifar10_simclr,0.85725
1,random,3,cifar10_simclr,0.9281666666666667
1,random,4,cifar10_simclr,0.9461666666666667
1,random,5,cifar10_simclr,0.92525
1,random,6,cifar10_simclr,0.9699166666666666
1,random,7,cifar10_simclr,0.9689166666666666
1,random,8,cifar10_simclr,0.969
1,random,9,cifar10_simclr,0.9581666666666667
1,margin,1,cifar10_simclr,0.6448333333333334
1,margin,2,cifar10_simclr,0.7973333333333333
1,margin,3,cifar10_simclr,0.8664166666666666
1,margin,4,cifar10_simclr,0.89375
1,margin,5,cifar10_simclr,0.9226666666666666
1,margin,6,cifar10_simclr,0.939
1,margin,7,cifar10_simclr,0.95225
1,margin,8,cifar10_simclr,0.95875
1,margin,9,cifar10_simclr,0.9546666666666667
1,confidence,1,cifar10_simclr,0.6933333333333334
1,confidence,2,cifar10_simclr,0.77025
1,confidence,3,cifar10_simclr,0.8323333333333334
1,confidence,4,cifar10_simclr,0.8586666666666667
1,confidence,5,cifar10_simclr,0.8976666666666666
1,confidence,6,cifar10_simclr,0.9323333333333333
1,confidence,7,cifar10_simclr,0.939
1,confidence,8,cifar10_simclr,0.94025
1,confidence,9,cifar10_simclr,0.942
1,entropy,1,cifar10_simclr,0.6685
1,entropy,2,cifar10_simclr,0.7704166666666666
1,entropy,3,cifar10_simclr,0.836
1,entropy,4,cifar10_simclr,0.8589166666666667
1,entropy,5,cifar10_simclr,0.9111666666666667
1,entropy,6,cifar10_simclr,0.9174166666666667
1,entropy,7,cifar10_simclr,0.9141666666666667
1,entropy,8,cifar10_simclr,0.94725
1,entropy,9,cifar10_simclr,0.9438333333333333
1,kmeans,1,cifar10_simclr,0.5594166666666667
1,kmeans,2,cifar10_simclr,0.8776666666666667
1,kmeans,3,cifar10_simclr,0.90825
1,kmeans,4,cifar10_simclr,0.9493333333333334
1,kmeans,5,cifar10_simclr,0.9541666666666667
1,kmeans,6,cifar10_simclr,0.9655833333333333
1,kmeans,7,cifar10_simclr,0.9661666666666666
1,kmeans,8,cifar10_simclr,0.97325
1,kmeans,9,cifar10_simclr,0.9801666666666666
1,wkmeans,1,cifar10_simclr,0.59075
1,wkmeans,2,cifar10_simclr,0.7631666666666667
1,wkmeans,3,cifar10_simclr,0.8528333333333333
1,wkmeans,4,cifar10_simclr,0.90925
1,wkmeans,5,cifar10_simclr,0.91275
1,wkmeans,6,cifar10_simclr,0.9163333333333333
1,wkmeans,7,cifar10_simclr,0.9395833333333333
1,wkmeans,8,cifar10_simclr,0.94225
1,wkmeans,9,cifar10_simclr,0.9549166666666666
1,iwkmeans,1,cifar10_simclr,0.6370833333333333
1,iwkmeans,2,cifar10_simclr,0.7728333333333334
1,iwkmeans,3,cifar10_simclr,0.8801666666666667
1,iwkmeans,4,cifar10_simclr,0.9038333333333334
1,iwkmeans,5,cifar10_simclr,0.92525
1,iwkmeans,6,cifar10_simclr,0.9393333333333334
1,iwkmeans,7,cifar10_simclr,0.9491666666666667
1,iwkmeans,8,cifar10_simclr,0.964
1,iwkmeans,9,cifar10_simclr,0.97125
1,kcenter,1,cifar10_simclr,0.9705
1,kcenter,2,cifar10_simclr,0.97775
1,kcenter,3,cifar10_simclr,0.9758333333333333
1,kcenter,4,cifar10_simclr,0.9779166666666667
1,kcenter,5,cifar10_simclr,0.9786666666666667
1,kcenter,6,cifar10_simclr,0.97825
1,kcenter,7,cifar10_simclr,0.9768333333333333
1,kcenter,8,cifar10_simclr,0.9848333333333333
1,kcenter,9,cifar10_simclr,0.9783333333333334
2,random,1,cifar10_simclr,0.7621666666666667
2,random,2,cifar10_simclr,0.8340833333333333
2,random,3,cifar10_simclr,0.9011666666666667
2,random,4,cifar10_simclr,0.9434166666666667
2,random,5,cifar10_simclr,0.9185833333333333
2,random,6,cifar10_simclr,0.9543333333333334
2,random,7,cifar10_simclr,0.9693333333333334
2,random,8,cifar10_simclr,0.9391666666666667
2,random,9,cifar10_simclr,0.953
2,margin,1,cifar10_simclr,0.6405
2,margin,2,cifar10_simclr,0.82
2,margin,3,cifar10_simclr,0.8550833333333333
2,margin,4,cifar10_simclr,0.8834166666666666
2,margin,5,cifar10_simclr,0.9293333333333333
2,margin,6,cifar10_simclr,0.9309166666666666
2,margin,7,cifar10_simclr,0.9376666666666666
2,margin,8,cifar10_simclr,0.9465
2,margin,9,cifar10_simclr,0.959
2,confidence,1,cifar10_simclr,0.6510833333333333
2,confidence,2,cifar10_simclr,0.7453333333333333
2,confidence,3,cifar10_simclr,0.8281666666666667
2,confidence,4,cifar10_simclr,0.8898333333333334
2,confidence,5,cifar10_simclr,0.9095
2,confidence,6,cifar10_simclr,0.9260833333333334
2,confidence,7,cifar10_simclr,0.9151666666666667
2,confidence,8,cifar10_simclr,0.9525
2,confidence,9,cifar10_simclr,0.9485833333333333
2,entropy,1,cifar10_simclr,0.66425
2,entropy,2,cifar10_simclr,0.7258333333333333
2,entropy,3,cifar10_simclr,0.8495
2,entropy,4,cifar10_simclr,0.8658333333333333
2,entropy,5,cifar10_simclr,0.89125
2,entropy,6,cifar10_simclr,0.9243333333333333
2,entropy,7,cifar10_simclr,0.9319166666666666
2,entropy,8,cifar10_simclr,0.9414166666666667
2,entropy,9,cifar10_simclr,0.9541666666666667
2,kmeans,1,cifar10_simclr,0.63975
2,kmeans,2,cifar10_simclr,0.8794166666666666
2,kmeans,3,cifar10_simclr,0.9250833333333334
2,kmeans,4,cifar10_simclr,0.94375
2,kmeans,5,cifar10_simclr,0.9516666666666667
2,kmeans,6,cifar10_simclr,0.9658333333333333
2,kmeans,7,cifar10_simclr,0.9748333333333333
2,kmeans,8,cifar10_simclr,0.9748333333333333
2,kmeans,9,cifar10_simclr,0.9745
2,wkmeans,1,cifar10_simclr,0.6096666666666667
2,wkmeans,2,cifar10_simclr,0.77475
2,wkmeans,3,cifar10_simclr,0.86625
2,wkmeans,4,cifar10_simclr,0.9074166666666666
2,wkmeans,5,cifar10_simclr,0.8995833333333333
2,wkmeans,6,cifar10_simclr,0.9224166666666667
2,wkmeans,7,cifar10_simclr,0.9365833333333333
2,wkmeans,8,cifar10_simclr,0.9399166666666666
2,wkmeans,9,cifar10_simclr,0.9505833333333333
2,iwkmeans,1,cifar10_simclr,0.6481666666666667
2,iwkmeans,2,cifar10_simclr,0.8160833333333334
2,iwkmeans,3,cifar10_simclr,0.8740833333333333
2,iwkmeans,4,cifar10_simclr,0.9069166666666667
2,iwkmeans,5,cifar10_simclr,0.9024166666666666
2,iwkmeans,6,cifar10_simclr,0.9364166666666667
2,iwkmeans,7,cifar10_simclr,0.9326666666666666
2,iwkmeans,8,cifar10_simclr,0.9515833333333333
2,iwkmeans,9,cifar10_simclr,0.96
2,kcenter,1,cifar10_simclr,0.9858333333333333
2,kcenter,2,cifar10_simclr,0.9806666666666667
2,kcenter,3,cifar10_simclr,0.9808333333333333
2,kcenter,4,cifar10_simclr,0.9825833333333334
2,kcenter,5,cifar10_simclr,0.98525
2,kcenter,6,cifar10_simclr,0.98225
2,kcenter,7,cifar10_simclr,0.975
2,kcenter,8,cifar10_simclr,0.9790833333333333
2,kcenter,9,cifar10_simclr,0.9548333333333333
3,random,1,cifar10_simclr,0.70575
3,random,2,cifar10_simclr,0.8133333333333334
3,random,3,cifar10_simclr,0.8995833333333333
3,random,4,cifar10_simclr,0.8926666666666667
3,random,5,cifar10_simclr,0.9481666666666667
3,random,6,cifar10_simclr,0.9375
3,random,7,cifar10_simclr,0.9715
3,random,8,cifar10_simclr,0.97225
3,random,9,cifar10_simclr,0.9730833333333333
3,margin,1,cifar10_simclr,0.604
3,margin,2,cifar10_simclr,0.80175
3,margin,3,cifar10_simclr,0.8691666666666666
3,margin,4,cifar10_simclr,0.862
3,margin,5,cifar10_simclr,0.91775
3,margin,6,cifar10_simclr,0.9363333333333334
3,margin,7,cifar10_simclr,0.9214166666666667
3,margin,8,cifar10_simclr,0.9379166666666666
3,margin,9,cifar10_simclr,0.9379166666666666
3,confidence,1,cifar10_simclr,0.6183333333333333
3,confidence,2,cifar10_simclr,0.71175
3,confidence,3,cifar10_simclr,0.8353333333333334
3,confidence,4,cifar10_simclr,0.9064166666666666
3,confidence,5,cifar10_simclr,0.9181666666666667
3,confidence,6,cifar10_simclr,0.9434166666666667
3,confidence,7,cifar10_simclr,0.956
3,confidence,8,cifar10_simclr,0.9446666666666667
3,confidence,9,cifar10_simclr,0.9525
3,entropy,1,cifar10_simclr,0.6268333333333334
3,entropy,2,cifar10_simclr,0.72525
3,entropy,3,cifar10_simclr,0.8175833333333333
3,entropy,4,cifar10_simclr,0.91375
3,entropy,5,cifar10_simclr,0.91875
3,entropy,6,cifar10_simclr,0.9294166666666667
3,entropy,7,cifar10_simclr,0.9491666666666667
3,entropy,8,cifar10_simclr,0.9484166666666667
3,entropy,9,cifar10_simclr,0.9524166666666667
3,kmeans,1,cifar10_simclr,0.5699166666666666
3,kmeans,2,cifar10_simclr,0.8386666666666667
3,kmeans,3,cifar10_simclr,0.9155833333333333
3,kmeans,4,cifar10_simclr,0.9445833333333333
3,kmeans,5,cifar10_simclr,0.9621666666666666
