seed,method,n_iter,dataset,value
0,random,0,mnist,0.7428571428571429
0,random,1,mnist,0.7785714285714286
0,random,2,mnist,0.8238095238095238
0,random,3,mnist,0.8642857142857143
0,random,4,mnist,0.8885714285714286
0,random,5,mnist,0.8857142857142857
0,random,6,mnist,0.9
0,random,7,mnist,0.9142857142857143
0,random,8,mnist,0.9079365079365079
0,random,9,mnist,0.9085714285714286
0,margin,0,mnist,0.7428571428571429
0,margin,1,mnist,0.7357142857142858
0,margin,2,mnist,0.7619047619047619
0,margin,3,mnist,0.7535714285714286
0,margin,4,mnist,0.76
0,margin,5,mnist,0.7619047619047619
0,margin,6,mnist,0.7612244897959184
0,margin,7,mnist,0.7625
0,margin,8,mnist,0.7587301587301587
0,margin,9,mnist,0.7685714285714286
0,confidence,0,mnist,0.7428571428571429
0,confidence,1,mnist,0.7357142857142858
0,confidence,2,mnist,0.7238095238095238
0,confidence,3,mnist,0.7428571428571429
0,confidence,4,mnist,0.74
0,confidence,5,mnist,0.7238095238095238
0,confidence,6,mnist,0.7326530612244898
0,confidence,7,mnist,0.7446428571428572
0,confidence,8,mnist,0.7619047619047619
0,confidence,9,mnist,0.7442857142857143
0,entropy,0,mnist,0.7428571428571429
0,entropy,1,mnist,0.7214285714285714
0,entropy,2,mnist,0.7523809523809524
0,entropy,3,mnist,0.7357142857142858
0,entropy,4,mnist,0.7228571428571429
0,entropy,5,mnist,0.7238095238095238
0,entropy,6,mnist,0.7244897959183674
0,entropy,7,mnist,0.7375
0,entropy,8,mnist,0.7380952380952381
0,entropy,9,mnist,0.7414285714285714
0,kmeans,0,mnist,0.7428571428571429
0,kmeans,1,mnist,0.8928571428571429
0,kmeans,2,mnist,0.9333333333333333
0,kmeans,3,mnist,0.9464285714285714
0,kmeans,4,mnist,0.9657142857142857
0,kmeans,5,mnist,0.9714285714285714
0,kmeans,6,mnist,0.9734693877551021
0,kmeans,7,mnist,0.9732142857142857
0,kmeans,8,mnist,0.9793650793650793
0,kmeans,9,mnist,0.9814285714285714
0,wkmeans,0,mnist,0.7428571428571429
0,wkmeans,1,mnist,0.7785714285714286
0,wkmeans,2,mnist,0.7714285714285715
0,wkmeans,3,mnist,0.7892857142857143
0,wkmeans,4,mnist,0.7857142857142857
0,wkmeans,5,mnist,0.7952380952380952
0,wkmeans,6,mnist,0.8
0,wkmeans,7,mnist,0.7946428571428571
0,wkmeans,8,mnist,0.8095238095238095
0,wkmeans,9,mnist,0.8
0,iwkmeans,0,mnist,0.7428571428571429
0,iwkmeans,1,mnist,0.7928571428571428
0,iwkmeans,2,mnist,0.7952380952380952
0,iwkmeans,3,mnist,0.7892857142857143
0,iwkmeans,4,mnist,0.7742857142857142
0,iwkmeans,5,mnist,0.7833333333333333
0,iwkmeans,6,mnist,0.7714285714285715
0,iwkmeans,7,mnist,0.8
0,iwkmeans,8,mnist,0.807936507936508
0,iwkmeans,9,mnist,0.8285714285714286
0,kcenter,0,mnist,0.7428571428571429
0,kcenter,1,mnist,0.7642857142857142
0,kcenter,2,mnist,0.7761904761904762
0,kcenter,3,mnist,0.8071428571428572
0,kcenter,4,mnist,0.7971428571428572
0,kcenter,5,mnist,0.8047619047619048
0,kcenter,6,mnist,0.8367346938775511
0,kcenter,7,mnist,0.8464285714285714
0,kcenter,8,mnist,0.8539682539682539
0,kcenter,9,mnist,0.8528571428571429
1,random,0,mnist,0.7142857142857143
1,random,1,mnist,0.8
1,random,2,mnist,0.8571428571428571
1,random,3,mnist,0.8714285714285714
1,random,4,mnist,0.8914285714285715
1,random,5,mnist,0.9047619047619048
1,random,6,mnist,0.9061224489795918
1,random,7,mnist,0.9053571428571429
1,random,8,mnist,0.8968253968253969
1,random,9,mnist,0.9071428571428571
1,margin,0,mnist,0.7142857142857143
1,margin,1,mnist,0.7571428571428571
