seed,method,n_iter,dataset,value
0,random,0,mnist,0.0
0,random,1,mnist,0.6000190256258757
0,random,2,mnist,0.6396185951026545
0,random,3,mnist,0.2780347430352458
0,random,4,mnist,0.38410494116284916
0,random,5,mnist,0.38305262352866826
0,random,6,mnist,0.3921921870011918
0,random,7,mnist,0.25272064473696443
0,random,8,mnist,0.36002212943347156
0,random,9,mnist,0.3095424546911703
0,margin,0,mnist,0.0
0,margin,1,mnist,0.9931407821317758
0,margin,2,mnist,0.5447159586631797
0,margin,3,mnist,0.47889853502382856
0,margin,4,mnist,0.4107585368583444
0,margin,5,mnist,0.3723805370398544
0,margin,6,mnist,0.2027770818605062
0,margin,7,mnist,0.34494238313017866
0,margin,8,mnist,0.32545202160863707
0,margin,9,mnist,0.25713882712699454
0,confidence,0,mnist,0.0
0,confidence,1,mnist,0.6542364373373093
0,confidence,2,mnist,0.4893109955643112
0,confidence,3,mnist,0.3899700006662568
0,confidence,4,mnist,0.2976159431241069
0,confidence,5,mnist,0.3922232511708334
0,confidence,6,mnist,0.46305486082779534
0,confidence,7,mnist,0.3899500297805877
0,confidence,8,mnist,0.3316078191839986
0,confidence,9,mnist,0.3122237434507727
0,entropy,0,mnist,0.0
0,entropy,1,mnist,0.8648228827206329
0,entropy,2,mnist,0.5732008845124726
0,entropy,3,mnist,0.577202586911814
0,entropy,4,mnist,0.3350804560796339
0,entropy,5,mnist,0.5301745665310806
0,entropy,6,mnist,0.4866382589361604
0,entropy,7,mnist,0.36609010291465693
0,entropy,8,mnist,0.36827350193168185
0,entropy,9,mnist,0.24877134523528713
0,kmeans,0,mnist,0.0
0,kmeans,1,mnist,0.6214838016437739
0,kmeans,2,mnist,0.3040813270300458
0,kmeans,3,mnist,0.33680606042021105
0,kmeans,4,mnist,0.24428343674789227
0,kmeans,5,mnist,0.23709771571452137
0,kmeans,6,mnist,0.2354973031265257
0,kmeans,7,mnist,0.19059784470404323
0,kmeans,8,mnist,0.2391183926437696
0,kmeans,9,mnist,0.21558019269561104
0,wkmeans,0,mnist,0.0
0,wkmeans,1,mnist,0.9743634258682546
0,wkmeans,2,mnist,0.5856219681339454
0,wkmeans,3,mnist,0.46204335390849666
0,wkmeans,4,mnist,0.2932247911678837
0,wkmeans,5,mnist,0.3015587831628965
0,wkmeans,6,mnist,0.33194831757098786
0,wkmeans,7,mnist,0.21319897283981146
0,wkmeans,8,mnist,0.2206915777219565
0,wkmeans,9,mnist,0.1963776073461605
0,iwkmeans,0,mnist,0.0
0,iwkmeans,1,mnist,0.82315925327649
0,iwkmeans,2,mnist,0.5869724555617281
0,iwkmeans,3,mnist,0.44873867862618816
0,iwkmeans,4,mnist,0.45318651002536087
0,iwkmeans,5,mnist,0.3789545098021994
0,iwkmeans,6,mnist,0.34964182454048665
0,iwkmeans,7,mnist,0.47953176716474066
0,iwkmeans,8,mnist,0.3227412717221576
0,iwkmeans,9,mnist,0.2982656561207282
0,kcenter,0,mnist,0.0
0,kcenter,1,mnist,0.8662794783051653
0,kcenter,2,mnist,0.6211422654357843
0,kcenter,3,mnist,0.45875171840745665
0,kcenter,4,mnist,0.3212782856766362
0,kcenter,5,mnist,0.35232331062692257
0,kcenter,6,mnist,0.22347231848028698
0,kcenter,7,mnist,0.14553992501000268
0,kcenter,8,mnist,0.1423017356604045
0,kcenter,9,mnist,0.2234500693061088
1,random,0,mnist,0.0
1,random,1,mnist,0.9529293468097334
1,random,2,mnist,0.6677248436442754
1,random,3,mnist,0.5295196930289431
1,random,4,mnist,0.36665054914738565
1,random,5,mnist,0.2606908708816834
1,random,6,mnist,0.3590612117425317
1,random,7,mnist,0.24483071772594642
1,random,8,mnist,0.30649270515281496
1,random,9,mnist,0.23004955140581726
1,margin,0,mnist,0.0
1,margin,1,mnist,1.0288855830422494
1,margin,2,mnist,0.6635879752582469
1,margin,3,mnist,0.6095259639488287
1,margin,4,mnist,0.32222620821603454
1,margin,5,mnist,0.32769688415940706
1,margin,6,mnist,0.45444354900137374
1,margin,7,mnist,0.395314049145869
1,margin,8,mnist,0.28622096465293523
1,margin,9,mnist,0.2885275108563025
1,confidence,0,mnist,0.0
1,confidence,1,mnist,1.296911394263428
1,confidence,2,mnist,0.6729247047074545
1,confidence,3,mnist,0.5372941823551572
1,confidence,4,mnist,0.5470577675862374
1,confidence,5,mnist,0.4837535978224165
1,confidence,6,mnist,0.27468485220718464
1,confidence,7,mnist,0.476390853341372
1,confidence,8,mnist,0.29425740993836635
1,confidence,9,mnist,0.31942216643281585
1,entropy,0,mnist,0.0
1,entropy,1,mnist,1.4661117645321222
1,entropy,2,mnist,0.5201464172616694
1,entropy,3,mnist,0.6728676872831321
1,entropy,4,mnist,0.40780207813857106
1,entropy,5,mnist,0.2553735399555678
1,entropy,6,mnist,0.45639222466427737
1,entropy,7,mnist,0.4123924037867804
1,entropy,8,mnist,0.3078058604875006
1,entropy,9,mnist,0.40706720208078623
1,kmeans,0,mnist,0.0
1,kmeans,1,mnist,0.6368015987143016
1,kmeans,2,mnist,0.4731886165843161
1,kmeans,3,mnist,0.32141104774951634
1,kmeans,4,mnist,0.21649539317779043
1,kmeans,5,mnist,0.2507203378716
1,kmeans,6,mnist,0.20187661593704956
1,kmeans,7,mnist,0.25233111905310013
1,kmeans,8,mnist,0.1609753730538018
