seed,method,n_iter,dataset,value
0,random,1,mnist,0.7567857142857143
0,random,2,mnist,0.857
0,random,3,mnist,0.9245
0,random,4,mnist,0.9433571428571429
0,random,5,mnist,0.9665
0,random,6,mnist,0.9628571428571429
0,random,7,mnist,0.9756428571428571
0,random,8,mnist,0.9822857142857143
0,random,9,mnist,0.9807142857142858
0,margin,1,mnist,0.7474285714285714
0,margin,2,mnist,0.8625714285714285
0,margin,3,mnist,0.8962142857142857
0,margin,4,mnist,0.9117857142857143
0,margin,5,mnist,0.9527857142857142
0,margin,6,mnist,0.9427142857142857
0,margin,7,mnist,0.9622857142857143
0,margin,8,mnist,0.9665
0,margin,9,mnist,0.9724285714285714
0,confidence,1,mnist,0.7692142857142857
0,confidence,2,mnist,0.8431428571428572
0,confidence,3,mnist,0.8974285714285715
0,confidence,4,mnist,0.9172857142857143
0,confidence,5,mnist,0.9345714285714286
0,confidence,6,mnist,0.953
0,confidence,7,mnist,0.9564285714285714
0,confidence,8,mnist,0.9647142857142857
0,confidence,9,mnist,0.9673571428571428
0,entropy,1,mnist,0.8020714285714285
0,entropy,2,mnist,0.839
0,entropy,3,mnist,0.9003571428571429
0,entropy,4,mnist,0.9101428571428571
0,entropy,5,mnist,0.937
0,entropy,6,mnist,0.9577857142857142
0,entropy,7,mnist,0.9515
0,entropy,8,mnist,0.9580714285714286
0,entropy,9,mnist,0.9679285714285715
0,kmeans,1,mnist,0.7337142857142858
0,kmeans,2,mnist,0.9184285714285715
0,kmeans,3,mnist,0.954
0,kmeans,4,mnist,0.9702857142857143
0,kmeans,5,mnist,0.9772142857142857
0,kmeans,6,mnist,0.9807857142857143
0,kmeans,7,mnist,0.9839285714285714
0,kmeans,8,mnist,0.9879285714285714
0,kmeans,9,mnist,0.9867142857142858
0,wkmeans,1,mnist,0.6992142857142857
0,wkmeans,2,mnist,0.8616428571428572
0,wkmeans,3,mnist,0.9260714285714285
0,wkmeans,4,mnist,0.9354285714285714
0,wkmeans,5,mnist,0.9548571428571428
0,wkmeans,6,mnist,0.9604285714285714
0,wkmeans,7,mnist,0.9629285714285715
0,wkmeans,8,mnist,0.9682142857142857
0,wkmeans,9,mnist,0.9751428571428571
0,iwkmeans,1,mnist,0.713
0,iwkmeans,2,mnist,0.8745
0,iwkmeans,3,mnist,0.9106428571428572
0,iwkmeans,4,mnist,0.9393571428571429
0,iwkmeans,5,mnist,0.9648571428571429
0,iwkmeans,6,mnist,0.9644285714285714
0,iwkmeans,7,mnist,0.9680714285714286
0,iwkmeans,8,mnist,0.9745714285714285
0,iwkmeans,9,mnist,0.9785
0,kcenter,1,mnist,0.9349285714285714
0,kcenter,2,mnist,0.9375
0,kcenter,3,mnist,0.9506428571428571
0,kcenter,4,mnist,0.9584285714285714
0,kcenter,5,mnist,0.9788571428571429
0,kcenter,6,mnist,0.9752857142857143
0,kcenter,7,mnist,0.9742857142857143
0,kcenter,8,mnist,0.9759285714285715
0,kcenter,9,mnist,0.979
1,random,1,mnist,0.7974285714285714
1,random,2,mnist,0.8882142857142857
1,random,3,mnist,0.9235714285714286
1,random,4,mnist,0.9476428571428571
1,random,5,mnist,0.9619285714285715
1,random,6,mnist,0.9605714285714285
1,random,7,mnist,0.9712857142857143
1,random,8,mnist,0.9742142857142857
1,random,9,mnist,0.9798571428571429
1,margin,1,mnist,0.7517142857142857
1,margin,2,mnist,0.8615714285714285
1,margin,3,mnist,0.9115714285714286
1,margin,4,mnist,0.9224285714285714
1,margin,5,mnist,0.9548571428571428
1,margin,6,mnist,0.9457857142857143
1,margin,7,mnist,0.9662857142857143
1,margin,8,mnist,0.9704285714285714
1,margin,9,mnist,0.9745714285714285
1,confidence,1,mnist,0.7556428571428572
1,confidence,2,mnist,0.8557857142857143
1,confidence,3,mnist,0.9001428571428571
1,confidence,4,mnist,0.9188571428571428
1,confidence,5,mnist,0.9462857142857143
1,confidence,6,mnist,0.9438571428571428
1,confidence,7,mnist,0.9467142857142857
1,confidence,8,mnist,0.9672857142857143
1,confidence,9,mnist,0.9653571428571428
1,entropy,1,mnist,0.7677857142857143
1,entropy,2,mnist,0.8659285714285714
1,entropy,3,mnist,0.8950714285714285
1,entropy,4,mnist,0.908
1,entropy,5,mnist,0.9376428571428571
1,entropy,6,mnist,0.94
1,entropy,7,mnist,0.9387857142857143
1,entropy,8,mnist,0.9555714285714285
1,entropy,9,mnist,0.9596428571428571
1,kmeans,1,mnist,0.7365714285714285
1,kmeans,2,mnist,0.9247857142857143
1,kmeans,3,mnist,0.9623571428571429
1,kmeans,4,mnist,0.967
1,kmeans,5,mnist,0.9773571428571428
1,kmeans,6,mnist,0.9826428571428572
1,kmeans,7,mnist,0.9840714285714286
1,kmeans,8,mnist,0.9851428571428571
1,kmeans,9,mnist,0.9855714285714285
1,wkmeans,1,mnist,0.7169285714285715
1,wkmeans,2,mnist,0.853
1,wkmeans,3,mnist,0.9130714285714285
1,wkmeans,4,mnist,0.934
1,wkmeans,5,mnist,0.9478571428571428
1,wkmeans,6,mnist,0.9585714285714285
1,wkmeans,7,mnist,0.9550714285714286
1,wkmeans,8,mnist,0.9662857142857143
1,wkmeans,9,mnist,0.9745
1,iwkmeans,1,mnist,0.7429285714285714
1,iwkmeans,2,mnist,0.8461428571428572
1,iwkmeans,3,mnist,0.9192857142857143
1,iwkmeans,4,mnist,0.9338571428571428
1,iwkmeans,5,mnist,0.9461428571428572
1,iwkmeans,6,mnist,0.9674285714285714
1,iwkmeans,7,mnist,0.9635
1,iwkmeans,8,mnist,0.9769285714285715
1,iwkmeans,9,mnist,0.9758571428571429
1,kcenter,1,mnist,0.9392857142857143
1,kcenter,2,mnist,0.9508571428571428
1,kcenter,3,mnist,0.9543571428571429
1,kcenter,4,mnist,0.9725
1,kcenter,5,mnist,0.9799285714285715
1,kcenter,6,mnist,0.9835714285714285
1,kcenter,7,mnist,0.9725714285714285
1,kcenter,8,mnist,0.9704285714285714
1,kcenter,9,mnist,0.9784285714285714
2,random,1,mnist,0.8362857142857143
2,random,2,mnist,0.9015
2,random,3,mnist,0.9319285714285714
2,random,4,mnist,0.9497857142857142
2,random,5,mnist,0.9545
2,random,6,mnist,0.9684285714285714
2,random,7,mnist,0.9740714285714286
2,random,8,mnist,0.9727857142857143
2,random,9,mnist,0.982
2,margin,1,mnist,0.8035
2,margin,2,mnist,0.8641428571428571
2,margin,3,mnist,0.9208571428571428
2,margin,4,mnist,0.9324285714285714
2,margin,5,mnist,0.9454285714285714
2,margin,6,mnist,0.9575714285714285
2,margin,7,mnist,0.963
2,margin,8,mnist,0.9652857142857143
2,margin,9,mnist,0.9647857142857142
2,confidence,1,mnist,0.8441428571428572
2,confidence,2,mnist,0.8493571428571428
2,confidence,3,mnist,0.9134285714285715
2,confidence,4,mnist,0.9256428571428571
2,confidence,5,mnist,0.9536428571428571
2,confidence,6,mnist,0.9555
2,confidence,7,mnist,0.9592142857142857
2,confidence,8,mnist,0.9606428571428571
2,confidence,9,mnist,0.969
2,entropy,1,mnist,0.8597857142857143
