seed,method,n_iter,dataset,value
0,random,0,mnist,0.0
0,random,1,mnist,0.2662134832469374
0,random,2,mnist,0.4680183427965281
0,random,3,mnist,0.6491592218324479
0,random,4,mnist,0.8216355866035612
0,random,5,mnist,0.9888563488842185
0,random,6,mnist,1.1957854691399283
0,random,7,mnist,1.4100320496470642
0,random,8,mnist,1.567589509728352
0,random,9,mnist,1.7241867581393837
0,margin,0,mnist,0.0
0,margin,1,mnist,0.2495357352936076
0,margin,2,mnist,0.42373817885620313
0,margin,3,mnist,0.6117022664859363
0,margin,4,mnist,0.8244784231269014
0,margin,5,mnist,0.9772270756297813
0,margin,6,mnist,1.1818553191599648
0,margin,7,mnist,1.349911201781319
0,margin,8,mnist,1.532448853202198
0,margin,9,mnist,1.7293216407113183
0,confidence,0,mnist,0.0
0,confidence,1,mnist,0.2940519335896358
0,confidence,2,mnist,0.5063760208766744
0,confidence,3,mnist,0.6700865410945563
0,confidence,4,mnist,0.8695392365643517
0,confidence,5,mnist,1.026116839532811
0,confidence,6,mnist,1.206402345433326
0,confidence,7,mnist,1.4359475976948437
0,confidence,8,mnist,1.6264259957518377
0,confidence,9,mnist,1.8164386360690596
0,entropy,0,mnist,0.0
0,entropy,1,mnist,0.2812146372794567
0,entropy,2,mnist,0.46450290993852883
0,entropy,3,mnist,0.6989373231230888
0,entropy,4,mnist,0.8917502811204223
0,entropy,5,mnist,1.0590595670843617
0,entropy,6,mnist,1.2699367714082754
0,entropy,7,mnist,1.4054096093232393
0,entropy,8,mnist,1.6184054892813313
0,entropy,9,mnist,1.7856282674516049
0,kmeans,0,mnist,0.0
0,kmeans,1,mnist,0.25371466738027887
0,kmeans,2,mnist,0.43598269557610386
0,kmeans,3,mnist,0.6046653686869348
0,kmeans,4,mnist,0.7722133582562721
0,kmeans,5,mnist,0.937638670029445
0,kmeans,6,mnist,1.0938848644975447
0,kmeans,7,mnist,1.2484592002304358
0,kmeans,8,mnist,1.4309052053404594
0,kmeans,9,mnist,1.5822539130307625
0,wkmeans,0,mnist,0.0
0,wkmeans,1,mnist,0.27140817460751704
0,wkmeans,2,mnist,0.44386378509217483
0,wkmeans,3,mnist,0.6220049779117083
0,wkmeans,4,mnist,0.8069797923031933
0,wkmeans,5,mnist,0.9775647536718031
0,wkmeans,6,mnist,1.1360538954781534
0,wkmeans,7,mnist,1.3225732389998952
0,wkmeans,8,mnist,1.4929041510583123
0,wkmeans,9,mnist,1.6367052799443869
0,iwkmeans,0,mnist,0.0
0,iwkmeans,1,mnist,0.26187338073837607
0,iwkmeans,2,mnist,0.42202121411232707
0,iwkmeans,3,mnist,0.6071173946443184
0,iwkmeans,4,mnist,0.7467193795365041
0,iwkmeans,5,mnist,0.8949554249918406
0,iwkmeans,6,mnist,1.0282106335773522
0,iwkmeans,7,mnist,1.1870697704038216
0,iwkmeans,8,mnist,1.3915936160826528
0,iwkmeans,9,mnist,1.584534914238277
0,kcenter,0,mnist,0.0
0,kcenter,1,mnist,0.2198795170748097
