seed,method,n_iter,dataset,value
0,random,0,42803,1.1024178339803905
0,random,1,42803,1.0849835150174127
0,random,2,42803,1.102523010923475
0,random,3,42803,1.1138121506057663
0,random,4,42803,1.1254456084513813
0,random,5,42803,1.1077511172644565
0,random,6,42803,1.1105668753498488
0,random,7,42803,1.1148848138422571
0,random,8,42803,1.1287118339689197
0,random,9,42803,1.1303229904505319
0,margin,0,42803,0.9921283367976161
0,margin,1,42803,0.9884903006560068
0,margin,2,42803,0.9996548983199113
0,margin,3,42803,0.9911177832776993
0,margin,4,42803,1.0080217935546218
0,margin,5,42803,0.9936911946744941
0,margin,6,42803,0.9973956628391801
0,margin,7,42803,1.0037931113620677
0,margin,8,42803,0.9922475814262438
0,margin,9,42803,0.9946809355167796
0,confidence,0,42803,0.9048694555627008
0,confidence,1,42803,0.9680108859729241
0,confidence,2,42803,0.9704813930842896
0,confidence,3,42803,0.9287931599888931
0,confidence,4,42803,0.977800752258408
0,confidence,5,42803,0.9722859953236459
0,confidence,6,42803,0.9192276076055858
0,confidence,7,42803,0.987514190537793
0,confidence,8,42803,0.9647877627451118
0,confidence,9,42803,0.9902393945794878
0,entropy,0,42803,0.9031621163784286
0,entropy,1,42803,0.9952805250018174
0,entropy,2,42803,1.0077127506350838
0,entropy,3,42803,0.9884943856932852
0,entropy,4,42803,0.9613630670369351
0,entropy,5,42803,0.9754526594328917
0,entropy,6,42803,0.9848810288174741
0,entropy,7,42803,0.9831010489044059
0,entropy,8,42803,1.0174213667430987
0,entropy,9,42803,0.9909218239160567
0,kmeans,0,42803,1.0823320296696857
0,kmeans,1,42803,1.1070784678985897
0,kmeans,2,42803,1.097488767285183
0,kmeans,3,42803,1.1651383372108521
0,kmeans,4,42803,1.172661058205503
0,kmeans,5,42803,1.1705068276923378
0,kmeans,6,42803,1.1526750429352004
0,kmeans,7,42803,1.161765792026294
0,kmeans,8,42803,1.1666051394439452
0,kmeans,9,42803,1.178283092729972
0,wkmeans,0,42803,1.020284183668376
0,wkmeans,1,42803,0.9888377726099433
0,wkmeans,2,42803,0.9819078966524478
0,wkmeans,3,42803,0.9931103854854311
0,wkmeans,4,42803,0.9999780448645255
0,wkmeans,5,42803,0.9893532061404148
0,wkmeans,6,42803,1.003202710381981
0,wkmeans,7,42803,0.9997220618010556
0,wkmeans,8,42803,0.99536278569668
0,wkmeans,9,42803,0.9756827089202086
1,random,0,42803,1.1052258871214125
1,random,1,42803,1.13323941683673
1,random,2,42803,1.1267271478493903
1,random,3,42803,1.1179184394751858
1,random,4,42803,1.1207334612465711
1,random,5,42803,1.126983796488699
1,random,6,42803,1.1385972629623555
1,random,7,42803,1.1265919003227602
1,random,8,42803,1.1238116767757307
1,random,9,42803,1.1267067093889316
1,margin,0,42803,1.0202242652204965
1,margin,1,42803,1.0122023119220245
1,margin,2,42803,1.010967290342559
1,margin,3,42803,1.007721745530844
1,margin,4,42803,1.0135937769778625
1,margin,5,42803,1.0030760907801186
1,margin,6,42803,1.0649437527135885
1,margin,7,42803,0.9861837453324676
1,margin,8,42803,0.9834492469742043
1,margin,9,42803,0.9910050865514727
1,confidence,0,42803,0.9069155675895153
1,confidence,1,42803,0.9703136915803963
1,confidence,2,42803,0.9801870162067696
1,confidence,3,42803,0.9772160228414781
1,confidence,4,42803,0.958252313183691
1,confidence,5,42803,0.9643415051995523
1,confidence,6,42803,0.9575781795733316
1,confidence,7,42803,0.9725151414923653
1,confidence,8,42803,0.9841389566082518
1,confidence,9,42803,0.9745954069507679
1,entropy,0,42803,0.9112412825678694
1,entropy,1,42803,0.9601282966119479
1,entropy,2,42803,0.9751371081879617
1,entropy,3,42803,0.980065514002582
1,entropy,4,42803,0.9834611039259066
1,entropy,5,42803,0.9815262021911427
1,entropy,6,42803,0.9730977787645848
1,entropy,7,42803,0.9789424579777417
1,entropy,8,42803,0.9883541479332479
1,entropy,9,42803,0.9850079437978697
1,kmeans,0,42803,1.089224257771505
1,kmeans,1,42803,1.0952827280844855
1,kmeans,2,42803,1.1081412087684006
1,kmeans,3,42803,1.119709003967972
1,kmeans,4,42803,1.1390914786292987
1,kmeans,5,42803,1.1059604348879664
1,kmeans,6,42803,1.1426813739709056
1,kmeans,7,42803,1.1588894451333038
1,kmeans,8,42803,1.147718252727467
1,kmeans,9,42803,1.150002757425817
1,wkmeans,0,42803,0.985903582412134
1,wkmeans,1,42803,1.006891255060119
1,wkmeans,2,42803,1.0145096867313526
1,wkmeans,3,42803,0.9803525945543915
1,wkmeans,4,42803,1.005056478987723
1,wkmeans,5,42803,1.0042912771947825
1,wkmeans,6,42803,0.999811836619462
1,wkmeans,7,42803,0.9921855476137024
1,wkmeans,8,42803,0.9966688082306671
1,wkmeans,9,42803,0.9869982260924617
2,random,0,42803,1.096004036739756
2,random,1,42803,1.1100242960444109
2,random,2,42803,1.1183410267519058
2,random,3,42803,1.1280121145032231
2,random,4,42803,1.143490793293184
