seed,method,n_iter,dataset,value
0,random,0,42803,1.0796039506113422
0,random,1,42803,1.0600639325900802
0,random,2,42803,1.0692563802624324
0,random,3,42803,1.0745153901499538
0,random,4,42803,1.0765532369738506
0,random,5,42803,1.0818707313913931
0,random,6,42803,1.086530271357475
0,random,7,42803,1.091122702331868
0,random,8,42803,1.093284932346006
0,random,9,42803,1.1072164562165574
0,margin,0,42803,1.0796039506113422
0,margin,1,42803,1.0573153457629694
0,margin,2,42803,1.0410319234747458
0,margin,3,42803,1.0332286270036564
0,margin,4,42803,1.03989614756295
0,margin,5,42803,1.0336427335091272
0,margin,6,42803,6004158986.805668
0,margin,7,42803,5253639113.58032
0,margin,8,42803,4553132323.819628
0,margin,9,42803,4097819091.5370092
0,confidence,0,42803,1.0796039506113422
0,confidence,1,42803,1.0491612034796811
0,confidence,2,42803,1.027059142000711
0,confidence,3,42803,1.0201418902695847
0,confidence,4,42803,6560512111.683425
0,confidence,5,42803,4948316120.878114
0,confidence,6,42803,3756035512.0096855
0,confidence,7,42803,2050142250.4237685
0,confidence,8,42803,1822348667.1520772
0,confidence,9,42803,1640113800.5384777
0,entropy,0,42803,1.0796039506113422
0,entropy,1,42803,1.0608943811324767
0,entropy,2,42803,1.0406259960351587
0,entropy,3,42803,0.9851733213751241
0,entropy,4,42803,1032664245.1429616
0,entropy,5,42803,4277457286.861223
0,entropy,6,42803,3666391960.3161654
0,entropy,7,42803,3208092965.3997364
0,entropy,8,42803,2851638191.5807242
0,entropy,9,42803,2566474372.521259
0,kmeans,0,42803,1.0796039506113422
0,kmeans,1,42803,1.072992603124364
0,kmeans,2,42803,1.0881845213106076
0,kmeans,3,42803,1.1018515070293406
0,kmeans,4,42803,1.113392467911749
0,kmeans,5,42803,1.1176497186827505
0,kmeans,6,42803,1.1220330668619007
0,kmeans,7,42803,1.1259135951449208
0,kmeans,8,42803,1.1326123739804752
0,kmeans,9,42803,1.139393677635948
0,wkmeans,0,42803,1.0796039506113422
0,wkmeans,1,42803,1.0630537227662247
0,wkmeans,2,42803,1.0408294831179792
0,wkmeans,3,42803,1.0317017498928363
0,wkmeans,4,42803,1.030754812051416
0,wkmeans,5,42803,1.0234835655098584
0,wkmeans,6,42803,1.0245343654549743
0,wkmeans,7,42803,1.020769581578946
0,wkmeans,8,42803,1.0188252618869038
0,wkmeans,9,42803,1.0185378260550197
1,random,0,42803,1.0774704699498743
1,random,1,42803,1.0879358831455133
1,random,2,42803,1.097650889183582
1,random,3,42803,1.0916438310667198
1,random,4,42803,1.09694244293335
1,random,5,42803,1.101999952614173
1,random,6,42803,1.102955842501238
1,random,7,42803,1.1061243482528658
1,random,8,42803,1.1106182900413075
1,random,9,42803,1.1135922007647245
1,margin,0,42803,1.0774704699498743
1,margin,1,42803,1.0659092412686741
1,margin,2,42803,1.0546835375394168
1,margin,3,42803,1.042545859914444
1,margin,4,42803,1.0400564812938993
1,margin,5,42803,1.0367827740148265
1,margin,6,42803,1.0330590437568856
1,margin,7,42803,18670321892.67814
1,margin,8,42803,16595841682.492874
1,margin,9,42803,14936257514.341703
1,confidence,0,42803,1.0774704699498743
1,confidence,1,42803,1.038177503536681
1,confidence,2,42803,1.031918834466375
1,confidence,3,42803,1.0204285515423654
1,confidence,4,42803,1.0320992565098235
1,confidence,5,42803,1.0206890125570136
1,confidence,6,42803,1.0183299879587877
1,confidence,7,42803,1.0197880377906385
1,confidence,8,42803,1.015829080881609
1,confidence,9,42803,1.0134796767127718
1,entropy,0,42803,1.0774704699498743
1,entropy,1,42803,1.035392047188537
1,entropy,2,42803,1.0257003579808959
1,entropy,3,42803,1.0267319043179777
1,entropy,4,42803,1.0173733624693544
1,entropy,5,42803,1.0154492028496724
1,entropy,6,42803,1.012651790678114
1,entropy,7,42803,1.010965308891173
1,entropy,8,42803,1.012544385696679
1,entropy,9,42803,1.0122030927893653
1,kmeans,0,42803,1.0774704699498743
1,kmeans,1,42803,1.073994985542341
1,kmeans,2,42803,1.0743767618465248
1,kmeans,3,42803,1.0855399755530832
1,kmeans,4,42803,1.1025260712036689
1,kmeans,5,42803,1.0990388991610154
1,kmeans,6,42803,1.107470215184061
1,kmeans,7,42803,1.109983566967241
1,kmeans,8,42803,1.1169274742735646
1,kmeans,9,42803,1.1247152820085153
1,wkmeans,0,42803,1.0774704699498743
1,wkmeans,1,42803,1.0489039340019692
1,wkmeans,2,42803,1.0417669962169027
1,wkmeans,3,42803,1.0325329342437894
1,wkmeans,4,42803,1.0252638386713373
1,wkmeans,5,42803,1.0235952148711276
1,wkmeans,6,42803,1.0265050569384286
1,wkmeans,7,42803,1.0213079771229918
1,wkmeans,8,42803,1.0213606477630384
1,wkmeans,9,42803,1.0202464181651738
2,random,0,42803,1.0747789469842062
2,random,1,42803,1.0808226098403544
2,random,2,42803,1.0965889202362196
2,random,3,42803,1.1059121237756049
2,random,4,42803,1.0986260702808257
2,random,5,42803,1.0983634253633454
2,random,6,42803,1.104604629990513
2,random,7,42803,1.112208208734263
2,random,8,42803,1.1134235254204636
2,random,9,42803,1.118060499704821
2,margin,0,42803,1.0747789469842062
2,margin,1,42803,1.0753042995084796
2,margin,2,42803,1.0667768996526004
2,margin,3,42803,1.0499276251862344
2,margin,4,42803,1.0452063626089034
2,margin,5,42803,1.0452164501310028
2,margin,6,42803,1.042247406436872
2,margin,7,42803,1.0350805005726798
2,margin,8,42803,1.0319638137100688
2,margin,9,42803,1.027797996244668
2,confidence,0,42803,1.0747789469842062
2,confidence,1,42803,1.0389857968048921
2,confidence,2,42803,1.0242436500017567
2,confidence,3,42803,1.0276367887322184
2,confidence,4,42803,1.0222198079270435
2,confidence,5,42803,1.022490646697415
2,confidence,6,42803,1.0257420306043912
2,confidence,7,42803,0.9997973678094355
2,confidence,8,42803,1.0031693861965139
2,confidence,9,42803,0.9984838954016642
2,entropy,0,42803,1.0747789469842062
2,entropy,1,42803,1.02860833192508
2,entropy,2,42803,1.0169820993599898
2,entropy,3,42803,1.0139699667980764
2,entropy,4,42803,1.013232906184248
2,entropy,5,42803,1.0151689274236342
2,entropy,6,42803,1.013343274718487
2,entropy,7,42803,1.0088089896312422
2,entropy,8,42803,1.0115681267834795
2,entropy,9,42803,1.0136727887136021
2,kmeans,0,42803,1.0747789469842062
2,kmeans,1,42803,1.1100674333710736
2,kmeans,2,42803,1.113656957195601
2,kmeans,3,42803,1.1198044956757955
2,kmeans,4,42803,1.1255331750550854
2,kmeans,5,42803,1.125157370238364
2,kmeans,6,42803,1.1364310007410838
2,kmeans,7,42803,1.1463635375339907
2,kmeans,8,42803,1.1507636388296796
2,kmeans,9,42803,1.1606791089980537
2,wkmeans,0,42803,1.0747789469842062
2,wkmeans,1,42803,1.0601104128198484
2,wkmeans,2,42803,1.0325287058904928
2,wkmeans,3,42803,1.033785689842523
2,wkmeans,4,42803,1.0269072906649854
2,wkmeans,5,42803,1.028460715395206
2,wkmeans,6,42803,1.024216985932235
2,wkmeans,7,42803,1.0211996344073904
2,wkmeans,8,42803,1.0209880354937102
2,wkmeans,9,42803,1.0196731451977272
3,random,0,42803,1.0619288899158816
3,random,1,42803,1.066865384315352
3,random,2,42803,1.0708663826502849
3,random,3,42803,1.07899797407302
3,random,4,42803,1.0927947424636586
3,random,5,42803,1.1096528837534816
3,random,6,42803,1.1081369271631096
3,random,7,42803,1.1020721302259242
3,random,8,42803,1.1118531266046277
3,random,9,42803,1.1151835011283808
3,margin,0,42803,1.0619288899158816
3,margin,1,42803,1.069171071932486
3,margin,2,42803,1.0466092658452908
3,margin,3,42803,1.0356773606003173
3,margin,4,42803,1.0299279193348199
3,margin,5,42803,1.0279397884648638
3,margin,6,42803,1.0276642674837297
3,margin,7,42803,1.0255091767747806
3,margin,8,42803,1.0207370455858598
3,margin,9,42803,1.0192683087212466
3,confidence,0,42803,1.0619288899158816
3,confidence,1,42803,1.053928602413302
3,confidence,2,42803,1.0351438966675168
3,confidence,3,42803,1.0284320281056638
3,confidence,4,42803,1.02616459919986
3,confidence,5,42803,1.0175268657820795
3,confidence,6,42803,1.0095145808955275
3,confidence,7,42803,1.0077613490698036
3,confidence,8,42803,1.0068101263753482
3,confidence,9,42803,1.007099795005314
3,entropy,0,42803,1.0619288899158816
3,entropy,1,42803,1.0573586340540766
3,entropy,2,42803,1.0375256007816789
3,entropy,3,42803,0.9822104944432889
3,entropy,4,42803,0.9841091697296828
3,entropy,5,42803,0.9814471880749412
3,entropy,6,42803,1.110979771784306
3,entropy,7,42803,2207121151.002306
3,entropy,8,42803,1961885467.6351452
3,entropy,9,42803,4477614442.154858
3,kmeans,0,42803,1.0619288899158816
3,kmeans,1,42803,1.0787279171702795
3,kmeans,2,42803,1.0990611643256558
3,kmeans,3,42803,1.1078800671051943
3,kmeans,4,42803,1.1228713893849414
3,kmeans,5,42803,1.135345883407023
3,kmeans,6,42803,1.1415713397054505
3,kmeans,7,42803,1.1413155466706315
3,kmeans,8,42803,1.1466023692734155
3,kmeans,9,42803,1.1638736013912379
3,wkmeans,0,42803,1.0619288899158816
3,wkmeans,1,42803,1.0573810116093258
3,wkmeans,2,42803,1.0507123615452467
3,wkmeans,3,42803,1.0420538228793983
3,wkmeans,4,42803,1.0383885261863164
3,wkmeans,5,42803,1.0285017229338014
3,wkmeans,6,42803,1.023533850302278
3,wkmeans,7,42803,1.023959059027181
3,wkmeans,8,42803,1.0224012074313893
3,wkmeans,9,42803,1.0197908075278739
4,random,0,42803,1.0600906859373431
4,random,1,42803,1.0862984240667648
4,random,2,42803,1.1009874146961187
4,random,3,42803,1.1039825737308178
4,random,4,42803,1.1116146566737926
4,random,5,42803,1.1087131046249785
4,random,6,42803,1.1008979211951888
4,random,7,42803,1.1026336843907532
4,random,8,42803,1.1081373174343006
4,random,9,42803,1.1063717099338704
4,margin,0,42803,1.0600906859373431
4,margin,1,42803,1.0690764518628897
4,margin,2,42803,1.0528374483372755
4,margin,3,42803,1.036073237119758
4,margin,4,42803,1.031823464129736
4,margin,5,42803,1.0337823991770982
4,margin,6,42803,1.0342003431539954
4,margin,7,42803,1.0269084317491746
4,margin,8,42803,1.0248881277954793
4,margin,9,42803,1.0228835335977629
4,confidence,0,42803,1.0600906859373431
4,confidence,1,42803,1.0600400109179475
4,confidence,2,42803,1.0396655047944259
4,confidence,3,42803,1.023688674442257
4,confidence,4,42803,1.0247098013108578
4,confidence,5,42803,1.018269568209653
4,confidence,6,42803,1.019329826032361
4,confidence,7,42803,1.0185396997506453
4,confidence,8,42803,1.019236914624673
4,confidence,9,42803,1.018363255969461
4,entropy,0,42803,1.0600906859373431
4,entropy,1,42803,1.0608864527172572
