seed,method,n_iter,dataset,value
0,random,0,43439,0.6676400348377399
0,random,1,43439,1.591867508661419
0,random,2,43439,2.6542272723595066
0,random,3,43439,3.762814055755312
0,random,4,43439,4.725398534752852
0,random,5,43439,5.8476894212113395
0,random,6,43439,6.807356102411514
0,random,7,43439,8.12207018505482
0,random,8,43439,8.956833420903529
0,random,9,43439,10.062701256445052
0,margin,0,43439,0.6676400348377399
0,margin,1,43439,1.418981905982018
0,margin,2,43439,2.3459914338518426
0,margin,3,43439,2.9656498663113697
0,margin,4,43439,3.693667933829301
0,margin,5,43439,4.60591044854562
0,margin,6,43439,5.706464116595135
0,margin,7,43439,6.928595713013982
0,margin,8,43439,7.826518963334324
0,margin,9,43439,8.819243303453792
0,confidence,0,43439,0.6676400348377399
0,confidence,1,43439,1.418981905982018
0,confidence,2,43439,2.3459914338518426
0,confidence,3,43439,2.9656498663113697
0,confidence,4,43439,3.693667933829301
0,confidence,5,43439,4.60591044854562
0,confidence,6,43439,5.706464116595135
0,confidence,7,43439,6.928595713013982
0,confidence,8,43439,7.826518963334324
0,confidence,9,43439,8.819243303453792
0,entropy,0,43439,0.6676400348377399
0,entropy,1,43439,1.459852116298292
0,entropy,2,43439,2.2656688376429734
0,entropy,3,43439,3.34204353496783
0,entropy,4,43439,3.9307743928293486
0,entropy,5,43439,4.9113875296634335
0,entropy,6,43439,5.750696532270586
0,entropy,7,43439,6.695640111000621
0,entropy,8,43439,7.712894733991114
0,entropy,9,43439,8.86633670878762
0,kmeans,0,43439,0.6676400348377399
0,kmeans,1,43439,1.4088140466390613
0,kmeans,2,43439,2.180573377369776
0,kmeans,3,43439,2.912583924572809
0,kmeans,4,43439,3.6799042731994938
0,kmeans,5,43439,4.372457730593701
0,kmeans,6,43439,5.191603758627005
0,kmeans,7,43439,5.773876049431443
0,kmeans,8,43439,6.639382872643818
0,kmeans,9,43439,7.441134837468941
0,wkmeans,0,43439,0.6676400348377399
0,wkmeans,1,43439,1.3007858302827489
0,wkmeans,2,43439,2.1080391875454136
0,wkmeans,3,43439,3.029501020487478
0,wkmeans,4,43439,4.001794841170709
0,wkmeans,5,43439,5.0028785285329835
0,wkmeans,6,43439,5.985335579912143
0,wkmeans,7,43439,7.018692558561623
0,wkmeans,8,43439,7.988679870025081
0,wkmeans,9,43439,8.986448421559995
1,random,0,43439,0.6702893363310702
1,random,1,43439,1.7577903116724096
1,random,2,43439,2.7994668133606435
1,random,3,43439,3.8852851176778422
1,random,4,43439,4.9522393973892616
1,random,5,43439,5.971913125118283
1,random,6,43439,7.004837473300247
1,random,7,43439,8.003255727589757
1,random,8,43439,9.009549416518054
1,random,9,43439,10.060865015238345
1,margin,0,43439,0.6702893363310702
1,margin,1,43439,1.543252118734837
1,margin,2,43439,2.506506762144263
1,margin,3,43439,3.0186173846256548
1,margin,4,43439,3.7491720063858414
1,margin,5,43439,4.588699796728593
1,margin,6,43439,5.356592329423574
1,margin,7,43439,6.198990507849037
1,margin,8,43439,7.263028598747545
1,margin,9,43439,7.911508526211003
1,confidence,0,43439,0.6702893363310702
1,confidence,1,43439,1.543252118734837
1,confidence,2,43439,2.506506762144263
1,confidence,3,43439,3.0186173846256548
1,confidence,4,43439,3.7491720063858414
1,confidence,5,43439,4.588699796728593
1,confidence,6,43439,5.356592329423574
1,confidence,7,43439,6.198990507849037
1,confidence,8,43439,7.263028598747545
1,confidence,9,43439,7.911508526211003
1,entropy,0,43439,0.6702893363310702
1,entropy,1,43439,1.543252118734837
1,entropy,2,43439,2.506506762144263
1,entropy,3,43439,3.0186173846256548
1,entropy,4,43439,3.7491720063858414
1,entropy,5,43439,4.588699796728593
1,entropy,6,43439,5.356592329423574
1,entropy,7,43439,6.198990507849037
1,entropy,8,43439,7.263028598747545
1,entropy,9,43439,7.911508526211003
1,kmeans,0,43439,0.6702893363310702
